,mintty/mintty,microsoft/terminal,alacritty/alacritty
2017-11-15,0,0.0,0
2017-11-16,0,0.0,0
2017-11-17,0,0.0,0
2017-11-18,0,0.0,0
2017-11-19,5,0.0,2
2017-11-20,3,0.0,1
2017-11-21,0,0.0,0
2017-11-22,4,0.0,0
2017-11-23,0,0.0,0
2017-11-24,0,0.0,0
2017-11-25,0,0.0,0
2017-11-26,0,0.0,0
2017-11-27,4,0.0,0
2017-11-28,6,0.0,0
2017-11-29,2,0.0,0
2017-11-30,0,0.0,0
2017-12-01,3,0.0,0
2017-12-02,0,0.0,0
2017-12-03,0,0.0,8
2017-12-04,0,0.0,0
2017-12-05,2,0.0,0
2017-12-06,2,0.0,0
2017-12-07,2,0.0,0
2017-12-08,1,0.0,0
2017-12-09,0,0.0,0
2017-12-10,1,0.0,0
2017-12-11,3,0.0,0
2017-12-12,0,0.0,0
2017-12-13,2,0.0,2
2017-12-14,3,0.0,0
2017-12-15,2,0.0,0
2017-12-16,2,0.0,0
2017-12-17,0,0.0,1
2017-12-18,0,0.0,0
2017-12-19,0,0.0,0
2017-12-20,4,0.0,0
2017-12-21,1,0.0,0
2017-12-22,0,0.0,17
2017-12-23,1,0.0,4
2017-12-24,0,0.0,23
2017-12-25,0,0.0,0
2017-12-26,0,0.0,0
2017-12-27,0,0.0,0
2017-12-28,0,0.0,0
2017-12-29,1,0.0,1
2017-12-30,0,0.0,0
2017-12-31,0,0.0,0
2018-01-01,0,0.0,0
2018-01-02,1,0.0,4
2018-01-03,7,0.0,7
2018-01-04,0,0.0,0
2018-01-05,1,0.0,1
2018-01-06,0,0.0,4
2018-01-07,0,0.0,2
2018-01-08,1,0.0,3
2018-01-09,1,0.0,0
2018-01-10,0,0.0,2
2018-01-11,0,0.0,1
2018-01-12,0,0.0,0
2018-01-13,0,0.0,0
2018-01-14,0,0.0,0
2018-01-15,2,0.0,1
2018-01-16,0,0.0,1
2018-01-17,1,0.0,0
2018-01-18,0,0.0,1
2018-01-19,0,4.0,0
2018-01-20,0,-1.5999999999999996,0
2018-01-21,0,-0.48,1
2018-01-22,0,-0.256,0
2018-01-23,1,-0.1664000000000002,0
2018-01-24,0,-0.11980800000000007,0
2018-01-25,5,-0.09185280000000003,0
2018-01-26,2,-0.07348223999999998,1
2018-01-27,3,-0.06062284799999997,0
2018-01-28,0,-0.051192627199999986,0
2018-01-29,0,0.0,0
2018-01-30,2,0.0,1
2018-01-31,0,0.0,1
2018-02-01,0,0.0,0
2018-02-02,0,0.0,0
2018-02-03,7,0.0,0
2018-02-04,4,0.0,0
2018-02-05,7,0.0,0
2018-02-06,0,0.0,0
2018-02-07,1,0.0,1
2018-02-08,0,0.0,0
2018-02-09,3,0.0,0
2018-02-10,0,0.0,0
2018-02-11,0,0.0,1
2018-02-12,1,0.0,0
2018-02-13,4,0.0,2
2018-02-14,1,2.0,0
2018-02-15,2,-0.7999999999999998,0
2018-02-16,0,-0.24,0
2018-02-17,0,-0.128,0
2018-02-18,0,-0.0832000000000001,0
2018-02-19,0,-0.059904000000000034,0
2018-02-20,1,-0.04592640000000001,0
2018-02-21,0,-0.03674111999999999,0
2018-02-22,0,-0.030311423999999986,0
2018-02-23,0,-0.025596313599999993,0
2018-02-24,0,0.0,0
2018-02-25,0,0.0,0
2018-02-26,0,0.0,0
2018-02-27,0,0.0,0
2018-02-28,0,0.0,3
2018-03-01,0,0.0,0
2018-03-02,0,0.0,0
2018-03-03,0,0.0,0
2018-03-04,0,0.0,1
2018-03-05,0,0.0,0
2018-03-06,0,0.0,0
2018-03-07,0,0.0,1
2018-03-08,0,0.0,0
2018-03-09,0,0.0,2
2018-03-10,0,0.0,1
2018-03-11,0,0.0,0
2018-03-12,0,0.0,0
2018-03-13,0,0.0,11
2018-03-14,0,0.0,0
2018-03-15,0,0.0,0
2018-03-16,0,0.0,0
2018-03-17,0,0.0,0
2018-03-18,0,0.0,0
2018-03-19,0,0.0,0
2018-03-20,0,0.0,0
2018-03-21,0,0.0,0
2018-03-22,3,0.0,0
2018-03-23,0,0.0,2
2018-03-24,0,0.0,0
2018-03-25,0,0.0,0
2018-03-26,0,0.0,0
2018-03-27,0,0.0,1
2018-03-28,4,0.0,0
2018-03-29,0,0.0,0
2018-03-30,1,0.0,2
2018-03-31,0,0.0,0
2018-04-01,0,0.0,0
2018-04-02,0,0.0,0
2018-04-03,7,0.0,0
2018-04-04,1,0.0,0
2018-04-05,0,0.0,0
2018-04-06,1,0.0,0
2018-04-07,1,0.0,0
2018-04-08,0,0.0,0
2018-04-09,0,0.0,0
2018-04-10,2,0.0,0
2018-04-11,3,0.0,0
2018-04-12,0,0.0,0
2018-04-13,1,0.0,0
2018-04-14,0,0.0,1
2018-04-15,6,0.0,0
2018-04-16,1,0.0,0
2018-04-17,2,0.0,0
2018-04-18,1,0.0,0
2018-04-19,0,0.0,0
2018-04-20,2,0.0,0
2018-04-21,5,0.0,0
2018-04-22,0,0.0,0
2018-04-23,0,0.0,0
2018-04-24,0,0.0,0
2018-04-25,4,12.0,0
2018-04-26,1,-3.799999999999999,0
2018-04-27,0,-1.8399999999999999,0
2018-04-28,0,-0.888,1
2018-04-29,0,-0.5632000000000006,0
2018-04-30,0,0.5989759999999997,0
2018-05-01,0,-0.7055104000000001,1
2018-05-02,0,-0.36340991999999994,0
2018-05-03,0,-0.2642391039999999,0
2018-05-04,0,-0.2103335936,0
2018-05-05,0,-0.042750156800000015,1
2018-05-06,0,-0.022963200000000007,0
2018-05-07,0,-0.018370559999999994,0
2018-05-08,0,-0.015155711999999993,0
2018-05-09,0,-0.012798156799999997,0
2018-05-10,0,0.0,0
2018-05-11,2,0.0,2
2018-05-12,0,0.0,0
2018-05-13,0,0.0,0
2018-05-14,0,0.0,4
2018-05-15,0,0.0,0
2018-05-16,0,6.0,0
2018-05-17,1,-0.39999999999999947,0
2018-05-18,0,-1.5199999999999998,0
2018-05-19,0,-0.624,0
2018-05-20,0,0.6223999999999997,0
2018-05-21,0,0.33708799999999983,0
2018-05-22,0,-0.7176832,0
2018-05-23,0,-0.34014975999999997,0
2018-05-24,1,-0.233275392,0
2018-05-25,0,-0.17865236480000005,2
2018-05-26,0,-0.07851151360000001,0
2018-05-27,0,-0.04133376,0
2018-05-28,0,-0.03352627199999999,0
2018-05-29,0,-0.02795386879999999,1
2018-05-30,1,-0.012798156799999997,1
2018-05-31,0,1.0,0
2018-06-01,4,-0.3999999999999999,0
2018-06-02,0,-0.12,74
2018-06-03,0,-0.064,0
2018-06-04,0,-0.04160000000000005,0
2018-06-05,1,0.970048,0
2018-06-06,1,0.5770368000000001,0
2018-06-07,1,-0.5383705599999999,2
2018-06-08,2,-0.19915571199999998,1
2018-06-09,0,-0.11839815680000004,0
2018-06-10,0,-0.07155200000000006,0
2018-06-11,0,-0.05291520000000002,0
2018-06-12,4,-0.04133376,0
2018-06-13,0,-0.03352627199999999,0
2018-06-14,1,-0.02795386879999999,0
2018-06-15,1,-0.012798156799999997,0
2018-06-16,0,0.0,2
2018-06-17,0,0.0,1
2018-06-18,3,0.0,1
2018-06-19,1,0.0,1
2018-06-20,2,0.0,0
2018-06-21,1,0.0,0
2018-06-22,0,0.0,0
2018-06-23,0,0.0,1
2018-06-24,1,0.0,0
2018-06-25,0,0.0,0
2018-06-26,3,0.0,1
2018-06-27,1,0.0,0
2018-06-28,2,0.0,0
2018-06-29,1,0.0,0
2018-06-30,0,0.0,0
2018-07-01,9,0.0,4
2018-07-02,0,0.0,2
2018-07-03,0,0.0,1
2018-07-04,0,0.0,0
2018-07-05,1,0.0,1
2018-07-06,0,0.0,1
2018-07-07,0,0.0,0
2018-07-08,0,0.0,0
2018-07-09,1,0.0,1
2018-07-10,1,0.0,0
2018-07-11,0,0.0,0
2018-07-12,0,0.0,0
2018-07-13,0,0.0,0
2018-07-14,0,0.0,0
2018-07-15,0,0.0,4
2018-07-16,0,0.0,1
2018-07-17,0,0.0,0
2018-07-18,1,0.0,1
2018-07-19,1,0.0,1
2018-07-20,0,0.0,1
2018-07-21,0,0.0,4
2018-07-22,0,0.0,2
2018-07-23,1,0.0,1
2018-07-24,0,0.0,0
2018-07-25,1,0.0,2
2018-07-26,6,0.0,2
2018-07-27,0,0.0,0
2018-07-28,0,0.0,2
2018-07-29,0,0.0,4
2018-07-30,0,0.0,0
2018-07-31,0,0.0,0
2018-08-01,0,0.0,0
2018-08-02,0,0.0,0
2018-08-03,0,0.0,1
2018-08-04,0,0.0,0
2018-08-05,0,0.0,2
2018-08-06,0,0.0,0
2018-08-07,0,0.0,0
2018-08-08,0,0.0,0
2018-08-09,1,0.0,0
2018-08-10,0,0.0,0
2018-08-11,0,0.0,0
2018-08-12,2,0.0,0
2018-08-13,5,0.0,0
2018-08-14,0,0.0,0
2018-08-15,0,0.0,1
2018-08-16,0,0.0,0
2018-08-17,2,0.0,0
2018-08-18,0,0.0,0
2018-08-19,0,1.0,0
2018-08-20,0,-0.3999999999999999,0
2018-08-21,1,-0.12,0
2018-08-22,0,-0.064,0
2018-08-23,0,-0.04160000000000005,0
2018-08-24,3,-0.029952000000000017,0
2018-08-25,0,-0.022963200000000007,0
2018-08-26,0,-0.018370559999999994,0
2018-08-27,1,-0.015155711999999993,0
2018-08-28,1,-0.012798156799999997,0
2018-08-29,0,0.0,0
2018-08-30,0,0.0,0
2018-08-31,0,0.0,0
2018-09-01,0,0.0,0
2018-09-02,6,0.0,1
2018-09-03,3,0.0,0
2018-09-04,3,0.0,0
2018-09-05,0,0.0,2
2018-09-06,0,0.0,0
2018-09-07,2,0.0,0
2018-09-08,2,0.0,0
2018-09-09,1,0.0,0
2018-09-10,0,1.0,0
2018-09-11,2,0.6000000000000001,0
2018-09-12,2,0.4800000000000001,0
2018-09-13,3,-0.5839999999999999,0
2018-09-14,0,-0.22560000000000005,0
2018-09-15,0,-0.13555200000000006,0
2018-09-16,1,-0.09451520000000008,0
2018-09-17,2,-0.07128576000000002,11
2018-09-18,0,-0.056489472,3
2018-09-19,1,-0.046324428799999984,3
2018-09-20,2,2.9720461312,9
2018-09-21,3,1.7872018432000003,0
2018-09-22,4,-1.5599999999999996,1
2018-09-23,2,-0.552,2
2018-09-24,3,-0.31680000000000014,3
2018-09-25,3,-0.21465600000000018,1
2018-09-26,0,-0.15874560000000007,2
2018-09-27,2,-0.12400128,1
2018-09-28,0,-0.10057881599999996,3
2018-09-29,0,-0.08386160639999997,1
2018-09-30,0,-0.03839447039999999,2
2018-10-01,0,0.0,0
2018-10-02,1,12.0,0
2018-10-03,4,-4.799999999999999,3
2018-10-04,5,-0.43999999999999995,0
2018-10-05,0,-1.168,0
2018-10-06,0,0.38079999999999947,0
2018-10-07,0,-0.8234240000000002,2
2018-10-08,0,0.5628415999999998,0
2018-10-09,1,-0.7143987199999999,0
2018-10-10,0,0.633568256,0
2018-10-11,0,-0.6659004415999998,0
2018-10-12,0,0.800281088,0
2018-10-13,0,-0.5251207167999999,0
2018-10-14,2,-0.19971891200000003,2
2018-10-15,0,-0.1251207168,0
2018-10-16,0,-0.07971891200000004,3
2018-10-17,0,-0.0611207168,1
2018-10-18,1,-0.038118912,1
2018-10-19,0,-0.03116871679999999,0
2018-10-20,0,-0.015155711999999993,2
2018-10-21,0,-0.012798156799999997,0
2018-10-22,1,0.0,2
2018-10-23,0,0.0,0
2018-10-24,0,0.0,0
2018-10-25,0,0.0,0
2018-10-26,0,0.0,0
2018-10-27,0,0.0,5
2018-10-28,0,0.0,0
2018-10-29,4,0.0,2
2018-10-30,0,0.0,2
2018-10-31,5,0.0,3
2018-11-01,7,0.0,5
2018-11-02,1,0.0,1
2018-11-03,0,0.0,2
2018-11-04,1,0.0,2
2018-11-05,1,0.0,0
2018-11-06,0,0.0,1
2018-11-07,0,0.0,2
2018-11-08,0,0.0,0
2018-11-09,0,0.0,0
2018-11-10,2,0.0,2
2018-11-11,0,0.0,3
2018-11-12,1,0.0,3
2018-11-13,0,0.0,3
2018-11-14,1,0.0,4
2018-11-15,2,0.0,2
2018-11-16,0,0.0,1
2018-11-17,0,0.0,2
2018-11-18,0,0.0,3
2018-11-19,0,0.0,3
2018-11-20,0,0.0,0
2018-11-21,0,0.0,0
2018-11-22,1,0.0,0
2018-11-23,0,0.0,2
2018-11-24,0,0.0,1
2018-11-25,2,0.0,0
2018-11-26,0,0.0,0
2018-11-27,2,0.0,0
2018-11-28,0,0.0,0
2018-11-29,1,3.0,0
2018-11-30,0,-1.1999999999999997,0
2018-12-01,0,-0.36,0
2018-12-02,0,-0.192,3
2018-12-03,2,-0.12480000000000013,1
2018-12-04,3,-0.08985600000000005,0
2018-12-05,4,-0.06888960000000002,0
2018-12-06,0,-0.05511167999999998,3
2018-12-07,2,-0.04546713599999998,1
2018-12-08,1,-0.03839447039999999,3
2018-12-09,2,0.0,3
2018-12-10,2,0.0,1
2018-12-11,2,0.0,0
2018-12-12,3,0.0,1
2018-12-13,0,0.0,0
2018-12-14,0,0.0,2
2018-12-15,0,0.0,2
2018-12-16,0,0.0,0
2018-12-17,0,0.0,1
2018-12-18,0,0.0,1
2018-12-19,1,0.0,0
2018-12-20,0,0.0,2
2018-12-21,1,0.0,0
2018-12-22,0,0.0,1
2018-12-23,1,0.0,1
2018-12-24,0,0.0,0
2018-12-25,0,0.0,0
2018-12-26,0,0.0,0
2018-12-27,0,0.0,4
2018-12-28,0,0.0,2
2018-12-29,0,0.0,0
2018-12-30,0,0.0,0
2018-12-31,0,0.0,2
2019-01-01,1,0.0,0
2019-01-02,0,0.0,3
2019-01-03,0,0.0,1
2019-01-04,1,0.0,0
2019-01-05,3,0.0,5
2019-01-06,1,0.0,1
2019-01-07,0,0.0,3
2019-01-08,1,0.0,2
2019-01-09,3,0.0,2
2019-01-10,1,0.0,0
2019-01-11,0,0.0,1
2019-01-12,0,0.0,1
2019-01-13,0,0.0,1
2019-01-14,0,0.0,0
2019-01-15,0,0.0,0
2019-01-16,0,0.0,0
2019-01-17,4,0.0,2
2019-01-18,0,0.0,0
2019-01-19,3,0.0,3
2019-01-20,3,0.0,1
2019-01-21,0,0.0,3
2019-01-22,1,0.0,0
2019-01-23,4,0.0,2
2019-01-24,0,0.0,0
2019-01-25,5,0.0,0
2019-01-26,1,0.0,0
2019-01-27,0,0.0,1
2019-01-28,2,0.0,2
2019-01-29,1,0.0,0
2019-01-30,0,0.0,0
2019-01-31,0,0.0,0
2019-02-01,1,0.0,0
2019-02-02,0,0.0,2
2019-02-03,0,0.0,2
2019-02-04,0,0.0,3
2019-02-05,1,0.0,2
2019-02-06,1,0.0,1
2019-02-07,3,0.0,2
2019-02-08,4,0.0,2
2019-02-09,0,0.0,1
2019-02-10,6,0.0,3
2019-02-11,0,0.0,2
2019-02-12,0,0.0,0
2019-02-13,2,0.0,1
2019-02-14,0,0.0,0
2019-02-15,2,0.0,0
2019-02-16,0,0.0,3
2019-02-17,0,0.0,0
2019-02-18,1,0.0,1
2019-02-19,1,0.0,0
2019-02-20,0,0.0,0
2019-02-21,0,0.0,2
2019-02-22,0,0.0,0
2019-02-23,0,0.0,0
2019-02-24,0,0.0,0
2019-02-25,0,0.0,1
2019-02-26,0,0.0,0
2019-02-27,0,4.0,0
2019-02-28,3,-1.5999999999999996,0
2019-03-01,0,-0.48,0
2019-03-02,1,-0.256,4
2019-03-03,1,-0.1664000000000002,1
2019-03-04,0,-0.11980800000000007,3
2019-03-05,0,-0.09185280000000003,0
2019-03-06,4,-0.07348223999999998,0
2019-03-07,8,-0.06062284799999997,1
2019-03-08,0,-0.051192627199999986,1
2019-03-09,0,0.0,0
2019-03-10,0,0.0,0
2019-03-11,1,0.0,1
2019-03-12,2,0.0,2
2019-03-13,1,0.0,1
2019-03-14,2,0.0,2
2019-03-15,4,0.0,3
2019-03-16,1,0.0,0
2019-03-17,1,0.0,1
2019-03-18,0,0.0,0
2019-03-19,1,0.0,2
2019-03-20,4,0.0,0
2019-03-21,2,0.0,2
2019-03-22,0,0.0,0
2019-03-23,0,0.0,1
2019-03-24,0,0.0,1
2019-03-25,1,0.0,1
2019-03-26,0,0.0,1
2019-03-27,5,0.0,0
2019-03-28,9,3.0,2
2019-03-29,3,4.800000000000001,1
2019-03-30,0,-2.7599999999999993,2
2019-03-31,0,-0.9119999999999999,1
2019-04-01,2,0.49119999999999986,2
2019-04-02,3,6.260543999999999,2
2019-04-03,0,-3.1686015999999997,1
2019-04-04,1,-1.0968908800000001,5
2019-04-05,1,-0.645290496,0
2019-04-06,2,-0.4504807424000003,1
2019-04-07,0,-0.30941614080000013,1
2019-04-08,1,-0.17911296000000004,4
2019-04-09,0,-0.14374963199999996,6
2019-04-10,5,-0.11888814079999996,3
2019-04-11,1,-0.08958709759999997,2
2019-04-12,1,0.0,0
2019-04-13,0,0.0,0
2019-04-14,0,0.0,1
2019-04-15,0,0.0,0
2019-04-16,0,0.0,0
2019-04-17,1,0.0,1
2019-04-18,1,0.0,0
2019-04-19,0,0.0,5
2019-04-20,0,0.0,1
2019-04-21,0,2.0,2
2019-04-22,0,-0.7999999999999998,4
2019-04-23,1,5.76,3
2019-04-24,0,-2.5279999999999996,1
2019-04-25,1,2.1968,3
2019-04-26,0,-0.6439039999999998,0
2019-04-27,0,-1.0555264000000002,0
2019-04-28,0,-0.5284531200000001,7
2019-04-29,0,2.643109376,1
2019-04-30,2,0.5327243264000003,2
2019-05-01,4,-1.349775872,1
2019-05-02,0,2.4131361792,0
2019-05-03,4,-0.5166376959999999,1
2019-05-04,0,-0.9866061824000001,1
2019-05-05,0,-0.4535917568000001,0
2019-05-06,1,2.71016192,0
2019-05-07,2,15.586335744,1
2019-05-08,0,-5.327547494399999,1
2019-05-09,1,6.8643288064,1
2019-05-10,3,1.4833623040000008,1
2019-05-11,1,-3.9786061824,3
2019-05-12,4,-1.5540717568000004,1
2019-05-13,1,5.11060992,1
2019-05-14,0,13.021586944,1
2019-05-15,0,-2.517678694399999,0
2019-05-16,0,-0.5518800895999991,1
2019-05-17,3,-0.45786255360000006,1
2019-05-18,2,-0.7762693120000006,0
2019-05-19,0,-3.0426397696,1
2019-05-20,1,2.4493658111999994,1
2019-05-21,5,8.3228731392,0
2019-05-22,1,0.3031184384000012,0
2019-05-23,0,9.4419354624,0
2019-05-24,8,2.5146606592000014,0
2019-05-25,2,-6.821133312,1
2019-05-26,3,-2.8635845632000008,0
2019-05-27,4,-1.766583910400001,0
2019-05-28,1,4.7641937919999995,1
2019-05-29,1,-0.34913361919999986,0
2019-05-30,0,4.3614661632,0
2019-05-31,0,-4.0166745087999995,0
2019-06-01,0,0.38766868479999994,0
2019-06-02,0,-1.680493568,1
2019-06-03,0,-0.7588352000000005,3
2019-06-04,0,14.48322304,0
2019-06-05,6,-5.389988351999999,0
2019-06-06,2,-1.5107539967999997,3
2019-06-07,8,2.3295891456,1
2019-06-08,0,-2.5343282176,1
2019-06-09,4,-1.0651914240000002,5
2019-06-10,1,2.3024036864,0
2019-06-11,3,2.3051264000000002,0
2019-06-12,2,5.65152256,0
2019-06-13,0,-3.189351423999999,2
2019-06-14,0,3.1577638912,0
2019-06-15,4,-2.9616770048,4
2019-06-16,1,-1.2366902272000004,5
2019-06-17,1,1.2518195199999997,1
2019-06-18,4,6.659393024,1
2019-06-19,0,-0.8587049983999995,1
2019-06-20,1,0.4063751168000005,1
2019-06-21,3,-0.36459376639999963,2
2019-06-22,0,-0.8332807168,0
2019-06-23,0,-0.3063331840000001,2
2019-06-24,1,1.9168972799999997,0
2019-06-25,0,2.1967784960000003,3
2019-06-26,2,0.6036527104000005,0
2019-06-27,5,-0.19244247039999962,0
2019-06-28,0,1.2856820736,1
2019-06-29,0,1.0017043456,1
2019-06-30,0,-2.0606201856,1
2019-07-01,0,0.10002565119999984,0
2019-07-02,0,7.0226588672,0
2019-07-03,0,-2.7347113983999995,0
2019-07-04,3,-1.7161464832,0
2019-07-05,1,1.1336928255999998,0
2019-07-06,0,-0.35292712960000006,2
2019-07-07,1,-1.0280408064,2
2019-07-08,0,0.48157736959999986,2
2019-07-09,2,2.2677166079999997,0
2019-07-10,4,9.4260815872,3
2019-07-11,0,1.9825806336000014,0
2019-07-12,0,1.5738975232000012,0
2019-07-13,4,-3.147433983999999,0
2019-07-14,0,-2.1791712256,1
2019-07-15,1,-0.22473031680000055,1
2019-07-16,0,1.7538734079999996,1
2019-07-17,2,1.0376041472000002,0
2019-07-18,0,0.8745675776000001,0
2019-07-19,1,1.8263437312000002,0
2019-07-20,0,-2.5056439295999997,0
2019-07-21,0,-1.0015638528000002,0
2019-07-22,4,-0.5707143168000002,1
2019-07-23,0,4.604587007999999,1
2019-07-24,1,1.6979254272000004,1
2019-07-25,1,6.5691739136,0
2019-07-26,0,0.44265615360000066,1
2019-07-27,1,-3.6430173184,0
2019-07-28,0,-1.5433526272000004,2
2019-07-29,0,2.0709759999999995,0
2019-07-30,0,6.1387263999999995,1
2019-07-31,1,-3.065689599999999,0
2019-08-01,0,1.0432353280000002,3
2019-08-02,0,-0.23624683519999978,0
2019-08-03,0,-1.8376179712000003,1
2019-08-04,1,-0.8460963840000002,3
2019-08-05,0,2.4784307199999995,0
2019-08-06,1,6.411549184,2
2019-08-07,1,-1.8668043263999992,0
2019-08-08,1,-1.1705790463999999,1
2019-08-09,0,0.6281935872,0
2019-08-10,0,-1.5393618944000003,0
