,apache/tomcat,spring-projects/spring-framework,apache/struts
2020-11-02,4,5,0
2020-11-03,2,5,0
2020-11-04,0,15,0
2020-11-05,4,8,2
2020-11-06,10,1,0
2020-11-07,0,0,0
2020-11-08,0,3,1
2020-11-09,4,18,0
2020-11-10,4,5,0
2020-11-11,3,1,0
2020-11-12,1,13,0
2020-11-13,0,3,3
2020-11-14,0,0,1
2020-11-15,0,1,0
2020-11-16,0,9,0
2020-11-17,2,9,1
2020-11-18,6,5,1
2020-11-19,6,11,4
2020-11-20,1,4,3
2020-11-21,0,0,1
2020-11-22,0,0,1
2020-11-23,2,8,1
2020-11-24,0,4,0
2020-11-25,3,3,0
2020-11-26,3,4,0
2020-11-27,0,2,0
2020-11-28,0,0,3
2020-11-29,0,0,3
2020-11-30,2,3,0
2020-12-01,4,4,0
2020-12-02,12,4,2
2020-12-03,0,8,2
2020-12-04,13,4,1
2020-12-05,0,0,0
2020-12-06,1,0,1
2020-12-07,6,13,5
2020-12-08,17,9,0
2020-12-09,2,1,0
2020-12-10,3,2,1
2020-12-11,1,4,1
2020-12-12,1,1,1
2020-12-13,0,0,1
2020-12-14,3,1,0
2020-12-15,4,5,0
2020-12-16,0,3,0
2020-12-17,2,4,2
2020-12-18,1,1,0
2020-12-19,0,1,0
2020-12-20,0,1,0
2020-12-21,1,2,1
2020-12-22,1,0,1
2020-12-23,2,1,0
2020-12-24,0,0,2
2020-12-25,0,0,0
2020-12-26,0,0,0
2020-12-27,0,0,3
2020-12-28,1,2,4
2020-12-29,2,0,0
2020-12-30,1,1,0
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,0,2,4
2021-01-03,0,1,5
2021-01-04,6,5,2
2021-01-05,5,4,0
2021-01-06,0,7,3
2021-01-07,2,3,0
2021-01-08,1,4,2
2021-01-09,0,0,0
2021-01-10,0,0,4
2021-01-11,0,14,5
2021-01-12,0,11,0
2021-01-13,0,1,0
2021-01-14,1,5,0
2021-01-15,7,0,0
2021-01-16,0,0,0
2021-01-17,1,0,0
2021-01-18,7,1,0
2021-01-19,1,4,0
2021-01-20,2,0,0
2021-01-21,2,4,0
2021-01-22,10,6,0
2021-01-23,0,0,5
2021-01-24,1,3,0
2021-01-25,0,3,0
2021-01-26,13,7,0
2021-01-27,7,5,0
2021-01-28,13,4,0
2021-01-29,1,3,1
2021-01-30,0,0,0
2021-01-31,0,0,0
2021-02-01,11,1,0
2021-02-02,6,9,0
2021-02-03,0,7,0
2021-02-04,1,8,0
2021-02-05,8,8,0
2021-02-06,0,0,0
2021-02-07,0,0,1
2021-02-08,3,3,1
2021-02-09,1,3,0
2021-02-10,0,3,0
2021-02-11,1,8,0
2021-02-12,3,3,0
2021-02-13,0,1,0
2021-02-14,0,8,0
2021-02-15,0,26,0
2021-02-16,2,11,0
2021-02-17,3,6,0
2021-02-18,6,2,0
2021-02-19,5,2,0
2021-02-20,0,0,0
2021-02-21,0,2,0
2021-02-22,2,7,0
2021-02-23,2,5,1
2021-02-24,1,7,0
2021-02-25,8,11,0
2021-02-26,8,5,1
2021-02-27,0,0,0
2021-02-28,0,0,1
2021-03-01,2,3,0
2021-03-02,3,6,0
2021-03-03,5,3,0
2021-03-04,3,6,0
2021-03-05,3,1,0
2021-03-06,0,0,0
2021-03-07,0,0,0
2021-03-08,0,8,0
2021-03-09,3,6,0
2021-03-10,3,5,0
2021-03-11,2,4,0
2021-03-12,3,7,0
2021-03-13,0,3,0
2021-03-14,0,0,0
2021-03-15,10,16,4
2021-03-16,6,10,0
2021-03-17,3,0,0
2021-03-18,2,1,0
2021-03-19,9,0,0
2021-03-20,0,0,0
2021-03-21,0,0,0
2021-03-22,9,4,2
2021-03-23,9,1,1
2021-03-24,12,0,0
2021-03-25,4,0,0
2021-03-26,4,0,2
2021-03-27,0,0,0
2021-03-28,0,0,1
2021-03-29,6,4,1
2021-03-30,2,3,0
2021-03-31,1,2,0
2021-04-01,1,3,0
2021-04-02,0,2,0
2021-04-03,0,0,0
2021-04-04,0,0,0
2021-04-05,0,0,0
2021-04-06,0,1,2
2021-04-07,15,2,0
2021-04-08,11,5,0
2021-04-09,1,6,0
2021-04-10,0,0,0
2021-04-11,0,0,0
2021-04-12,2,10,0
2021-04-13,12,9,0
2021-04-14,0,0,0
2021-04-15,1,6,0
2021-04-16,1,4,0
2021-04-17,0,0,0
2021-04-18,0,1,0
2021-04-19,3,0,0
2021-04-20,14,7,0
2021-04-21,1,8,0
2021-04-22,5,6,0
2021-04-23,0,0,0
2021-04-24,0,0,0
2021-04-25,0,0,0
2021-04-26,3,3,0
2021-04-27,0,2,0
2021-04-28,3,7,0
2021-04-29,0,10,0
2021-04-30,2,6,0
2021-05-01,0,0,0
2021-05-02,0,0,2
2021-05-03,0,4,0
2021-05-04,1,12,2
2021-05-05,7,5,0
2021-05-06,0,1,0
2021-05-07,5,5,0
2021-05-08,6,3,0
2021-05-09,0,0,0
2021-05-10,1,7,0
2021-05-11,0,13,0
2021-05-12,1,6,0
2021-05-13,2,2,0
2021-05-14,3,2,0
2021-05-15,0,0,0
2021-05-16,1,5,0
2021-05-17,5,7,0
2021-05-18,2,4,0
2021-05-19,5,0,0
2021-05-20,5,2,0
2021-05-21,4,1,0
2021-05-22,2,0,0
2021-05-23,1,4,0
2021-05-24,14,1,0
2021-05-25,16,0,0
2021-05-26,15,8,0
2021-05-27,7,2,0
2021-05-28,0,2,0
2021-05-29,0,0,0
2021-05-30,0,2,0
2021-05-31,0,3,2
2021-06-01,8,2,0
2021-06-02,3,3,0
2021-06-03,5,0,1
2021-06-04,7,5,0
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,5,3,1
2021-06-08,12,18,0
2021-06-09,2,3,0
2021-06-10,1,0,0
2021-06-11,1,1,0
2021-06-12,0,0,0
2021-06-13,1,0,0
2021-06-14,0,1,1
2021-06-15,14,6,1
2021-06-16,6,0,0
2021-06-17,2,0,0
2021-06-18,3,0,1
2021-06-19,1,0,1
2021-06-20,0,0,1
2021-06-21,3,7,0
2021-06-22,10,5,0
2021-06-23,11,2,0
2021-06-24,4,4,0
2021-06-25,8,1,0
2021-06-26,0,0,0
2021-06-27,0,0,5
2021-06-28,2,1,0
2021-06-29,0,3,0
2021-06-30,4,7,0
2021-07-01,4,0,1
2021-07-02,2,6,0
2021-07-03,0,0,0
2021-07-04,0,0,2
2021-07-05,0,0,0
2021-07-06,2,2,0
2021-07-07,2,5,0
2021-07-08,4,1,0
2021-07-09,3,13,0
2021-07-10,0,0,0
2021-07-11,0,3,0
2021-07-12,0,12,0
2021-07-13,2,11,0
2021-07-14,0,1,0
2021-07-15,2,0,0
2021-07-16,3,1,0
2021-07-17,0,2,0
2021-07-18,0,0,0
2021-07-19,0,0,0
2021-07-20,0,0,0
2021-07-21,10,0,0
2021-07-22,4,0,0
2021-07-23,5,5,0
2021-07-24,0,1,0
2021-07-25,0,1,0
2021-07-26,9,0,0
2021-07-27,18,3,0
2021-07-28,42,2,0
2021-07-29,2,9,0
2021-07-30,1,3,0
2021-07-31,0,2,0
2021-08-01,0,0,0
2021-08-02,0,0,0
2021-08-03,4,0,0
2021-08-04,0,4,0
2021-08-05,0,0,0
2021-08-06,2,0,0
2021-08-07,2,1,0
2021-08-08,0,2,0
2021-08-09,0,1,0
2021-08-10,0,0,0
2021-08-11,0,2,0
2021-08-12,0,2,0
2021-08-13,0,0,0
2021-08-14,0,0,0
2021-08-15,0,0,0
2021-08-16,1,0,0
2021-08-17,12,2,0
2021-08-18,7,2,0
2021-08-19,4,5,0
2021-08-20,1,0,0
2021-08-21,8,0,0
2021-08-22,0,6,0
2021-08-23,6,8,0
2021-08-24,1,0,0
2021-08-25,1,2,0
2021-08-26,3,2,0
2021-08-27,1,0,0
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,1,5,0
2021-08-31,7,3,0
2021-09-01,4,1,0
2021-09-02,13,5,0
2021-09-03,3,3,0
2021-09-04,0,0,0
2021-09-05,1,0,0
2021-09-06,5,9,0
2021-09-07,2,7,0
2021-09-08,1,1,0
2021-09-09,6,3,0
2021-09-10,1,5,0
2021-09-11,0,0,0
2021-09-12,0,2,0
2021-09-13,4,12,0
2021-09-14,3,17,0
2021-09-15,4,13,0
2021-09-16,3,2,0
2021-09-17,8,16,0
2021-09-18,0,0,0
2021-09-19,0,0,0
2021-09-20,2,5,0
2021-09-21,0,21,0
2021-09-22,10,4,1
2021-09-23,9,8,2
2021-09-24,7,3,5
2021-09-25,0,1,0
2021-09-26,0,0,0
2021-09-27,13,8,0
2021-09-28,7,16,1
2021-09-29,3,5,0
2021-09-30,2,11,0
2021-10-01,1,13,0
2021-10-02,0,4,0
2021-10-03,0,2,0
2021-10-04,2,0,1
2021-10-05,0,12,0
2021-10-06,1,8,0
2021-10-07,6,5,0
2021-10-08,1,10,0
2021-10-09,0,0,0
2021-10-10,0,2,0
2021-10-11,3,9,0
2021-10-12,7,14,0
2021-10-13,1,19,0
2021-10-14,6,28,0
2021-10-15,0,0,0
2021-10-16,0,0,0
2021-10-17,0,6,0
2021-10-18,0,6,2
2021-10-19,0,9,0
2021-10-20,0,4,0
2021-10-21,1,6,0
2021-10-22,0,12,0
2021-10-23,0,7,0
2021-10-24,0,0,0
2021-10-25,0,7,0
2021-10-26,0,2,0
2021-10-27,0,2,0
2021-10-28,0,5,0
2021-10-29,1,3,0
2021-10-30,0,0,4
2021-10-31,0,0,1
2021-11-01,1,0,0
2021-11-02,1,2,1
2021-11-03,5,2,0
2021-11-04,4,2,1
2021-11-05,10,2,0
2021-11-06,6,0,1
2021-11-07,1,0,0
2021-11-08,12,2,0
2021-11-09,3,12,0
2021-11-10,1,10,3
2021-11-11,4,2,2
2021-11-12,1,0,4
2021-11-13,0,0,1
2021-11-14,0,0,0
2021-11-15,4,0,1
2021-11-16,0,2,6
2021-11-17,1,6,2
2021-11-18,14,3,0
2021-11-19,2,4,0
2021-11-20,0,0,0
2021-11-21,0,0,0
2021-11-22,2,24,0
2021-11-23,11,9,0
2021-11-24,8,16,1
2021-11-25,11,6,0
2021-11-26,2,0,0
2021-11-27,0,0,0
2021-11-28,0,4,0
2021-11-29,3,3,1
2021-11-30,0,12,0
2021-12-01,4,1,1
2021-12-02,7,20,0
2021-12-03,3,15,0
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,6,3,0
2021-12-07,3,3,0
2021-12-08,3,2,0
2021-12-09,5,6,0
2021-12-10,4,8,1
2021-12-11,0,0,0
2021-12-12,0,5,9
2021-12-13,0,11,0
2021-12-14,0,31,0
2021-12-15,2,15,1
2021-12-16,1,2,0
2021-12-17,0,0,2
2021-12-18,0,0,4
2021-12-19,0,0,2
2021-12-20,1,0,4
2021-12-21,4,14,4
2021-12-22,0,0,0
2021-12-23,1,0,0
2021-12-24,0,0,3
2021-12-25,0,0,0
2021-12-26,0,0,1
2021-12-27,0,4,0
2021-12-28,0,0,1
2021-12-29,0,9,1
2021-12-30,0,0,2
2021-12-31,6,0,0
2022-01-01,6,0,2
2022-01-02,13,0,0
2022-01-03,4,9,0
2022-01-04,1,20,2
2022-01-05,2,0,0
2022-01-06,3,2,1
2022-01-07,4,9,1
2022-01-08,1,8,0
2022-01-09,0,9,0
2022-01-10,7,9,0
2022-01-11,2,12,0
2022-01-12,8,17,0
2022-01-13,3,10,6
2022-01-14,8,2,1
2022-01-15,2,0,0
2022-01-16,0,0,0
2022-01-17,0,7,0
2022-01-18,2,4,1
2022-01-19,0,4,0
2022-01-20,4,3,0
2022-01-21,1,8,0
2022-01-22,0,3,0
2022-01-23,0,0,5
2022-01-24,4,3,0
2022-01-25,0,9,0
2022-01-26,9,11,0
2022-01-27,2,5,0
2022-01-28,0,8,0
2022-01-29,0,3,5
2022-01-30,0,4,0
2022-01-31,2,2,1
2022-02-01,2,2,0
2022-02-02,4,4,0
2022-02-03,1,11,0
2022-02-04,0,16,0
2022-02-05,0,11,0
2022-02-06,0,0,2
2022-02-07,3,2,0
2022-02-08,2,6,0
2022-02-09,0,0,1
2022-02-10,8,9,1
2022-02-11,5,11,0
2022-02-12,0,2,0
2022-02-13,1,0,2
2022-02-14,0,17,0
2022-02-15,3,16,0
2022-02-16,1,12,0
2022-02-17,1,8,0
2022-02-18,1,6,0
2022-02-19,8,10,0
2022-02-20,0,0,4
2022-02-21,4,0,2
2022-02-22,2,1,0
2022-02-23,1,0,1
2022-02-24,1,6,2
2022-02-25,2,0,0
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,2,12,0
2022-03-01,4,10,1
2022-03-02,0,3,0
2022-03-03,0,1,1
2022-03-04,0,3,1
2022-03-05,0,3,0
2022-03-06,0,2,0
2022-03-07,0,0,2
2022-03-08,4,1,0
2022-03-09,4,21,0
2022-03-10,1,8,0
2022-03-11,0,5,0
2022-03-12,0,9,0
2022-03-13,1,2,0
2022-03-14,1,3,0
2022-03-15,10,11,2
2022-03-16,2,24,0
2022-03-17,7,3,0
2022-03-18,2,6,0
2022-03-19,1,0,0
2022-03-20,0,4,0
2022-03-21,1,3,1
2022-03-22,5,7,0
2022-03-23,2,4,0
2022-03-24,5,4,0
2022-03-25,0,5,0
2022-03-26,0,0,0
2022-03-27,0,11,0
2022-03-28,0,0,3
2022-03-29,10,7,0
2022-03-30,6,0,0
2022-03-31,2,5,0
2022-04-01,3,5,0
2022-04-02,0,0,0
2022-04-03,0,0,0
2022-04-04,0,8,1
2022-04-05,3,0,0
2022-04-06,0,1,0
2022-04-07,3,4,1
2022-04-08,0,12,0
2022-04-09,0,3,0
2022-04-10,0,0,0
2022-04-11,1,7,0
2022-04-12,0,10,0
2022-04-13,0,5,0
2022-04-14,1,11,0
2022-04-15,0,1,0
2022-04-16,0,2,0
2022-04-17,0,0,0
2022-04-18,0,0,0
2022-04-19,0,0,0
2022-04-20,1,1,0
2022-04-21,3,0,0
2022-04-22,0,0,0
2022-04-23,1,0,0
2022-04-24,0,7,0
2022-04-25,1,2,0
2022-04-26,2,5,0
2022-04-27,1,9,0
2022-04-28,3,5,0
2022-04-29,2,3,0
2022-04-30,0,0,0
2022-05-01,0,0,1
2022-05-02,0,1,1
2022-05-03,0,20,0
2022-05-04,1,0,3
2022-05-05,1,45,2
2022-05-06,7,5,5
2022-05-07,0,6,0
2022-05-08,0,0,1
2022-05-09,7,16,0
2022-05-10,18,21,1
2022-05-11,1,21,0
2022-05-12,2,3,0
2022-05-13,0,1,0
2022-05-14,0,4,1
2022-05-15,0,2,3
2022-05-16,7,5,3
2022-05-17,9,6,4
2022-05-18,7,1,0
2022-05-19,4,0,1
2022-05-20,8,4,1
2022-05-21,0,3,0
2022-05-22,0,0,0
2022-05-23,2,14,3
2022-05-24,3,7,3
2022-05-25,0,4,2
2022-05-26,4,1,0
2022-05-27,1,3,0
2022-05-28,0,0,0
2022-05-29,0,0,0
2022-05-30,1,8,0
2022-05-31,13,10,0
2022-06-01,5,10,0
2022-06-02,2,4,2
2022-06-03,0,18,0
2022-06-04,0,2,0
2022-06-05,0,1,1
2022-06-06,6,2,1
2022-06-07,0,14,0
2022-06-08,5,16,1
2022-06-09,22,15,0
2022-06-10,2,4,2
2022-06-11,0,0,0
2022-06-12,1,0,0
2022-06-13,4,16,0
2022-06-14,5,31,4
2022-06-15,4,10,4
2022-06-16,10,4,0
2022-06-17,13,4,3
2022-06-18,0,0,6
2022-06-19,0,1,0
2022-06-20,7,16,1
2022-06-21,5,10,3
2022-06-22,1,0,1
2022-06-23,11,8,0
2022-06-24,0,11,0
2022-06-25,0,5,0
2022-06-26,0,0,0
2022-06-27,0,15,2
2022-06-28,4,2,0
2022-06-29,4,8,0
2022-06-30,1,18,0
2022-07-01,0,11,0
2022-07-02,0,3,0
2022-07-03,0,9,1
2022-07-04,0,11,0
2022-07-05,0,10,0
2022-07-06,0,12,0
2022-07-07,2,6,6
2022-07-08,0,7,4
2022-07-09,0,4,0
