,iterate-ch/cyberduck,aws/aws-cli,rclone/rclone
2021-06-11,4,3,11
2021-06-12,0,0,0
2021-06-13,0,0,0
2021-06-14,5,3,1
2021-06-15,2,3,0
2021-06-16,7,4,0
2021-06-17,1,3,0
2021-06-18,7,0,0
2021-06-19,0,0,0
2021-06-20,3,0,0
2021-06-21,5,3,1
2021-06-22,3,1,2
2021-06-23,3,3,0
2021-06-24,9,3,0
2021-06-25,3,3,0
2021-06-26,0,0,0
2021-06-27,0,0,0
2021-06-28,4,3,0
2021-06-29,9,0,0
2021-06-30,10,3,0
2021-07-01,13,3,0
2021-07-02,2,3,0
2021-07-03,1,0,0
2021-07-04,0,0,0
2021-07-05,3,0,11
2021-07-06,2,5,1
2021-07-07,3,3,9
2021-07-08,2,3,5
2021-07-09,2,3,0
2021-07-10,1,0,4
2021-07-11,0,0,1
2021-07-12,5,3,0
2021-07-13,0,3,0
2021-07-14,8,4,2
2021-07-15,1,4,2
2021-07-16,0,3,0
2021-07-17,1,0,0
2021-07-18,0,0,0
2021-07-19,5,4,0
2021-07-20,4,5,9
2021-07-21,2,3,0
2021-07-22,7,3,0
2021-07-23,0,3,0
2021-07-24,1,0,2
2021-07-25,2,0,1
2021-07-26,2,5,0
2021-07-27,0,3,1
2021-07-28,0,8,0
2021-07-29,1,3,1
2021-07-30,4,5,3
2021-07-31,0,0,1
2021-08-01,0,0,4
2021-08-02,0,3,0
2021-08-03,5,3,0
2021-08-04,6,5,0
2021-08-05,46,3,0
2021-08-06,3,5,0
2021-08-07,1,0,0
2021-08-08,1,0,0
2021-08-09,3,4,1
2021-08-10,1,3,4
2021-08-11,3,3,5
2021-08-12,7,5,0
2021-08-13,142,6,3
2021-08-14,0,0,4
2021-08-15,0,0,0
2021-08-16,21,3,1
2021-08-17,8,3,0
2021-08-18,13,5,0
2021-08-19,8,3,6
2021-08-20,7,4,7
2021-08-21,0,0,0
2021-08-22,9,0,0
2021-08-23,6,3,0
2021-08-24,10,3,0
2021-08-25,18,4,0
2021-08-26,2,4,0
2021-08-27,2,5,0
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,15,3,0
2021-08-31,4,5,8
2021-09-01,21,6,0
2021-09-02,22,5,1
2021-09-03,7,3,1
2021-09-04,0,0,0
2021-09-05,0,0,0
2021-09-06,11,0,2
2021-09-07,6,3,0
2021-09-08,3,3,0
2021-09-09,8,4,1
2021-09-10,4,3,0
2021-09-11,3,0,2
2021-09-12,0,0,1
2021-09-13,33,3,0
2021-09-14,1,4,0
2021-09-15,2,2,0
2021-09-16,16,4,0
2021-09-17,12,3,4
2021-09-18,1,0,1
2021-09-19,5,0,0
2021-09-20,11,0,1
2021-09-21,8,8,0
2021-09-22,19,6,0
2021-09-23,33,3,0
2021-09-24,7,3,0
2021-09-25,0,0,0
2021-09-26,0,0,0
2021-09-27,16,3,0
2021-09-28,9,6,2
2021-09-29,13,7,0
2021-09-30,20,3,7
2021-10-01,10,3,8
2021-10-02,1,1,6
2021-10-03,0,0,0
2021-10-04,8,3,0
2021-10-05,0,3,2
2021-10-06,5,3,0
2021-10-07,5,3,3
2021-10-08,0,3,3
2021-10-09,4,0,3
2021-10-10,1,0,0
2021-10-11,25,5,12
2021-10-12,12,3,2
2021-10-13,0,4,5
2021-10-14,10,3,8
2021-10-15,54,3,19
2021-10-16,0,0,3
2021-10-17,18,0,0
2021-10-18,22,3,4
2021-10-19,9,3,13
2021-10-20,23,4,22
2021-10-21,26,4,8
2021-10-22,3,4,6
2021-10-23,6,0,3
2021-10-24,3,0,0
2021-10-25,25,3,0
2021-10-26,16,3,0
2021-10-27,4,3,1
2021-10-28,3,4,1
2021-10-29,7,5,1
2021-10-30,0,0,4
2021-10-31,0,0,6
2021-11-01,4,3,24
2021-11-02,5,5,3
2021-11-03,7,5,5
2021-11-04,7,5,2
2021-11-05,5,6,4
2021-11-06,1,0,1
2021-11-07,0,0,1
2021-11-08,0,7,1
2021-11-09,6,3,9
2021-11-10,10,3,8
2021-11-11,12,3,10
2021-11-12,16,3,1
2021-11-13,0,0,0
2021-11-14,2,0,0
2021-11-15,17,3,6
2021-11-16,23,4,0
2021-11-17,7,3,3
2021-11-18,9,6,5
2021-11-19,2,4,0
2021-11-20,0,0,0
2021-11-21,34,0,3
2021-11-22,22,3,3
2021-11-23,11,4,4
2021-11-24,7,3,1
2021-11-25,5,0,3
2021-11-26,1,3,0
2021-11-27,1,0,1
2021-11-28,0,0,0
2021-11-29,8,8,0
2021-11-30,13,3,0
2021-12-01,9,3,3
2021-12-02,13,3,0
2021-12-03,18,3,1
2021-12-04,4,0,0
2021-12-05,6,0,0
2021-12-06,16,3,0
2021-12-07,8,0,0
2021-12-08,2,4,0
2021-12-09,8,4,0
2021-12-10,9,0,0
2021-12-11,0,0,0
2021-12-12,0,0,0
2021-12-13,4,3,0
2021-12-14,0,1,0
2021-12-15,4,0,0
2021-12-16,4,0,0
2021-12-17,17,0,0
2021-12-18,3,0,0
2021-12-19,0,0,0
2021-12-20,5,4,0
2021-12-21,21,3,1
2021-12-22,19,0,0
2021-12-23,16,0,0
2021-12-24,0,0,0
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,3,0,0
2021-12-28,0,0,0
2021-12-29,18,0,0
2021-12-30,6,0,3
2021-12-31,2,0,0
2022-01-01,0,0,0
2022-01-02,0,0,0
2022-01-03,1,3,1
2022-01-04,3,3,0
2022-01-05,3,3,0
2022-01-06,23,4,0
2022-01-07,6,5,0
2022-01-08,0,0,0
2022-01-09,4,0,0
2022-01-10,2,4,1
2022-01-11,10,4,0
2022-01-12,12,3,3
2022-01-13,14,3,4
2022-01-14,0,3,4
2022-01-15,2,2,0
2022-01-16,0,0,12
2022-01-17,5,0,0
2022-01-18,2,3,1
2022-01-19,7,3,0
2022-01-20,2,5,0
2022-01-21,0,3,0
2022-01-22,0,0,0
2022-01-23,0,0,0
2022-01-24,4,3,1
2022-01-25,2,4,5
2022-01-26,3,3,6
2022-01-27,6,7,15
2022-01-28,2,4,3
2022-01-29,0,0,1
2022-01-30,0,0,0
2022-01-31,7,0,0
2022-02-01,4,2,5
2022-02-02,9,4,1
2022-02-03,8,3,3
2022-02-04,9,8,1
2022-02-05,1,0,0
2022-02-06,0,0,0
2022-02-07,2,3,3
2022-02-08,1,3,3
2022-02-09,0,3,1
2022-02-10,0,4,0
2022-02-11,1,4,3
2022-02-12,0,0,0
2022-02-13,0,0,0
2022-02-14,7,4,0
2022-02-15,19,0,0
2022-02-16,6,3,0
2022-02-17,11,3,0
2022-02-18,18,4,1
2022-02-19,0,0,0
2022-02-20,0,0,0
2022-02-21,8,3,0
2022-02-22,1,3,5
2022-02-23,0,4,0
2022-02-24,4,3,0
2022-02-25,0,3,3
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,7,3,2
2022-03-01,4,4,1
2022-03-02,13,4,0
2022-03-03,20,4,7
2022-03-04,12,3,0
2022-03-05,0,0,0
2022-03-06,2,0,3
2022-03-07,6,4,1
2022-03-08,6,4,2
2022-03-09,13,3,4
2022-03-10,7,4,0
2022-03-11,11,5,0
2022-03-12,0,1,0
2022-03-13,0,0,0
2022-03-14,27,4,3
2022-03-15,34,4,0
2022-03-16,12,10,1
2022-03-17,10,1,1
2022-03-18,8,3,4
2022-03-19,0,0,0
2022-03-20,3,0,0
2022-03-21,19,4,0
2022-03-22,11,3,2
2022-03-23,16,3,0
2022-03-24,12,3,1
2022-03-25,11,3,4
2022-03-26,2,0,0
2022-03-27,1,0,0
2022-03-28,12,3,1
2022-03-29,25,4,0
2022-03-30,2,4,1
2022-03-31,8,4,3
2022-04-01,5,3,2
2022-04-02,1,0,0
2022-04-03,3,0,1
2022-04-04,9,3,9
2022-04-05,12,4,1
2022-04-06,31,3,0
2022-04-07,29,5,1
2022-04-08,15,4,0
2022-04-09,0,0,0
2022-04-10,0,0,0
2022-04-11,0,5,2
2022-04-12,1,3,3
2022-04-13,2,5,3
2022-04-14,1,7,1
2022-04-15,0,4,6
2022-04-16,0,0,0
2022-04-17,3,0,0
2022-04-18,0,0,0
2022-04-19,41,5,0
2022-04-20,21,3,0
2022-04-21,2,5,2
2022-04-22,3,5,2
2022-04-23,0,0,0
2022-04-24,2,0,0
2022-04-25,2,4,2
2022-04-26,37,3,8
2022-04-27,17,3,5
2022-04-28,8,3,4
2022-04-29,4,3,10
2022-04-30,0,0,0
2022-05-01,0,0,2
2022-05-02,0,3,1
2022-05-03,0,3,0
2022-05-04,22,3,0
2022-05-05,4,5,1
2022-05-06,10,6,0
2022-05-07,0,0,1
2022-05-08,0,0,0
2022-05-09,5,4,0
2022-05-10,5,6,0
2022-05-11,0,3,0
2022-05-12,6,5,19
2022-05-13,2,5,7
2022-05-14,0,0,0
2022-05-15,0,0,0
2022-05-16,12,4,5
2022-05-17,9,10,6
2022-05-18,8,12,1
2022-05-19,12,9,3
2022-05-20,12,7,0
2022-05-21,0,0,0
2022-05-22,0,0,0
2022-05-23,7,5,5
2022-05-24,15,9,1
2022-05-25,5,10,0
2022-05-26,0,4,0
2022-05-27,1,5,2
2022-05-28,0,0,0
2022-05-29,0,0,0
2022-05-30,2,0,2
2022-05-31,6,10,4
2022-06-01,3,7,4
2022-06-02,10,5,0
2022-06-03,8,0,0
2022-06-04,0,0,0
2022-06-05,0,0,0
2022-06-06,0,3,0
2022-06-07,13,3,1
2022-06-08,8,3,24
2022-06-09,5,5,2
2022-06-10,2,3,0
2022-06-11,1,0,0
2022-06-12,0,0,3
2022-06-13,16,3,6
2022-06-14,18,3,4
2022-06-15,6,3,0
2022-06-16,9,3,34
2022-06-17,19,4,7
2022-06-18,0,0,2
2022-06-19,0,0,3
2022-06-20,11,4,3
2022-06-21,10,4,17
2022-06-22,4,4,0
2022-06-23,18,3,2
2022-06-24,21,3,0
2022-06-25,0,1,0
2022-06-26,0,0,0
2022-06-27,12,3,2
2022-06-28,15,3,2
2022-06-29,4,4,21
2022-06-30,0,4,0
2022-07-01,1,3,0
2022-07-02,1,0,1
2022-07-03,1,0,1
2022-07-04,12,0,22
2022-07-05,9,4,0
2022-07-06,23,4,2
2022-07-07,10,3,5
2022-07-08,1,4,5
2022-07-09,0,0,5
2022-07-10,0,0,2
2022-07-11,6,4,4
2022-07-12,14,3,0
2022-07-13,2,3,4
2022-07-14,8,5,2
2022-07-15,6,3,0
2022-07-16,4,0,0
2022-07-17,2,0,3
2022-07-18,5,3,2
2022-07-19,1,6,0
2022-07-20,5,3,6
2022-07-21,0,5,0
2022-07-22,0,3,1
2022-07-23,0,0,0
2022-07-24,0,0,0
2022-07-25,0,3,2
2022-07-26,2,3,0
2022-07-27,6,3,0
2022-07-28,2,3,0
2022-07-29,1,3,1
2022-07-30,9,4,0
2022-07-31,2,0,0
2022-08-01,0,3,0
2022-08-02,6,3,0
2022-08-03,7,3,7
2022-08-04,7,4,6
2022-08-05,5,0,18
2022-08-06,0,0,2
2022-08-07,0,0,0
2022-08-08,2,3,2
2022-08-09,0,3,5
2022-08-10,8,3,0
2022-08-11,9,3,2
2022-08-12,4,3,0
2022-08-13,3,0,1
2022-08-14,0,0,0
2022-08-15,4,3,0
2022-08-16,6,7,0
2022-08-17,15,10,0
2022-08-18,7,8,1
2022-08-19,2,6,0
2022-08-20,0,0,0
2022-08-21,0,0,1
2022-08-22,2,3,1
2022-08-23,3,4,0
2022-08-24,0,5,0
2022-08-25,2,6,0
2022-08-26,5,5,0
2022-08-27,5,0,0
2022-08-28,0,0,7
2022-08-29,3,6,0
2022-08-30,4,3,5
2022-08-31,10,3,0
2022-09-01,1,3,0
2022-09-02,17,3,0
2022-09-03,0,0,0
2022-09-04,0,0,0
2022-09-05,0,0,4
2022-09-06,7,4,0
2022-09-07,0,6,0
2022-09-08,0,3,0
2022-09-09,5,3,0
2022-09-10,0,0,0
2022-09-11,0,0,0
2022-09-12,2,6,2
2022-09-13,0,3,1
2022-09-14,6,4,5
2022-09-15,12,3,3
2022-09-16,0,3,5
2022-09-17,0,0,1
2022-09-18,0,0,5
2022-09-19,0,5,2
2022-09-20,0,3,0
2022-09-21,5,4,0
2022-09-22,0,3,0
2022-09-23,1,3,0
2022-09-24,0,0,0
2022-09-25,0,0,0
2022-09-26,0,3,2
2022-09-27,0,5,0
2022-09-28,0,0,1
2022-09-29,3,3,0
2022-09-30,2,5,1
2022-10-01,0,0,0
2022-10-02,0,0,1
2022-10-03,0,3,1
2022-10-04,0,3,2
2022-10-05,0,3,4
2022-10-06,2,3,4
2022-10-07,5,3,2
2022-10-08,7,0,0
2022-10-09,0,0,0
2022-10-10,2,0,1
2022-10-11,15,0,0
2022-10-12,2,0,2
2022-10-13,14,3,4
2022-10-14,3,5,4
2022-10-15,0,0,0
2022-10-16,0,0,0
2022-10-17,11,3,2
2022-10-18,5,4,0
2022-10-19,2,3,1
2022-10-20,1,3,0
2022-10-21,37,3,10
2022-10-22,0,0,0
2022-10-23,5,0,1
2022-10-24,3,5,0
2022-10-25,0,3,3
2022-10-26,1,3,2
2022-10-27,5,3,0
2022-10-28,3,3,2
2022-10-29,0,0,0
2022-10-30,1,0,0
2022-10-31,6,5,2
2022-11-01,12,7,0
2022-11-02,1,3,1
2022-11-03,2,5,7
2022-11-04,12,3,2
2022-11-05,0,0,0
2022-11-06,0,0,0
2022-11-07,1,4,9
2022-11-08,6,6,11
2022-11-09,2,3,1
2022-11-10,20,3,10
2022-11-11,9,4,2
2022-11-12,0,0,0
2022-11-13,0,0,0
2022-11-14,11,3,8
2022-11-15,4,3,4
2022-11-16,2,4,1
2022-11-17,4,5,1
2022-11-18,7,3,1
2022-11-19,0,0,0
2022-11-20,1,0,1
2022-11-21,17,4,2
2022-11-22,5,3,0
2022-11-23,2,3,0
2022-11-24,2,0,6
2022-11-25,27,0,1
2022-11-26,0,0,0
2022-11-27,0,0,0
2022-11-28,5,4,1
2022-11-29,8,6,1
2022-11-30,14,3,0
2022-12-01,8,4,0
2022-12-02,3,5,0
2022-12-03,0,1,5
2022-12-04,0,0,0
2022-12-05,15,5,2
2022-12-06,17,3,14
2022-12-07,26,3,1
2022-12-08,4,4,0
2022-12-09,3,3,4
2022-12-10,0,0,0
2022-12-11,7,0,0
2022-12-12,17,6,13
2022-12-13,28,5,0
2022-12-14,18,3,8
2022-12-15,35,4,18
2022-12-16,15,3,1
2022-12-17,1,0,3
2022-12-18,2,0,0
2022-12-19,2,4,0
2022-12-20,18,4,3
2022-12-21,10,3,1
2022-12-22,5,3,2
2022-12-23,3,3,10
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,2
2022-12-27,0,4,0
2022-12-28,3,3,0
2022-12-29,0,3,0
2022-12-30,0,3,1
2022-12-31,0,0,0
2023-01-01,0,0,0
2023-01-02,11,0,0
2023-01-03,4,3,0
2023-01-04,12,3,0
2023-01-05,14,4,0
2023-01-06,2,5,0
2023-01-07,15,0,0
2023-01-08,1,0,0
2023-01-09,3,4,0
2023-01-10,6,3,1
2023-01-11,15,4,5
2023-01-12,2,3,1
2023-01-13,0,3,0
2023-01-14,0,1,0
2023-01-15,1,0,3
2023-01-16,1,0,7
2023-01-17,10,6,3
2023-01-18,0,3,0
2023-01-19,17,3,0
2023-01-20,1,3,4
2023-01-21,0,1,0
2023-01-22,0,0,1
2023-01-23,19,5,0
2023-01-24,12,4,4
2023-01-25,24,4,2
2023-01-26,14,3,2
2023-01-27,0,4,1
2023-01-28,0,0,0
2023-01-29,0,0,0
2023-01-30,4,3,0
2023-01-31,4,5,4
2023-02-01,20,3,6
2023-02-02,7,3,1
2023-02-03,9,4,2
2023-02-04,0,0,6
2023-02-05,0,0,0
2023-02-06,8,3,3
2023-02-07,1,3,0
2023-02-08,0,3,1
2023-02-09,4,3,0
2023-02-10,16,3,1
2023-02-11,0,0,0
2023-02-12,0,0,0
2023-02-13,20,4,1
2023-02-14,9,3,4
2023-02-15,20,5,0
2023-02-16,24,4,0
2023-02-17,15,3,0
2023-02-18,0,0,0
2023-02-19,1,0,0
2023-02-20,2,3,0
2023-02-21,3,3,2
2023-02-22,2,3,1
2023-02-23,2,3,3
2023-02-24,3,7,1
2023-02-25,0,0,0
2023-02-26,0,0,0
2023-02-27,3,4,0
2023-02-28,0,3,3
2023-03-01,0,3,8
2023-03-02,0,3,5
2023-03-03,4,3,7
2023-03-04,0,0,0
2023-03-05,2,0,0
2023-03-06,1,7,3
2023-03-07,12,4,15
2023-03-08,8,3,1
2023-03-09,5,3,5
2023-03-10,0,5,5
2023-03-11,0,0,0
2023-03-12,1,1,0
2023-03-13,12,3,1
2023-03-14,8,3,4
2023-03-15,3,3,8
2023-03-16,6,3,6
2023-03-17,5,3,19
2023-03-18,0,0,0
2023-03-19,0,0,0
2023-03-20,9,4,4
2023-03-21,16,3,4
2023-03-22,16,7,10
2023-03-23,2,5,2
2023-03-24,2,3,14
2023-03-25,1,0,4
2023-03-26,2,0,32
2023-03-27,7,3,11
2023-03-28,2,3,1
2023-03-29,4,3,2
2023-03-30,3,3,1
2023-03-31,2,3,0
2023-04-01,2,0,0
2023-04-02,5,0,0
2023-04-03,7,3,0
2023-04-04,7,6,5
2023-04-05,2,4,4
2023-04-06,4,3,1
2023-04-07,1,4,0
2023-04-08,0,0,3
2023-04-09,9,0,0
2023-04-10,0,3,2
2023-04-11,6,3,0
2023-04-12,9,3,0
2023-04-13,0,8,5
2023-04-14,1,3,0
2023-04-15,1,0,0
2023-04-16,0,0,0
2023-04-17,2,4,0
2023-04-18,6,3,7
2023-04-19,1,6,1
2023-04-20,4,4,4
2023-04-21,1,3,0
2023-04-22,0,0,1
2023-04-23,0,0,0
2023-04-24,5,5,7
2023-04-25,0,6,4
2023-04-26,0,3,0
2023-04-27,0,3,0
2023-04-28,3,3,13
2023-04-29,4,0,0
2023-04-30,1,0,4
2023-05-01,11,5,0
2023-05-02,4,3,1
2023-05-03,7,3,5
2023-05-04,1,3,7
2023-05-05,9,6,1
2023-05-06,0,0,0
2023-05-07,0,0,5
2023-05-08,6,3,1
2023-05-09,1,6,11
2023-05-10,4,3,1
2023-05-11,7,3,1
2023-05-12,3,1,1
2023-05-13,0,0,0
2023-05-14,7,0,7
2023-05-15,4,3,1
2023-05-16,11,4,0
2023-05-17,7,0,6
2023-05-18,0,3,2
2023-05-19,4,4,0
2023-05-20,0,0,0
2023-05-21,0,0,0
2023-05-22,2,6,0
2023-05-23,10,5,0
2023-05-24,2,4,0
2023-05-25,8,3,1
2023-05-26,0,4,0
2023-05-27,1,0,0
2023-05-28,0,0,0
2023-05-29,0,0,0
2023-05-30,12,3,0
2023-05-31,0,3,0
2023-06-01,4,3,0
2023-06-02,0,3,0
2023-06-03,0,0,0
2023-06-04,0,0,0
2023-06-05,3,3,0
2023-06-06,3,4,0
2023-06-07,1,3,1
2023-06-08,0,3,0
2023-06-09,0,3,1
2023-06-10,1,0,7
2023-06-11,0,0,2
2023-06-12,7,3,1
2023-06-13,6,3,3
2023-06-14,5,0,3
2023-06-15,5,3,0
2023-06-16,6,3,0
2023-06-17,0,0,0
2023-06-18,0,0,0
2023-06-19,5,3,0
2023-06-20,22,3,0
2023-06-21,1,3,1
2023-06-22,2,5,2
2023-06-23,6,3,10
2023-06-24,0,0,1
2023-06-25,1,0,2
2023-06-26,5,3,14
2023-06-27,11,3,7
2023-06-28,0,3,4
2023-06-29,1,4,1
2023-06-30,2,3,6
2023-07-01,0,0,2
2023-07-02,4,1,1
2023-07-03,3,4,5
2023-07-04,9,0,0
2023-07-05,0,5,2
2023-07-06,11,6,3
2023-07-07,14,3,4
2023-07-08,1,0,3
2023-07-09,0,0,1
2023-07-10,0,1,2
2023-07-11,0,3,0
2023-07-12,0,0,0
2023-07-13,1,3,0
2023-07-14,4,0,2
2023-07-15,1,0,0
2023-07-16,0,0,2
2023-07-17,5,7,4
2023-07-18,0,3,5
2023-07-19,1,4,0
2023-07-20,3,6,0
2023-07-21,0,4,0
2023-07-22,0,0,5
2023-07-23,0,0,1
2023-07-24,2,3,3
2023-07-25,0,3,9
2023-07-26,0,4,1
2023-07-27,0,6,2
2023-07-28,1,6,7
2023-07-29,0,0,4
2023-07-30,0,0,2
2023-07-31,1,4,0
2023-08-01,0,3,2
2023-08-02,6,3,7
2023-08-03,6,4,6
2023-08-04,26,3,1
2023-08-05,0,0,5
2023-08-06,0,0,0
2023-08-07,3,3,0
2023-08-08,6,3,0
2023-08-09,1,3,11
2023-08-10,17,3,1
2023-08-11,11,3,0
2023-08-12,0,0,13
2023-08-13,2,0,4
2023-08-14,1,5,0
2023-08-15,6,7,0
2023-08-16,7,3,1
2023-08-17,6,5,2
2023-08-18,0,3,6
2023-08-19,0,0,0
2023-08-20,1,0,0
2023-08-21,1,6,2
2023-08-22,0,4,15
2023-08-23,0,3,2
2023-08-24,10,3,17
2023-08-25,3,5,6
2023-08-26,0,0,0
2023-08-27,0,0,1
2023-08-28,91,5,0
2023-08-29,14,5,4
2023-08-30,8,3,3
2023-08-31,8,6,1
2023-09-01,5,4,7
2023-09-02,0,0,1
2023-09-03,0,0,6
2023-09-04,2,0,5
2023-09-05,9,5,10
2023-09-06,37,5,1
2023-09-07,5,4,6
2023-09-08,81,4,8
2023-09-09,0,0,5
2023-09-10,1,0,1
2023-09-11,3,3,4
2023-09-12,3,4,2
2023-09-13,1,5,8
2023-09-14,0,4,1
2023-09-15,0,3,2
2023-09-16,0,0,4
2023-09-17,0,0,0
2023-09-18,0,3,1
2023-09-19,2,4,0
2023-09-20,10,5,1
2023-09-21,0,0,2
2023-09-22,7,4,1
2023-09-23,1,0,7
2023-09-24,0,0,1
2023-09-25,33,3,2
2023-09-26,5,3,0
2023-09-27,6,4,0
2023-09-28,0,4,0
2023-09-29,14,4,2
2023-09-30,0,0,0
2023-10-01,9,0,3
2023-10-02,0,3,2
2023-10-03,0,3,8
2023-10-04,7,4,2
2023-10-05,12,3,0
2023-10-06,2,3,7
2023-10-07,0,0,0
2023-10-08,2,0,0
2023-10-09,0,0,6
2023-10-10,7,1,3
2023-10-11,16,1,3
2023-10-12,4,3,2
2023-10-13,2,0,1
2023-10-14,0,0,0
2023-10-15,0,0,0
2023-10-16,3,4,5
2023-10-17,2,4,1
2023-10-18,4,7,9
2023-10-19,0,3,2
2023-10-20,5,4,2
2023-10-21,4,0,1
2023-10-22,3,0,0
2023-10-23,14,3,5
2023-10-24,8,5,1
2023-10-25,4,3,0
2023-10-26,2,3,0
2023-10-27,6,4,1
2023-10-28,15,0,3
2023-10-29,4,0,5
2023-10-30,23,3,1
2023-10-31,5,4,1
2023-11-01,7,3,2
2023-11-02,11,5,0
2023-11-03,7,3,1
2023-11-04,2,0,0
2023-11-05,0,0,1
2023-11-06,5,7,0
2023-11-07,2,3,0
2023-11-08,3,4,0
2023-11-09,4,6,0
2023-11-10,3,3,0
2023-11-11,0,0,0
2023-11-12,0,0,0
2023-11-13,1,3,5
2023-11-14,3,5,2
2023-11-15,0,3,0
2023-11-16,0,3,12
2023-11-17,2,5,0
2023-11-18,0,1,12
2023-11-19,0,0,3
2023-11-20,2,3,15
2023-11-21,3,3,3
2023-11-22,7,3,0
2023-11-23,7,0,2
2023-11-24,1,0,18
2023-11-25,0,0,2
2023-11-26,0,0,3
2023-11-27,0,8,0
2023-11-28,0,7,2
2023-11-29,6,4,3
2023-11-30,3,6,0
2023-12-01,0,3,3
2023-12-02,0,0,3
2023-12-03,0,0,0
2023-12-04,6,3,0
2023-12-05,0,3,2
2023-12-06,0,3,0
2023-12-07,2,3,1
2023-12-08,2,3,8
2023-12-09,0,0,2
2023-12-10,0,0,3
2023-12-11,5,5,0
2023-12-12,6,6,0
2023-12-13,0,5,0
2023-12-14,4,4,0
2023-12-15,0,3,1
2023-12-16,0,0,0
2023-12-17,2,0,0
2023-12-18,1,4,1
2023-12-19,0,6,0
2023-12-20,2,4,0
2023-12-21,0,4,0
2023-12-22,0,5,0
2023-12-23,1,0,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,3,0
2023-12-27,0,4,0
2023-12-28,2,3,0
2023-12-29,4,3,0
2023-12-30,0,0,1
2023-12-31,0,0,0
2024-01-01,0,0,1
2024-01-02,1,0,1
2024-01-03,0,3,8
2024-01-04,3,3,2
2024-01-05,2,3,3
2024-01-06,0,0,0
2024-01-07,1,0,3
2024-01-08,15,4,2
2024-01-09,0,0,1
2024-01-10,3,3,0
2024-01-11,8,3,0
2024-01-12,1,3,0
2024-01-13,0,0,2
2024-01-14,0,3,0
2024-01-15,6,0,12
2024-01-16,2,3,1
2024-01-17,11,4,4
2024-01-18,0,3,1
2024-01-19,1,4,1
2024-01-20,0,0,39
2024-01-21,0,0,0
2024-01-22,0,4,1
2024-01-23,3,9,0
2024-01-24,3,4,5
2024-01-25,3,3,1
