,eslint/eslint,prettier/prettier,standard/standard
2017-06-02,4,39,0
2017-06-03,1,6,0
2017-06-04,1,4,0
2017-06-05,0,5,0
2017-06-06,0,16,0
2017-06-07,1,23,0
2017-06-08,2,9,1
2017-06-09,1,1,0
2017-06-10,1,8,0
2017-06-11,1,7,0
2017-06-12,2,8,0
2017-06-13,1,7,0
2017-06-14,0,9,0
2017-06-15,4,4,0
2017-06-16,2,2,0
2017-06-17,3,9,0
2017-06-18,3,9,0
2017-06-19,1,1,0
2017-06-20,1,3,2
2017-06-21,2,14,1
2017-06-22,2,2,6
2017-06-23,1,3,3
2017-06-24,2,11,0
2017-06-25,2,7,0
2017-06-26,5,3,3
2017-06-27,6,13,0
2017-06-28,6,27,2
2017-06-29,4,4,0
2017-06-30,0,0,0
2017-07-01,1,3,0
2017-07-02,2,5,0
2017-07-03,2,8,0
2017-07-04,7,4,1
2017-07-05,0,5,0
2017-07-06,1,3,0
2017-07-07,3,2,0
2017-07-08,2,8,0
2017-07-09,9,0,0
2017-07-10,0,5,0
2017-07-11,0,7,0
2017-07-12,2,1,0
2017-07-13,1,4,0
2017-07-14,1,1,0
2017-07-15,2,3,0
2017-07-16,6,7,0
2017-07-17,1,2,15
2017-07-18,2,1,0
2017-07-19,1,1,0
2017-07-20,0,5,0
2017-07-21,7,1,0
2017-07-22,0,0,0
2017-07-23,0,0,0
2017-07-24,3,2,0
2017-07-25,1,3,0
2017-07-26,4,3,0
2017-07-27,2,1,0
2017-07-28,2,1,0
2017-07-29,1,1,0
2017-07-30,2,1,0
2017-07-31,3,2,2
2017-08-01,6,2,0
2017-08-02,1,1,0
2017-08-03,0,1,0
2017-08-04,0,0,1
2017-08-05,8,0,1
2017-08-06,0,0,3
2017-08-07,4,1,0
2017-08-08,0,1,0
2017-08-09,1,1,1
2017-08-10,1,0,0
2017-08-11,0,1,1
2017-08-12,0,1,1
2017-08-13,0,2,0
2017-08-14,3,1,0
2017-08-15,1,3,0
2017-08-16,0,0,0
2017-08-17,0,2,0
2017-08-18,1,0,0
2017-08-19,4,2,0
2017-08-20,0,0,0
2017-08-21,2,3,0
2017-08-22,0,5,0
2017-08-23,0,1,0
2017-08-24,0,2,0
2017-08-25,0,4,2
2017-08-26,2,2,0
2017-08-27,0,1,0
2017-08-28,4,5,0
2017-08-29,2,6,0
2017-08-30,8,5,0
2017-08-31,3,1,0
2017-09-01,11,1,0
2017-09-02,0,1,0
2017-09-03,7,14,0
2017-09-04,2,2,0
2017-09-05,6,6,0
2017-09-06,3,0,0
2017-09-07,1,16,0
2017-09-08,9,28,0
2017-09-09,8,7,0
2017-09-10,6,21,0
2017-09-11,2,5,0
2017-09-12,0,4,0
2017-09-13,1,27,0
2017-09-14,2,18,0
2017-09-15,13,4,0
2017-09-16,0,3,0
2017-09-17,0,1,0
2017-09-18,4,0,0
2017-09-19,0,3,0
2017-09-20,0,1,0
2017-09-21,3,2,0
2017-09-22,1,0,0
2017-09-23,1,0,0
2017-09-24,1,0,0
2017-09-25,0,5,0
2017-09-26,0,6,0
2017-09-27,3,7,0
2017-09-28,1,5,0
2017-09-29,7,3,0
2017-09-30,0,4,0
2017-10-01,0,1,0
2017-10-02,4,8,0
2017-10-03,0,5,1
2017-10-04,0,2,0
2017-10-05,0,2,0
2017-10-06,6,5,0
2017-10-07,0,1,0
2017-10-08,0,3,0
2017-10-09,0,3,1
2017-10-10,3,0,0
2017-10-11,3,4,0
2017-10-12,3,1,0
2017-10-13,2,1,0
2017-10-14,12,4,0
2017-10-15,0,5,0
2017-10-16,7,0,0
2017-10-17,2,0,0
2017-10-18,5,7,0
2017-10-19,0,0,0
2017-10-20,3,1,0
2017-10-21,0,4,0
2017-10-22,8,5,2
2017-10-23,0,3,0
2017-10-24,1,1,0
2017-10-25,2,0,0
2017-10-26,1,1,0
2017-10-27,8,1,0
2017-10-28,3,0,0
2017-10-29,2,0,0
2017-10-30,1,0,0
2017-10-31,3,3,0
2017-11-01,6,1,0
2017-11-02,1,2,0
2017-11-03,1,1,0
2017-11-04,1,4,0
2017-11-05,2,1,0
2017-11-06,2,4,4
2017-11-07,3,26,2
2017-11-08,2,6,0
2017-11-09,2,9,0
2017-11-10,6,1,0
2017-11-11,0,6,0
2017-11-12,1,2,0
2017-11-13,0,3,1
2017-11-14,1,4,0
2017-11-15,0,0,0
2017-11-16,0,6,0
2017-11-17,0,0,0
2017-11-18,0,0,0
2017-11-19,1,1,0
2017-11-20,1,2,0
2017-11-21,0,3,0
2017-11-22,0,2,0
2017-11-23,0,2,0
2017-11-24,0,0,0
2017-11-25,0,1,0
2017-11-26,11,0,0
2017-11-27,0,7,0
2017-11-28,0,11,0
2017-11-29,0,8,0
2017-11-30,3,4,0
2017-12-01,1,3,0
2017-12-02,0,0,0
2017-12-03,0,6,0
2017-12-04,0,7,0
2017-12-05,1,16,0
2017-12-06,1,6,0
2017-12-07,0,4,1
2017-12-08,3,0,0
2017-12-09,2,1,0
2017-12-10,0,6,0
2017-12-11,4,0,0
2017-12-12,0,6,0
2017-12-13,0,10,1
2017-12-14,0,9,2
2017-12-15,1,6,0
2017-12-16,2,2,0
2017-12-17,2,3,0
2017-12-18,0,7,0
2017-12-19,2,1,0
2017-12-20,3,2,0
2017-12-21,2,0,0
2017-12-22,1,2,0
2017-12-23,6,0,0
2017-12-24,2,6,1
2017-12-25,0,4,0
2017-12-26,0,8,1
2017-12-27,1,1,0
2017-12-28,1,4,0
2017-12-29,0,7,0
2017-12-30,1,3,0
2017-12-31,1,8,0
2018-01-01,0,1,0
2018-01-02,0,3,0
2018-01-03,0,6,0
2018-01-04,4,0,0
2018-01-05,1,4,0
2018-01-06,0,1,0
2018-01-07,4,2,0
2018-01-08,3,2,0
2018-01-09,2,3,0
2018-01-10,4,10,0
2018-01-11,0,4,0
2018-01-12,0,4,0
2018-01-13,0,4,0
2018-01-14,3,0,2
2018-01-15,0,1,0
2018-01-16,0,1,0
2018-01-17,2,2,0
2018-01-18,1,2,0
2018-01-19,0,4,0
2018-01-20,6,1,0
2018-01-21,0,1,0
2018-01-22,1,2,0
2018-01-23,0,9,0
2018-01-24,0,7,0
2018-01-25,1,4,0
2018-01-26,0,4,2
2018-01-27,0,1,0
2018-01-28,0,0,0
2018-01-29,0,1,0
2018-01-30,0,3,0
2018-01-31,0,5,0
2018-02-01,1,10,0
2018-02-02,3,4,2
2018-02-03,5,2,0
2018-02-04,0,0,3
2018-02-05,1,3,0
2018-02-06,1,10,0
2018-02-07,1,6,0
2018-02-08,0,1,0
2018-02-09,1,5,0
2018-02-10,6,2,0
2018-02-11,0,3,0
2018-02-12,0,8,0
2018-02-13,0,4,0
2018-02-14,0,2,0
2018-02-15,0,2,0
2018-02-16,4,2,2
2018-02-17,0,2,0
2018-02-18,0,0,17
2018-02-19,1,3,1
2018-02-20,4,2,2
2018-02-21,0,8,0
2018-02-22,0,6,0
2018-02-23,1,1,2
2018-02-24,3,6,0
2018-02-25,0,2,0
2018-02-26,2,4,0
2018-02-27,3,7,0
2018-02-28,1,6,0
2018-03-01,0,3,0
2018-03-02,2,3,1
2018-03-03,0,1,0
2018-03-04,1,2,0
2018-03-05,0,3,0
2018-03-06,3,3,0
2018-03-07,0,2,0
2018-03-08,1,2,4
2018-03-09,1,1,0
2018-03-10,0,0,0
2018-03-11,0,0,0
2018-03-12,0,0,0
2018-03-13,0,2,1
2018-03-14,1,0,6
2018-03-15,0,2,0
2018-03-16,5,5,0
2018-03-17,0,0,0
2018-03-18,0,0,0
2018-03-19,0,2,0
2018-03-20,2,0,0
2018-03-21,2,7,0
2018-03-22,13,0,0
2018-03-23,0,0,3
2018-03-24,1,1,1
2018-03-25,0,1,0
2018-03-26,0,3,0
2018-03-27,1,1,0
2018-03-28,1,0,0
2018-03-29,1,1,0
2018-03-30,10,1,0
2018-03-31,1,1,0
2018-04-01,1,0,0
2018-04-02,0,3,2
2018-04-03,6,3,0
2018-04-04,2,3,0
2018-04-05,0,7,0
2018-04-06,1,3,0
2018-04-07,1,3,0
2018-04-08,1,2,0
2018-04-09,1,1,0
2018-04-10,1,3,0
2018-04-11,0,16,0
2018-04-12,0,11,2
2018-04-13,13,4,0
2018-04-14,0,3,0
2018-04-15,2,0,0
2018-04-16,3,0,1
2018-04-17,1,20,0
2018-04-18,0,2,2
2018-04-19,0,6,0
2018-04-20,0,5,1
2018-04-21,0,0,0
2018-04-22,0,0,0
2018-04-23,0,1,0
2018-04-24,1,6,0
2018-04-25,1,6,0
2018-04-26,0,8,0
2018-04-27,2,2,0
2018-04-28,14,2,0
2018-04-29,0,0,0
2018-04-30,1,0,1
2018-05-01,2,3,1
2018-05-02,1,2,0
2018-05-03,0,2,0
2018-05-04,1,2,0
2018-05-05,0,1,1
2018-05-06,0,3,0
2018-05-07,1,2,0
2018-05-08,0,6,0
2018-05-09,1,9,9
2018-05-10,0,4,12
2018-05-11,13,0,5
2018-05-12,0,1,0
2018-05-13,0,1,0
2018-05-14,0,9,0
2018-05-15,0,4,7
2018-05-16,0,0,1
2018-05-17,4,3,0
2018-05-18,1,6,1
2018-05-19,0,3,0
2018-05-20,1,3,0
2018-05-21,0,2,0
2018-05-22,2,2,0
2018-05-23,1,2,0
2018-05-24,0,7,0
2018-05-25,0,7,5
2018-05-26,0,1,0
2018-05-27,1,17,0
2018-05-28,13,8,0
2018-05-29,0,11,0
2018-05-30,0,5,0
2018-05-31,2,3,0
2018-06-01,1,5,0
2018-06-02,2,0,0
2018-06-03,0,0,0
2018-06-04,0,2,2
2018-06-05,0,2,0
2018-06-06,1,2,0
2018-06-07,0,1,0
2018-06-08,0,6,0
2018-06-09,11,3,0
2018-06-10,2,0,0
2018-06-11,0,2,0
2018-06-12,0,2,0
2018-06-13,1,3,0
2018-06-14,0,4,0
2018-06-15,3,4,0
2018-06-16,1,0,0
2018-06-17,0,1,0
2018-06-18,1,2,0
2018-06-19,0,0,0
2018-06-20,0,0,0
2018-06-21,0,2,0
2018-06-22,1,5,0
2018-06-23,4,2,0
2018-06-24,0,1,0
2018-06-25,1,6,0
2018-06-26,2,1,0
2018-06-27,0,2,0
2018-06-28,2,5,0
2018-06-29,0,1,0
2018-06-30,0,3,0
2018-07-01,1,4,0
2018-07-02,0,6,0
2018-07-03,2,3,0
2018-07-04,3,5,0
2018-07-05,1,1,0
2018-07-06,1,0,0
2018-07-07,1,2,1
2018-07-08,11,0,0
2018-07-09,3,0,0
2018-07-10,0,4,1
2018-07-11,3,2,0
2018-07-12,0,2,0
2018-07-13,0,0,0
2018-07-14,1,0,0
2018-07-15,0,1,0
2018-07-16,0,2,0
2018-07-17,0,3,0
2018-07-18,1,2,0
2018-07-19,0,1,0
2018-07-20,2,1,0
2018-07-21,5,0,0
2018-07-22,4,1,0
2018-07-23,1,1,0
2018-07-24,1,2,0
2018-07-25,1,0,0
2018-07-26,2,5,0
2018-07-27,4,2,0
2018-07-28,7,1,0
2018-07-29,1,8,0
2018-07-30,2,1,0
2018-07-31,1,0,0
2018-08-01,0,4,0
2018-08-02,5,1,0
2018-08-03,2,5,0
2018-08-04,3,0,0
2018-08-05,0,0,0
2018-08-06,0,0,0
2018-08-07,0,1,0
2018-08-08,0,8,0
2018-08-09,0,5,0
2018-08-10,0,0,0
2018-08-11,3,1,0
2018-08-12,1,1,0
2018-08-13,0,2,2
2018-08-14,0,0,0
2018-08-15,0,1,0
2018-08-16,0,0,0
2018-08-17,1,0,0
2018-08-18,5,0,0
2018-08-19,0,1,0
2018-08-20,0,1,0
2018-08-21,0,0,0
2018-08-22,1,1,0
2018-08-23,1,0,0
2018-08-24,0,0,0
2018-08-25,0,0,0
2018-08-26,0,0,0
2018-08-27,1,1,0
2018-08-28,0,1,15
2018-08-29,1,0,7
2018-08-30,0,0,7
2018-08-31,1,3,0
2018-09-01,5,6,0
2018-09-02,1,2,0
2018-09-03,0,2,0
2018-09-04,0,1,1
2018-09-05,2,2,0
2018-09-06,0,3,0
2018-09-07,0,3,7
2018-09-08,0,1,0
2018-09-09,0,0,0
2018-09-10,0,2,0
2018-09-11,0,1,0
2018-09-12,0,0,1
2018-09-13,0,3,0
2018-09-14,0,0,2
2018-09-15,2,3,0
2018-09-16,1,0,0
2018-09-17,1,1,0
2018-09-18,1,0,0
2018-09-19,1,10,0
2018-09-20,1,0,0
2018-09-21,1,1,0
2018-09-22,0,2,0
2018-09-23,2,1,0
2018-09-24,0,1,0
2018-09-25,1,1,0
2018-09-26,0,0,0
2018-09-27,0,2,0
2018-09-28,5,1,0
2018-09-29,0,8,0
2018-09-30,0,1,0
2018-10-01,2,0,0
2018-10-02,1,0,0
2018-10-03,0,2,0
2018-10-04,0,1,0
2018-10-05,0,5,0
2018-10-06,0,2,0
2018-10-07,1,1,0
2018-10-08,3,3,1
2018-10-09,2,0,1
2018-10-10,0,2,0
2018-10-11,0,1,0
2018-10-12,9,3,0
2018-10-13,1,2,0
2018-10-14,0,2,3
2018-10-15,0,1,0
2018-10-16,1,2,0
2018-10-17,0,3,0
2018-10-18,0,0,0
2018-10-19,3,0,0
2018-10-20,0,1,0
2018-10-21,0,1,0
2018-10-22,0,0,0
2018-10-23,2,2,0
2018-10-24,3,0,0
2018-10-25,2,4,0
2018-10-26,2,2,0
2018-10-27,0,1,0
2018-10-28,0,1,0
2018-10-29,0,1,0
2018-10-30,1,0,0
2018-10-31,0,2,0
2018-11-01,1,3,1
2018-11-02,0,0,0
2018-11-03,2,1,0
2018-11-04,0,5,0
2018-11-05,0,4,0
2018-11-06,2,6,0
2018-11-07,0,11,0
2018-11-08,1,2,0
2018-11-09,10,13,0
2018-11-10,1,13,0
2018-11-11,1,1,0
2018-11-12,0,1,0
2018-11-13,0,0,0
2018-11-14,0,5,0
2018-11-15,0,5,0
2018-11-16,0,1,0
2018-11-17,0,1,0
2018-11-18,1,1,0
2018-11-19,2,0,0
2018-11-20,1,0,0
2018-11-21,2,0,0
2018-11-22,0,0,0
2018-11-23,1,5,1
2018-11-24,0,1,0
2018-11-25,0,5,0
2018-11-26,0,3,0
2018-11-27,0,2,0
2018-11-28,2,2,0
2018-11-29,1,6,0
2018-11-30,0,4,0
2018-12-01,0,0,0
2018-12-02,2,0,0
2018-12-03,1,0,0
2018-12-04,0,0,0
2018-12-05,0,1,0
2018-12-06,2,0,0
2018-12-07,1,3,0
2018-12-08,10,1,0
2018-12-09,0,1,0
2018-12-10,0,1,0
2018-12-11,0,4,0
2018-12-12,1,1,0
2018-12-13,1,1,0
2018-12-14,0,1,0
2018-12-15,0,0,0
2018-12-16,0,1,0
2018-12-17,0,2,0
2018-12-18,0,2,0
2018-12-19,0,2,0
2018-12-20,0,0,0
2018-12-21,0,1,0
2018-12-22,7,0,0
2018-12-23,4,0,0
2018-12-24,0,0,0
2018-12-25,1,2,0
2018-12-26,0,0,0
2018-12-27,2,1,0
2018-12-28,1,3,0
2018-12-29,0,1,0
2018-12-30,0,1,0
2018-12-31,0,0,0
2019-01-01,0,1,0
2019-01-02,0,0,0
2019-01-03,0,2,0
2019-01-04,6,0,0
2019-01-05,0,2,0
2019-01-06,0,1,0
2019-01-07,0,1,0
2019-01-08,0,1,1
2019-01-09,0,1,0
2019-01-10,1,3,0
2019-01-11,0,0,0
2019-01-12,0,2,0
2019-01-13,0,0,0
2019-01-14,1,0,1
2019-01-15,0,0,0
2019-01-16,5,0,0
2019-01-17,1,0,2
2019-01-18,4,2,0
2019-01-19,0,0,0
2019-01-20,0,7,0
2019-01-21,0,4,0
2019-01-22,0,4,0
2019-01-23,0,0,0
2019-01-24,0,0,0
2019-01-25,1,0,0
2019-01-26,0,0,0
2019-01-27,0,0,0
2019-01-28,0,0,0
2019-01-29,0,1,0
2019-01-30,3,7,0
2019-01-31,0,1,0
2019-02-01,9,1,0
2019-02-02,0,0,0
2019-02-03,0,2,0
2019-02-04,0,1,0
2019-02-05,1,1,0
2019-02-06,5,2,0
2019-02-07,1,0,0
2019-02-08,1,1,0
2019-02-09,0,0,0
2019-02-10,2,0,0
2019-02-11,3,1,0
2019-02-12,5,0,0
2019-02-13,6,0,0
2019-02-14,2,0,0
2019-02-15,12,0,0
2019-02-16,0,4,0
2019-02-17,0,0,0
2019-02-18,4,0,0
2019-02-19,1,0,0
2019-02-20,0,1,0
2019-02-21,3,1,0
2019-02-22,2,1,0
2019-02-23,0,0,0
2019-02-24,0,1,0
2019-02-25,1,0,0
2019-02-26,0,2,0
2019-02-27,3,0,0
2019-02-28,2,0,0
2019-03-01,4,0,0
2019-03-02,5,0,0
2019-03-03,0,1,0
2019-03-04,0,0,0
2019-03-05,4,0,0
2019-03-06,5,2,0
2019-03-07,1,0,0
2019-03-08,1,0,0
2019-03-09,0,0,0
2019-03-10,0,1,0
2019-03-11,0,0,0
2019-03-12,1,3,0
2019-03-13,2,1,0
2019-03-14,0,0,0
2019-03-15,10,0,0
2019-03-16,0,0,0
2019-03-17,0,0,0
2019-03-18,3,0,3
2019-03-19,1,0,3
2019-03-20,0,1,1
2019-03-21,0,1,0
2019-03-22,2,0,0
2019-03-23,0,1,0
2019-03-24,0,0,0
2019-03-25,0,1,0
2019-03-26,0,0,1
2019-03-27,0,0,0
2019-03-28,1,1,0
2019-03-29,0,0,0
2019-03-30,7,0,0
2019-03-31,0,0,0
2019-04-01,6,0,1
2019-04-02,4,1,0
2019-04-03,1,0,0
2019-04-04,3,5,0
2019-04-05,1,0,0
2019-04-06,0,0,0
2019-04-07,0,0,0
2019-04-08,0,4,0
2019-04-09,3,0,0
2019-04-10,0,0,0
2019-04-11,2,0,0
2019-04-12,0,4,1
2019-04-13,10,0,0
2019-04-14,0,0,0
2019-04-15,1,2,0
2019-04-16,2,1,0
2019-04-17,0,0,0
2019-04-18,1,0,0
2019-04-19,2,0,0
2019-04-20,2,0,0
2019-04-21,0,0,0
2019-04-22,1,0,0
2019-04-23,0,0,0
2019-04-24,2,0,0
2019-04-25,4,0,0
2019-04-26,4,1,0
2019-04-27,1,0,0
2019-04-28,0,0,0
2019-04-29,0,0,0
2019-04-30,4,1,0
2019-05-01,2,0,0
2019-05-02,1,1,0
2019-05-03,0,0,0
2019-05-04,0,1,0
2019-05-05,1,0,0
2019-05-06,0,0,0
2019-05-07,4,1,0
2019-05-08,0,3,0
2019-05-09,0,0,0
2019-05-10,5,0,2
2019-05-11,10,0,0
2019-05-12,0,0,0
2019-05-13,0,10,0
2019-05-14,0,5,0
2019-05-15,0,5,0
2019-05-16,2,2,0
2019-05-17,2,2,0
2019-05-18,2,0,0
2019-05-19,0,3,0
2019-05-20,0,1,0
2019-05-21,0,0,0
2019-05-22,2,2,0
2019-05-23,3,3,0
2019-05-24,1,5,0
2019-05-25,13,1,0
2019-05-26,0,0,0
2019-05-27,2,3,0
2019-05-28,0,0,1
2019-05-29,0,0,0
2019-05-30,1,0,0
2019-05-31,1,0,0
2019-06-01,0,0,0
2019-06-02,2,1,0
2019-06-03,0,1,3
2019-06-04,0,3,0
2019-06-05,2,2,0
2019-06-06,0,4,0
2019-06-07,1,11,0
2019-06-08,5,0,0
2019-06-09,0,0,0
2019-06-10,2,2,1
2019-06-11,1,0,0
2019-06-12,0,1,0
2019-06-13,0,0,0
2019-06-14,0,2,0
2019-06-15,0,2,0
2019-06-16,0,0,0
2019-06-17,1,2,0
2019-06-18,6,2,0
2019-06-19,2,1,0
2019-06-20,1,0,1
2019-06-21,1,0,0
2019-06-22,6,0,0
2019-06-23,1,0,0
2019-06-24,1,1,0
2019-06-25,5,0,0
2019-06-26,1,0,0
2019-06-27,1,0,0
2019-06-28,0,1,0
2019-06-29,0,0,0
2019-06-30,0,0,0
2019-07-01,0,2,0
2019-07-02,0,1,0
2019-07-03,2,1,0
2019-07-04,1,0,0
2019-07-05,0,1,36
2019-07-06,2,0,6
2019-07-07,0,0,0
2019-07-08,0,1,0
2019-07-09,0,0,1
2019-07-10,0,3,6
2019-07-11,1,1,4
2019-07-12,1,0,5
2019-07-13,0,0,0
2019-07-14,1,0,0
2019-07-15,0,0,0
2019-07-16,3,0,0
2019-07-17,6,0,0
2019-07-18,1,1,1
2019-07-19,1,0,0
2019-07-20,0,1,1
2019-07-21,7,0,4
2019-07-22,0,3,0
2019-07-23,0,0,0
2019-07-24,0,0,0
2019-07-25,0,0,0
2019-07-26,0,1,0
2019-07-27,0,0,3
2019-07-28,0,1,3
2019-07-29,0,1,1
2019-07-30,0,1,0
2019-07-31,3,0,0
2019-08-01,1,1,0
2019-08-02,1,0,1
2019-08-03,1,0,2
2019-08-04,0,0,6
2019-08-05,2,0,4
2019-08-06,1,0,0
2019-08-07,0,0,0
2019-08-08,0,7,0
2019-08-09,0,1,0
2019-08-10,1,0,1
2019-08-11,0,0,3
2019-08-12,2,6,9
2019-08-13,4,0,9
2019-08-14,0,1,15
2019-08-15,0,1,13
2019-08-16,1,0,1
2019-08-17,0,0,0
2019-08-18,16,0,1
2019-08-19,2,0,10
2019-08-20,5,1,3
2019-08-21,0,1,0
2019-08-22,0,0,8
2019-08-23,2,0,0
2019-08-24,3,0,0
2019-08-25,0,0,0
2019-08-26,6,0,0
2019-08-27,0,1,6
2019-08-28,1,2,0
2019-08-29,1,1,3
2019-08-30,10,2,0
2019-08-31,2,0,0
2019-09-01,1,0,0
2019-09-02,0,0,0
2019-09-03,1,0,2
2019-09-04,2,0,3
2019-09-05,0,2,2
2019-09-06,1,0,3
2019-09-07,1,2,0
2019-09-08,1,0,0
2019-09-09,0,0,1
2019-09-10,0,0,1
2019-09-11,0,4,6
2019-09-12,2,3,0
2019-09-13,5,2,0
2019-09-14,18,1,3
2019-09-15,0,0,0
2019-09-16,0,5,0
2019-09-17,1,0,16
2019-09-18,0,0,5
2019-09-19,1,0,0
2019-09-20,3,0,0
2019-09-21,0,0,0
2019-09-22,0,0,0
2019-09-23,1,4,0
2019-09-24,0,3,0
2019-09-25,5,1,1
2019-09-26,0,0,1
2019-09-27,0,2,0
2019-09-28,1,18,0
2019-09-29,18,1,0
2019-09-30,1,14,1
2019-10-01,7,2,1
2019-10-02,0,1,0
2019-10-03,3,4,3
2019-10-04,1,0,0
2019-10-05,0,0,1
2019-10-06,0,0,2
2019-10-07,0,1,1
2019-10-08,3,3,0
2019-10-09,0,5,0
2019-10-10,1,2,0
2019-10-11,0,0,0
2019-10-12,1,1,0
2019-10-13,2,3,0
2019-10-14,0,2,1
2019-10-15,2,5,0
2019-10-16,2,5,0
2019-10-17,3,2,0
2019-10-18,2,2,0
2019-10-19,0,0,0
2019-10-20,5,2,0
2019-10-21,3,2,0
2019-10-22,2,1,0
2019-10-23,3,2,0
2019-10-24,7,2,0
2019-10-25,11,3,0
2019-10-26,0,0,0
2019-10-27,0,0,0
2019-10-28,1,1,0
2019-10-29,3,5,3
2019-10-30,0,8,0
2019-10-31,0,1,3
2019-11-01,6,5,0
2019-11-02,0,10,0
2019-11-03,0,1,0
2019-11-04,2,1,0
2019-11-05,1,4,0
2019-11-06,0,7,0
2019-11-07,1,4,0
2019-11-08,2,15,0
2019-11-09,0,14,0
2019-11-10,5,3,0
2019-11-11,0,3,0
2019-11-12,0,5,0
2019-11-13,4,7,0
2019-11-14,1,4,0
2019-11-15,6,3,0
2019-11-16,0,3,0
2019-11-17,0,6,0
2019-11-18,3,4,0
2019-11-19,0,4,0
2019-11-20,2,2,0
2019-11-21,1,2,0
2019-11-22,11,1,0
2019-11-23,0,0,0
2019-11-24,0,0,0
2019-11-25,3,0,0
2019-11-26,2,0,0
2019-11-27,1,0,0
2019-11-28,0,1,0
2019-11-29,1,0,2
2019-11-30,4,0,0
2019-12-01,0,1,0
2019-12-02,0,1,1
2019-12-03,0,0,0
2019-12-04,3,1,0
2019-12-05,0,0,0
2019-12-06,3,2,0
