,seleniumhq/selenium,puppeteer/puppeteer,gocolly/colly
2022-07-07,1,2,0
2022-07-08,0,1,0
2022-07-09,0,0,0
2022-07-10,0,0,0
2022-07-11,0,1,0
2022-07-12,4,0,0
2022-07-13,8,1,0
2022-07-14,5,0,0
2022-07-15,4,0,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,0,0,0
2022-07-19,0,0,0
2022-07-20,0,2,0
2022-07-21,0,4,0
2022-07-22,2,0,0
2022-07-23,0,0,0
2022-07-24,0,0,0
2022-07-25,0,0,0
2022-07-26,1,0,0
2022-07-27,0,0,0
2022-07-28,0,0,0
2022-07-29,0,0,0
2022-07-30,0,0,0
2022-07-31,0,0,0
2022-08-01,5,0,0
2022-08-02,2,12,0
2022-08-03,12,4,0
2022-08-04,7,2,0
2022-08-05,7,1,0
2022-08-06,0,2,0
2022-08-07,0,0,0
2022-08-08,1,2,0
2022-08-09,5,5,0
2022-08-10,5,4,0
2022-08-11,2,5,0
2022-08-12,3,1,0
2022-08-13,1,0,0
2022-08-14,5,0,0
2022-08-15,2,0,0
2022-08-16,4,5,1
2022-08-17,5,7,0
2022-08-18,3,1,0
2022-08-19,2,0,0
2022-08-20,0,0,0
2022-08-21,7,0,0
2022-08-22,7,3,0
2022-08-23,0,0,0
2022-08-24,0,2,0
2022-08-25,4,5,0
2022-08-26,5,1,0
2022-08-27,2,0,0
2022-08-28,1,0,0
2022-08-29,3,0,0
2022-08-30,6,3,0
2022-08-31,4,8,0
2022-09-01,3,5,0
2022-09-02,8,2,0
2022-09-03,4,0,0
2022-09-04,14,0,0
2022-09-05,1,3,0
2022-09-06,1,3,0
2022-09-07,4,3,0
2022-09-08,0,4,0
2022-09-09,0,2,0
2022-09-10,1,0,0
2022-09-11,9,0,0
2022-09-12,4,2,0
2022-09-13,14,2,0
2022-09-14,0,0,0
2022-09-15,4,10,0
2022-09-16,4,2,0
2022-09-17,0,0,0
2022-09-18,1,0,0
2022-09-19,1,7,0
2022-09-20,2,1,0
2022-09-21,2,2,0
2022-09-22,1,4,0
2022-09-23,1,3,0
2022-09-24,2,0,0
2022-09-25,2,0,0
2022-09-26,12,0,0
2022-09-27,3,1,0
2022-09-28,15,2,0
2022-09-29,3,1,0
2022-09-30,1,0,0
2022-10-01,10,0,0
2022-10-02,10,0,0
2022-10-03,6,0,0
2022-10-04,7,2,0
2022-10-05,11,10,0
2022-10-06,3,11,0
2022-10-07,1,0,0
2022-10-08,2,0,0
2022-10-09,5,0,0
2022-10-10,0,5,0
2022-10-11,10,3,0
2022-10-12,9,0,0
2022-10-13,6,2,0
2022-10-14,7,1,0
2022-10-15,0,0,0
2022-10-16,0,0,0
2022-10-17,4,2,0
2022-10-18,5,0,0
2022-10-19,4,4,0
2022-10-20,2,1,0
2022-10-21,4,1,0
2022-10-22,0,0,0
2022-10-23,0,0,0
2022-10-24,5,2,0
2022-10-25,2,3,0
2022-10-26,7,0,0
2022-10-27,3,2,0
2022-10-28,19,5,0
2022-10-29,3,0,0
2022-10-30,0,0,0
2022-10-31,8,0,0
2022-11-01,5,0,0
2022-11-02,7,3,0
2022-11-03,5,5,0
2022-11-04,6,0,0
2022-11-05,2,0,0
2022-11-06,1,0,0
2022-11-07,8,0,0
2022-11-08,5,1,0
2022-11-09,5,1,0
2022-11-10,0,3,0
2022-11-11,7,4,0
2022-11-12,2,0,0
2022-11-13,0,0,0
2022-11-14,0,5,0
2022-11-15,2,1,0
2022-11-16,9,0,0
2022-11-17,3,4,0
2022-11-18,0,0,0
2022-11-19,0,0,0
2022-11-20,0,0,0
2022-11-21,6,0,0
2022-11-22,10,1,0
2022-11-23,3,9,0
2022-11-24,7,5,0
2022-11-25,3,1,0
2022-11-26,20,0,0
2022-11-27,5,0,0
2022-11-28,2,1,0
2022-11-29,11,2,0
2022-11-30,10,1,0
2022-12-01,15,0,0
2022-12-02,13,0,0
2022-12-03,4,1,0
2022-12-04,1,0,0
2022-12-05,3,1,0
2022-12-06,0,2,0
2022-12-07,14,2,0
2022-12-08,1,1,0
2022-12-09,3,4,0
2022-12-10,21,0,0
2022-12-11,4,0,0
2022-12-12,13,3,0
2022-12-13,10,2,0
2022-12-14,4,1,0
2022-12-15,3,0,0
2022-12-16,4,6,0
2022-12-17,2,1,0
2022-12-18,0,0,0
2022-12-19,2,3,0
2022-12-20,9,2,0
2022-12-21,5,0,0
2022-12-22,7,0,0
2022-12-23,6,0,0
2022-12-24,5,0,0
2022-12-25,7,0,0
2022-12-26,5,0,0
2022-12-27,1,0,0
2022-12-28,3,0,0
2022-12-29,0,0,0
2022-12-30,2,0,0
2022-12-31,3,0,0
2023-01-01,3,0,0
2023-01-02,8,2,0
2023-01-03,2,0,0
2023-01-04,14,0,0
2023-01-05,1,0,1
2023-01-06,9,0,0
2023-01-07,3,0,0
2023-01-08,0,0,0
2023-01-09,3,0,0
2023-01-10,1,1,0
2023-01-11,0,9,0
2023-01-12,8,1,0
2023-01-13,8,3,0
2023-01-14,13,0,0
2023-01-15,6,0,0
2023-01-16,2,1,9
2023-01-17,0,3,0
2023-01-18,3,2,0
2023-01-19,4,4,0
2023-01-20,0,2,0
2023-01-21,1,0,0
2023-01-22,0,0,0
2023-01-23,6,5,0
2023-01-24,1,4,0
2023-01-25,2,0,0
2023-01-26,1,4,0
2023-01-27,2,2,0
2023-01-28,0,0,0
2023-01-29,0,0,0
2023-01-30,3,2,0
2023-01-31,2,2,0
2023-02-01,2,2,0
2023-02-02,9,4,0
2023-02-03,0,3,0
2023-02-04,0,0,0
2023-02-05,0,0,0
2023-02-06,1,2,0
2023-02-07,3,0,0
2023-02-08,2,0,0
2023-02-09,0,3,0
2023-02-10,0,2,0
2023-02-11,1,0,0
2023-02-12,0,0,0
2023-02-13,2,8,0
2023-02-14,2,4,0
2023-02-15,2,6,0
2023-02-16,0,0,0
2023-02-17,11,5,0
2023-02-18,0,0,0
2023-02-19,0,0,0
2023-02-20,1,5,0
2023-02-21,5,6,0
2023-02-22,6,7,0
2023-02-23,0,3,0
2023-02-24,1,1,0
2023-02-25,0,0,0
2023-02-26,0,0,0
2023-02-27,4,0,0
2023-02-28,5,2,0
2023-03-01,3,3,0
2023-03-02,1,0,0
2023-03-03,2,0,0
2023-03-04,0,0,0
2023-03-05,0,1,0
2023-03-06,6,11,0
2023-03-07,2,3,0
2023-03-08,3,2,0
2023-03-09,0,6,0
2023-03-10,7,4,0
2023-03-11,13,0,0
2023-03-12,0,0,0
2023-03-13,1,4,0
2023-03-14,0,7,0
2023-03-15,4,5,0
2023-03-16,16,4,0
2023-03-17,0,3,0
2023-03-18,1,0,0
2023-03-19,1,0,0
2023-03-20,4,2,0
2023-03-21,6,7,0
2023-03-22,3,6,0
2023-03-23,3,4,0
2023-03-24,9,5,0
2023-03-25,4,0,0
2023-03-26,2,0,0
2023-03-27,6,3,0
2023-03-28,10,8,0
2023-03-29,3,3,0
2023-03-30,0,1,0
2023-03-31,0,1,0
2023-04-01,0,0,0
2023-04-02,0,0,0
2023-04-03,3,3,0
2023-04-04,2,7,0
2023-04-05,10,5,0
2023-04-06,0,8,0
2023-04-07,1,0,0
2023-04-08,1,0,0
2023-04-09,0,0,0
2023-04-10,1,0,2
2023-04-11,1,4,0
2023-04-12,0,5,0
2023-04-13,4,1,0
2023-04-14,2,3,0
2023-04-15,4,0,0
2023-04-16,1,0,0
2023-04-17,10,1,1
2023-04-18,3,2,0
2023-04-19,7,3,0
2023-04-20,9,4,0
2023-04-21,14,4,0
2023-04-22,0,0,1
2023-04-23,1,0,0
2023-04-24,1,3,0
2023-04-25,5,7,0
2023-04-26,6,6,0
2023-04-27,2,2,0
2023-04-28,6,0,0
2023-04-29,0,0,0
2023-04-30,0,0,0
2023-05-01,3,0,0
2023-05-02,10,6,0
2023-05-03,5,2,0
2023-05-04,8,4,0
2023-05-05,8,3,0
2023-05-06,7,0,0
2023-05-07,0,0,0
2023-05-08,5,4,0
2023-05-09,2,0,0
2023-05-10,8,1,2
2023-05-11,3,4,0
2023-05-12,6,1,0
2023-05-13,0,0,0
2023-05-14,3,0,0
2023-05-15,8,7,0
2023-05-16,2,3,0
2023-05-17,7,3,1
2023-05-18,13,0,0
2023-05-19,9,1,0
2023-05-20,0,0,0
2023-05-21,0,0,0
2023-05-22,5,3,0
2023-05-23,8,6,0
2023-05-24,2,5,0
2023-05-25,3,0,0
2023-05-26,0,6,0
2023-05-27,3,0,0
2023-05-28,1,0,0
2023-05-29,6,0,0
2023-05-30,5,8,0
2023-05-31,7,5,0
2023-06-01,5,6,0
2023-06-02,5,12,0
2023-06-03,6,0,0
2023-06-04,2,0,0
2023-06-05,17,2,0
2023-06-06,13,11,0
2023-06-07,15,7,0
2023-06-08,10,0,0
2023-06-09,3,0,0
2023-06-10,0,0,0
2023-06-11,0,0,0
2023-06-12,4,5,0
2023-06-13,0,7,0
2023-06-14,2,1,0
2023-06-15,3,5,0
2023-06-16,9,3,0
2023-06-17,1,0,0
2023-06-18,1,0,0
2023-06-19,27,8,3
2023-06-20,6,3,1
2023-06-21,1,3,0
2023-06-22,0,1,0
2023-06-23,6,4,0
2023-06-24,0,0,0
2023-06-25,0,0,0
2023-06-26,0,3,0
2023-06-27,15,0,0
2023-06-28,16,7,0
2023-06-29,4,6,0
2023-06-30,0,2,0
2023-07-01,2,0,0
2023-07-02,6,0,0
2023-07-03,1,7,0
2023-07-04,3,1,0
2023-07-05,1,0,0
2023-07-06,1,2,0
2023-07-07,0,1,0
2023-07-08,0,0,0
2023-07-09,0,0,0
2023-07-10,3,2,0
2023-07-11,3,3,0
2023-07-12,12,2,0
2023-07-13,4,3,0
2023-07-14,2,1,0
2023-07-15,0,0,0
2023-07-16,1,0,0
2023-07-17,2,2,0
2023-07-18,0,11,0
2023-07-19,5,6,0
2023-07-20,2,7,0
2023-07-21,16,5,0
2023-07-22,1,0,0
2023-07-23,3,0,0
2023-07-24,27,2,0
2023-07-25,11,8,0
2023-07-26,6,2,0
2023-07-27,9,5,0
2023-07-28,3,1,0
2023-07-29,3,0,0
2023-07-30,4,0,0
2023-07-31,13,0,0
2023-08-01,23,7,0
2023-08-02,5,1,0
2023-08-03,3,4,0
2023-08-04,3,3,0
2023-08-05,8,0,0
2023-08-06,1,0,0
2023-08-07,8,5,0
2023-08-08,13,5,0
2023-08-09,10,2,0
2023-08-10,4,1,0
2023-08-11,10,1,0
2023-08-12,2,0,0
2023-08-13,0,0,0
2023-08-14,20,0,0
2023-08-15,9,0,0
2023-08-16,12,5,0
2023-08-17,0,3,0
2023-08-18,1,9,0
2023-08-19,1,0,0
2023-08-20,0,0,0
2023-08-21,2,2,0
2023-08-22,4,3,0
2023-08-23,11,3,0
2023-08-24,3,4,0
2023-08-25,2,0,0
2023-08-26,8,0,0
2023-08-27,7,0,0
2023-08-28,10,3,0
2023-08-29,11,9,0
2023-08-30,6,13,0
2023-08-31,17,5,0
2023-09-01,7,3,0
2023-09-02,3,0,0
2023-09-03,0,1,0
2023-09-04,12,2,0
2023-09-05,8,5,0
2023-09-06,3,1,0
2023-09-07,2,3,0
2023-09-08,3,1,0
2023-09-09,1,0,0
2023-09-10,1,0,0
2023-09-11,7,5,0
2023-09-12,1,3,0
2023-09-13,4,6,0
2023-09-14,1,4,0
2023-09-15,3,3,0
2023-09-16,13,3,0
2023-09-17,17,0,0
2023-09-18,6,8,0
2023-09-19,4,9,0
2023-09-20,3,8,0
2023-09-21,1,7,0
2023-09-22,3,13,0
2023-09-23,6,0,0
2023-09-24,6,0,0
2023-09-25,16,3,0
2023-09-26,16,8,0
2023-09-27,8,1,0
2023-09-28,0,2,0
2023-09-29,1,2,0
2023-09-30,4,0,0
2023-10-01,0,0,0
2023-10-02,2,0,0
2023-10-03,4,0,1
2023-10-04,5,2,0
2023-10-05,10,2,0
2023-10-06,11,6,0
2023-10-07,6,0,0
2023-10-08,3,0,0
2023-10-09,12,4,0
2023-10-10,19,2,0
2023-10-11,15,12,0
2023-10-12,7,6,0
2023-10-13,1,6,0
2023-10-14,2,0,0
2023-10-15,1,2,0
2023-10-16,9,8,2
2023-10-17,17,4,0
2023-10-18,3,0,0
2023-10-19,3,3,0
2023-10-20,2,0,1
2023-10-21,0,4,0
2023-10-22,3,0,0
2023-10-23,16,11,0
2023-10-24,4,4,0
2023-10-25,4,3,0
2023-10-26,8,0,0
2023-10-27,12,2,0
