,friendica/friendica,mastodon/mastodon,diaspora/diaspora
2017-01-13,5,4,6
2017-01-14,2,10,12
2017-01-15,7,14,17
2017-01-16,10,10,2
2017-01-17,4,6,0
2017-01-18,3,1,5
2017-01-19,6,6,0
2017-01-20,7,7,0
2017-01-21,5,16,0
2017-01-22,4,9,2
2017-01-23,0,16,5
2017-01-24,3,13,0
2017-01-25,4,13,0
2017-01-26,3,34,0
2017-01-27,17,9,0
2017-01-28,19,5,2
2017-01-29,4,11,4
2017-01-30,10,8,0
2017-01-31,6,5,4
2017-02-01,12,5,0
2017-02-02,5,13,0
2017-02-03,7,3,0
2017-02-04,4,3,0
2017-02-05,2,19,7
2017-02-06,1,9,0
2017-02-07,0,5,0
2017-02-08,10,2,4
2017-02-09,1,4,0
2017-02-10,5,16,0
2017-02-11,3,13,3
2017-02-12,0,7,12
2017-02-13,0,16,9
2017-02-14,1,7,4
2017-02-15,5,1,1
2017-02-16,6,4,3
2017-02-17,3,13,1
2017-02-18,5,1,7
2017-02-19,10,12,4
2017-02-20,1,2,0
2017-02-21,5,0,0
2017-02-22,8,5,0
2017-02-23,6,1,0
2017-02-24,10,0,0
2017-02-25,1,1,0
2017-02-26,9,13,0
2017-02-27,7,5,0
2017-02-28,6,6,0
2017-03-01,1,13,0
2017-03-02,11,6,4
2017-03-03,7,4,0
2017-03-04,9,3,80
2017-03-05,8,9,6
2017-03-06,8,2,6
2017-03-07,4,1,0
2017-03-08,3,0,0
2017-03-09,1,0,0
2017-03-10,1,0,0
2017-03-11,1,0,0
2017-03-12,21,0,4
2017-03-13,29,2,0
2017-03-14,15,1,0
2017-03-15,14,6,0
2017-03-16,9,1,2
2017-03-17,8,6,2
2017-03-18,57,1,3
2017-03-19,18,4,0
2017-03-20,17,1,0
2017-03-21,19,2,6
2017-03-22,7,12,0
2017-03-23,25,2,7
2017-03-24,15,4,3
2017-03-25,57,8,6
2017-03-26,21,13,15
2017-03-27,7,0,6
2017-03-28,5,3,5
2017-03-29,0,1,4
2017-03-30,16,6,2
2017-03-31,17,14,0
2017-04-01,14,9,0
2017-04-02,13,62,3
2017-04-03,11,57,0
2017-04-04,5,55,0
2017-04-05,20,132,2
2017-04-06,1,38,2
2017-04-07,14,45,5
2017-04-08,48,119,0
2017-04-09,8,22,0
2017-04-10,2,25,0
2017-04-11,11,31,2
2017-04-12,10,31,0
2017-04-13,15,66,0
2017-04-14,27,16,0
2017-04-15,7,50,0
2017-04-16,16,48,0
2017-04-17,9,50,0
2017-04-18,10,27,4
2017-04-19,19,34,0
2017-04-20,17,12,0
2017-04-21,17,35,0
2017-04-22,11,18,0
2017-04-23,10,31,0
2017-04-24,19,16,0
2017-04-25,9,22,0
2017-04-26,13,23,2
2017-04-27,19,25,0
2017-04-28,12,17,0
2017-04-29,15,12,0
2017-04-30,5,11,0
2017-05-01,17,8,0
2017-05-02,7,19,0
2017-05-03,21,27,7
2017-05-04,5,20,0
2017-05-05,12,15,4
2017-05-06,10,27,0
2017-05-07,34,26,0
2017-05-08,25,19,0
2017-05-09,5,13,0
2017-05-10,0,18,0
2017-05-11,4,14,3
2017-05-12,12,22,0
2017-05-13,4,8,2
2017-05-14,4,9,0
2017-05-15,7,8,2
2017-05-16,13,11,0
2017-05-17,21,10,0
2017-05-18,0,9,0
2017-05-19,6,25,0
2017-05-20,12,23,0
2017-05-21,2,7,10
2017-05-22,4,22,2
2017-05-23,14,19,0
2017-05-24,9,7,0
2017-05-25,4,23,2
2017-05-26,0,18,0
2017-05-27,3,7,0
2017-05-28,8,13,0
2017-05-29,8,37,4
2017-05-30,3,19,0
2017-05-31,8,26,0
2017-06-01,3,12,0
2017-06-02,0,6,0
2017-06-03,5,11,0
2017-06-04,11,23,0
2017-06-05,10,18,0
2017-06-06,33,14,0
2017-06-07,14,13,0
2017-06-08,15,10,0
2017-06-09,6,13,0
2017-06-10,0,5,0
2017-06-11,5,10,0
2017-06-12,8,10,0
2017-06-13,9,3,0
2017-06-14,0,11,0
2017-06-15,3,6,0
2017-06-16,6,3,0
2017-06-17,5,2,0
2017-06-18,7,7,0
2017-06-19,4,13,0
2017-06-20,3,14,0
2017-06-21,2,1,0
2017-06-22,0,7,0
2017-06-23,0,18,0
2017-06-24,2,6,0
2017-06-25,0,14,0
2017-06-26,9,7,0
2017-06-27,0,12,0
2017-06-28,8,8,0
2017-06-29,4,2,0
2017-06-30,6,11,2
2017-07-01,1,2,0
2017-07-02,6,3,12
2017-07-03,2,6,14
2017-07-04,3,6,9
2017-07-05,0,4,5
2017-07-06,7,11,3
2017-07-07,8,13,4
2017-07-08,6,9,0
2017-07-09,6,9,0
2017-07-10,6,17,0
2017-07-11,5,10,0
2017-07-12,7,7,6
2017-07-13,6,7,5
2017-07-14,2,18,3
2017-07-15,4,4,0
2017-07-16,0,6,0
2017-07-17,3,11,0
2017-07-18,0,17,2
2017-07-19,2,16,0
2017-07-20,1,2,0
2017-07-21,2,8,0
2017-07-22,4,7,58
2017-07-23,10,17,11
2017-07-24,0,21,3
2017-07-25,1,12,3
2017-07-26,1,16,2
2017-07-27,2,16,0
2017-07-28,0,27,0
2017-07-29,0,8,0
2017-07-30,0,7,9
2017-07-31,5,11,4
2017-08-01,3,7,1
2017-08-02,6,6,0
2017-08-03,7,5,3
2017-08-04,1,4,3
2017-08-05,1,4,0
2017-08-06,0,5,0
2017-08-07,0,10,4
2017-08-08,2,10,1
2017-08-09,17,1,19
2017-08-10,6,4,20
2017-08-11,8,1,6
2017-08-12,12,5,71
2017-08-13,0,0,43
2017-08-14,9,9,17
2017-08-15,7,1,0
2017-08-16,3,5,10
2017-08-17,0,6,9
2017-08-18,1,4,0
2017-08-19,2,2,17
2017-08-20,1,9,0
2017-08-21,2,7,0
2017-08-22,2,6,0
2017-08-23,7,6,4
2017-08-24,7,10,6
2017-08-25,9,9,0
2017-08-26,10,9,9
2017-08-27,7,7,0
2017-08-28,5,4,2
2017-08-29,6,4,18
2017-08-30,12,9,0
2017-08-31,2,5,10
2017-09-01,1,15,0
2017-09-02,4,21,0
2017-09-03,1,7,2
2017-09-04,5,6,2
2017-09-05,2,7,0
2017-09-06,10,11,0
2017-09-07,6,8,0
2017-09-08,9,6,0
2017-09-09,2,13,0
2017-09-10,7,10,0
2017-09-11,2,8,0
2017-09-12,4,3,0
2017-09-13,2,12,0
2017-09-14,11,19,0
2017-09-15,16,1,0
2017-09-16,6,10,0
2017-09-17,2,8,14
2017-09-18,3,9,4
2017-09-19,4,16,4
2017-09-20,6,11,0
2017-09-21,10,2,0
2017-09-22,0,11,0
2017-09-23,9,9,0
2017-09-24,21,9,0
2017-09-25,8,11,0
2017-09-26,3,2,6
2017-09-27,9,5,0
2017-09-28,6,9,44
2017-09-29,1,7,0
2017-09-30,11,12,0
2017-10-01,3,4,0
2017-10-02,4,10,0
2017-10-03,5,17,0
2017-10-04,6,13,0
2017-10-05,14,3,0
2017-10-06,2,14,0
2017-10-07,12,11,0
2017-10-08,8,13,0
2017-10-09,4,8,0
2017-10-10,7,12,0
2017-10-11,6,16,0
2017-10-12,5,11,0
2017-10-13,20,10,0
2017-10-14,2,10,0
2017-10-15,10,3,0
2017-10-16,18,19,16
2017-10-17,11,17,3
2017-10-18,25,8,0
2017-10-19,6,2,3
2017-10-20,3,0,7
2017-10-21,5,1,0
2017-10-22,3,0,0
2017-10-23,9,0,0
2017-10-24,4,0,0
2017-10-25,3,3,0
2017-10-26,2,4,0
2017-10-27,2,10,2
2017-10-28,1,2,0
2017-10-29,5,4,0
2017-10-30,2,1,0
2017-10-31,16,7,7
2017-11-01,3,4,0
2017-11-02,10,0,0
2017-11-03,6,1,0
2017-11-04,19,0,0
2017-11-05,14,4,0
2017-11-06,11,2,0
2017-11-07,21,13,0
2017-11-08,21,4,0
2017-11-09,20,7,0
2017-11-10,20,2,0
2017-11-11,10,3,0
2017-11-12,5,4,0
2017-11-13,1,3,0
2017-11-14,3,11,0
2017-11-15,9,9,0
2017-11-16,13,4,0
2017-11-17,4,9,0
2017-11-18,11,4,0
2017-11-19,42,8,0
2017-11-20,12,1,0
2017-11-21,10,3,0
2017-11-22,11,0,0
2017-11-23,9,2,0
2017-11-24,19,9,0
2017-11-25,32,7,0
2017-11-26,39,1,0
2017-11-27,13,8,0
2017-11-28,6,6,0
2017-11-29,14,3,0
2017-11-30,5,3,0
2017-12-01,17,6,0
2017-12-02,13,1,0
2017-12-03,15,4,1
2017-12-04,26,1,0
2017-12-05,23,4,0
2017-12-06,19,14,0
2017-12-07,30,9,0
2017-12-08,26,6,0
2017-12-09,13,17,0
2017-12-10,12,7,0
2017-12-11,2,4,0
2017-12-12,5,14,0
2017-12-13,26,25,0
2017-12-14,13,4,0
2017-12-15,10,4,0
2017-12-16,14,0,0
2017-12-17,35,1,0
2017-12-18,20,0,5
2017-12-19,24,0,0
2017-12-20,5,3,0
2017-12-21,9,0,0
2017-12-22,9,3,0
2017-12-23,16,1,0
2017-12-24,9,5,3
2017-12-25,9,3,4
2017-12-26,6,2,4
2017-12-27,6,3,0
2017-12-28,2,1,0
2017-12-29,9,1,0
2017-12-30,22,2,2
2017-12-31,4,1,0
2018-01-01,4,0,0
2018-01-02,25,11,0
2018-01-03,8,8,0
2018-01-04,43,15,0
2018-01-05,20,7,4
2018-01-06,4,0,0
2018-01-07,20,5,0
2018-01-08,11,6,6
2018-01-09,16,6,0
2018-01-10,42,0,0
2018-01-11,26,0,0
2018-01-12,21,1,4
2018-01-13,15,0,0
2018-01-14,24,0,0
2018-01-15,65,8,0
2018-01-16,15,5,0
2018-01-17,30,9,0
2018-01-18,29,3,0
2018-01-19,18,8,0
2018-01-20,37,7,0
2018-01-21,21,7,2
2018-01-22,32,4,0
2018-01-23,13,5,0
2018-01-24,27,7,0
2018-01-25,15,2,0
2018-01-26,2,1,0
2018-01-27,48,0,0
2018-01-28,28,2,0
2018-01-29,7,3,0
2018-01-30,9,0,0
2018-01-31,13,2,2
2018-02-01,10,2,11
2018-02-02,16,11,0
2018-02-03,42,3,2
2018-02-04,25,7,0
2018-02-05,25,1,0
2018-02-06,14,0,0
2018-02-07,12,2,0
2018-02-08,15,5,7
2018-02-09,11,2,4
2018-02-10,6,3,2
2018-02-11,7,3,0
2018-02-12,19,0,0
2018-02-13,9,1,0
2018-02-14,14,0,0
2018-02-15,9,3,0
2018-02-16,7,5,1
2018-02-17,2,3,6
2018-02-18,15,5,0
2018-02-19,1,2,0
2018-02-20,4,4,0
2018-02-21,15,8,3
2018-02-22,9,7,0
2018-02-23,2,1,0
2018-02-24,2,4,0
2018-02-25,3,1,12
2018-02-26,19,8,5
2018-02-27,12,2,0
2018-02-28,8,3,0
2018-03-01,6,9,0
2018-03-02,26,10,0
2018-03-03,28,2,1
2018-03-04,16,12,1
2018-03-05,18,10,0
2018-03-06,3,7,3
2018-03-07,25,13,0
2018-03-08,12,15,0
2018-03-09,14,8,2
2018-03-10,8,6,4
2018-03-11,18,8,1
2018-03-12,7,8,2
2018-03-13,8,14,0
2018-03-14,12,0,0
2018-03-15,8,0,0
2018-03-16,11,0,2
2018-03-17,20,12,0
2018-03-18,24,4,4
2018-03-19,31,8,0
