,highcharts/highcharts,d3/d3,plotly/plotly.js
2013-10-28,9,0,13
2013-10-29,3,0,18
2013-10-30,0,0,16
2013-10-31,7,0,11
2013-11-01,1,0,11
2013-11-02,0,0,5
2013-11-03,0,0,10
2013-11-04,2,2,16
2013-11-05,2,0,14
2013-11-06,5,0,24
2013-11-07,7,0,7
2013-11-08,12,0,9
2013-11-09,0,0,0
2013-11-10,0,0,5
2013-11-11,7,1,12
2013-11-12,5,0,13
2013-11-13,10,0,13
2013-11-14,9,0,11
2013-11-15,2,1,12
2013-11-16,0,0,0
2013-11-17,0,0,2
2013-11-18,5,5,13
2013-11-19,4,14,2
2013-11-20,7,2,9
2013-11-21,6,0,13
2013-11-22,7,0,10
2013-11-23,0,9,6
2013-11-24,0,4,12
2013-11-25,9,1,21
2013-11-26,2,0,11
2013-11-27,13,0,34
2013-11-28,5,0,12
2013-11-29,1,0,5
2013-11-30,0,1,2
2013-12-01,0,0,3
2013-12-02,6,0,22
2013-12-03,2,2,7
2013-12-04,5,4,2
2013-12-05,5,2,4
2013-12-06,1,0,5
2013-12-07,1,0,4
2013-12-08,0,0,5
2013-12-09,10,0,10
2013-12-10,2,0,11
2013-12-11,4,0,16
2013-12-12,5,1,6
2013-12-13,5,3,14
2013-12-14,0,3,3
2013-12-15,0,0,4
2013-12-16,11,4,8
2013-12-17,2,0,1
2013-12-18,2,0,3
2013-12-19,3,0,13
2013-12-20,3,0,7
2013-12-21,0,0,1
2013-12-22,0,0,0
2013-12-23,0,0,1
2013-12-24,0,0,3
2013-12-25,0,0,0
2013-12-26,0,0,0
2013-12-27,0,0,5
2013-12-28,0,0,0
2013-12-29,0,0,7
2013-12-30,0,0,14
2013-12-31,0,0,7
2014-01-01,0,0,0
2014-01-02,7,0,14
2014-01-03,4,0,6
2014-01-04,0,0,14
2014-01-05,0,0,0
2014-01-06,0,0,7
2014-01-07,4,0,7
2014-01-08,12,11,4
2014-01-09,7,12,7
2014-01-10,8,7,5
2014-01-11,0,0,0
2014-01-12,2,0,0
2014-01-13,12,1,0
2014-01-14,5,2,3
2014-01-15,17,2,5
2014-01-16,6,1,5
2014-01-17,5,0,10
2014-01-18,0,0,3
2014-01-19,0,0,2
2014-01-20,5,0,18
2014-01-21,1,2,8
2014-01-22,1,0,31
2014-01-23,1,0,14
2014-01-24,1,0,8
2014-01-25,0,0,10
2014-01-26,0,0,6
2014-01-27,5,0,5
2014-01-28,8,0,7
2014-01-29,11,0,8
2014-01-30,6,0,11
2014-01-31,3,0,12
2014-02-01,0,0,2
2014-02-02,0,0,7
2014-02-03,5,1,3
2014-02-04,3,0,19
2014-02-05,7,0,12
2014-02-06,4,0,15
2014-02-07,8,0,12
2014-02-08,0,0,5
2014-02-09,0,0,5
2014-02-10,10,0,1
2014-02-11,12,1,2
2014-02-12,4,1,6
2014-02-13,4,0,6
2014-02-14,1,0,14
2014-02-15,0,0,2
2014-02-16,0,0,0
2014-02-17,5,0,4
2014-02-18,3,4,0
2014-02-19,4,0,3
2014-02-20,5,0,8
2014-02-21,15,0,14
2014-02-22,2,0,1
2014-02-23,1,0,5
2014-02-24,6,0,12
2014-02-25,8,0,12
2014-02-26,1,0,11
2014-02-27,9,2,9
2014-02-28,14,0,11
2014-03-01,0,0,5
2014-03-02,0,0,1
2014-03-03,5,0,15
2014-03-04,10,0,4
2014-03-05,5,0,3
2014-03-06,11,0,9
2014-03-07,1,0,2
2014-03-08,1,0,2
2014-03-09,7,1,5
2014-03-10,13,0,9
2014-03-11,8,0,0
2014-03-12,8,0,9
2014-03-13,8,2,6
2014-03-14,7,0,7
2014-03-15,0,0,0
2014-03-16,1,0,0
2014-03-17,11,2,2
2014-03-18,7,0,0
2014-03-19,2,0,0
2014-03-20,4,2,1
2014-03-21,0,1,1
2014-03-22,3,2,7
2014-03-23,0,0,1
2014-03-24,8,23,0
2014-03-25,5,1,0
2014-03-26,5,0,0
2014-03-27,6,0,1
2014-03-28,9,0,3
2014-03-29,0,0,2
2014-03-30,0,0,0
2014-03-31,0,0,2
2014-04-01,5,0,1
2014-04-02,4,0,2
2014-04-03,14,0,3
2014-04-04,2,1,4
2014-04-05,0,0,0
2014-04-06,3,4,2
2014-04-07,16,0,2
2014-04-08,10,3,1
2014-04-09,7,0,0
2014-04-10,5,2,16
2014-04-11,15,1,5
2014-04-12,4,0,14
2014-04-13,2,0,2
2014-04-14,9,4,6
2014-04-15,3,0,1
2014-04-16,1,0,2
2014-04-17,0,0,8
2014-04-18,0,0,23
2014-04-19,0,0,11
2014-04-20,0,0,0
2014-04-21,0,0,16
2014-04-22,16,1,8
2014-04-23,12,0,22
2014-04-24,13,0,16
2014-04-25,6,0,15
2014-04-26,0,0,6
2014-04-27,0,0,2
2014-04-28,11,0,19
2014-04-29,4,0,9
2014-04-30,19,0,16
2014-05-01,0,0,22
2014-05-02,2,0,14
2014-05-03,1,0,0
2014-05-04,0,0,3
2014-05-05,3,0,13
2014-05-06,11,0,6
2014-05-07,10,0,17
2014-05-08,11,0,19
2014-05-09,5,0,15
2014-05-10,0,1,8
2014-05-11,0,0,0
2014-05-12,12,0,8
2014-05-13,8,1,17
2014-05-14,15,0,26
2014-05-15,9,0,11
2014-05-16,4,0,9
2014-05-17,1,0,8
2014-05-18,0,5,0
2014-05-19,10,8,0
2014-05-20,4,0,11
2014-05-21,4,0,6
2014-05-22,2,1,8
2014-05-23,1,1,13
2014-05-24,0,0,7
2014-05-25,0,0,0
2014-05-26,3,0,5
2014-05-27,5,0,7
2014-05-28,5,1,12
2014-05-29,3,0,6
2014-05-30,6,1,6
2014-05-31,0,0,2
2014-06-01,0,0,0
2014-06-02,5,0,3
2014-06-03,3,0,12
2014-06-04,5,0,9
2014-06-05,8,0,6
2014-06-06,6,1,18
2014-06-07,0,2,2
2014-06-08,0,2,1
2014-06-09,1,0,11
2014-06-10,8,0,10
2014-06-11,3,0,12
2014-06-12,13,0,22
2014-06-13,10,0,3
2014-06-14,0,0,0
2014-06-15,0,0,3
2014-06-16,3,0,4
2014-06-17,5,0,7
2014-06-18,1,0,17
2014-06-19,0,0,7
2014-06-20,0,0,4
2014-06-21,0,0,2
2014-06-22,0,0,0
2014-06-23,4,0,8
2014-06-24,3,2,2
2014-06-25,3,0,9
2014-06-26,6,0,12
2014-06-27,2,1,4
2014-06-28,0,0,9
2014-06-29,0,0,2
2014-06-30,8,7,9
2014-07-01,6,1,5
2014-07-02,0,0,6
2014-07-03,1,0,9
2014-07-04,1,0,5
2014-07-05,0,0,1
2014-07-06,0,0,0
2014-07-07,7,1,3
2014-07-08,0,0,9
2014-07-09,1,0,7
2014-07-10,1,0,6
2014-07-11,3,0,2
2014-07-12,0,5,2
2014-07-13,0,0,1
2014-07-14,0,0,4
2014-07-15,0,0,6
2014-07-16,1,0,9
2014-07-17,0,3,3
2014-07-18,0,0,5
