,microsoft/TypeScript,definitelytyped/definitelytyped,sindresorhus/type-fest
2019-08-09,37,19,0
2019-08-10,8,0,0
2019-08-11,0,1,0
2019-08-12,7,29,0
2019-08-13,7,20,0
2019-08-14,16,17,0
2019-08-15,22,27,0
2019-08-16,23,22,0
2019-08-17,4,3,0
2019-08-18,2,0,0
2019-08-19,14,65,0
2019-08-20,10,26,0
2019-08-21,7,23,0
2019-08-22,6,26,0
2019-08-23,9,25,0
2019-08-24,1,2,0
2019-08-25,0,2,0
2019-08-26,11,32,0
2019-08-27,13,17,0
2019-08-28,8,2,0
2019-08-29,7,5,0
2019-08-30,10,18,0
2019-08-31,5,0,0
2019-09-01,0,0,0
2019-09-02,4,1,0
2019-09-03,8,24,0
2019-09-04,18,26,0
2019-09-05,14,15,0
2019-09-06,7,15,0
2019-09-07,3,15,0
2019-09-08,0,0,0
2019-09-09,11,18,0
2019-09-10,8,16,1
2019-09-11,19,30,0
2019-09-12,11,4,0
2019-09-13,7,3,0
2019-09-14,3,0,3
2019-09-15,5,0,0
2019-09-16,9,24,5
2019-09-17,12,15,0
2019-09-18,13,12,0
2019-09-19,6,9,0
2019-09-20,12,1,0
2019-09-21,8,0,0
2019-09-22,0,0,1
2019-09-23,15,25,0
2019-09-24,30,77,0
2019-09-25,18,67,2
2019-09-26,13,28,0
2019-09-27,23,33,0
2019-09-28,0,1,0
2019-09-29,0,0,0
2019-09-30,17,6,0
2019-10-01,14,20,0
2019-10-02,8,51,0
2019-10-03,12,45,0
2019-10-04,16,4,0
2019-10-05,5,0,0
2019-10-06,7,0,0
2019-10-07,3,36,0
2019-10-08,3,30,2
2019-10-09,10,29,0
2019-10-10,7,26,0
2019-10-11,0,5,0
2019-10-12,1,0,0
2019-10-13,6,0,0
2019-10-14,7,47,0
2019-10-15,16,26,0
2019-10-16,29,29,0
2019-10-17,30,18,0
2019-10-18,23,14,0
2019-10-19,8,1,0
2019-10-20,0,0,0
2019-10-21,14,3,0
2019-10-22,8,83,0
2019-10-23,5,19,0
2019-10-24,6,25,0
2019-10-25,5,28,0
2019-10-26,1,4,0
2019-10-27,0,1,0
2019-10-28,6,39,0
2019-10-29,6,73,0
2019-10-30,7,32,0
2019-10-31,4,3,0
2019-11-01,2,96,0
2019-11-02,0,0,0
2019-11-03,0,1,0
2019-11-04,3,56,0
2019-11-05,4,78,0
2019-11-06,2,31,0
2019-11-07,4,45,0
2019-11-08,1,17,0
2019-11-09,1,1,0
2019-11-10,0,0,1
2019-11-11,1,35,0
2019-11-12,3,31,0
2019-11-13,2,19,0
2019-11-14,2,13,0
2019-11-15,5,38,0
2019-11-16,0,9,0
2019-11-17,0,0,0
2019-11-18,3,46,0
2019-11-19,7,36,0
2019-11-20,5,24,0
2019-11-21,8,3,0
2019-11-22,11,33,0
2019-11-23,1,7,0
2019-11-24,0,0,0
2019-11-25,3,16,0
2019-11-26,0,28,0
2019-11-27,7,32,0
2019-11-28,1,0,0
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,0,0,1
2019-12-02,5,10,0
2019-12-03,2,17,0
2019-12-04,3,14,0
2019-12-05,5,5,0
2019-12-06,4,20,0
2019-12-07,0,20,0
2019-12-08,0,1,0
2019-12-09,2,11,0
2019-12-10,4,39,0
2019-12-11,8,1,0
2019-12-12,1,1,0
2019-12-13,6,22,0
2019-12-14,0,0,0
2019-12-15,1,0,0
2019-12-16,2,28,0
2019-12-17,2,15,0
2019-12-18,13,31,0
2019-12-19,3,1,0
2019-12-20,7,37,0
2019-12-21,4,0,0
2019-12-22,2,1,0
2019-12-23,6,52,0
2019-12-24,1,1,0
2019-12-25,0,0,0
2019-12-26,0,45,0
2019-12-27,1,21,0
2019-12-28,0,1,0
2019-12-29,0,0,0
2019-12-30,1,7,0
2019-12-31,1,12,0
2020-01-01,0,0,0
2020-01-02,3,33,0
2020-01-03,11,34,0
2020-01-04,2,0,0
2020-01-05,0,0,0
2020-01-06,4,15,0
2020-01-07,10,17,0
2020-01-08,8,31,0
2020-01-09,3,22,0
2020-01-10,8,14,0
2020-01-11,0,5,0
2020-01-12,0,0,0
2020-01-13,3,19,0
2020-01-14,2,4,0
2020-01-15,5,33,0
2020-01-16,5,28,0
2020-01-17,9,36,0
2020-01-18,3,4,0
2020-01-19,0,0,0
2020-01-20,0,17,0
2020-01-21,8,33,1
2020-01-22,8,35,0
2020-01-23,9,22,0
2020-01-24,14,1,2
2020-01-25,7,19,0
2020-01-26,0,1,0
2020-01-27,6,42,0
2020-01-28,10,28,0
2020-01-29,14,24,0
2020-01-30,6,24,0
2020-01-31,15,23,3
2020-02-01,0,3,0
2020-02-02,0,1,0
2020-02-03,3,17,0
2020-02-04,3,16,0
2020-02-05,9,25,0
2020-02-06,4,32,1
2020-02-07,4,27,0
2020-02-08,0,3,0
2020-02-09,0,2,0
2020-02-10,2,43,3
2020-02-11,6,16,0
2020-02-12,9,27,0
2020-02-13,4,12,0
2020-02-14,8,31,3
2020-02-15,2,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,2,40,0
2020-02-19,8,23,0
2020-02-20,15,26,2
2020-02-21,17,15,0
2020-02-22,1,7,0
2020-02-23,0,1,0
2020-02-24,11,2,1
2020-02-25,23,76,0
2020-02-26,14,54,0
2020-02-27,24,21,0
2020-02-28,7,17,0
2020-02-29,6,0,0
2020-03-01,0,0,0
2020-03-02,12,40,0
2020-03-03,12,14,0
2020-03-04,9,16,0
2020-03-05,8,20,0
2020-03-06,6,36,0
2020-03-07,3,4,0
2020-03-08,1,0,0
2020-03-09,4,12,3
2020-03-10,9,15,1
2020-03-11,15,4,0
2020-03-12,17,22,1
2020-03-13,16,25,0
2020-03-14,2,18,0
2020-03-15,0,13,0
2020-03-16,2,2,0
2020-03-17,13,7,0
2020-03-18,7,25,0
2020-03-19,11,1,0
2020-03-20,3,43,0
2020-03-21,2,1,0
2020-03-22,2,30,0
2020-03-23,2,24,0
2020-03-24,5,7,0
2020-03-25,11,13,0
2020-03-26,5,7,0
2020-03-27,4,58,0
2020-03-28,1,4,0
2020-03-29,0,1,0
2020-03-30,10,23,0
2020-03-31,8,111,0
2020-04-01,9,30,0
2020-04-02,9,23,0
2020-04-03,7,18,0
2020-04-04,1,5,0
2020-04-05,0,0,4
2020-04-06,2,29,0
2020-04-07,7,32,0
2020-04-08,7,23,2
2020-04-09,13,17,0
2020-04-10,9,18,0
2020-04-11,2,24,0
2020-04-12,0,1,0
2020-04-13,8,41,0
2020-04-14,3,1,0
2020-04-15,9,32,0
2020-04-16,1,14,0
2020-04-17,2,41,0
2020-04-18,0,1,0
2020-04-19,3,0,0
2020-04-20,11,3,0
2020-04-21,14,3,1
2020-04-22,10,3,0
2020-04-23,4,36,0
2020-04-24,14,6,0
2020-04-25,3,0,0
2020-04-26,0,46,0
2020-04-27,4,83,0
2020-04-28,7,7,0
2020-04-29,6,4,0
2020-04-30,9,5,0
2020-05-01,0,10,0
2020-05-02,1,1,0
2020-05-03,0,3,0
2020-05-04,9,46,0
2020-05-05,5,17,0
2020-05-06,14,11,2
2020-05-07,8,10,0
2020-05-08,8,8,0
2020-05-09,1,5,0
2020-05-10,0,6,0
2020-05-11,13,23,0
2020-05-12,14,44,0
2020-05-13,2,66,0
2020-05-14,4,37,0
2020-05-15,4,35,0
2020-05-16,23,0,0
2020-05-17,1,4,0
2020-05-18,7,34,0
2020-05-19,15,90,0
2020-05-20,17,26,0
2020-05-21,15,33,2
2020-05-22,19,9,0
2020-05-23,5,4,0
2020-05-24,0,3,0
2020-05-25,7,4,0
2020-05-26,14,16,2
2020-05-27,8,46,0
2020-05-28,2,12,0
2020-05-29,39,18,0
2020-05-30,4,25,0
2020-05-31,2,2,0
2020-06-01,16,16,0
2020-06-02,6,9,0
2020-06-03,7,13,0
2020-06-04,8,39,0
2020-06-05,9,11,0
2020-06-06,0,3,0
2020-06-07,0,1,0
2020-06-08,0,15,0
2020-06-09,7,22,2
2020-06-10,7,20,0
2020-06-11,5,15,0
2020-06-12,6,30,0
2020-06-13,4,4,0
2020-06-14,0,4,0
2020-06-15,4,5,0
2020-06-16,13,26,0
2020-06-17,12,13,0
2020-06-18,11,9,0
2020-06-19,15,3,0
2020-06-20,1,2,0
2020-06-21,1,23,0
2020-06-22,8,14,0
2020-06-23,14,44,0
2020-06-24,8,59,0
2020-06-25,5,31,0
2020-06-26,13,16,0
2020-06-27,0,3,2
2020-06-28,3,7,0
2020-06-29,10,19,0
2020-06-30,13,7,0
2020-07-01,5,12,0
2020-07-02,8,5,0
2020-07-03,7,2,0
2020-07-04,3,3,0
2020-07-05,0,2,0
2020-07-06,10,69,0
2020-07-07,21,43,0
2020-07-08,19,13,0
2020-07-09,7,4,0
2020-07-10,10,51,0
2020-07-11,1,8,0
2020-07-12,0,19,0
2020-07-13,8,15,0
2020-07-14,6,14,0
2020-07-15,7,11,0
2020-07-16,5,6,0
2020-07-17,6,11,0
2020-07-18,0,21,0
2020-07-19,0,1,0
2020-07-20,1,21,0
2020-07-21,7,26,0
2020-07-22,8,17,0
2020-07-23,1,24,0
2020-07-24,3,15,0
2020-07-25,0,2,0
2020-07-26,0,3,0
2020-07-27,5,11,0
2020-07-28,3,30,0
2020-07-29,3,15,0
2020-07-30,11,12,0
2020-07-31,1,22,0
2020-08-01,1,7,0
2020-08-02,0,5,0
2020-08-03,12,7,0
2020-08-04,11,4,0
2020-08-05,8,11,0
2020-08-06,4,22,0
2020-08-07,1,4,0
2020-08-08,1,16,0
2020-08-09,0,4,0
2020-08-10,2,13,0
2020-08-11,2,13,0
2020-08-12,2,28,0
2020-08-13,5,30,0
2020-08-14,3,17,0
2020-08-15,1,4,0
2020-08-16,1,8,0
2020-08-17,5,20,0
2020-08-18,11,6,0
2020-08-19,9,19,0
2020-08-20,8,12,0
2020-08-21,8,33,1
2020-08-22,5,7,0
2020-08-23,1,19,0
2020-08-24,2,11,0
2020-08-25,6,12,0
2020-08-26,6,22,0
2020-08-27,10,29,0
2020-08-28,4,66,0
2020-08-29,4,5,0
2020-08-30,0,10,0
2020-08-31,4,25,0
2020-09-01,6,23,0
2020-09-02,3,16,0
2020-09-03,4,22,0
2020-09-04,8,5,0
2020-09-05,4,4,0
2020-09-06,0,4,0
2020-09-07,0,6,0
2020-09-08,11,62,0
2020-09-09,4,23,0
2020-09-10,13,34,0
2020-09-11,12,50,0
2020-09-12,6,5,0
2020-09-13,2,2,0
2020-09-14,12,69,0
2020-09-15,10,16,0
2020-09-16,4,26,0
2020-09-17,4,50,0
2020-09-18,3,30,0
2020-09-19,3,4,0
2020-09-20,0,2,0
2020-09-21,7,52,0
2020-09-22,10,64,0
2020-09-23,11,208,0
2020-09-24,8,26,0
2020-09-25,11,19,0
2020-09-26,6,6,0
2020-09-27,2,2,0
2020-09-28,4,13,0
2020-09-29,8,43,2
2020-09-30,5,59,2
2020-10-01,11,37,0
2020-10-02,8,13,0
2020-10-03,2,30,0
2020-10-04,0,5,0
2020-10-05,11,26,0
2020-10-06,21,10,0
2020-10-07,14,7,0
2020-10-08,5,24,0
2020-10-09,11,18,0
2020-10-10,2,10,0
2020-10-11,1,9,0
2020-10-12,9,38,0
2020-10-13,7,40,3
2020-10-14,7,6,0
2020-10-15,7,23,0
2020-10-16,0,61,0
2020-10-17,3,13,0
2020-10-18,0,4,0
2020-10-19,13,12,0
2020-10-20,3,55,0
2020-10-21,7,16,0
2020-10-22,7,17,0
2020-10-23,8,19,0
2020-10-24,3,14,0
2020-10-25,0,13,0
2020-10-26,8,21,0
2020-10-27,18,14,0
2020-10-28,13,39,0
2020-10-29,9,23,0
2020-10-30,12,23,0
2020-10-31,1,9,0
2020-11-01,1,2,0
2020-11-02,15,16,0
2020-11-03,11,24,0
2020-11-04,5,18,0
2020-11-05,3,17,0
2020-11-06,10,17,0
2020-11-07,2,19,0
2020-11-08,0,1,0
2020-11-09,3,34,0
2020-11-10,8,21,0
2020-11-11,15,18,0
2020-11-12,6,14,3
2020-11-13,1,6,0
2020-11-14,0,5,0
2020-11-15,1,7,0
2020-11-16,1,31,2
2020-11-17,1,42,0
2020-11-18,4,11,0
2020-11-19,2,24,0
2020-11-20,4,18,1
2020-11-21,2,12,0
2020-11-22,0,3,0
2020-11-23,3,27,0
2020-11-24,12,26,1
2020-11-25,5,11,5
2020-11-26,4,5,0
2020-11-27,1,1,2
2020-11-28,0,3,0
2020-11-29,0,3,0
2020-11-30,5,13,0
2020-12-01,10,21,0
2020-12-02,7,46,0
2020-12-03,8,30,1
2020-12-04,7,13,0
2020-12-05,5,4,0
2020-12-06,1,4,0
2020-12-07,4,12,1
2020-12-08,5,37,0
2020-12-09,10,13,0
2020-12-10,4,23,0
2020-12-11,5,13,0
2020-12-12,2,13,0
2020-12-13,1,5,0
2020-12-14,1,24,0
2020-12-15,5,15,0
2020-12-16,5,21,3
2020-12-17,5,3,0
2020-12-18,11,19,0
2020-12-19,2,7,0
2020-12-20,0,2,0
2020-12-21,1,10,0
2020-12-22,6,19,0
2020-12-23,2,30,0
2020-12-24,1,6,0
2020-12-25,0,4,0
2020-12-26,0,3,0
2020-12-27,0,2,0
2020-12-28,4,11,0
2020-12-29,0,12,0
2020-12-30,4,6,0
2020-12-31,1,5,1
2021-01-01,1,32,0
2021-01-02,1,5,0
2021-01-03,0,9,1
2021-01-04,13,8,0
2021-01-05,4,16,0
2021-01-06,3,18,0
2021-01-07,2,24,0
2021-01-08,6,27,0
2021-01-09,3,4,0
2021-01-10,3,11,0
2021-01-11,3,29,0
2021-01-12,6,18,0
2021-01-13,2,18,0
2021-01-14,2,34,0
2021-01-15,6,15,0
2021-01-16,3,8,0
2021-01-17,0,4,0
2021-01-18,2,25,0
2021-01-19,3,14,0
2021-01-20,7,17,0
2021-01-21,2,14,0
2021-01-22,3,14,0
2021-01-23,3,3,0
2021-01-24,0,2,0
2021-01-25,8,32,1
2021-01-26,1,22,0
2021-01-27,4,12,0
2021-01-28,3,19,0
2021-01-29,7,16,0
2021-01-30,0,6,0
2021-01-31,0,9,0
2021-02-01,2,14,0
2021-02-02,4,18,0
2021-02-03,7,15,0
2021-02-04,8,29,0
2021-02-05,6,18,0
2021-02-06,0,8,0
2021-02-07,1,7,0
2021-02-08,2,15,0
2021-02-09,4,14,0
2021-02-10,3,9,0
2021-02-11,5,11,0
2021-02-12,7,17,2
2021-02-13,2,13,0
2021-02-14,1,8,0
2021-02-15,1,11,2
2021-02-16,6,9,0
2021-02-17,3,37,0
2021-02-18,11,26,0
2021-02-19,6,25,0
2021-02-20,1,6,0
2021-02-21,1,3,0
2021-02-22,2,13,2
2021-02-23,7,8,0
2021-02-24,6,9,0
2021-02-25,8,9,0
2021-02-26,4,7,0
2021-02-27,1,6,0
2021-02-28,1,7,0
2021-03-01,7,24,0
2021-03-02,7,9,0
2021-03-03,8,9,0
2021-03-04,5,5,0
2021-03-05,6,10,0
2021-03-06,3,8,0
2021-03-07,1,73,0
2021-03-08,1,27,1
2021-03-09,5,17,0
2021-03-10,6,16,2
2021-03-11,11,13,0
2021-03-12,5,18,0
2021-03-13,3,6,0
2021-03-14,0,3,0
2021-03-15,0,41,0
2021-03-16,5,28,0
2021-03-17,0,10,0
2021-03-18,2,5,0
2021-03-19,5,11,1
2021-03-20,3,21,1
2021-03-21,1,3,1
2021-03-22,5,17,2
2021-03-23,1,13,2
2021-03-24,2,22,0
2021-03-25,6,39,0
2021-03-26,7,16,0
2021-03-27,2,6,0
2021-03-28,2,2,0
2021-03-29,4,11,0
2021-03-30,9,23,0
2021-03-31,3,16,0
2021-04-01,2,13,0
2021-04-02,2,22,0
2021-04-03,1,7,0
2021-04-04,1,3,0
2021-04-05,13,11,0
2021-04-06,7,15,0
2021-04-07,9,21,0
2021-04-08,2,24,0
2021-04-09,3,13,0
2021-04-10,1,7,0
2021-04-11,0,4,0
2021-04-12,3,12,0
