,bitcoinj/bitcoinj,libbitcoin/libbitcoin-system,bitcoin/bitcoin
2024-05-15,-0.8169267199999999,0,12
2024-05-16,-0.3343877120000002,3,34
2024-05-17,-0.2044693504000001,0,6
2024-05-18,-0.13440000000000005,0,1
2024-05-19,-0.10214400000000005,0,0
2024-05-20,-0.08171520000000004,0,5
2024-05-21,-0.06770688000000004,1,19
2024-05-22,-0.05755084799999976,5,18
2024-05-23,-0.04987740159999986,3,16
2024-05-24,0.0,7,9
2024-05-25,0.0,14,0
2024-05-26,0.0,1,0
2024-05-27,0.0,2,1
2024-05-28,0.0,7,3
2024-05-29,0.0,13,10
2024-05-30,0.0,9,16
2024-05-31,0.0,4,6
2024-06-01,6.0,5,0
2024-06-02,-1.1999999999999997,6,4
2024-06-03,-0.4800000000000004,3,11
2024-06-04,-0.2880000000000002,3,9
2024-06-05,-0.20160000000000006,1,18
2024-06-06,-0.15321600000000007,1,11
2024-06-07,-0.12257280000000007,0,19
2024-06-08,-0.10156032000000006,0,3
2024-06-09,-0.08632627199999963,2,3
2024-06-10,-0.07481610239999978,0,21
2024-06-11,0.0,0,14
2024-06-12,0.0,2,18
2024-06-13,0.0,1,17
2024-06-14,0.0,1,12
2024-06-15,0.0,0,0
2024-06-16,0.0,0,1
2024-06-17,0.0,1,12
2024-06-18,0.0,2,22
2024-06-19,0.0,0,7
2024-06-20,0.0,0,10
2024-06-21,0.0,2,18
2024-06-22,0.0,1,2
2024-06-23,1.0,0,0
2024-06-24,1.8,0,5
2024-06-25,0.52,0,7
2024-06-26,0.5919999999999999,1,20
2024-06-27,4.5904,0,17
2024-06-28,-0.22073600000000004,4,4
2024-06-29,-0.7531008000000003,4,1
2024-06-30,-0.4369203200000003,1,2
2024-07-01,0.6897940479999999,1,39
2024-07-02,-0.4398802943999999,8,21
2024-07-03,-0.2639331328,3,5
2024-07-04,-0.1799194624,2,11
2024-07-05,-0.13493463039999967,1,8
2024-07-06,-0.10227046399999978,4,5
2024-07-07,-0.03289815039999998,23,0
2024-07-08,-0.01692672000000001,13,11
2024-07-09,-0.01438771199999994,3,13
2024-07-10,-0.012469350399999964,2,7
2024-07-11,0.0,0,14
2024-07-12,2.0,0,9
2024-07-13,-0.3999999999999999,0,1
2024-07-14,0.8399999999999999,1,3
2024-07-15,0.704,8,11
2024-07-16,-0.34720000000000006,6,25
2024-07-17,-0.17907200000000012,2,11
2024-07-18,-0.12245760000000008,2,14
