,pytorch/vision,huggingface/transformers,tensorflow/models
2019-10-05,0,0,1
2019-10-06,0,2,0
2019-10-07,4,20,4
2019-10-08,4,17,2
2019-10-09,0,22,4
2019-10-10,0,26,9
2019-10-11,1,15,10
2019-10-12,1,2,3
2019-10-13,0,3,2
2019-10-14,0,13,1
2019-10-15,3,30,6
2019-10-16,9,8,5
2019-10-17,2,13,9
2019-10-18,10,3,6
2019-10-19,0,1,4
2019-10-20,0,2,1
2019-10-21,5,5,8
2019-10-22,3,11,6
2019-10-23,1,3,5
2019-10-24,1,7,6
2019-10-25,1,0,1
2019-10-26,3,0,0
2019-10-27,0,3,0
2019-10-28,2,9,7
2019-10-29,3,2,3
2019-10-30,3,22,1
2019-10-31,2,7,2
2019-11-01,0,2,7
2019-11-02,0,0,1
2019-11-03,0,1,0
2019-11-04,2,13,1
2019-11-05,2,18,3
2019-11-06,2,11,3
2019-11-07,1,2,6
2019-11-08,0,9,1
2019-11-09,0,2,0
2019-11-10,0,0,2
2019-11-11,0,5,5
2019-11-12,0,12,9
2019-11-13,1,0,5
2019-11-14,1,15,7
2019-11-15,5,2,2
2019-11-16,0,12,0
2019-11-17,0,0,0
2019-11-18,2,7,3
2019-11-19,0,9,3
2019-11-20,0,2,2
2019-11-21,1,6,10
2019-11-22,0,7,6
2019-11-23,0,3,3
2019-11-24,0,0,1
2019-11-25,3,7,4
2019-11-26,3,49,1
2019-11-27,0,31,8
2019-11-28,0,7,1
2019-11-29,0,8,1
2019-11-30,1,2,2
2019-12-01,0,2,0
2019-12-02,1,4,3
2019-12-03,0,41,3
2019-12-04,3,17,6
2019-12-05,5,23,6
2019-12-06,1,10,6
2019-12-07,0,1,0
2019-12-08,0,0,1
2019-12-09,0,14,1
2019-12-10,2,58,3
2019-12-11,1,29,1
2019-12-12,1,15,4
2019-12-13,0,25,3
2019-12-14,0,11,5
2019-12-15,0,2,2
2019-12-16,4,28,3
2019-12-17,1,18,6
2019-12-18,0,33,7
2019-12-19,6,26,7
2019-12-20,0,39,3
2019-12-21,0,45,0
2019-12-22,0,51,3
2019-12-23,0,28,0
2019-12-24,0,15,0
2019-12-25,0,25,0
2019-12-26,0,7,1
2019-12-27,0,7,0
2019-12-28,0,6,1
