,containerd/containerd,canonical/lxd,moby/moby
2024-04-12,4,11,0.0
2024-04-13,0,0,1.0
2024-04-14,2,0,0.0
2024-04-15,1,3,6.0
2024-04-16,0,16,4.0
2024-04-17,0,11,0.0
2024-04-18,4,0,1.0
2024-04-19,2,8,7.0
2024-04-20,0,2,1.0
2024-04-21,2,0,0.0
2024-04-22,8,6,3.0
2024-04-23,12,6,8.0
2024-04-24,7,20,3.0
2024-04-25,1,6,2.0
2024-04-26,3,3,20.0
2024-04-27,2,3,0.0
2024-04-28,1,6,1.0
2024-04-29,5,31,2.0
2024-04-30,17,9,2.0
2024-05-01,5,3,7.0
2024-05-02,10,43,2.0
2024-05-03,12,31,2.0
2024-05-04,3,0,0.0
2024-05-05,0,0,0.0
2024-05-06,12,9,1.0
2024-05-07,14,2,4.0
2024-05-08,7,16,4.0
2024-05-09,2,1,1.0
2024-05-10,7,2,14.0
2024-05-11,1,2,0.0
2024-05-12,0,1,0.0
2024-05-13,8,11,1.0
2024-05-14,4,2,3.0
2024-05-15,1,1,0.0
2024-05-16,2,6,4.0
2024-05-17,5,16,3.0
2024-05-18,0,1,0.0
2024-05-19,0,0,0.0
2024-05-20,1,0,0.0
2024-05-21,2,2,8.0
2024-05-22,1,8,6.0
2024-05-23,2,21,7.0
2024-05-24,0,17,6.0
2024-05-25,2,0,5.0
2024-05-26,0,0,0.0
2024-05-27,0,7,8.0
2024-05-28,6,6,7.0
2024-05-29,6,1,8.0
2024-05-30,2,4,1.0
2024-05-31,1,11,1.0
2024-06-01,0,3,1.0
2024-06-02,0,0,0.0
2024-06-03,1,77,9.0
2024-06-04,6,32,9.0
2024-06-05,7,15,8.0
2024-06-06,1,50,10.0
2024-06-07,2,9,18.0
2024-06-08,1,3,14.0
2024-06-09,0,29,4.0
2024-06-10,1,19,45.0
2024-06-11,7,3,15.0
2024-06-12,5,38,7.0
2024-06-13,9,40,28.0
2024-06-14,11,6,18.0
2024-06-15,0,17,11.0
2024-06-16,0,0,23.0
2024-06-17,7,20,34.0
2024-06-18,5,3,30.0
2024-06-19,1,30,8.0
2024-06-20,8,3,15.0
2024-06-21,2,5,6.0
2024-06-22,0,0,0.0
2024-06-23,0,0,0.0
2024-06-24,3,4,0.0
2024-06-25,3,5,1.0
2024-06-26,7,6,6.0
2024-06-27,6,17,26.0
2024-06-28,4,18,11.0
2024-06-29,2,0,1.0
2024-06-30,0,0,13.0
2024-07-01,7,19,17.0
2024-07-02,0,13,47.0
2024-07-03,2,6,8.0
2024-07-04,1,17,9.0
2024-07-05,0,9,9.0
2024-07-06,0,0,0.0
2024-07-07,1,0,0.0
2024-07-08,3,21,7.0
2024-07-09,1,5,1.0
2024-07-10,3,8,4.0
2024-07-11,4,34,6.0
2024-07-12,2,16,1.0
2024-07-13,0,0,0.0
2024-07-14,0,1,0.0
2024-07-15,4,13,8.0
2024-07-16,7,27,4.0
2024-07-17,2,36,2.0
2024-07-18,3,16,10.0
2024-07-19,6,5,9.0
2024-07-20,0,0,0.0
2024-07-21,0,8,0.0
2024-07-22,6,20,7.0
2024-07-23,6,3,6.0
2024-07-24,0,12,4.0
2024-07-25,3,19,7.0
2024-07-26,6,33,15.0
2024-07-27,0,0,0.0
2024-07-28,0,0,0.0
2024-07-29,0,11,13.0
2024-07-30,8,11,4.0
2024-07-31,3,7,10.0
2024-08-01,0,18,12.0
2024-08-02,1,19,2.0
2024-08-03,0,2,0.0
2024-08-04,0,1,0.0
2024-08-05,5,12,42.0
2024-08-06,5,16,6.0
2024-08-07,3,7,7.0
2024-08-08,2,3,6.0
2024-08-09,6,22,4.0
2024-08-10,0,3,1.0
2024-08-11,0,0,0.0
2024-08-12,0,10,5.0
2024-08-13,6,4,9.0
2024-08-14,7,5,4.0
2024-08-15,4,9,2.0
2024-08-16,6,7,4.0
2024-08-17,0,0,1.0
2024-08-18,0,0,0.0
2024-08-19,2,10,6.0
2024-08-20,1,4,3.0
2024-08-21,0,6,2.0
2024-08-22,1,12,2.0
2024-08-23,1,51,6.0
2024-08-24,0,0,1.0
2024-08-25,1,0,0.0
2024-08-26,7,3,14.0
2024-08-27,11,31,29.0
2024-08-28,3,43,2.0
2024-08-29,4,15,14.0
2024-08-30,3,26,2.0
2024-08-31,2,1,0.0
2024-09-01,0,0,0.0
2024-09-02,3,13,9.0
2024-09-03,7,33,8.0
2024-09-04,1,90,3.0
2024-09-05,4,21,1.0
2024-09-06,2,59,6.0
2024-09-07,0,4,0.0
2024-09-08,1,0,0.0
2024-09-09,0,28,13.0
2024-09-10,4,7,17.0
2024-09-11,0,20,21.0
2024-09-12,2,27,9.0
2024-09-13,0,16,2.0
2024-09-14,0,0,1.0
2024-09-15,0,0,2.0
2024-09-16,0,78,18.0
2024-09-17,1,13,19.0
2024-09-18,1,13,2.0
2024-09-19,4,31,4.0
2024-09-20,0,2,3.0
2024-09-21,1,0,0.0
2024-09-22,0,0,0.0
2024-09-23,2,15,5.0
2024-09-24,3,5,2.0
2024-09-25,0,20,0.0
2024-09-26,4,25,4.0
2024-09-27,3,16,3.0
2024-09-28,1,0,0.0
2024-09-29,0,0,0.0
2024-09-30,6,17,3.0
2024-10-01,3,11,0.0
2024-10-02,11,5,0.0
2024-10-03,4,3,1.0
2024-10-04,0,30,7.0
2024-10-05,1,0,0.0
2024-10-06,0,0,0.0
2024-10-07,5,16,8.0
2024-10-08,4,43,7.0
2024-10-09,2,12,2.0
2024-10-10,0,33,19.0
2024-10-11,6,3,11.0
2024-10-12,2,4,14.0
2024-10-13,0,0,0.0
2024-10-14,0,17,4.0
2024-10-15,4,65,27.0
2024-10-16,12,13,9.0
2024-10-17,15,20,17.0
2024-10-18,5,39,9.0
2024-10-19,1,1,1.0
2024-10-20,0,0,8.0
2024-10-21,7,23,19.0
2024-10-22,11,20,13.0
2024-10-23,10,13,13.0
2024-10-24,7,14,17.0
2024-10-25,5,18,21.0
2024-10-26,2,0,5.0
2024-10-27,0,0,11.0
2024-10-28,9,7,16.0
2024-10-29,2,2,8.0
2024-10-30,4,5,11.0
2024-10-31,2,17,5.0
2024-11-01,8,3,0.0
2024-11-02,1,0,0.0
2024-11-03,7,1,0.0
2024-11-04,3,2,1.0
2024-11-05,17,22,30.0
2024-11-06,0,8,45.0
2024-11-07,6,5,20.0
2024-11-08,3,3,2.0
2024-11-09,0,0,0.0
2024-11-10,1,0,0.0
2024-11-11,0,23,9.0
2024-11-12,7,20,60.0
2024-11-13,2,9,6.0
2024-11-14,2,2,6.0
2024-11-15,1,13,12.0
2024-11-16,1,3,0.0
2024-11-17,2,0,1.0
2024-11-18,5,20,13.0
2024-11-19,8,46,26.0
2024-11-20,3,11,2.0
2024-11-21,0,22,8.0
2024-11-22,1,15,17.0
2024-11-23,1,0,0.0
2024-11-24,0,0,0.0
2024-11-25,4,9,21.0
2024-11-26,5,20,8.0
2024-11-27,4,31,11.0
2024-11-28,2,16,23.0
2024-11-29,2,22,6.0
2024-11-30,0,11,4.0
2024-12-01,0,2,0.0
2024-12-02,2,14,11.0
2024-12-03,2,7,7.0
2024-12-04,3,18,20.0
2024-12-05,3,17,0.0
2024-12-06,3,6,7.0
2024-12-07,0,15,1.0
2024-12-08,0,0,6.0
2024-12-09,3,51,11.0
2024-12-10,2,29,9.0
2024-12-11,19,31,16.0
2024-12-12,4,12,12.0
2024-12-13,3,24,3.0
2024-12-14,0,2,5.0
2024-12-15,0,0,0.0
2024-12-16,2,24,24.0
2024-12-17,1,33,25.0
2024-12-18,5,28,8.0
2024-12-19,5,52,32.0
2024-12-20,4,32,5.0
2024-12-21,1,0,9.0
2024-12-22,0,0,0.0
2024-12-23,0,0,2.0
2024-12-24,6,0,3.0
2024-12-25,2,0,1.0
2024-12-26,1,0,0.0
2024-12-27,0,0,0.0
2024-12-28,0,0,3.0
2024-12-29,0,0,0.0
2024-12-30,1,0,2.0
2024-12-31,0,0,2.0
2025-01-01,0,0,13.0
2025-01-02,5,0,39.0
2025-01-03,1,0,18.0
2025-01-04,2,0,1.0
