,NativeScript/NativeScript,flutter/flutter,ionic-team/ionic-framework
2023-07-30,0,5,0
2023-07-31,0,19,6
2023-08-01,0,16,5
2023-08-02,1,21,5
2023-08-03,3,15,0
2023-08-04,0,21,5
2023-08-05,0,12,0
2023-08-06,0,4,0
2023-08-07,0,18,0
2023-08-08,0,25,0
2023-08-09,0,20,7
2023-08-10,0,34,7
2023-08-11,2,16,0
2023-08-12,0,7,0
2023-08-13,0,5,0
2023-08-14,0,22,3
2023-08-15,0,24,3
2023-08-16,0,24,8
2023-08-17,0,22,1
2023-08-18,0,16,4
2023-08-19,0,2,0
2023-08-20,0,1,0
2023-08-21,0,20,0
2023-08-22,0,28,4
2023-08-23,0,20,5
2023-08-24,0,14,1
2023-08-25,2,23,4
2023-08-26,0,5,0
2023-08-27,1,4,0
2023-08-28,0,24,1
2023-08-29,0,28,3
2023-08-30,0,25,11
2023-08-31,0,42,6
2023-09-01,0,23,8
2023-09-02,1,6,0
2023-09-03,0,3,0
2023-09-04,0,0,0
2023-09-05,0,17,2
2023-09-06,1,23,6
2023-09-07,1,27,2
2023-09-08,0,30,0
2023-09-09,1,12,0
2023-09-10,0,7,0
2023-09-11,0,17,3
2023-09-12,0,30,0
2023-09-13,0,29,10
2023-09-14,1,19,5
2023-09-15,0,11,0
2023-09-16,0,13,0
2023-09-17,0,3,0
2023-09-18,0,23,2
2023-09-19,0,10,5
2023-09-20,0,39,7
2023-09-21,0,23,2
2023-09-22,0,29,3
2023-09-23,0,9,0
2023-09-24,0,12,0
2023-09-25,0,16,0
2023-09-26,0,13,2
2023-09-27,0,12,3
2023-09-28,5,29,6
2023-09-29,2,21,0
2023-09-30,0,15,0
2023-10-01,0,7,0
2023-10-02,1,18,0
2023-10-03,1,20,1
2023-10-04,1,16,9
2023-10-05,0,15,1
2023-10-06,0,15,0
2023-10-07,0,11,0
2023-10-08,0,5,0
2023-10-09,5,24,9
2023-10-10,2,25,5
2023-10-11,0,33,9
2023-10-12,0,22,4
2023-10-13,0,25,1
2023-10-14,3,13,0
2023-10-15,0,9,0
2023-10-16,1,22,0
2023-10-17,0,29,3
2023-10-18,0,32,11
2023-10-19,0,19,4
2023-10-20,0,23,1
2023-10-21,0,7,0
2023-10-22,0,6,0
2023-10-23,1,28,6
2023-10-24,3,23,1
2023-10-25,0,16,10
2023-10-26,0,41,1
2023-10-27,0,26,4
2023-10-28,0,9,0
2023-10-29,0,1,0
2023-10-30,0,5,2
2023-10-31,0,23,2
2023-11-01,0,17,5
2023-11-02,4,36,7
2023-11-03,0,29,1
2023-11-04,0,8,0
2023-11-05,0,3,0
2023-11-06,0,17,3
2023-11-07,0,23,2
2023-11-08,0,18,7
2023-11-09,0,16,6
2023-11-10,0,26,3
2023-11-11,0,5,0
2023-11-12,0,1,0
2023-11-13,0,12,6
2023-11-14,0,19,1
2023-11-15,0,22,9
2023-11-16,0,21,4
2023-11-17,0,8,2
2023-11-18,0,7,0
2023-11-19,1,4,0
2023-11-20,0,17,3
2023-11-21,0,18,4
2023-11-22,2,14,2
2023-11-23,0,7,0
2023-11-24,1,5,0
2023-11-25,7,1,0
2023-11-26,0,1,0
2023-11-27,0,23,4
2023-11-28,0,33,2
2023-11-29,0,28,10
2023-11-30,0,9,2
2023-12-01,0,14,5
2023-12-02,0,10,0
2023-12-03,0,4,0
2023-12-04,0,17,2
2023-12-05,0,23,7
2023-12-06,0,20,8
2023-12-07,0,18,2
2023-12-08,0,17,1
2023-12-09,0,6,0
2023-12-10,0,1,0
2023-12-11,0,20,4
2023-12-12,0,22,4
2023-12-13,0,10,9
2023-12-14,0,29,0
2023-12-15,0,26,0
2023-12-16,0,12,0
2023-12-17,2,2,0
2023-12-18,0,13,4
2023-12-19,1,16,6
2023-12-20,2,18,7
2023-12-21,0,14,3
2023-12-22,2,10,0
2023-12-23,0,2,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,3,0
2023-12-27,0,9,2
2023-12-28,0,3,1
2023-12-29,0,7,0
2023-12-30,0,0,0
2023-12-31,0,0,0
2024-01-01,0,0,0
2024-01-02,0,13,0
2024-01-03,2,33,5
2024-01-04,0,23,0
2024-01-05,0,17,2
2024-01-06,0,9,0
2024-01-07,0,3,0
2024-01-08,0,10,4
2024-01-09,0,28,4
2024-01-10,0,28,5
2024-01-11,0,14,0
2024-01-12,0,25,0
2024-01-13,0,3,0
2024-01-14,0,3,0
2024-01-15,0,1,2
2024-01-16,0,15,3
2024-01-17,0,19,8
2024-01-18,0,33,2
2024-01-19,9,20,2
2024-01-20,0,8,0
2024-01-21,1,4,0
2024-01-22,0,23,1
2024-01-23,0,25,2
2024-01-24,0,33,5
2024-01-25,0,26,7
2024-01-26,0,28,5
2024-01-27,0,8,0
2024-01-28,0,0,0
2024-01-29,0,25,1
2024-01-30,0,23,3
2024-01-31,0,39,12
2024-02-01,0,30,3
2024-02-02,0,14,4
2024-02-03,0,4,0
2024-02-04,0,2,0
2024-02-05,0,7,3
2024-02-06,0,11,6
2024-02-07,0,35,8
2024-02-08,0,24,3
2024-02-09,0,23,2
2024-02-10,1,10,0
2024-02-11,0,3,0
2024-02-12,1,14,1
2024-02-13,0,21,9
2024-02-14,0,20,10
2024-02-15,1,13,3
2024-02-16,0,24,0
2024-02-17,0,12,0
2024-02-18,0,5,0
2024-02-19,0,8,0
2024-02-20,0,24,0
2024-02-21,0,22,3
2024-02-22,0,21,7
2024-02-23,1,22,0
2024-02-24,0,11,0
2024-02-25,0,0,0
2024-02-26,0,18,1
2024-02-27,0,16,0
2024-02-28,0,18,6
2024-02-29,0,30,2
2024-03-01,0,19,2
2024-03-02,0,2,0
2024-03-03,0,1,0
2024-03-04,0,17,1
2024-03-05,0,19,0
2024-03-06,0,20,14
2024-03-07,0,24,2
2024-03-08,0,12,1
2024-03-09,0,16,1
2024-03-10,0,3,0
2024-03-11,0,11,1
2024-03-12,0,18,9
2024-03-13,0,22,15
2024-03-14,0,21,2
2024-03-15,0,14,4
2024-03-16,0,15,1
2024-03-17,0,3,0
2024-03-18,0,20,3
2024-03-19,0,21,7
2024-03-20,0,18,17
2024-03-21,0,24,3
2024-03-22,0,17,1
2024-03-23,0,10,0
2024-03-24,0,5,0
2024-03-25,0,22,1
2024-03-26,0,16,0
2024-03-27,0,16,13
2024-03-28,0,17,0
2024-03-29,0,20,0
2024-03-30,0,8,0
2024-03-31,0,4,0
2024-04-01,0,17,3
2024-04-02,4,19,4
2024-04-03,1,36,11
2024-04-04,0,26,1
2024-04-05,0,21,1
2024-04-06,1,6,0
2024-04-07,2,1,0
2024-04-08,6,19,2
2024-04-09,0,12,4
2024-04-10,0,12,13
2024-04-11,0,20,0
2024-04-12,0,15,1
2024-04-13,0,1,0
2024-04-14,0,1,0
2024-04-15,7,10,2
2024-04-16,3,20,0
2024-04-17,0,31,14
2024-04-18,0,26,1
2024-04-19,1,27,1
2024-04-20,0,8,0
2024-04-21,0,4,0
2024-04-22,0,9,0
2024-04-23,3,36,5
2024-04-24,1,17,5
2024-04-25,0,18,3
2024-04-26,0,17,1
2024-04-27,0,8,0
2024-04-28,0,4,0
2024-04-29,0,10,4
2024-04-30,0,14,1
2024-05-01,1,19,15
2024-05-02,2,24,1
2024-05-03,0,22,3
2024-05-04,0,3,0
2024-05-05,0,7,0
2024-05-06,2,17,3
2024-05-07,2,33,2
2024-05-08,0,23,2
2024-05-09,0,13,0
2024-05-10,0,18,3
2024-05-11,0,5,0
2024-05-12,0,1,0
2024-05-13,0,17,0
2024-05-14,0,26,1
2024-05-15,0,12,8
