,DevExpress/testcafe,seleniumhq/selenium,cypress-io/cypress
2023-11-23,0,3,0
2023-11-24,1,2,0
2023-11-25,0,1,0
2023-11-26,0,8,0
2023-11-27,0,6,2
2023-11-28,0,0,2
2023-11-29,1,6,4
2023-11-30,0,0,1
2023-12-01,0,12,0
2023-12-02,0,1,0
2023-12-03,0,4,0
2023-12-04,0,5,0
2023-12-05,0,9,4
2023-12-06,2,17,0
2023-12-07,2,13,0
2023-12-08,0,11,0
2023-12-09,0,3,0
2023-12-10,0,0,0
2023-12-11,1,8,1
2023-12-12,0,4,1
2023-12-13,1,7,1
2023-12-14,0,4,3
2023-12-15,0,3,1
2023-12-16,0,2,0
2023-12-17,0,0,0
2023-12-18,0,12,0
2023-12-19,4,11,4
2023-12-20,1,11,0
2023-12-21,0,6,0
2023-12-22,2,15,2
2023-12-23,0,9,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,7,5
2023-12-27,1,11,0
2023-12-28,0,8,5
2023-12-29,0,1,4
2023-12-30,0,1,0
2023-12-31,0,2,0
2024-01-01,0,7,0
2024-01-02,0,1,3
2024-01-03,0,9,3
2024-01-04,0,3,1
2024-01-05,0,4,4
2024-01-06,0,2,1
2024-01-07,0,4,0
2024-01-08,1,4,1
2024-01-09,0,9,5
2024-01-10,1,8,5
2024-01-11,0,3,4
2024-01-12,1,5,6
2024-01-13,0,0,0
2024-01-14,0,1,0
2024-01-15,1,1,0
2024-01-16,0,2,4
2024-01-17,0,7,2
2024-01-18,0,13,3
2024-01-19,0,5,2
2024-01-20,0,9,0
2024-01-21,0,9,0
2024-01-22,0,7,5
2024-01-23,0,20,3
2024-01-24,0,5,2
2024-01-25,0,13,0
2024-01-26,0,7,0
2024-01-27,0,1,0
2024-01-28,0,0,0
2024-01-29,0,1,1
2024-01-30,0,5,4
2024-01-31,0,0,0
2024-02-01,0,1,2
2024-02-02,0,2,2
2024-02-03,0,0,0
2024-02-04,0,0,0
2024-02-05,0,2,2
2024-02-06,0,4,4
2024-02-07,0,9,0
2024-02-08,0,7,4
2024-02-09,0,0,4
2024-02-10,0,0,0
2024-02-11,0,1,0
2024-02-12,0,1,0
2024-02-13,0,8,1
2024-02-14,0,5,1
2024-02-15,0,5,4
2024-02-16,3,3,1
2024-02-17,1,8,0
2024-02-18,0,2,0
2024-02-19,1,10,1
2024-02-20,1,3,3
2024-02-21,0,1,1
2024-02-22,0,0,6
2024-02-23,0,2,1
2024-02-24,0,0,0
2024-02-25,0,0,0
2024-02-26,0,2,0
2024-02-27,0,0,1
2024-02-28,0,0,0
2024-02-29,1,1,1
2024-03-01,0,2,0
2024-03-02,0,0,0
2024-03-03,0,1,0
2024-03-04,0,2,1
2024-03-05,0,1,1
2024-03-06,0,0,1
2024-03-07,0,1,0
2024-03-08,0,3,2
2024-03-09,0,1,0
2024-03-10,0,2,0
2024-03-11,0,6,4
2024-03-12,0,0,9
2024-03-13,0,4,1
2024-03-14,0,7,1
2024-03-15,1,15,0
2024-03-16,0,0,0
2024-03-17,0,1,0
2024-03-18,0,7,3
2024-03-19,0,3,0
2024-03-20,0,6,1
2024-03-21,0,5,3
2024-03-22,0,2,0
2024-03-23,0,9,0
2024-03-24,0,0,0
2024-03-25,0,30,1
2024-03-26,0,14,1
2024-03-27,1,12,1
2024-03-28,0,3,0
2024-03-29,1,5,4
2024-03-30,0,1,0
2024-03-31,0,0,0
2024-04-01,1,4,0
2024-04-02,0,4,4
2024-04-03,0,5,2
2024-04-04,0,2,0
2024-04-05,0,3,0
2024-04-06,0,2,0
2024-04-07,0,1,0
2024-04-08,0,3,0
2024-04-09,2,4,1
2024-04-10,0,5,3
2024-04-11,0,1,3
2024-04-12,0,4,1
2024-04-13,0,0,0
2024-04-14,0,3,0
2024-04-15,0,0,1
2024-04-16,0,0,1
2024-04-17,0,0,3
2024-04-18,0,0,4
2024-04-19,0,0,1
2024-04-20,0,0,0
2024-04-21,0,0,0
2024-04-22,1,0,2
2024-04-23,1,0,5
2024-04-24,0,0,1
2024-04-25,2,0,1
2024-04-26,0,0,1
2024-04-27,0,0,0
2024-04-28,0,0,0
2024-04-29,1,0,1
2024-04-30,1,0,5
2024-05-01,0,0,2
2024-05-02,0,0,7
2024-05-03,0,0,0
2024-05-04,0,0,0
2024-05-05,0,0,0
2024-05-06,0,0,6
2024-05-07,0,0,4
2024-05-08,0,0,2
2024-05-09,0,0,1
2024-05-10,0,0,3
2024-05-11,0,0,0
2024-05-12,0,0,0
2024-05-13,0,0,1
2024-05-14,0,0,0
2024-05-15,0,0,1
2024-05-16,0,0,0
2024-05-17,0,0,3
2024-05-18,0,0,0
2024-05-19,0,0,0
2024-05-20,0,0,2
2024-05-21,0,0,5
2024-05-22,0,0,1
2024-05-23,0,0,1
2024-05-24,0,0,1
2024-05-25,0,0,0
2024-05-26,0,0,0
2024-05-27,0,0,0
2024-05-28,0,0,0
2024-05-29,0,0,1
2024-05-30,0,0,1
2024-05-31,0,0,0
2024-06-01,0,0,0
2024-06-02,0,0,0
2024-06-03,1,0,4
2024-06-04,1,0,3
2024-06-05,0,0,1
2024-06-06,0,0,0
2024-06-07,0,0,15
2024-06-08,0,0,0
2024-06-09,0,0,0
2024-06-10,1,0,0
2024-06-11,1,0,5
2024-06-12,0,0,4
2024-06-13,0,0,0
2024-06-14,0,0,0
2024-06-15,0,0,0
2024-06-16,0,0,0
2024-06-17,0,0,0
2024-06-18,0,0,2
2024-06-19,0,0,0
