,facebookresearch/fairseq,pytorch/text,facebookresearch/pytext
2019-07-28,6,0,0
2019-07-29,8,2,2
2019-07-30,4,3,5
2019-07-31,5,1,5
2019-08-01,7,2,9
2019-08-02,5,1,4
2019-08-03,2,0,2
2019-08-04,1,0,2
2019-08-05,1,0,2
2019-08-06,1,0,6
2019-08-07,4,0,5
2019-08-08,3,0,2
2019-08-09,3,2,7
2019-08-10,3,1,1
2019-08-11,0,0,0
2019-08-12,5,0,3
2019-08-13,4,0,3
2019-08-14,5,0,5
2019-08-15,5,0,4
2019-08-16,2,0,6
2019-08-17,1,0,1
2019-08-18,0,0,1
2019-08-19,6,6,0
2019-08-20,2,2,3
2019-08-21,4,0,5
2019-08-22,3,0,3
2019-08-23,3,0,0
2019-08-24,0,0,0
2019-08-25,0,0,0
2019-08-26,1,0,1
2019-08-27,4,0,1
2019-08-28,1,0,4
2019-08-29,1,0,1
2019-08-30,2,0,2
2019-08-31,3,0,0
2019-09-01,1,0,0
2019-09-02,0,0,0
2019-09-03,2,0,1
2019-09-04,1,1,1
2019-09-05,1,0,1
2019-09-06,0,0,4
2019-09-07,0,0,0
2019-09-08,0,0,1
2019-09-09,0,0,1
2019-09-10,0,0,6
2019-09-11,0,1,5
2019-09-12,1,0,3
2019-09-13,0,0,0
2019-09-14,0,0,2
2019-09-15,0,0,0
2019-09-16,1,0,3
2019-09-17,2,0,6
2019-09-18,3,0,2
2019-09-19,2,0,3
2019-09-20,3,0,0
2019-09-21,0,0,2
2019-09-22,0,0,0
2019-09-23,3,1,0
2019-09-24,1,0,5
2019-09-25,0,0,5
2019-09-26,1,1,4
2019-09-27,5,0,0
2019-09-28,1,0,0
2019-09-29,2,0,0
2019-09-30,2,0,1
2019-10-01,1,0,6
2019-10-02,0,1,8
2019-10-03,0,0,7
2019-10-04,2,0,7
2019-10-05,1,0,0
2019-10-06,0,0,1
2019-10-07,1,0,1
2019-10-08,3,0,2
2019-10-09,1,0,1
2019-10-10,2,0,1
2019-10-11,2,0,5
2019-10-12,1,0,2
2019-10-13,0,0,0
2019-10-14,0,0,0
2019-10-15,2,0,0
2019-10-16,0,0,4
2019-10-17,0,0,1
2019-10-18,3,0,5
2019-10-19,0,0,0
2019-10-20,2,0,0
2019-10-21,0,0,0
2019-10-22,3,0,4
2019-10-23,1,0,1
2019-10-24,4,1,2
2019-10-25,2,0,4
2019-10-26,1,0,0
2019-10-27,1,0,0
2019-10-28,1,0,0
2019-10-29,0,1,3
2019-10-30,1,0,5
2019-10-31,2,1,4
2019-11-01,2,0,1
2019-11-02,1,0,3
2019-11-03,0,0,0
2019-11-04,0,0,2
2019-11-05,2,0,3
2019-11-06,2,0,6
2019-11-07,4,0,2
2019-11-08,2,0,5
2019-11-09,1,1,2
2019-11-10,1,0,1
2019-11-11,0,1,2
2019-11-12,1,0,1
2019-11-13,5,0,7
2019-11-14,4,0,3
2019-11-15,1,0,7
2019-11-16,0,0,1
2019-11-17,1,0,0
2019-11-18,3,0,2
2019-11-19,3,0,3
2019-11-20,1,0,1
2019-11-21,3,0,4
2019-11-22,1,0,5
2019-11-23,0,0,0
2019-11-24,0,0,0
2019-11-25,0,0,0
2019-11-26,6,1,5
2019-11-27,0,0,2
2019-11-28,0,0,0
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,0,0,1
2019-12-02,2,0,1
2019-12-03,5,0,8
2019-12-04,6,2,4
2019-12-05,0,1,0
2019-12-06,3,1,2
2019-12-07,0,0,1
2019-12-08,2,0,0
2019-12-09,1,0,1
2019-12-10,1,0,1
2019-12-11,5,0,3
2019-12-12,1,0,3
2019-12-13,2,0,5
2019-12-14,1,0,0
2019-12-15,0,0,1
2019-12-16,3,0,3
2019-12-17,5,0,3
2019-12-18,4,0,8
2019-12-19,3,0,5
2019-12-20,1,0,3
2019-12-21,4,0,1
2019-12-22,1,0,0
2019-12-23,0,0,1
2019-12-24,5,0,0
2019-12-25,0,0,0
2019-12-26,1,0,0
2019-12-27,1,0,0
2019-12-28,0,0,0
2019-12-29,0,0,0
2019-12-30,0,0,0
2019-12-31,0,0,0
2020-01-01,0,0,0
2020-01-02,1,0,1
2020-01-03,3,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,4,0,0
2020-01-07,1,0,0
2020-01-08,2,0,1
2020-01-09,4,0,1
2020-01-10,2,0,6
2020-01-11,3,0,1
2020-01-12,1,0,0
2020-01-13,4,0,1
2020-01-14,1,0,3
2020-01-15,0,0,2
2020-01-16,1,1,0
2020-01-17,11,0,0
2020-01-18,1,0,0
2020-01-19,0,0,0
2020-01-20,1,0,0
2020-01-21,3,2,1
2020-01-22,6,0,0
2020-01-23,1,0,0
2020-01-24,5,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,2,0,0
2020-01-28,1,0,0
2020-01-29,1,0,1
2020-01-30,3,0,0
2020-01-31,4,0,4
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,1,0,0
2020-02-04,1,0,1
2020-02-05,2,0,2
2020-02-06,0,0,1
2020-02-07,0,0,1
2020-02-08,1,0,0
2020-02-09,0,0,0
2020-02-10,1,0,0
2020-02-11,3,0,1
2020-02-12,5,0,4
2020-02-13,1,0,0
2020-02-14,1,0,1
2020-02-15,0,0,1
2020-02-16,1,0,1
2020-02-17,0,0,1
2020-02-18,0,0,3
2020-02-19,1,0,1
2020-02-20,0,1,5
2020-02-21,9,0,1
2020-02-22,0,0,0
2020-02-23,0,0,5
2020-02-24,5,1,0
2020-02-25,4,1,2
2020-02-26,3,0,1
2020-02-27,3,0,1
2020-02-28,1,0,2
2020-02-29,0,1,0
2020-03-01,2,0,0
2020-03-02,0,0,0
2020-03-03,2,0,0
2020-03-04,7,0,0
2020-03-05,4,0,0
2020-03-06,0,0,3
2020-03-07,3,0,0
2020-03-08,2,0,1
2020-03-09,3,0,1
2020-03-10,4,0,2
2020-03-11,3,0,4
2020-03-12,1,0,4
2020-03-13,1,0,1
2020-03-14,1,0,1
2020-03-15,1,0,0
2020-03-16,3,0,0
2020-03-17,3,0,2
2020-03-18,1,0,0
2020-03-19,0,0,0
2020-03-20,3,0,4
2020-03-21,4,0,1
2020-03-22,0,0,0
2020-03-23,1,0,0
2020-03-24,10,0,0
2020-03-25,1,0,2
2020-03-26,4,0,6
2020-03-27,2,0,3
2020-03-28,1,0,0
2020-03-29,0,0,0
2020-03-30,1,0,0
2020-03-31,2,0,2
2020-04-01,1,0,3
2020-04-02,2,1,1
2020-04-03,5,0,3
2020-04-04,1,0,0
2020-04-05,1,0,1
2020-04-06,0,0,1
2020-04-07,10,0,0
2020-04-08,0,2,3
2020-04-09,2,0,3
2020-04-10,1,1,1
2020-04-11,1,0,0
2020-04-12,0,0,0
2020-04-13,2,0,1
2020-04-14,3,0,1
2020-04-15,1,0,2
2020-04-16,2,0,3
2020-04-17,0,0,1
2020-04-18,0,0,1
2020-04-19,1,0,2
2020-04-20,0,2,2
2020-04-21,6,2,2
2020-04-22,0,0,2
2020-04-23,1,1,3
2020-04-24,2,1,2
2020-04-25,0,1,2
2020-04-26,0,0,0
2020-04-27,1,0,0
2020-04-28,0,0,2
2020-04-29,1,3,4
2020-04-30,5,0,1
2020-05-01,3,1,4
2020-05-02,0,0,0
2020-05-03,0,1,1
2020-05-04,2,1,0
2020-05-05,0,0,3
2020-05-06,1,0,0
2020-05-07,0,0,0
2020-05-08,1,1,0
2020-05-09,0,0,0
2020-05-10,1,0,0
2020-05-11,2,0,1
2020-05-12,0,0,2
2020-05-13,0,6,4
2020-05-14,4,2,2
2020-05-15,0,3,1
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,2,1,0
2020-05-19,0,3,1
2020-05-20,5,1,2
2020-05-21,0,0,0
2020-05-22,0,0,0
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,0,0,0
2020-05-26,3,2,0
2020-05-27,4,2,3
2020-05-28,1,5,1
2020-05-29,1,2,1
2020-05-30,1,3,1
2020-05-31,0,1,1
2020-06-01,0,7,0
2020-06-02,0,0,1
2020-06-03,3,7,3
2020-06-04,1,9,0
2020-06-05,5,9,1
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,2,2,3
2020-06-09,1,6,0
2020-06-10,1,6,1
2020-06-11,0,2,1
2020-06-12,0,5,0
2020-06-13,1,0,0
2020-06-14,0,0,0
2020-06-15,1,0,1
2020-06-16,2,7,0
2020-06-17,1,2,1
2020-06-18,1,6,0
2020-06-19,3,2,1
2020-06-20,0,0,2
2020-06-21,0,0,0
2020-06-22,4,8,0
2020-06-23,5,1,1
2020-06-24,2,4,5
2020-06-25,1,2,0
2020-06-26,0,1,0
2020-06-27,1,0,0
2020-06-28,0,0,0
2020-06-29,0,0,1
2020-06-30,1,0,2
2020-07-01,0,0,1
2020-07-02,0,0,2
2020-07-03,0,0,1
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,1,1,0
2020-07-07,3,3,2
2020-07-08,4,3,2
2020-07-09,1,0,2
2020-07-10,0,1,1
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,1,1
2020-07-14,1,2,3
2020-07-15,1,2,1
2020-07-16,7,2,1
2020-07-17,1,1,2
2020-07-18,2,1,3
2020-07-19,0,0,0
2020-07-20,1,1,2
2020-07-21,1,0,1
2020-07-22,0,1,2
2020-07-23,0,0,2
2020-07-24,2,0,1
2020-07-25,1,0,1
2020-07-26,0,1,0
2020-07-27,0,1,0
2020-07-28,3,0,1
2020-07-29,0,0,2
2020-07-30,0,1,4
2020-07-31,0,1,0
2020-08-01,2,1,1
2020-08-02,0,0,0
2020-08-03,3,0,0
2020-08-04,11,0,3
2020-08-05,3,0,2
2020-08-06,2,6,1
2020-08-07,2,1,1
2020-08-08,2,0,2
2020-08-09,1,0,0
2020-08-10,2,0,1
2020-08-11,1,1,0
2020-08-12,1,2,1
2020-08-13,3,5,1
2020-08-14,5,4,3
2020-08-15,1,0,0
2020-08-16,0,0,0
2020-08-17,2,0,0
2020-08-18,1,0,0
2020-08-19,2,0,1
2020-08-20,4,1,1
2020-08-21,2,0,1
2020-08-22,2,0,1
2020-08-23,0,0,0
2020-08-24,2,0,6
2020-08-25,1,0,4
2020-08-26,1,2,1
2020-08-27,0,1,2
2020-08-28,3,1,5
2020-08-29,1,0,2
2020-08-30,0,0,0
2020-08-31,1,2,2
2020-09-01,1,4,1
2020-09-02,1,3,3
2020-09-03,0,3,5
2020-09-04,4,4,3
2020-09-05,2,0,0
2020-09-06,0,0,0
2020-09-07,0,0,0
2020-09-08,0,0,1
2020-09-09,3,1,2
2020-09-10,1,0,2
2020-09-11,3,0,5
2020-09-12,0,0,0
2020-09-13,0,0,0
2020-09-14,0,3,1
2020-09-15,0,1,1
2020-09-16,0,1,1
2020-09-17,0,0,1
2020-09-18,3,0,1
2020-09-19,2,0,1
2020-09-20,1,1,0
2020-09-21,1,6,1
2020-09-22,7,0,1
2020-09-23,1,0,1
2020-09-24,0,0,2
2020-09-25,3,0,5
2020-09-26,1,1,0
2020-09-27,0,0,0
2020-09-28,1,3,6
2020-09-29,4,2,1
2020-09-30,1,2,1
2020-10-01,6,1,5
2020-10-02,2,0,3
2020-10-03,2,0,0
2020-10-04,0,0,0
2020-10-05,0,0,0
2020-10-06,2,2,1
2020-10-07,4,1,1
2020-10-08,0,1,2
2020-10-09,2,0,1
2020-10-10,1,0,3
2020-10-11,0,0,0
2020-10-12,5,2,2
2020-10-13,4,2,4
2020-10-14,9,1,2
2020-10-15,3,2,3
2020-10-16,1,0,7
2020-10-17,2,0,0
2020-10-18,2,0,0
2020-10-19,5,3,1
2020-10-20,6,0,4
2020-10-21,3,1,2
2020-10-22,9,1,8
2020-10-23,2,1,1
2020-10-24,1,0,1
2020-10-25,2,0,0
2020-10-26,1,4,3
2020-10-27,3,0,0
2020-10-28,2,0,1
2020-10-29,6,0,0
2020-10-30,1,0,4
2020-10-31,1,0,1
2020-11-01,0,0,0
2020-11-02,0,0,0
2020-11-03,2,1,1
2020-11-04,3,1,0
2020-11-05,3,0,2
2020-11-06,2,0,3
2020-11-07,3,2,2
2020-11-08,2,0,0
2020-11-09,7,3,0
2020-11-10,1,0,3
2020-11-11,2,0,5
2020-11-12,1,0,4
2020-11-13,2,0,0
2020-11-14,3,0,0
2020-11-15,0,0,1
2020-11-16,5,1,2
2020-11-17,2,0,2
2020-11-18,3,2,0
2020-11-19,3,1,1
2020-11-20,6,1,0
2020-11-21,2,0,0
2020-11-22,7,0,0
2020-11-23,1,0,0
2020-11-24,1,0,0
2020-11-25,0,0,0
2020-11-26,1,0,0
2020-11-27,0,0,0
2020-11-28,0,0,0
2020-11-29,0,0,0
2020-11-30,3,0,0
2020-12-01,1,0,2
2020-12-02,1,0,0
2020-12-03,4,0,1
2020-12-04,7,1,0
2020-12-05,5,0,4
2020-12-06,0,0,2
2020-12-07,0,0,0
2020-12-08,1,0,3
2020-12-09,0,0,2
2020-12-10,1,0,2
2020-12-11,7,0,1
2020-12-12,5,0,1
2020-12-13,0,0,1
2020-12-14,2,0,1
2020-12-15,0,0,5
2020-12-16,3,0,3
2020-12-17,1,2,0
2020-12-18,6,2,2
2020-12-19,0,0,2
2020-12-20,0,0,0
2020-12-21,0,0,0
2020-12-22,0,4,1
2020-12-23,2,1,0
2020-12-24,2,0,0
2020-12-25,0,0,0
2020-12-26,0,0,0
2020-12-27,0,0,0
2020-12-28,1,1,1
2020-12-29,3,1,0
2020-12-30,1,0,2
2020-12-31,1,0,1
2021-01-01,0,0,0
2021-01-02,1,0,0
2021-01-03,0,0,0
2021-01-04,0,0,0
2021-01-05,3,0,1
2021-01-06,5,0,1
2021-01-07,1,0,3
2021-01-08,1,0,1
2021-01-09,0,0,1
2021-01-10,0,0,0
2021-01-11,2,0,0
2021-01-12,1,1,0
2021-01-13,2,3,0
2021-01-14,0,0,1
2021-01-15,0,3,0
2021-01-16,0,0,0
2021-01-17,3,0,0
2021-01-18,1,0,0
2021-01-19,1,0,0
2021-01-20,4,0,7
2021-01-21,4,0,4
2021-01-22,0,0,1
2021-01-23,1,0,1
2021-01-24,0,0,0
2021-01-25,1,0,1
2021-01-26,0,2,5
2021-01-27,3,0,4
2021-01-28,6,0,1
2021-01-29,0,0,7
2021-01-30,0,0,0
2021-01-31,0,0,0
2021-02-01,0,0,2
2021-02-02,3,0,2
2021-02-03,13,0,1
2021-02-04,0,1,2
2021-02-05,3,2,4
2021-02-06,2,0,1
2021-02-07,0,0,0
2021-02-08,2,1,1
2021-02-09,1,5,3
2021-02-10,2,2,2
2021-02-11,5,1,1
2021-02-12,6,1,3
2021-02-13,1,0,0
2021-02-14,0,0,1
2021-02-15,0,1,1
2021-02-16,3,3,2
2021-02-17,1,5,5
2021-02-18,3,11,8
2021-02-19,7,2,2
2021-02-20,3,3,0
2021-02-21,0,0,0
2021-02-22,5,4,0
2021-02-23,0,17,0
2021-02-24,6,3,2
2021-02-25,1,2,6
2021-02-26,1,2,2
2021-02-27,1,0,0
2021-02-28,2,0,0
2021-03-01,1,0,1
2021-03-02,3,3,5
2021-03-03,5,4,4
2021-03-04,7,4,4
2021-03-05,1,1,1
2021-03-06,0,1,1
2021-03-07,0,0,0
2021-03-08,1,1,1
2021-03-09,2,1,3
2021-03-10,1,1,1
