,freecodecamp/freecodecamp,exercism/exercism,ossu/computer-science
2023-03-26,0,0,0
2023-03-27,5,0,0
2023-03-28,4,0,0
2023-03-29,3,0,0
2023-03-30,13,0,0
2023-03-31,5,0,0
2023-04-01,1,0,0
2023-04-02,1,0,0
2023-04-03,12,0,0
2023-04-04,3,0,1
2023-04-05,10,0,2
2023-04-06,7,0,0
2023-04-07,3,0,0
2023-04-08,2,0,0
2023-04-09,0,0,1
2023-04-10,9,0,0
2023-04-11,4,0,0
2023-04-12,6,0,0
2023-04-13,5,0,0
2023-04-14,2,0,0
2023-04-15,0,0,0
2023-04-16,0,0,0
2023-04-17,15,0,0
2023-04-18,6,0,0
2023-04-19,10,0,0
2023-04-20,13,0,0
2023-04-21,4,0,0
2023-04-22,1,0,0
2023-04-23,1,0,0
2023-04-24,11,0,0
2023-04-25,8,0,0
2023-04-26,11,0,1
2023-04-27,8,0,0
2023-04-28,7,0,0
2023-04-29,1,0,0
2023-04-30,1,0,0
2023-05-01,6,0,0
2023-05-02,7,0,0
2023-05-03,7,0,0
2023-05-04,5,0,0
2023-05-05,9,0,1
2023-05-06,0,0,0
2023-05-07,0,0,0
2023-05-08,6,0,0
2023-05-09,14,0,0
2023-05-10,8,0,0
2023-05-11,2,0,0
2023-05-12,6,0,0
2023-05-13,0,0,0
2023-05-14,0,0,0
2023-05-15,4,0,0
2023-05-16,8,0,0
2023-05-17,7,0,0
2023-05-18,9,0,0
2023-05-19,5,0,0
2023-05-20,1,0,0
2023-05-21,0,0,0
2023-05-22,5,0,0
2023-05-23,5,0,0
2023-05-24,14,0,0
2023-05-25,5,0,0
2023-05-26,7,0,0
2023-05-27,1,0,0
2023-05-28,2,0,0
2023-05-29,1,0,0
2023-05-30,6,0,0
2023-05-31,6,0,0
2023-06-01,8,0,0
2023-06-02,6,0,0
2023-06-03,2,0,0
2023-06-04,2,0,0
2023-06-05,3,0,0
2023-06-06,4,0,0
2023-06-07,7,0,0
2023-06-08,1,0,0
2023-06-09,4,0,0
2023-06-10,0,0,0
2023-06-11,0,0,0
2023-06-12,4,0,0
2023-06-13,2,0,0
2023-06-14,9,0,0
2023-06-15,5,0,0
2023-06-16,6,0,0
2023-06-17,2,0,0
2023-06-18,0,0,0
2023-06-19,1,0,0
2023-06-20,8,0,0
2023-06-21,4,0,0
2023-06-22,10,0,0
2023-06-23,2,0,0
2023-06-24,1,0,0
2023-06-25,1,0,0
2023-06-26,3,0,0
2023-06-27,4,0,0
2023-06-28,1,0,0
2023-06-29,14,0,0
2023-06-30,6,0,0
2023-07-01,1,0,0
2023-07-02,0,0,0
2023-07-03,6,0,0
2023-07-04,2,0,0
2023-07-05,7,0,0
2023-07-06,12,0,0
2023-07-07,3,0,0
2023-07-08,1,0,0
2023-07-09,0,0,0
2023-07-10,8,0,0
2023-07-11,14,1,0
2023-07-12,6,0,0
2023-07-13,2,0,0
2023-07-14,6,0,0
2023-07-15,0,0,0
2023-07-16,1,0,0
2023-07-17,2,0,0
2023-07-18,7,0,0
2023-07-19,5,0,0
2023-07-20,8,0,0
2023-07-21,5,0,0
2023-07-22,0,0,0
2023-07-23,1,0,0
2023-07-24,4,0,0
2023-07-25,6,0,0
2023-07-26,11,0,0
2023-07-27,2,0,0
2023-07-28,6,0,0
2023-07-29,1,0,0
2023-07-30,1,0,0
2023-07-31,4,0,0
2023-08-01,5,0,0
2023-08-02,6,0,0
2023-08-03,5,0,0
2023-08-04,3,0,0
2023-08-05,2,0,0
2023-08-06,1,0,0
2023-08-07,8,0,0
2023-08-08,5,0,0
2023-08-09,4,0,0
2023-08-10,7,0,0
2023-08-11,2,0,0
2023-08-12,4,0,0
2023-08-13,0,0,0
2023-08-14,14,0,0
2023-08-15,6,0,0
2023-08-16,6,0,0
2023-08-17,2,0,0
2023-08-18,2,0,0
2023-08-19,0,0,0
2023-08-20,1,0,0
2023-08-21,6,0,0
2023-08-22,6,0,0
2023-08-23,9,0,0
2023-08-24,4,0,0
2023-08-25,0,0,0
2023-08-26,3,0,2
2023-08-27,4,0,0
2023-08-28,7,0,0
2023-08-29,5,0,0
2023-08-30,2,0,0
2023-08-31,9,0,0
2023-09-01,1,0,0
2023-09-02,3,0,0
2023-09-03,0,0,0
2023-09-04,3,0,0
2023-09-05,9,0,0
2023-09-06,11,0,0
2023-09-07,4,0,0
2023-09-08,5,0,0
2023-09-09,2,0,0
2023-09-10,1,0,0
2023-09-11,2,0,0
2023-09-12,6,0,0
