,ionic-team/ionic-framework,NativeScript/NativeScript,flutter/flutter
2019-10-24,0,2,28
2019-10-25,0,1,12
2019-10-26,0,0,9
2019-10-27,0,0,0
2019-10-28,0,2,29
2019-10-29,5,4,24
2019-10-30,15,0,20
2019-10-31,2,1,19
2019-11-01,2,1,19
2019-11-02,0,0,2
2019-11-03,0,0,0
2019-11-04,0,0,5
2019-11-05,0,0,30
2019-11-06,1,4,23
2019-11-07,17,5,19
2019-11-08,5,1,18
2019-11-09,0,0,12
2019-11-10,0,0,2
2019-11-11,2,1,10
2019-11-12,1,2,9
2019-11-13,1,0,12
2019-11-14,6,4,20
2019-11-15,0,0,17
2019-11-16,0,0,7
2019-11-17,0,0,3
2019-11-18,3,1,13
2019-11-19,2,2,24
2019-11-20,4,4,21
2019-11-21,1,7,22
2019-11-22,1,1,23
2019-11-23,0,0,9
2019-11-24,0,0,1
2019-11-25,0,0,13
2019-11-26,0,4,20
2019-11-27,0,1,21
2019-11-28,0,1,7
2019-11-29,0,2,1
2019-11-30,0,0,1
2019-12-01,0,0,0
2019-12-02,1,1,8
2019-12-03,0,5,23
2019-12-04,1,3,27
2019-12-05,2,3,19
2019-12-06,0,2,15
2019-12-07,0,0,1
2019-12-08,0,0,0
2019-12-09,0,2,13
2019-12-10,2,1,20
2019-12-11,12,0,6
2019-12-12,4,1,12
2019-12-13,0,5,16
2019-12-14,0,0,0
2019-12-15,0,0,0
2019-12-16,4,2,12
2019-12-17,0,2,16
2019-12-18,3,0,21
2019-12-19,0,0,19
2019-12-20,0,2,7
2019-12-21,0,0,7
2019-12-22,0,0,0
2019-12-23,0,0,5
2019-12-24,0,0,2
2019-12-25,0,0,0
2019-12-26,0,0,8
2019-12-27,0,0,5
2019-12-28,0,0,3
2019-12-29,0,0,1
2019-12-30,0,0,3
2019-12-31,0,0,1
2020-01-01,0,0,0
2020-01-02,1,0,6
2020-01-03,10,1,14
2020-01-04,0,0,1
2020-01-05,0,0,0
2020-01-06,5,1,14
2020-01-07,0,0,13
2020-01-08,1,2,28
2020-01-09,4,1,11
2020-01-10,0,2,18
2020-01-11,0,0,6
2020-01-12,0,0,0
2020-01-13,11,0,11
2020-01-14,5,2,18
2020-01-15,1,1,12
2020-01-16,1,3,26
2020-01-17,4,0,22
2020-01-18,1,0,2
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,3,1,9
2020-01-22,1,1,26
2020-01-23,17,1,5
2020-01-24,4,0,18
2020-01-25,0,0,15
2020-01-26,0,0,3
2020-01-27,15,2,12
2020-01-28,2,1,28
2020-01-29,8,0,24
2020-01-30,3,3,19
2020-01-31,2,3,23
2020-02-01,0,0,5
2020-02-02,0,0,0
2020-02-03,0,1,8
2020-02-04,2,0,21
2020-02-05,4,7,17
2020-02-06,2,2,27
2020-02-07,5,0,24
2020-02-08,0,0,5
2020-02-09,0,0,0
2020-02-10,3,1,18
2020-02-11,7,0,14
2020-02-12,4,0,22
2020-02-13,2,2,27
2020-02-14,7,0,13
2020-02-15,0,0,4
2020-02-16,0,0,0
2020-02-17,0,3,1
2020-02-18,7,0,13
2020-02-19,6,0,10
2020-02-20,2,0,18
2020-02-21,1,6,10
2020-02-22,0,0,0
2020-02-23,0,1,5
2020-02-24,7,1,11
2020-02-25,1,4,15
2020-02-26,8,2,21
2020-02-27,7,7,22
2020-02-28,0,0,27
2020-02-29,0,0,6
2020-03-01,0,0,0
2020-03-02,2,0,7
2020-03-03,0,0,15
2020-03-04,0,0,17
2020-03-05,2,1,22
2020-03-06,4,4,25
2020-03-07,0,2,3
2020-03-08,0,0,6
2020-03-09,0,6,10
2020-03-10,1,7,23
2020-03-11,9,1,15
2020-03-12,3,0,16
2020-03-13,1,2,23
2020-03-14,0,0,10
2020-03-15,0,0,7
2020-03-16,3,3,13
2020-03-17,1,1,12
2020-03-18,5,1,25
2020-03-19,1,2,22
2020-03-20,1,2,22
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,1,1,7
2020-03-24,6,1,16
2020-03-25,36,0,31
2020-03-26,4,4,11
2020-03-27,0,0,16
2020-03-28,0,0,5
2020-03-29,0,1,3
2020-03-30,3,1,12
2020-03-31,1,0,19
2020-04-01,2,2,17
2020-04-02,2,3,17
2020-04-03,2,4,21
2020-04-04,0,0,5
2020-04-05,0,0,9
2020-04-06,0,1,16
2020-04-07,1,1,21
2020-04-08,2,0,20
2020-04-09,0,0,19
2020-04-10,1,2,27
2020-04-11,0,0,9
2020-04-12,0,0,4
2020-04-13,0,0,15
2020-04-14,0,2,9
2020-04-15,3,0,12
2020-04-16,2,0,26
2020-04-17,1,0,12
2020-04-18,0,0,7
2020-04-19,0,0,1
2020-04-20,0,1,21
2020-04-21,0,0,11
2020-04-22,2,0,30
2020-04-23,15,0,17
2020-04-24,3,0,8
2020-04-25,0,0,7
2020-04-26,0,0,1
2020-04-27,12,0,22
2020-04-28,2,0,17
2020-04-29,3,0,20
2020-04-30,9,0,3
2020-05-01,0,0,11
2020-05-02,0,0,8
2020-05-03,0,0,6
2020-05-04,0,0,12
2020-05-05,0,0,21
2020-05-06,0,0,13
2020-05-07,2,0,7
2020-05-08,5,1,33
2020-05-09,0,0,1
2020-05-10,0,0,5
2020-05-11,3,0,17
2020-05-12,2,0,7
2020-05-13,6,0,12
2020-05-14,2,0,35
2020-05-15,1,0,4
