,cypress-io/cypress,DevExpress/testcafe,seleniumhq/selenium
2024-02-15,4,0,5
2024-02-16,1,3,3
2024-02-17,0,1,8
2024-02-18,0,0,2
2024-02-19,1,1,10
2024-02-20,3,1,3
2024-02-21,1,0,1
2024-02-22,6,0,0
2024-02-23,1,0,2
2024-02-24,0,0,0
2024-02-25,0,0,0
2024-02-26,0,0,2
2024-02-27,1,0,0
2024-02-28,0,0,0
2024-02-29,1,1,1
2024-03-01,0,0,2
2024-03-02,0,0,0
2024-03-03,0,0,1
2024-03-04,1,0,2
2024-03-05,1,0,1
2024-03-06,1,0,0
2024-03-07,0,0,1
2024-03-08,2,0,3
2024-03-09,0,0,1
2024-03-10,0,0,2
2024-03-11,4,0,6
2024-03-12,9,0,0
2024-03-13,1,0,4
2024-03-14,1,0,7
2024-03-15,0,1,15
2024-03-16,0,0,0
2024-03-17,0,0,1
2024-03-18,3,0,7
2024-03-19,0,0,3
2024-03-20,1,0,6
2024-03-21,3,0,5
2024-03-22,0,0,2
2024-03-23,0,0,9
2024-03-24,0,0,0
2024-03-25,1,0,30
2024-03-26,1,0,14
2024-03-27,1,1,12
2024-03-28,0,0,3
2024-03-29,4,1,5
2024-03-30,0,0,1
2024-03-31,0,0,0
2024-04-01,0,1,4
2024-04-02,4,0,4
2024-04-03,2,0,5
2024-04-04,0,0,2
2024-04-05,0,0,3
2024-04-06,0,0,2
2024-04-07,0,0,1
2024-04-08,0,0,3
2024-04-09,1,2,4
2024-04-10,3,0,5
2024-04-11,3,0,1
2024-04-12,1,0,4
2024-04-13,0,0,0
2024-04-14,0,0,3
2024-04-15,1,0,0
2024-04-16,1,0,0
2024-04-17,3,0,0
2024-04-18,4,0,0
2024-04-19,1,0,0
2024-04-20,0,0,0
2024-04-21,0,0,0
2024-04-22,2,1,0
2024-04-23,5,1,0
2024-04-24,1,0,0
2024-04-25,1,2,0
2024-04-26,1,0,0
2024-04-27,0,0,0
2024-04-28,0,0,0
2024-04-29,1,1,0
2024-04-30,5,1,0
2024-05-01,2,0,0
2024-05-02,7,0,0
2024-05-03,0,0,0
2024-05-04,0,0,0
2024-05-05,0,0,0
2024-05-06,6,0,0
2024-05-07,4,0,0
2024-05-08,2,0,0
2024-05-09,1,0,0
2024-05-10,3,0,0
2024-05-11,0,0,0
2024-05-12,0,0,0
2024-05-13,1,0,0
2024-05-14,0,0,0
2024-05-15,1,0,0
2024-05-16,0,0,0
2024-05-17,3,0,0
2024-05-18,0,0,0
2024-05-19,0,0,0
2024-05-20,2,0,0
2024-05-21,5,0,0
2024-05-22,1,0,0
2024-05-23,1,0,0
2024-05-24,1,0,0
2024-05-25,0,0,0
2024-05-26,0,0,0
2024-05-27,0,0,0
2024-05-28,0,0,0
2024-05-29,1,0,0
2024-05-30,1,0,0
2024-05-31,0,0,0
2024-06-01,0,0,0
2024-06-02,0,0,0
2024-06-03,4,1,0
2024-06-04,3,1,0
2024-06-05,1,0,0
2024-06-06,0,0,0
2024-06-07,15,0,0
2024-06-08,0,0,0
2024-06-09,0,0,0
2024-06-10,0,1,0
2024-06-11,5,1,0
2024-06-12,4,0,0
2024-06-13,0,0,0
2024-06-14,0,0,0
2024-06-15,0,0,0
2024-06-16,0,0,0
2024-06-17,0,0,0
2024-06-18,2,0,0
2024-06-19,0,0,0
