,sindresorhus/type-fest,definitelytyped/definitelytyped,microsoft/TypeScript
2023-11-06,0,9,3
2023-11-07,1,9,3
2023-11-08,4,7,2
2023-11-09,2,5,3
2023-11-10,0,7,1
2023-11-11,1,3,0
2023-11-12,0,2,0
2023-11-13,4,3,4
2023-11-14,0,3,2
2023-11-15,3,4,5
2023-11-16,0,12,6
2023-11-17,4,4,4
2023-11-18,1,1,1
2023-11-19,0,0,1
2023-11-20,1,12,4
2023-11-21,2,16,13
2023-11-22,0,15,5
2023-11-23,0,9,0
2023-11-24,1,3,0
2023-11-25,0,1,0
2023-11-26,0,2,0
2023-11-27,0,9,5
2023-11-28,1,21,7
2023-11-29,0,10,10
2023-11-30,0,9,10
2023-12-01,0,10,4
2023-12-02,2,7,2
2023-12-03,0,16,0
2023-12-04,2,66,3
2023-12-05,0,38,3
2023-12-06,0,76,3
2023-12-07,1,11,5
2023-12-08,0,10,7
2023-12-09,0,4,0
2023-12-10,0,0,1
2023-12-11,0,9,7
2023-12-12,0,24,2
2023-12-13,0,10,6
2023-12-14,0,6,0
2023-12-15,1,25,4
2023-12-16,0,5,1
2023-12-17,0,6,0
2023-12-18,0,9,1
2023-12-19,0,4,1
2023-12-20,0,3,1
2023-12-21,0,12,1
2023-12-22,0,7,0
2023-12-23,0,2,0
2023-12-24,0,2,0
2023-12-25,0,3,0
2023-12-26,0,8,1
2023-12-27,2,21,0
2023-12-28,0,17,0
2023-12-29,0,14,0
2023-12-30,0,6,1
2023-12-31,0,1,0
2024-01-01,0,21,0
2024-01-02,1,17,9
2024-01-03,0,16,3
2024-01-04,1,4,5
2024-01-05,0,5,3
2024-01-06,0,6,1
2024-01-07,0,2,0
2024-01-08,0,11,2
2024-01-09,0,12,9
2024-01-10,0,5,5
2024-01-11,0,8,7
2024-01-12,0,5,3
2024-01-13,0,1,1
2024-01-14,0,5,0
2024-01-15,0,5,1
2024-01-16,0,10,6
2024-01-17,0,9,2
2024-01-18,0,5,3
2024-01-19,0,9,9
2024-01-20,0,5,1
2024-01-21,2,4,0
2024-01-22,1,14,2
2024-01-23,0,6,2
2024-01-24,2,7,2
2024-01-25,0,21,3
2024-01-26,0,16,1
2024-01-27,0,5,1
2024-01-28,0,5,2
2024-01-29,0,11,4
2024-01-30,2,8,4
2024-01-31,0,11,3
2024-02-01,0,23,4
2024-02-02,0,5,3
2024-02-03,0,9,0
2024-02-04,0,4,1
2024-02-05,0,9,1
2024-02-06,0,11,1
2024-02-07,0,18,5
2024-02-08,0,15,1
2024-02-09,0,8,2
2024-02-10,0,4,1
2024-02-11,0,4,1
2024-02-12,0,14,3
2024-02-13,0,11,6
2024-02-14,0,5,2
2024-02-15,0,13,4
2024-02-16,0,5,5
2024-02-17,0,6,1
2024-02-18,0,2,0
2024-02-19,0,8,1
2024-02-20,0,6,3
2024-02-21,0,7,3
2024-02-22,2,11,4
2024-02-23,0,23,8
2024-02-24,0,10,1
2024-02-25,0,0,1
2024-02-26,0,27,4
2024-02-27,0,20,3
2024-02-28,0,10,5
2024-02-29,0,34,2
2024-03-01,0,24,5
2024-03-02,0,5,4
2024-03-03,0,2,1
2024-03-04,3,13,6
2024-03-05,2,14,0
2024-03-06,0,7,3
2024-03-07,0,8,1
2024-03-08,2,8,4
2024-03-09,0,1,0
2024-03-10,0,2,1
2024-03-11,0,10,7
2024-03-12,1,3,6
2024-03-13,0,3,4
2024-03-14,0,7,3
2024-03-15,0,7,9
2024-03-16,1,2,2
2024-03-17,0,7,1
2024-03-18,2,20,7
2024-03-19,2,19,5
2024-03-20,3,10,6
2024-03-21,0,21,7
2024-03-22,1,20,1
2024-03-23,0,5,0
2024-03-24,2,1,0
2024-03-25,0,14,8
2024-03-26,0,8,4
2024-03-27,0,4,15
2024-03-28,0,8,5
2024-03-29,0,9,9
2024-03-30,1,8,1
2024-03-31,1,2,0
2024-04-01,0,6,2
2024-04-02,4,5,7
2024-04-03,1,14,7
2024-04-04,0,13,11
2024-04-05,0,16,5
2024-04-06,0,1,1
2024-04-07,0,6,1
2024-04-08,1,5,4
2024-04-09,1,22,4
2024-04-10,1,11,3
2024-04-11,0,7,2
2024-04-12,1,6,8
