,davisking/dlib,opencv/opencv,scikit-image/scikit-image
2010-12-22,18,7,0
2010-12-23,12,14,0
2010-12-24,3,5,0
2010-12-25,0,0,0
2010-12-26,13,1,0
2010-12-27,1,7,0
2010-12-28,4,6,0
2010-12-29,1,4,0
2010-12-30,6,1,0
2010-12-31,28,2,0
2011-01-01,3,0,0
2011-01-02,6,0,0
2011-01-03,4,1,0
2011-01-04,1,0,0
2011-01-05,0,2,0
2011-01-06,0,1,0
2011-01-07,0,1,3
2011-01-08,0,1,0
2011-01-09,0,0,0
2011-01-10,0,1,0
2011-01-11,0,5,0
2011-01-12,0,11,0
2011-01-13,6,10,0
2011-01-14,0,5,0
2011-01-15,0,0,0
2011-01-16,0,0,0
2011-01-17,0,11,0
2011-01-18,1,6,0
2011-01-19,0,11,0
2011-01-20,0,7,0
2011-01-21,0,14,0
2011-01-22,9,0,0
2011-01-23,0,0,0
2011-01-24,0,7,0
2011-01-25,0,10,0
2011-01-26,0,9,0
2011-01-27,0,9,0
2011-01-28,0,8,2
2011-01-29,0,0,0
2011-01-30,0,1,0
2011-01-31,0,18,0
2011-02-01,0,9,0
2011-02-02,0,9,0
2011-02-03,2,5,0
2011-02-04,3,7,0
2011-02-05,4,0,0
2011-02-06,5,0,0
2011-02-07,4,9,0
2011-02-08,4,1,0
2011-02-09,2,12,0
2011-02-10,1,4,0
2011-02-11,4,3,1
2011-02-12,0,0,0
2011-02-13,1,2,0
2011-02-14,4,9,0
2011-02-15,1,8,0
2011-02-16,0,6,0
2011-02-17,0,10,0
2011-02-18,0,12,0
2011-02-19,0,0,0
2011-02-20,0,1,0
2011-02-21,0,4,0
2011-02-22,1,5,0
2011-02-23,0,2,0
2011-02-24,0,2,0
2011-02-25,0,1,0
2011-02-26,0,1,0
2011-02-27,0,3,0
2011-02-28,0,5,0
2011-03-01,0,3,0
2011-03-02,2,2,0
2011-03-03,3,2,0
2011-03-04,0,0,0
2011-03-05,0,5,0
2011-03-06,0,1,0
2011-03-07,0,2,0
2011-03-08,0,1,1
2011-03-09,0,1,0
2011-03-10,1,1,0
2011-03-11,0,1,0
2011-03-12,0,0,0
2011-03-13,4,2,12
2011-03-14,0,3,7
2011-03-15,4,2,0
2011-03-16,2,2,0
2011-03-17,0,2,0
2011-03-18,5,0,0
2011-03-19,0,0,0
2011-03-20,4,0,0
2011-03-21,0,0,0
2011-03-22,3,3,0
2011-03-23,10,1,0
2011-03-24,13,2,0
2011-03-25,0,2,0
2011-03-26,0,0,1
2011-03-27,0,0,0
2011-03-28,0,5,0
2011-03-29,0,1,0
2011-03-30,0,3,1
2011-03-31,0,4,0
2011-04-01,0,5,1
2011-04-02,0,3,1
2011-04-03,0,2,0
2011-04-04,0,4,0
2011-04-05,0,1,4
2011-04-06,0,3,0
2011-04-07,2,3,3
2011-04-08,1,3,2
2011-04-09,1,0,0
2011-04-10,0,3,0
2011-04-11,0,2,3
2011-04-12,0,0,0
2011-04-13,0,1,0
2011-04-14,0,1,0
2011-04-15,0,6,0
2011-04-16,0,0,0
2011-04-17,1,3,1
2011-04-18,14,8,1
2011-04-19,0,5,4
2011-04-20,0,4,0
2011-04-21,0,8,0
2011-04-22,3,7,0
2011-04-23,2,4,0
2011-04-24,0,3,0
2011-04-25,0,9,0
2011-04-26,0,14,0
2011-04-27,0,5,0
2011-04-28,0,2,0
2011-04-29,9,14,0
2011-04-30,0,15,0
2011-05-01,2,3,0
2011-05-02,0,7,0
2011-05-03,1,8,0
2011-05-04,8,8,0
2011-05-05,1,6,0
2011-05-06,0,17,0
2011-05-07,4,2,0
2011-05-08,0,5,0
2011-05-09,0,15,2
2011-05-10,5,10,0
2011-05-11,0,19,0
2011-05-12,0,3,0
2011-05-13,6,6,0
2011-05-14,10,0,0
2011-05-15,9,6,0
2011-05-16,4,6,0
2011-05-17,3,11,2
2011-05-18,0,13,0
2011-05-19,2,5,0
2011-05-20,8,10,4
2011-05-21,6,15,0
2011-05-22,9,0,0
2011-05-23,2,18,0
2011-05-24,1,14,0
2011-05-25,1,10,0
2011-05-26,1,7,0
2011-05-27,10,9,0
2011-05-28,27,7,1
2011-05-29,14,2,0
2011-05-30,4,19,2
2011-05-31,1,22,7
2011-06-01,1,29,0
2011-06-02,3,17,0
2011-06-03,4,14,0
2011-06-04,13,2,0
2011-06-05,7,2,0
2011-06-06,0,8,0
2011-06-07,6,16,0
2011-06-08,4,21,0
2011-06-09,3,25,0
2011-06-10,2,18,0
