,NativeScript/NativeScript,ionic-team/ionic-framework,flutter/flutter
2019-10-11,0,4,19
2019-10-12,0,0,0
2019-10-13,0,0,1
2019-10-14,2,10,16
2019-10-15,6,8,26
2019-10-16,6,1,11
2019-10-17,2,3,15
2019-10-18,0,3,24
2019-10-19,0,0,0
2019-10-20,0,0,0
2019-10-21,2,6,13
2019-10-22,4,1,11
2019-10-23,3,0,12
2019-10-24,2,0,28
2019-10-25,1,0,12
2019-10-26,0,0,9
2019-10-27,0,0,0
2019-10-28,2,0,29
2019-10-29,4,5,24
2019-10-30,0,15,20
2019-10-31,1,2,19
2019-11-01,1,2,19
2019-11-02,0,0,2
2019-11-03,0,0,0
2019-11-04,0,0,5
2019-11-05,0,0,30
2019-11-06,4,1,23
2019-11-07,5,17,19
2019-11-08,1,5,18
2019-11-09,0,0,12
2019-11-10,0,0,2
2019-11-11,1,2,10
2019-11-12,2,1,9
2019-11-13,0,1,12
2019-11-14,4,6,20
2019-11-15,0,0,17
2019-11-16,0,0,7
2019-11-17,0,0,3
2019-11-18,1,3,13
2019-11-19,2,2,24
2019-11-20,4,4,21
2019-11-21,7,1,22
2019-11-22,1,1,23
2019-11-23,0,0,9
2019-11-24,0,0,1
2019-11-25,0,0,13
2019-11-26,4,0,20
2019-11-27,1,0,21
2019-11-28,1,0,7
2019-11-29,2,0,1
2019-11-30,0,0,1
2019-12-01,0,0,0
2019-12-02,1,1,8
2019-12-03,5,0,23
2019-12-04,3,1,27
2019-12-05,3,2,19
2019-12-06,2,0,15
2019-12-07,0,0,1
2019-12-08,0,0,0
2019-12-09,2,0,13
2019-12-10,1,2,20
2019-12-11,0,12,6
2019-12-12,1,4,12
2019-12-13,5,0,16
2019-12-14,0,0,0
2019-12-15,0,0,0
2019-12-16,2,4,12
2019-12-17,2,0,16
2019-12-18,0,3,21
2019-12-19,0,0,19
2019-12-20,2,0,7
2019-12-21,0,0,7
2019-12-22,0,0,0
2019-12-23,0,0,5
2019-12-24,0,0,2
2019-12-25,0,0,0
2019-12-26,0,0,8
2019-12-27,0,0,5
2019-12-28,0,0,3
2019-12-29,0,0,1
2019-12-30,0,0,3
2019-12-31,0,0,1
2020-01-01,0,0,0
2020-01-02,0,1,6
2020-01-03,1,10,14
2020-01-04,0,0,1
2020-01-05,0,0,0
2020-01-06,1,5,14
2020-01-07,0,0,13
2020-01-08,2,1,28
2020-01-09,1,4,11
2020-01-10,2,0,18
2020-01-11,0,0,6
2020-01-12,0,0,0
2020-01-13,0,11,11
2020-01-14,2,5,18
2020-01-15,1,1,12
2020-01-16,3,1,26
2020-01-17,0,4,22
2020-01-18,0,1,2
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,1,3,9
2020-01-22,1,1,26
2020-01-23,1,17,5
2020-01-24,0,4,18
2020-01-25,0,0,15
2020-01-26,0,0,3
2020-01-27,2,15,12
2020-01-28,1,2,28
2020-01-29,0,8,24
2020-01-30,3,3,19
2020-01-31,3,2,23
2020-02-01,0,0,5
2020-02-02,0,0,0
2020-02-03,1,0,8
2020-02-04,0,2,21
2020-02-05,7,4,17
2020-02-06,2,2,27
2020-02-07,0,5,24
2020-02-08,0,0,5
2020-02-09,0,0,0
2020-02-10,1,3,18
2020-02-11,0,7,14
2020-02-12,0,4,22
2020-02-13,2,2,27
2020-02-14,0,7,13
2020-02-15,0,0,4
2020-02-16,0,0,0
2020-02-17,3,0,1
2020-02-18,0,7,13
2020-02-19,0,6,10
2020-02-20,0,2,18
2020-02-21,6,1,10
2020-02-22,0,0,0
2020-02-23,1,0,5
2020-02-24,1,7,11
2020-02-25,4,1,15
2020-02-26,2,8,21
2020-02-27,7,7,22
2020-02-28,0,0,27
2020-02-29,0,0,6
2020-03-01,0,0,0
2020-03-02,0,2,7
2020-03-03,0,0,15
2020-03-04,0,0,17
2020-03-05,1,2,22
2020-03-06,4,4,25
2020-03-07,2,0,3
2020-03-08,0,0,6
2020-03-09,6,0,10
2020-03-10,7,1,23
2020-03-11,1,9,15
2020-03-12,0,3,16
2020-03-13,2,1,23
2020-03-14,0,0,10
2020-03-15,0,0,7
2020-03-16,3,3,13
2020-03-17,1,1,12
2020-03-18,1,5,25
2020-03-19,2,1,22
2020-03-20,2,1,22
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,1,1,7
2020-03-24,1,6,16
2020-03-25,0,36,31
2020-03-26,4,4,11
2020-03-27,0,0,16
2020-03-28,0,0,5
2020-03-29,1,0,3
2020-03-30,1,3,12
2020-03-31,0,1,19
2020-04-01,2,2,17
2020-04-02,3,2,17
2020-04-03,4,2,21
2020-04-04,0,0,5
2020-04-05,0,0,9
2020-04-06,1,0,16
2020-04-07,1,1,21
2020-04-08,0,2,20
2020-04-09,0,0,19
2020-04-10,2,1,27
2020-04-11,0,0,9
2020-04-12,0,0,4
2020-04-13,0,0,15
2020-04-14,2,0,9
2020-04-15,0,3,12
