,microsoft/typescript,google/closure-compiler,rescript-lang/rescript-compiler
2019-06-02,3,0,0
2019-06-03,7,2,13
2019-06-04,6,9,7
2019-06-05,18,0,10
2019-06-06,22,6,4
2019-06-07,9,1,0
2019-06-08,2,1,1
2019-06-09,7,0,4
2019-06-10,3,0,7
2019-06-11,7,6,6
2019-06-12,6,1,11
2019-06-13,4,0,16
2019-06-14,32,9,8
2019-06-15,1,0,0
2019-06-16,0,0,4
2019-06-17,9,3,5
2019-06-18,8,6,13
2019-06-19,23,4,1
2019-06-20,20,4,15
2019-06-21,19,1,8
2019-06-22,6,0,0
2019-06-23,5,0,0
2019-06-24,8,3,9
2019-06-25,15,3,4
2019-06-26,19,12,4
2019-06-27,17,8,5
2019-06-28,18,2,2
2019-06-29,7,0,6
2019-06-30,8,0,0
2019-07-01,27,8,7
2019-07-02,7,4,3
2019-07-03,14,4,4
2019-07-04,2,0,14
2019-07-05,9,0,10
2019-07-06,0,0,0
2019-07-07,1,0,13
2019-07-08,15,8,6
2019-07-09,5,5,11
2019-07-10,11,0,7
2019-07-11,16,11,9
2019-07-12,17,0,6
2019-07-13,2,14,9
2019-07-14,0,0,0
2019-07-15,11,0,16
2019-07-16,14,0,5
2019-07-17,19,15,5
2019-07-18,11,7,9
2019-07-19,8,5,14
2019-07-20,6,0,0
2019-07-21,1,0,5
2019-07-22,5,3,13
2019-07-23,7,6,2
2019-07-24,5,8,3
2019-07-25,14,3,7
2019-07-26,9,11,8
2019-07-27,1,0,0
2019-07-28,3,0,0
2019-07-29,14,6,27
2019-07-30,9,4,12
2019-07-31,7,0,6
2019-08-01,10,9,8
2019-08-02,16,2,6
2019-08-03,5,6,0
2019-08-04,6,0,4
2019-08-05,9,0,16
2019-08-06,22,3,8
2019-08-07,10,0,7
2019-08-08,11,0,18
2019-08-09,37,0,6
2019-08-10,8,3,0
2019-08-11,0,0,2
2019-08-12,7,1,8
2019-08-13,7,2,0
2019-08-14,16,3,9
2019-08-15,22,2,14
2019-08-16,23,5,6
2019-08-17,4,0,0
2019-08-18,2,0,0
2019-08-19,14,5,6
2019-08-20,10,2,1
2019-08-21,7,4,2
2019-08-22,6,2,3
2019-08-23,9,7,4
2019-08-24,1,0,4
2019-08-25,0,0,0
2019-08-26,11,0,7
2019-08-27,13,13,2
2019-08-28,8,4,13
2019-08-29,7,4,10
2019-08-30,10,0,2
2019-08-31,5,7,0
2019-09-01,0,0,0
2019-09-02,4,0,14
2019-09-03,8,4,12
2019-09-04,18,0,2
2019-09-05,14,10,0
2019-09-06,7,0,4
2019-09-07,3,0,0
2019-09-08,0,0,2
2019-09-09,11,0,24
2019-09-10,8,10,3
2019-09-11,19,12,19
2019-09-12,11,4,10
2019-09-13,7,4,0
2019-09-14,3,0,0
2019-09-15,5,0,6
2019-09-16,9,2,1
2019-09-17,12,3,9
2019-09-18,13,7,8
2019-09-19,6,0,12
2019-09-20,12,10,7
2019-09-21,8,0,5
2019-09-22,0,0,0
2019-09-23,15,5,7
2019-09-24,30,5,2
2019-09-25,18,0,3
2019-09-26,13,12,8
2019-09-27,23,1,1
2019-09-28,0,0,5
2019-09-29,0,0,0
2019-09-30,17,8,0
2019-10-01,14,1,4
2019-10-02,8,2,1
2019-10-03,12,2,0
2019-10-04,16,8,0
2019-10-05,5,0,0
2019-10-06,7,0,0
2019-10-07,3,6,1
