,eugeny/tabby,gnome-terminator/terminator,alacritty/alacritty
2021-09-13,1,2,0
2021-09-14,0,1,1
2021-09-15,0,0,1
2021-09-16,10,0,0
2021-09-17,1,0,1
2021-09-18,0,0,0
2021-09-19,2,2,1
2021-09-20,2,0,0
2021-09-21,0,1,0
2021-09-22,0,0,0
2021-09-23,0,0,0
2021-09-24,12,0,0
2021-09-25,2,0,0
2021-09-26,0,1,0
2021-09-27,0,0,1
2021-09-28,0,0,1
2021-09-29,0,0,0
2021-09-30,0,0,0
2021-10-01,1,2,0
2021-10-02,0,0,0
2021-10-03,0,0,1
2021-10-04,7,0,0
2021-10-05,0,0,0
2021-10-06,0,0,0
2021-10-07,10,0,0
2021-10-08,0,0,0
2021-10-09,0,0,0
2021-10-10,0,1,0
2021-10-11,0,1,1
2021-10-12,0,1,0
2021-10-13,0,0,0
2021-10-14,0,0,0
2021-10-15,0,0,0
2021-10-16,3,0,0
2021-10-17,0,0,0
2021-10-18,4,0,0
2021-10-19,3,0,0
2021-10-20,0,0,0
2021-10-21,0,0,0
2021-10-22,1,0,1
2021-10-23,4,0,1
2021-10-24,3,0,0
2021-10-25,1,0,0
2021-10-26,0,0,0
2021-10-27,2,0,0
2021-10-28,6,0,0
2021-10-29,1,0,0
2021-10-30,0,0,0
2021-10-31,6,0,0
2021-11-01,0,0,0
2021-11-02,1,3,1
2021-11-03,0,0,0
2021-11-04,0,0,0
2021-11-05,0,0,0
2021-11-06,18,2,0
2021-11-07,10,0,0
2021-11-08,0,0,1
2021-11-09,0,0,0
2021-11-10,0,0,0
2021-11-11,0,2,1
2021-11-12,0,0,0
2021-11-13,2,0,0
2021-11-14,6,0,0
2021-11-15,8,0,1
2021-11-16,0,0,0
2021-11-17,0,0,0
2021-11-18,0,0,0
2021-11-19,7,0,1
2021-11-20,4,0,0
2021-11-21,3,0,0
2021-11-22,0,0,1
2021-11-23,0,0,0
2021-11-24,0,0,0
2021-11-25,3,0,0
2021-11-26,0,0,0
2021-11-27,0,0,0
2021-11-28,1,0,0
2021-11-29,0,0,0
2021-11-30,1,0,0
2021-12-01,1,2,0
2021-12-02,0,3,0
2021-12-03,0,0,3
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,17,0,0
2021-12-07,2,2,0
2021-12-08,9,2,0
2021-12-09,7,3,0
2021-12-10,0,3,0
2021-12-11,0,0,1
2021-12-12,12,0,0
2021-12-13,0,0,0
2021-12-14,2,1,0
2021-12-15,3,0,0
2021-12-16,0,0,0
2021-12-17,0,1,1
2021-12-18,0,2,4
2021-12-19,6,2,0
2021-12-20,0,1,0
2021-12-21,5,0,0
2021-12-22,9,0,0
2021-12-23,2,0,1
2021-12-24,2,0,0
2021-12-25,1,2,1
2021-12-26,3,3,2
2021-12-27,4,0,1
2021-12-28,1,0,0
2021-12-29,1,0,0
2021-12-30,17,0,0
2021-12-31,1,0,0
2022-01-01,0,0,0
2022-01-02,0,0,0
2022-01-03,0,0,2
2022-01-04,0,0,2
2022-01-05,0,0,2
2022-01-06,0,0,1
2022-01-07,3,0,1
2022-01-08,11,0,1
2022-01-09,4,0,0
2022-01-10,4,0,1
2022-01-11,0,0,3
2022-01-12,0,0,0
2022-01-13,12,0,3
2022-01-14,1,0,0
2022-01-15,8,0,1
2022-01-16,9,0,0
2022-01-17,1,0,0
2022-01-18,25,0,0
2022-01-19,0,0,0
2022-01-20,1,0,1
2022-01-21,0,1,2
2022-01-22,3,0,1
2022-01-23,0,1,1
2022-01-24,5,0,0
2022-01-25,1,0,0
2022-01-26,10,1,0
2022-01-27,3,0,0
2022-01-28,6,3,0
2022-01-29,6,1,2
2022-01-30,18,0,3
2022-01-31,19,2,0
2022-02-01,8,1,1
2022-02-02,0,0,2
2022-02-03,3,0,2
2022-02-04,0,0,0
2022-02-05,4,0,0
2022-02-06,0,0,0
2022-02-07,16,0,1
2022-02-08,2,0,2
2022-02-09,7,0,3
2022-02-10,7,0,4
2022-02-11,1,0,0
2022-02-12,2,0,0
2022-02-13,2,0,0
2022-02-14,2,0,1
2022-02-15,10,0,0
2022-02-16,3,0,2
2022-02-17,2,0,1
2022-02-18,0,0,0
2022-02-19,0,0,0
2022-02-20,0,0,0
2022-02-21,2,0,0
2022-02-22,5,0,2
2022-02-23,15,0,0
2022-02-24,3,0,1
2022-02-25,0,0,0
2022-02-26,1,0,0
2022-02-27,0,0,1
2022-02-28,5,0,0
2022-03-01,0,0,0
2022-03-02,0,0,2
2022-03-03,8,0,0
2022-03-04,0,0,0
2022-03-05,0,0,0
2022-03-06,1,0,1
2022-03-07,0,0,0
2022-03-08,23,0,0
2022-03-09,10,0,0
2022-03-10,0,0,2
2022-03-11,0,0,1
2022-03-12,6,0,0
2022-03-13,1,0,0
2022-03-14,2,0,1
2022-03-15,0,0,0
2022-03-16,11,0,1
2022-03-17,0,0,0
2022-03-18,0,0,0
2022-03-19,2,0,0
2022-03-20,0,0,0
2022-03-21,7,0,0
2022-03-22,3,0,0
