,django/django,expressjs/express,pallets/flask
2018-09-15,0.0,0,0
2018-09-16,1.0,0,0
2018-09-17,5.0,0,6
2018-09-18,6.0,0,0
2018-09-19,3.0,5,4
2018-09-20,0.0,1,0
2018-09-21,0.0,0,3
2018-09-22,0.0,2,0
2018-09-23,0.0,0,2
2018-09-24,0.0,0,0
2018-09-25,11.0,1,0
2018-09-26,11.0,0,0
2018-09-27,1.0,1,0
2018-09-28,2.0,0,0
2018-09-29,2.0,0,0
2018-09-30,0.0,0,1
2018-10-01,15.0,0,0
2018-10-02,14.0,0,0
2018-10-03,5.0,0,0
2018-10-04,7.0,0,0
2018-10-05,1.0,0,0
2018-10-06,0.0,0,0
2018-10-07,0.0,0,0
2018-10-08,2.0,0,0
2018-10-09,3.0,0,0
2018-10-10,4.0,0,0
2018-10-11,3.0,1,0
2018-10-12,4.0,0,0
2018-10-13,1.0,0,1
2018-10-14,2.0,0,0
2018-10-15,4.0,0,0
2018-10-16,2.0,0,0
2018-10-17,6.0,0,0
2018-10-18,2.0,0,0
2018-10-19,0.0,0,0
2018-10-20,2.0,0,0
2018-10-21,4.0,0,0
2018-10-22,5.0,0,0
2018-10-23,3.0,0,2
2018-10-24,6.0,2,2
2018-10-25,8.0,0,2
2018-10-26,1.0,0,0
2018-10-27,2.0,9,2
2018-10-28,1.0,1,0
2018-10-29,9.0,0,0
2018-10-30,5.0,0,1
2018-10-31,2.0,0,0
2018-11-01,6.0,0,0
2018-11-02,1.0,0,0
2018-11-03,4.0,0,0
2018-11-04,2.0,0,1
2018-11-05,0.0,0,0
2018-11-06,1.0,0,0
2018-11-07,2.0,0,2
2018-11-08,1.0,0,0
2018-11-09,8.0,0,0
2018-11-10,6.0,0,0
2018-11-11,1.0,0,0
2018-11-12,3.0,0,1
2018-11-13,6.0,0,6
2018-11-14,5.0,0,0
2018-11-15,5.0,0,0
2018-11-16,3.0,0,0
2018-11-17,4.0,0,0
2018-11-18,3.0,0,0
2018-11-19,4.0,0,0
2018-11-20,8.0,0,0
2018-11-21,2.0,0,0
2018-11-22,1.0,0,0
2018-11-23,5.0,0,0
2018-11-24,1.0,0,0
2018-11-25,1.0,0,0
2018-11-26,4.0,0,0
2018-11-27,8.0,0,0
2018-11-28,2.0,0,1
2018-11-29,3.0,0,0
2018-11-30,6.0,0,0
2018-12-01,0.0,0,0
2018-12-02,0.0,0,0
2018-12-03,3.0,0,0
2018-12-04,1.0,0,0
2018-12-05,4.0,0,0
2018-12-06,7.0,0,0
2018-12-07,1.0,0,0
2018-12-08,0.0,0,2
2018-12-09,1.0,0,0
2018-12-10,2.0,0,0
2018-12-11,0.0,0,0
2018-12-12,1.0,0,0
2018-12-13,0.0,0,0
2018-12-14,0.0,0,0
2018-12-15,1.0,0,0
2018-12-16,0.0,0,0
2018-12-17,5.0,0,0
2018-12-18,0.0,3,0
2018-12-19,3.0,0,0
2018-12-20,0.0,0,0
2018-12-21,7.0,0,2
2018-12-22,13.0,0,0
2018-12-23,0.0,0,0
2018-12-24,5.0,0,0
2018-12-25,0.0,0,0
2018-12-26,5.0,0,0
2018-12-27,4.0,0,0
2018-12-28,1.0,0,0
2018-12-29,0.0,0,0
2018-12-30,3.0,0,0
2018-12-31,2.0,0,0
2019-01-01,4.0,0,0
2019-01-02,4.0,0,0
2019-01-03,2.0,0,0
2019-01-04,2.0,0,2
2019-01-05,0.0,0,7
2019-01-06,0.0,0,40
2019-01-07,0.0,0,15
2019-01-08,1.0,0,0
2019-01-09,8.0,0,0
2019-01-10,6.0,0,0
2019-01-11,7.0,0,0
2019-01-12,6.0,0,3
2019-01-13,1.0,0,0
2019-01-14,15.0,0,0
2019-01-15,6.0,0,0
2019-01-16,7.0,0,0
2019-01-17,21.0,0,0
2019-01-18,3.0,0,1
2019-01-19,3.0,0,0
2019-01-20,0.0,0,0
2019-01-21,6.0,0,0
2019-01-22,3.0,0,0
2019-01-23,5.0,0,0
2019-01-24,1.0,0,0
2019-01-25,1.0,0,2
2019-01-26,1.0,0,0
2019-01-27,3.0,0,0
2019-01-28,8.0,0,0
2019-01-29,3.0,0,0
2019-01-30,5.0,0,0
2019-01-31,4.0,0,0
2019-02-01,2.0,0,0
2019-02-02,2.0,0,0
2019-02-03,0.0,0,0
2019-02-04,6.0,0,0
2019-02-05,14.0,0,0
2019-02-06,8.0,0,0
2019-02-07,3.0,0,0
2019-02-08,6.0,0,0
2019-02-09,13.0,0,0
2019-02-10,2.0,0,0
2019-02-11,7.0,0,0
2019-02-12,5.0,0,0
2019-02-13,4.0,0,0
2019-02-14,7.0,0,0
2019-02-15,1.0,0,0
2019-02-16,1.0,0,0
2019-02-17,0.0,0,0
2019-02-18,0.0,0,0
2019-02-19,0.0,0,0
2019-02-20,3.0,0,0
2019-02-21,6.0,0,0
2019-02-22,0.0,0,0
2019-02-23,1.0,0,2
2019-02-24,1.0,0,2
2019-02-25,6.0,0,0
2019-02-26,2.0,0,0
2019-02-27,4.0,0,0
2019-02-28,3.0,0,0
2019-03-01,5.0,0,0
2019-03-02,3.0,0,0
2019-03-03,1.0,0,0
2019-03-04,1.0,0,0
2019-03-05,3.0,0,0
2019-03-06,1.0,0,2
2019-03-07,3.0,0,0
2019-03-08,3.0,0,0
2019-03-09,2.0,0,0
2019-03-10,0.0,0,0
2019-03-11,2.0,0,0
2019-03-12,3.0,0,0
2019-03-13,1.0,0,0
2019-03-14,2.0,0,0
2019-03-15,3.0,0,0
2019-03-16,0.0,0,0
2019-03-17,0.0,0,0
2019-03-18,6.0,0,0
2019-03-19,0.0,0,0
2019-03-20,5.0,0,0
2019-03-21,10.0,0,0
2019-03-22,7.0,0,0
2019-03-23,7.0,0,0
2019-03-24,1.0,0,0
2019-03-25,5.0,0,0
2019-03-26,1.0,0,0
2019-03-27,10.0,0,0
2019-03-28,8.0,0,0
2019-03-29,4.0,0,0
2019-03-30,10.0,0,0
2019-03-31,0.0,0,0
2019-04-01,7.0,0,0
2019-04-02,2.0,0,0
2019-04-03,4.0,0,0
2019-04-04,1.0,0,0
2019-04-05,5.0,0,0
2019-04-06,2.0,0,0
2019-04-07,0.0,0,0
2019-04-08,5.0,0,0
2019-04-09,1.0,0,0
2019-04-10,0.0,0,0
2019-04-11,0.0,0,0
2019-04-12,0.0,0,2
2019-04-13,4.0,0,0
2019-04-14,4.0,0,0
2019-04-15,5.0,0,2
2019-04-16,4.0,4,0
2019-04-17,4.0,8,0
2019-04-18,6.0,0,0
2019-04-19,5.0,0,0
2019-04-20,0.0,0,0
2019-04-21,2.0,0,0
2019-04-22,0.0,1,0
2019-04-23,4.0,0,0
2019-04-24,6.0,0,0
2019-04-25,8.0,0,0
2019-04-26,2.0,0,0
2019-04-27,2.0,0,0
2019-04-28,0.0,0,0
2019-04-29,9.0,0,0
2019-04-30,5.0,0,0
2019-05-01,2.0,5,0
2019-05-02,3.0,3,0
2019-05-03,7.0,0,0
2019-05-04,0.0,0,7
2019-05-05,0.0,0,2
2019-05-06,2.0,0,9
2019-05-07,9.0,0,0
2019-05-08,8.0,4,1
2019-05-09,5.0,5,0
2019-05-10,1.0,1,0
2019-05-11,0.0,2,0
2019-05-12,1.0,0,0
2019-05-13,3.0,3,2
2019-05-14,1.0,0,0
2019-05-15,4.0,0,0
2019-05-16,4.0,4,25
2019-05-17,8.0,2,18
2019-05-18,1.0,0,3
2019-05-19,0.0,0,14
2019-05-20,5.0,0,0
2019-05-21,8.0,0,0
2019-05-22,5.0,0,0
2019-05-23,2.0,0,5
2019-05-24,8.0,0,7
2019-05-25,0.0,2,5
2019-05-26,0.0,1,0
2019-05-27,5.0,0,0
2019-05-28,4.0,0,0
2019-05-29,3.0,0,0
2019-05-30,1.0,0,0
2019-05-31,7.0,0,29
2019-06-01,0.0,0,12
2019-06-02,0.0,0,0
2019-06-03,8.0,0,0
2019-06-04,4.0,0,0
2019-06-05,5.0,0,0
2019-06-06,4.0,0,0
2019-06-07,5.0,0,0
2019-06-08,0.0,1,0
2019-06-09,0.0,0,0
2019-06-10,4.0,0,1
2019-06-11,5.0,0,0
2019-06-12,5.0,0,12
2019-06-13,5.0,0,3
2019-06-14,1.0,0,0
2019-06-15,1.0,0,0
2019-06-16,0.0,0,0
2019-06-17,1.0,0,0
2019-06-18,2.0,0,0
2019-06-19,4.0,0,1
2019-06-20,7.0,0,0
2019-06-21,4.0,0,4
2019-06-22,1.0,0,2
2019-06-23,0.0,0,6
2019-06-24,7.0,0,0
2019-06-25,2.0,0,0
2019-06-26,3.0,0,3
2019-06-27,3.0,0,2
2019-06-28,3.0,0,0
2019-06-29,1.0,0,0
2019-06-30,1.0,0,0
2019-07-01,7.0,0,11
2019-07-02,4.0,0,3
2019-07-03,4.0,0,3
2019-07-04,4.0,0,3
2019-07-05,1.0,0,0
2019-07-06,0.0,0,0
2019-07-07,0.0,0,3
2019-07-08,4.0,0,4
2019-07-09,2.0,0,0
2019-07-10,6.0,0,6
2019-07-11,4.0,0,0
2019-07-12,2.0,0,0
2019-07-13,1.0,0,0
2019-07-14,0.0,0,0
2019-07-15,1.0,0,0
2019-07-16,6.0,0,0
2019-07-17,0.0,0,0
2019-07-18,2.0,0,0
2019-07-19,4.0,0,0
2019-07-20,1.0,0,0
2019-07-21,0.0,0,2
2019-07-22,1.0,0,4
2019-07-23,5.0,0,0
2019-07-24,2.0,0,1
2019-07-25,5.0,0,1
2019-07-26,1.0,0,0
2019-07-27,3.0,0,0
2019-07-28,0.0,0,0
2019-07-29,3.0,0,0
2019-07-30,4.0,0,0
2019-07-31,7.0,0,0
2019-08-01,11.0,0,8
2019-08-02,8.0,0,0
2019-08-03,0.0,0,0
2019-08-04,0.0,0,0
2019-08-05,4.0,3,0
2019-08-06,0.0,0,0
2019-08-07,2.0,0,0
2019-08-08,2.0,0,0
2019-08-09,2.0,0,1
2019-08-10,0.0,0,0
2019-08-11,3.0,0,0
2019-08-12,6.0,0,0
2019-08-13,5.0,0,1
2019-08-14,2.0,0,0
2019-08-15,2.0,0,0
2019-08-16,3.0,0,2
2019-08-17,2.0,0,0
2019-08-18,3.0,0,0
2019-08-19,6.0,0,0
2019-08-20,4.0,0,0
2019-08-21,2.0,0,0
2019-08-22,3.0,0,0
2019-08-23,8.0,0,0
2019-08-24,0.0,0,1
2019-08-25,0.0,0,2
2019-08-26,5.0,0,0
2019-08-27,3.0,0,0
2019-08-28,3.0,0,1
2019-08-29,8.0,0,0
2019-08-30,2.0,0,0
2019-08-31,2.0,0,0
2019-09-01,0.0,0,0
2019-09-02,5.0,0,2
2019-09-03,2.0,0,0
2019-09-04,4.0,0,0
2019-09-05,5.0,0,0
2019-09-06,3.0,0,0
2019-09-07,0.0,0,0
2019-09-08,1.0,0,0
2019-09-09,10.0,0,0
2019-09-10,15.0,0,0
2019-09-11,4.0,0,0
2019-09-12,3.0,0,0
2019-09-13,2.0,0,0
2019-09-14,1.0,0,0
2019-09-15,0.0,0,0
2019-09-16,4.0,0,0
2019-09-17,3.0,0,0
2019-09-18,2.0,0,0
2019-09-19,2.0,0,0
2019-09-20,4.0,0,0
2019-09-21,1.0,0,0
2019-09-22,0.0,0,0
2019-09-23,6.0,0,11
2019-09-24,8.0,0,5
2019-09-25,4.0,0,0
2019-09-26,0.0,0,0
2019-09-27,7.0,0,0
2019-09-28,0.0,0,0
2019-09-29,0.0,0,0
2019-09-30,4.0,0,0
2019-10-01,7.0,0,0
2019-10-02,10.0,0,0
2019-10-03,4.0,0,0
2019-10-04,1.0,0,0
2019-10-05,0.0,0,0
2019-10-06,0.0,0,1
2019-10-07,2.0,0,0
2019-10-08,2.0,0,2
2019-10-09,12.0,0,0
2019-10-10,5.0,0,0
2019-10-11,6.0,0,0
2019-10-12,0.0,0,0
2019-10-13,0.0,0,4
2019-10-14,4.0,0,2
2019-10-15,6.0,0,0
2019-10-16,4.0,0,0
2019-10-17,2.0,0,0
2019-10-18,6.0,0,3
2019-10-19,0.0,0,0
2019-10-20,0.0,0,0
2019-10-21,7.0,0,0
2019-10-22,3.0,0,0
2019-10-23,9.0,0,0
2019-10-24,8.0,0,0
2019-10-25,7.0,0,0
2019-10-26,0.0,0,1
2019-10-27,0.0,0,0
2019-10-28,5.0,0,2
2019-10-29,9.0,0,2
2019-10-30,7.0,0,0
2019-10-31,7.0,0,0
2019-11-01,1.0,0,0
2019-11-02,0.0,0,2
2019-11-03,0.0,0,0
2019-11-04,10.0,0,0
2019-11-05,8.0,0,0
2019-11-06,11.0,0,0
2019-11-07,7.0,0,0
2019-11-08,7.0,0,0
2019-11-09,0.0,0,0
2019-11-10,0.0,0,0
2019-11-11,5.0,4,0
2019-11-12,5.0,0,0
2019-11-13,4.0,0,1
2019-11-14,2.0,0,0
2019-11-15,3.0,0,0
2019-11-16,0.0,0,0
2019-11-17,0.0,0,0
2019-11-18,15.0,0,0
2019-11-19,7.0,0,16
2019-11-20,4.0,0,0
2019-11-21,9.0,0,0
2019-11-22,5.0,0,0
2019-11-23,0.0,0,0
2019-11-24,0.0,0,1
2019-11-25,10.0,0,0
2019-11-26,3.0,0,0
2019-11-27,9.0,0,0
2019-11-28,5.0,0,0
2019-11-29,3.0,0,0
2019-11-30,0.0,0,0
2019-12-01,0.0,0,0
2019-12-02,13.0,0,0
2019-12-03,7.0,0,0
2019-12-04,9.0,0,0
2019-12-05,6.0,0,0
2019-12-06,7.0,0,0
2019-12-07,0.0,0,0
2019-12-08,0.0,0,0
2019-12-09,6.0,0,0
2019-12-10,6.0,0,0
2019-12-11,5.0,0,0
2019-12-12,9.0,0,0
2019-12-13,1.0,0,0
2019-12-14,2.0,0,0
2019-12-15,0.0,0,0
2019-12-16,3.0,0,0
2019-12-17,1.0,0,0
2019-12-18,7.0,0,0
2019-12-19,5.0,0,0
2019-12-20,3.0,0,0
2019-12-21,1.0,0,0
2019-12-22,0.0,0,0
2019-12-23,6.0,0,0
2019-12-24,0.0,0,0
2019-12-25,0.0,0,0
2019-12-26,0.0,0,0
2019-12-27,5.0,0,0
2019-12-28,0.0,0,0
2019-12-29,0.0,0,0
2019-12-30,6.0,0,0
2019-12-31,6.0,0,0
2020-01-01,0.0,0,0
2020-01-02,4.0,0,0
2020-01-03,5.0,0,0
2020-01-04,1.0,0,0
2020-01-05,0.0,0,0
2020-01-06,3.0,0,0
2020-01-07,4.0,0,0
2020-01-08,5.0,0,0
2020-01-09,10.0,4,0
2020-01-10,4.0,0,0
2020-01-11,2.0,0,0
2020-01-12,0.0,0,0
2020-01-13,2.0,0,0
2020-01-14,2.0,0,0
2020-01-15,7.0,0,0
2020-01-16,6.0,0,0
2020-01-17,6.0,0,0
2020-01-18,1.0,0,0
2020-01-19,0.0,0,0
2020-01-20,6.0,0,0
2020-01-21,5.0,0,0
2020-01-22,5.0,0,0
2020-01-23,3.0,0,0
2020-01-24,4.0,0,0
2020-01-25,0.0,0,0
2020-01-26,0.0,0,0
2020-01-27,6.0,0,0
2020-01-28,3.0,0,0
2020-01-29,13.0,0,0
2020-01-30,2.0,0,0
2020-01-31,7.0,0,0
2020-02-01,0.0,0,0
2020-02-02,0.0,0,0
2020-02-03,7.0,0,0
2020-02-04,7.0,0,0
2020-02-05,5.0,0,0
2020-02-06,5.0,0,4
2020-02-07,5.0,0,0
2020-02-08,1.0,0,0
2020-02-09,0.0,0,2
2020-02-10,5.0,0,13
2020-02-11,4.0,0,20
2020-02-12,3.0,1,2
2020-02-13,5.0,0,0
2020-02-14,4.0,0,0
2020-02-15,0.0,0,1
2020-02-16,0.0,0,0
2020-02-17,1.0,0,0
2020-02-18,6.0,0,0
2020-02-19,7.0,3,0
2020-02-20,3.0,0,0
2020-02-21,0.0,0,0
2020-02-22,0.0,0,0
2020-02-23,0.0,0,0
2020-02-24,5.0,0,0
2020-02-25,1.0,0,0
2020-02-26,8.0,0,0
2020-02-27,5.0,0,1
2020-02-28,7.0,0,2
2020-02-29,1.0,0,0
2020-03-01,0.0,0,0
2020-03-02,2.0,0,1
2020-03-03,5.0,0,0
2020-03-04,7.0,0,1
2020-03-05,6.0,0,1
2020-03-06,6.0,0,0
2020-03-07,2.0,0,0
2020-03-08,0.0,0,0
2020-03-09,7.0,0,0
2020-03-10,10.0,0,0
2020-03-11,3.0,0,3
2020-03-12,4.0,0,0
2020-03-13,4.0,0,0
2020-03-14,2.0,0,0
2020-03-15,0.0,0,0
2020-03-16,5.0,0,2
2020-03-17,9.0,0,0
2020-03-18,7.0,2,1
2020-03-19,6.0,0,0
2020-03-20,2.0,0,0
2020-03-21,2.0,0,0
2020-03-22,0.0,0,0
2020-03-23,5.0,0,0
2020-03-24,8.0,0,2
2020-03-25,11.0,5,2
2020-03-26,4.0,1,0
2020-03-27,2.0,0,0
2020-03-28,0.0,0,0
2020-03-29,0.0,0,0
2020-03-30,1.0,0,0
2020-03-31,7.0,0,0
2020-04-01,7.0,0,0
2020-04-02,5.0,0,6
2020-04-03,0.0,0,5
2020-04-04,2.0,0,11
2020-04-05,0.0,0,0
2020-04-06,4.0,0,0
2020-04-07,15.0,1,7
2020-04-08,5.0,0,2
2020-04-09,9.0,0,0
2020-04-10,6.0,0,0
2020-04-11,0.0,0,0
2020-04-12,0.0,0,0
2020-04-13,0.0,0,0
2020-04-14,10.0,1,0
2020-04-15,9.0,1,0
2020-04-16,5.0,0,2
2020-04-17,6.0,0,0
2020-04-18,1.0,0,0
2020-04-19,0.0,0,0
2020-04-20,12.0,0,0
2020-04-21,7.0,0,0
2020-04-22,11.0,0,0
2020-04-23,4.0,0,0
2020-04-24,5.0,0,0
2020-04-25,2.0,0,0
2020-04-26,0.0,0,0
2020-04-27,5.0,0,0
2020-04-28,9.0,0,0
2020-04-29,7.0,0,0
2020-04-30,5.0,0,0
2020-05-01,7.0,0,0
2020-05-02,2.0,0,0
2020-05-03,0.0,0,0
2020-05-04,9.0,0,0
2020-05-05,7.0,0,0
2020-05-06,6.0,1,0
2020-05-07,3.0,0,0
2020-05-08,11.0,0,1
2020-05-09,0.0,0,0
2020-05-10,0.0,0,0
2020-05-11,9.0,0,0
2020-05-12,7.0,0,0
2020-05-13,17.0,0,0
2020-05-14,12.0,0,0
2020-05-15,6.0,0,0
2020-05-16,0.0,0,0
2020-05-17,0.0,0,0
2020-05-18,7.0,0,2
2020-05-19,6.0,0,0
2020-05-20,5.0,0,0
2020-05-21,7.0,0,0
2020-05-22,0.0,0,0
2020-05-23,2.0,0,6
2020-05-24,0.0,0,0
2020-05-25,6.0,0,0
2020-05-26,4.0,0,0
2020-05-27,11.0,0,0
2020-05-28,6.0,0,0
2020-05-29,6.0,0,0
2020-05-30,0.0,0,0
2020-05-31,0.0,0,0
2020-06-01,9.0,0,0
2020-06-02,4.0,0,0
2020-06-03,14.0,0,1
2020-06-04,11.0,0,0
2020-06-05,4.0,0,2
