,matteocrippa/awesome-swift,vsouza/awesome-ios,raywenderlich/swift-style-guide
2014-09-23,0,0,0
2014-09-24,0,0,0
2014-09-25,2,0,0
2014-09-26,0,0,0
2014-09-27,0,0,0
2014-09-28,0,0,0
2014-09-29,0,0,0
2014-09-30,0,0,0
2014-10-01,0,0,0
2014-10-02,0,0,0
2014-10-03,0,0,0
2014-10-04,1,0,0
2014-10-05,0,0,0
2014-10-06,2,0,0
2014-10-07,3,0,0
2014-10-08,0,0,0
2014-10-09,2,0,0
2014-10-10,0,0,0
2014-10-11,0,0,0
2014-10-12,1,0,0
2014-10-13,3,0,0
2014-10-14,0,0,0
2014-10-15,0,4,0
2014-10-16,0,2,0
2014-10-17,1,0,0
2014-10-18,0,0,0
2014-10-19,0,1,0
2014-10-20,1,1,0
2014-10-21,2,4,0
2014-10-22,2,3,0
2014-10-23,0,0,0
2014-10-24,3,4,0
2014-10-25,0,1,0
2014-10-26,0,1,0
2014-10-27,6,3,0
2014-10-28,0,0,0
2014-10-29,0,0,0
2014-10-30,0,0,0
2014-10-31,1,0,0
2014-11-01,0,0,0
2014-11-02,0,0,0
2014-11-03,0,0,0
2014-11-04,0,0,0
2014-11-05,0,0,0
2014-11-06,0,0,0
2014-11-07,0,0,0
2014-11-08,0,0,0
2014-11-09,0,0,0
2014-11-10,0,0,0
2014-11-11,0,0,0
2014-11-12,0,0,0
2014-11-13,0,0,0
2014-11-14,0,0,0
2014-11-15,0,0,0
2014-11-16,2,0,0
2014-11-17,0,0,0
2014-11-18,0,0,0
2014-11-19,0,0,0
2014-11-20,2,0,0
2014-11-21,1,0,0
2014-11-22,0,0,0
2014-11-23,0,0,0
2014-11-24,0,0,0
2014-11-25,0,0,0
2014-11-26,1,0,0
2014-11-27,0,0,0
2014-11-28,2,0,0
2014-11-29,0,0,0
2014-11-30,0,0,0
2014-12-01,0,0,0
2014-12-02,4,0,0
2014-12-03,1,0,4
2014-12-04,0,0,0
2014-12-05,0,0,0
2014-12-06,0,0,0
2014-12-07,0,0,0
2014-12-08,0,0,0
2014-12-09,2,6,4
2014-12-10,0,3,1
2014-12-11,0,4,5
2014-12-12,0,5,0
2014-12-13,0,2,0
2014-12-14,0,0,0
2014-12-15,2,0,0
2014-12-16,0,0,0
2014-12-17,0,0,0
2014-12-18,1,2,0
2014-12-19,0,3,0
2014-12-20,0,0,0
2014-12-21,0,3,0
2014-12-22,0,0,7
2014-12-23,0,0,0
2014-12-24,0,0,0
2014-12-25,0,1,0
2014-12-26,0,0,0
2014-12-27,0,0,0
2014-12-28,0,0,0
2014-12-29,1,0,0
2014-12-30,0,0,0
2014-12-31,0,0,0
2015-01-01,0,0,0
2015-01-02,0,0,0
2015-01-03,2,0,0
2015-01-04,0,3,0
2015-01-05,1,0,0
2015-01-06,0,0,0
2015-01-07,0,0,0
2015-01-08,0,0,0
2015-01-09,0,0,0
2015-01-10,0,0,0
2015-01-11,0,0,0
2015-01-12,1,0,0
2015-01-13,2,0,0
2015-01-14,0,1,0
2015-01-15,0,1,0
2015-01-16,7,2,0
2015-01-17,0,0,0
2015-01-18,0,1,0
2015-01-19,0,0,0
2015-01-20,0,2,0
2015-01-21,0,4,0
2015-01-22,0,2,0
2015-01-23,0,2,0
2015-01-24,0,0,0
2015-01-25,0,1,0
2015-01-26,2,1,0
2015-01-27,2,5,0
2015-01-28,0,1,0
2015-01-29,0,4,0
2015-01-30,0,2,0
2015-01-31,0,0,0
2015-02-01,0,0,0
2015-02-02,0,0,0
2015-02-03,0,2,0
2015-02-04,0,9,0
2015-02-05,2,1,0
2015-02-06,2,9,0
2015-02-07,0,0,0
2015-02-08,0,2,0
2015-02-09,0,2,0
2015-02-10,0,3,0
2015-02-11,6,11,0
2015-02-12,2,0,0
2015-02-13,4,0,0
2015-02-14,0,0,0
2015-02-15,0,0,0
2015-02-16,0,0,0
2015-02-17,0,1,0
2015-02-18,0,1,0
2015-02-19,0,0,0
2015-02-20,2,0,0
2015-02-21,0,0,0
2015-02-22,1,0,0
2015-02-23,2,0,0
2015-02-24,3,0,0
2015-02-25,2,1,0
2015-02-26,1,0,0
2015-02-27,12,8,0
2015-02-28,3,0,0
2015-03-01,6,0,0
2015-03-02,9,0,0
2015-03-03,7,1,0
2015-03-04,1,0,0
2015-03-05,5,12,0
2015-03-06,3,1,0
2015-03-07,5,0,0
2015-03-08,0,0,0
2015-03-09,0,1,0
2015-03-10,6,0,0
2015-03-11,1,2,0
2015-03-12,0,0,0
2015-03-13,2,7,0
2015-03-14,0,0,1
2015-03-15,0,0,0
2015-03-16,2,0,0
2015-03-17,2,6,0
2015-03-18,2,4,0
2015-03-19,4,2,0
2015-03-20,1,1,0
2015-03-21,0,7,1
2015-03-22,0,8,0
2015-03-23,3,5,0
2015-03-24,0,0,0
2015-03-25,2,0,0
2015-03-26,2,2,0
2015-03-27,0,2,0
2015-03-28,0,0,0
2015-03-29,0,0,0
2015-03-30,1,7,0
2015-03-31,6,3,0
2015-04-01,5,5,1
2015-04-02,0,0,0
2015-04-03,1,0,0
2015-04-04,0,0,0
2015-04-05,0,0,1
2015-04-06,1,3,2
2015-04-07,5,2,0
2015-04-08,5,10,0
2015-04-09,4,0,13
2015-04-10,2,3,0
2015-04-11,2,0,0
2015-04-12,0,0,0
2015-04-13,0,1,0
2015-04-14,3,8,0
2015-04-15,1,20,0
2015-04-16,2,1,0
2015-04-17,1,5,1
2015-04-18,1,0,0
2015-04-19,2,0,0
2015-04-20,1,0,0
2015-04-21,2,3,0
2015-04-22,0,4,0
2015-04-23,0,0,0
2015-04-24,0,0,0
2015-04-25,0,0,0
2015-04-26,0,0,0
2015-04-27,2,2,0
2015-04-28,0,2,0
2015-04-29,9,2,0
2015-04-30,3,0,0
2015-05-01,2,0,0
2015-05-02,2,0,0
2015-05-03,0,1,0
2015-05-04,2,1,0
2015-05-05,2,6,0
2015-05-06,3,2,0
2015-05-07,0,6,1
2015-05-08,0,6,0
2015-05-09,1,2,0
2015-05-10,0,2,0
2015-05-11,5,3,0
2015-05-12,2,9,0
2015-05-13,2,0,0
2015-05-14,8,4,0
2015-05-15,5,0,0
2015-05-16,1,1,0
2015-05-17,0,0,0
2015-05-18,2,1,0
2015-05-19,7,1,0
2015-05-20,1,0,0
2015-05-21,3,12,0
2015-05-22,7,7,0
2015-05-23,0,5,0
2015-05-24,0,4,0
2015-05-25,0,4,0
2015-05-26,1,5,0
2015-05-27,6,0,0
2015-05-28,2,1,0
2015-05-29,0,2,0
2015-05-30,2,0,0
2015-05-31,2,0,0
2015-06-01,15,7,0
2015-06-02,2,7,0
2015-06-03,13,3,0
2015-06-04,3,2,0
2015-06-05,2,7,0
2015-06-06,3,1,0
2015-06-07,1,0,0
2015-06-08,0,2,0
2015-06-09,2,5,0
2015-06-10,4,0,0
2015-06-11,1,0,0
2015-06-12,1,1,0
2015-06-13,1,0,0
2015-06-14,1,3,0
2015-06-15,9,0,0
2015-06-16,0,1,0
2015-06-17,2,0,0
2015-06-18,0,3,0
2015-06-19,1,5,0
2015-06-20,0,0,0
2015-06-21,4,2,0
2015-06-22,0,1,0
2015-06-23,2,9,0
2015-06-24,1,0,1
2015-06-25,2,0,0
2015-06-26,0,5,0
2015-06-27,2,0,0
2015-06-28,0,1,0
2015-06-29,4,4,0
2015-06-30,0,4,1
2015-07-01,11,1,0
2015-07-02,3,2,0
2015-07-03,1,5,0
2015-07-04,3,0,0
2015-07-05,0,0,0
2015-07-06,5,3,0
2015-07-07,2,8,0
2015-07-08,2,3,0
2015-07-09,1,2,0
2015-07-10,0,0,0
2015-07-11,0,4,0
2015-07-12,0,1,0
2015-07-13,2,1,0
2015-07-14,3,8,0
2015-07-15,1,5,0
2015-07-16,1,3,0
2015-07-17,0,5,0
2015-07-18,2,1,0
2015-07-19,4,0,0
2015-07-20,5,0,0
2015-07-21,5,0,0
2015-07-22,0,3,0
2015-07-23,2,1,0
2015-07-24,2,2,0
2015-07-25,2,0,0
2015-07-26,2,1,0
2015-07-27,2,1,0
2015-07-28,2,2,0
2015-07-29,0,0,0
2015-07-30,2,3,0
2015-07-31,1,0,0
2015-08-01,0,0,0
2015-08-02,3,1,0
2015-08-03,7,1,0
2015-08-04,4,6,0
2015-08-05,6,2,0
2015-08-06,0,0,0
2015-08-07,1,1,0
2015-08-08,0,0,0
2015-08-09,0,5,0
2015-08-10,5,7,0
2015-08-11,0,0,0
2015-08-12,0,0,0
2015-08-13,0,0,0
2015-08-14,0,2,0
2015-08-15,0,0,0
2015-08-16,2,0,0
2015-08-17,0,1,0
2015-08-18,2,1,0
2015-08-19,2,5,0
2015-08-20,0,0,0
2015-08-21,0,1,0
2015-08-22,0,0,0
2015-08-23,1,16,0
2015-08-24,2,7,0
2015-08-25,1,15,0
2015-08-26,7,8,0
2015-08-27,0,4,0
2015-08-28,2,3,0
2015-08-29,4,1,0
2015-08-30,0,3,0
2015-08-31,1,6,0
2015-09-01,0,5,0
2015-09-02,1,4,0
2015-09-03,1,8,0
2015-09-04,4,1,0
2015-09-05,3,0,0
2015-09-06,2,1,0
2015-09-07,0,1,0
2015-09-08,3,2,0
2015-09-09,4,9,0
2015-09-10,2,13,0
2015-09-11,0,7,0
2015-09-12,1,3,0
2015-09-13,1,1,0
2015-09-14,8,0,0
2015-09-15,9,5,4
2015-09-16,3,7,0
2015-09-17,3,0,0
2015-09-18,2,3,0
2015-09-19,1,7,0
2015-09-20,0,0,0
2015-09-21,9,7,0
2015-09-22,9,10,0
2015-09-23,1,7,0
2015-09-24,0,8,0
2015-09-25,0,2,0
2015-09-26,2,2,0
2015-09-27,8,3,0
2015-09-28,4,3,0
2015-09-29,14,25,0
2015-09-30,3,9,0
2015-10-01,2,4,0
2015-10-02,1,4,0
2015-10-03,3,2,0
2015-10-04,0,5,0
2015-10-05,3,7,0
2015-10-06,1,0,0
2015-10-07,0,7,0
2015-10-08,0,2,0
2015-10-09,3,14,0
2015-10-10,2,3,0
2015-10-11,0,2,0
2015-10-12,9,23,0
2015-10-13,2,1,0
2015-10-14,2,5,0
2015-10-15,6,2,0
2015-10-16,1,5,0
2015-10-17,3,5,0
2015-10-18,1,4,0
2015-10-19,3,8,0
2015-10-20,1,3,0
2015-10-21,3,1,0
2015-10-22,5,0,0
2015-10-23,6,1,0
2015-10-24,2,0,0
2015-10-25,6,1,0
2015-10-26,1,2,0
2015-10-27,0,0,0
2015-10-28,4,0,0
2015-10-29,0,1,0
2015-10-30,2,0,0
2015-10-31,4,2,0
2015-11-01,3,0,0
2015-11-02,6,1,0
2015-11-03,1,1,0
2015-11-04,5,11,0
2015-11-05,0,6,0
2015-11-06,2,0,1
2015-11-07,0,3,0
2015-11-08,2,0,0
2015-11-09,11,0,0
2015-11-10,2,0,0
2015-11-11,2,1,0
2015-11-12,13,20,0
2015-11-13,0,9,0
2015-11-14,0,2,0
2015-11-15,0,2,0
2015-11-16,3,0,0
2015-11-17,5,2,0
2015-11-18,0,28,0
2015-11-19,4,7,0
2015-11-20,6,1,0
2015-11-21,1,3,0
2015-11-22,2,11,0
2015-11-23,3,5,0
2015-11-24,2,5,0
2015-11-25,0,16,0
2015-11-26,4,14,0
2015-11-27,0,3,0
2015-11-28,0,0,0
2015-11-29,0,9,0
2015-11-30,0,21,0
2015-12-01,3,10,0
2015-12-02,2,3,0
2015-12-03,1,5,0
2015-12-04,6,4,0
2015-12-05,3,0,0
2015-12-06,5,4,0
2015-12-07,7,4,0
2015-12-08,7,2,0
2015-12-09,2,5,0
2015-12-10,9,10,0
2015-12-11,26,10,0
2015-12-12,3,4,0
2015-12-13,2,3,0
2015-12-14,4,0,0
2015-12-15,5,16,0
2015-12-16,2,1,0
2015-12-17,0,0,0
2015-12-18,1,4,0
2015-12-19,2,0,0
2015-12-20,0,6,0
2015-12-21,23,15,0
2015-12-22,11,3,0
2015-12-23,2,5,0
2015-12-24,0,1,0
2015-12-25,2,6,0
2015-12-26,0,0,0
2015-12-27,0,0,0
2015-12-28,9,6,0
2015-12-29,3,0,0
2015-12-30,1,2,0
2015-12-31,2,3,0
2016-01-01,0,2,0
2016-01-02,2,10,0
2016-01-03,1,7,0
2016-01-04,1,0,0
2016-01-05,15,17,0
2016-01-06,3,5,0
2016-01-07,3,11,0
2016-01-08,4,3,0
2016-01-09,1,4,0
2016-01-10,0,1,0
2016-01-11,2,3,1
2016-01-12,4,14,0
2016-01-13,4,11,0
2016-01-14,2,0,0
2016-01-15,6,18,0
2016-01-16,3,0,0
2016-01-17,5,5,0
2016-01-18,1,0,0
2016-01-19,2,3,0
2016-01-20,2,22,0
2016-01-21,2,11,0
2016-01-22,6,15,0
2016-01-23,1,2,0
2016-01-24,1,3,0
2016-01-25,9,4,0
2016-01-26,4,0,0
2016-01-27,2,2,2
2016-01-28,8,4,0
2016-01-29,2,16,0
2016-01-30,17,38,0
2016-01-31,0,3,0
2016-02-01,7,31,0
2016-02-02,0,6,0
2016-02-03,0,12,0
2016-02-04,4,21,0
2016-02-05,5,9,0
2016-02-06,4,0,0
2016-02-07,1,1,0
2016-02-08,4,30,0
2016-02-09,0,12,0
2016-02-10,5,26,0
2016-02-11,7,14,0
2016-02-12,0,16,0
2016-02-13,1,3,0
2016-02-14,7,2,0
2016-02-15,6,7,0
2016-02-16,6,22,0
2016-02-17,18,20,0
2016-02-18,9,28,0
2016-02-19,6,8,0
2016-02-20,0,1,0
2016-02-21,2,4,0
2016-02-22,6,15,0
2016-02-23,3,9,0
2016-02-24,5,10,0
2016-02-25,5,17,0
2016-02-26,2,7,0
2016-02-27,0,5,0
2016-02-28,0,0,0
2016-02-29,0,3,0
2016-03-01,6,3,0
2016-03-02,8,18,2
2016-03-03,8,8,0
2016-03-04,19,12,0
2016-03-05,2,2,0
2016-03-06,0,1,0
2016-03-07,0,3,0
2016-03-08,3,6,0
2016-03-09,0,9,0
2016-03-10,3,9,1
2016-03-11,0,12,0
2016-03-12,0,3,1
2016-03-13,1,4,0
2016-03-14,7,19,0
2016-03-15,3,6,0
2016-03-16,3,10,0
2016-03-17,3,2,0
2016-03-18,8,0,0
2016-03-19,1,6,0
2016-03-20,0,3,0
2016-03-21,4,4,0
2016-03-22,2,27,0
2016-03-23,1,0,0
2016-03-24,0,4,0
2016-03-25,6,6,0
2016-03-26,3,6,0
2016-03-27,2,4,0
2016-03-28,4,7,0
2016-03-29,6,2,0
2016-03-30,0,7,0
2016-03-31,0,1,0
2016-04-01,4,2,0
2016-04-02,3,2,0
2016-04-03,1,3,0
2016-04-04,6,7,0
2016-04-05,2,9,0
2016-04-06,6,6,4
2016-04-07,3,17,3
2016-04-08,1,9,4
2016-04-09,1,1,0
2016-04-10,1,2,0
2016-04-11,0,0,0
2016-04-12,4,4,0
2016-04-13,1,16,15
2016-04-14,1,1,9
2016-04-15,3,1,3
2016-04-16,3,1,2
2016-04-17,3,4,0
2016-04-18,3,11,0
2016-04-19,2,1,0
2016-04-20,0,4,3
2016-04-21,0,14,3
2016-04-22,8,0,0
2016-04-23,2,8,0
2016-04-24,2,0,3
2016-04-25,9,5,0
2016-04-26,9,3,9
2016-04-27,1,11,1
2016-04-28,6,1,0
2016-04-29,0,14,0
2016-04-30,2,0,0
2016-05-01,0,0,0
2016-05-02,3,13,1
2016-05-03,1,23,1
2016-05-04,1,3,0
2016-05-05,0,9,1
2016-05-06,1,7,0
2016-05-07,1,4,0
2016-05-08,1,3,0
2016-05-09,0,3,0
2016-05-10,5,1,0
2016-05-11,6,4,0
2016-05-12,1,1,0
2016-05-13,1,5,0
2016-05-14,0,0,0
2016-05-15,3,1,0
2016-05-16,6,2,1
2016-05-17,3,35,1
2016-05-18,0,7,0
2016-05-19,23,11,0
2016-05-20,6,1,0
2016-05-21,1,2,0
2016-05-22,2,5,0
2016-05-23,15,4,2
2016-05-24,0,10,0
2016-05-25,2,0,0
2016-05-26,9,2,0
2016-05-27,1,2,0
2016-05-28,0,5,0
2016-05-29,3,1,0
2016-05-30,2,17,0
2016-05-31,5,4,1
2016-06-01,5,7,0
2016-06-02,0,4,1
2016-06-03,7,2,0
2016-06-04,3,1,0
2016-06-05,6,4,0
2016-06-06,0,4,0
2016-06-07,0,11,0
2016-06-08,0,4,0
2016-06-09,4,11,0
2016-06-10,2,2,0
2016-06-11,3,2,0
2016-06-12,7,7,0
2016-06-13,0,5,0
2016-06-14,4,3,0
2016-06-15,8,2,0
2016-06-16,1,1,0
2016-06-17,0,6,0
2016-06-18,0,1,0
2016-06-19,0,17,0
2016-06-20,0,0,0
2016-06-21,0,3,0
2016-06-22,6,6,0
2016-06-23,2,5,0
2016-06-24,2,12,0
2016-06-25,2,17,0
2016-06-26,0,1,0
2016-06-27,6,8,0
2016-06-28,4,14,0
2016-06-29,2,4,0
2016-06-30,0,5,0
2016-07-01,0,6,0
2016-07-02,1,8,0
2016-07-03,6,4,0
2016-07-04,5,6,0
2016-07-05,7,14,0
2016-07-06,2,3,0
2016-07-07,0,4,0
2016-07-08,1,2,0
2016-07-09,0,1,0
2016-07-10,0,1,0
2016-07-11,4,7,0
2016-07-12,0,1,0
2016-07-13,7,1,0
2016-07-14,5,0,0
2016-07-15,22,18,0
2016-07-16,0,0,0
2016-07-17,14,8,0
2016-07-18,4,2,0
2016-07-19,4,8,0
2016-07-20,6,6,0
2016-07-21,0,2,0
2016-07-22,0,10,0
2016-07-23,0,2,0
2016-07-24,3,1,0
2016-07-25,0,10,0
2016-07-26,3,5,0
2016-07-27,0,4,0
2016-07-28,0,7,0
2016-07-29,0,7,0
2016-07-30,0,1,0
2016-07-31,0,1,0
2016-08-01,6,4,0
2016-08-02,0,30,0
2016-08-03,0,10,0
2016-08-04,5,3,0
2016-08-05,0,8,0
2016-08-06,5,6,0
2016-08-07,0,8,0
2016-08-08,4,3,0
2016-08-09,0,0,0
2016-08-10,0,2,0
2016-08-11,12,5,0
2016-08-12,0,13,0
2016-08-13,0,4,0
2016-08-14,0,17,0
2016-08-15,3,1,0
2016-08-16,7,7,0
2016-08-17,0,16,0
2016-08-18,1,15,0
2016-08-19,8,26,0
2016-08-20,0,1,0
2016-08-21,1,7,0
2016-08-22,0,11,0
2016-08-23,4,2,0
2016-08-24,0,6,0
2016-08-25,0,16,0
2016-08-26,0,4,0
2016-08-27,1,0,0
2016-08-28,0,23,0
2016-08-29,0,5,0
2016-08-30,0,9,0
2016-08-31,0,12,0
2016-09-01,0,8,0
2016-09-02,0,1,0
2016-09-03,0,3,0
2016-09-04,0,3,0
2016-09-05,1,8,0
2016-09-06,4,15,0
2016-09-07,2,12,0
2016-09-08,2,5,0
2016-09-09,0,0,0
2016-09-10,0,2,0
2016-09-11,0,2,0
2016-09-12,2,7,0
2016-09-13,0,7,0
2016-09-14,3,9,0
2016-09-15,0,0,0
2016-09-16,0,5,0
2016-09-17,0,7,0
2016-09-18,0,1,0
2016-09-19,0,11,0
2016-09-20,4,12,0
2016-09-21,0,3,0
2016-09-22,2,0,0
2016-09-23,0,6,0
2016-09-24,0,3,0
2016-09-25,0,0,0
2016-09-26,2,2,0
2016-09-27,0,7,0
2016-09-28,3,16,0
2016-09-29,4,4,0
2016-09-30,6,10,0
2016-10-01,0,3,0
2016-10-02,0,4,0
2016-10-03,2,4,0
2016-10-04,0,7,0
2016-10-05,0,3,0
2016-10-06,0,3,0
2016-10-07,7,0,0
2016-10-08,0,1,0
2016-10-09,0,1,0
2016-10-10,1,2,0
2016-10-11,4,2,0
2016-10-12,0,9,0
2016-10-13,0,1,0
2016-10-14,0,1,0
2016-10-15,0,0,0
2016-10-16,0,2,0
2016-10-17,0,3,0
2016-10-18,4,1,0
2016-10-19,0,4,0
2016-10-20,23,7,0
2016-10-21,3,1,0
2016-10-22,7,0,1
2016-10-23,0,3,9
2016-10-24,0,4,0
2016-10-25,0,10,0
2016-10-26,2,10,0
2016-10-27,4,8,0
2016-10-28,2,2,0
2016-10-29,0,0,0
2016-10-30,4,1,0
2016-10-31,0,3,0
2016-11-01,16,3,0
2016-11-02,2,1,0
2016-11-03,2,6,0
2016-11-04,2,10,0
2016-11-05,2,6,0
2016-11-06,0,3,0
2016-11-07,4,7,1
2016-11-08,2,2,0
2016-11-09,8,6,0
2016-11-10,4,1,0
2016-11-11,2,3,0
2016-11-12,0,1,0
2016-11-13,0,1,0
2016-11-14,0,4,0
2016-11-15,5,7,0
2016-11-16,12,15,0
2016-11-17,2,3,0
2016-11-18,0,3,0
2016-11-19,2,0,0
2016-11-20,0,6,0
2016-11-21,2,7,0
2016-11-22,2,4,0
2016-11-23,2,14,10
2016-11-24,4,3,21
2016-11-25,2,4,3
2016-11-26,2,0,0
2016-11-27,0,4,0
2016-11-28,2,13,0
2016-11-29,0,14,2
2016-11-30,4,15,0
2016-12-01,0,8,0
2016-12-02,0,0,0
2016-12-03,3,1,13
2016-12-04,2,2,1
2016-12-05,2,5,0
2016-12-06,3,2,5
2016-12-07,7,13,0
2016-12-08,2,6,0
2016-12-09,2,4,0
2016-12-10,2,1,0
2016-12-11,1,15,0
2016-12-12,4,2,0
2016-12-13,0,3,0
2016-12-14,3,2,0
2016-12-15,0,7,0
2016-12-16,2,3,0
2016-12-17,0,1,0
2016-12-18,0,0,0
2016-12-19,0,3,0
2016-12-20,3,3,0
2016-12-21,7,4,0
2016-12-22,2,3,0
2016-12-23,0,12,0
2016-12-24,4,0,0
2016-12-25,0,1,0
2016-12-26,5,3,0
2016-12-27,3,0,0
2016-12-28,2,5,0
2016-12-29,3,0,0
2016-12-30,0,5,0
2016-12-31,0,2,0
2017-01-01,0,6,3
2017-01-02,0,6,0
2017-01-03,0,0,0
2017-01-04,0,0,0
2017-01-05,2,1,0
2017-01-06,0,4,0
2017-01-07,0,0,0
2017-01-08,0,4,0
2017-01-09,2,5,0
2017-01-10,2,3,0
2017-01-11,3,3,0
2017-01-12,0,2,0
2017-01-13,6,3,0
2017-01-14,0,0,0
2017-01-15,4,1,0
2017-01-16,3,3,0
2017-01-17,4,5,0
2017-01-18,2,4,0
2017-01-19,3,0,0
2017-01-20,0,1,0
2017-01-21,0,0,1
2017-01-22,0,0,0
2017-01-23,0,3,0
2017-01-24,0,6,0
2017-01-25,0,2,0
2017-01-26,5,1,0
2017-01-27,9,4,0
2017-01-28,0,3,0
2017-01-29,4,1,0
2017-01-30,2,2,0
2017-01-31,0,14,0
2017-02-01,5,4,0
2017-02-02,3,0,0
2017-02-03,3,1,1
2017-02-04,5,2,0
2017-02-05,0,0,0
2017-02-06,3,4,0
2017-02-07,6,3,1
2017-02-08,0,8,0
2017-02-09,0,1,0
2017-02-10,0,1,0
2017-02-11,0,0,0
2017-02-12,0,5,0
2017-02-13,7,6,0
2017-02-14,0,9,0
2017-02-15,2,1,0
2017-02-16,0,6,0
2017-02-17,4,6,0
2017-02-18,4,3,0
2017-02-19,0,12,0
2017-02-20,5,4,0
2017-02-21,7,11,0
2017-02-22,0,7,0
2017-02-23,0,3,0
2017-02-24,0,3,0
2017-02-25,0,1,0
2017-02-26,0,3,0
2017-02-27,2,7,0
2017-02-28,3,4,0
2017-03-01,4,7,0
2017-03-02,3,7,0
2017-03-03,2,3,0
2017-03-04,0,4,0
2017-03-05,0,8,0
2017-03-06,4,0,0
2017-03-07,0,4,0
2017-03-08,0,7,0
2017-03-09,6,9,0
2017-03-10,0,2,0
2017-03-11,2,0,0
2017-03-12,0,2,0
2017-03-13,3,4,0
2017-03-14,0,7,0
2017-03-15,12,7,0
2017-03-16,2,0,0
2017-03-17,2,2,0
2017-03-18,4,0,0
2017-03-19,0,0,0
2017-03-20,7,13,0
2017-03-21,2,7,0
2017-03-22,4,6,0
2017-03-23,0,5,0
2017-03-24,3,2,0
2017-03-25,0,1,0
2017-03-26,0,0,0
2017-03-27,0,6,0
2017-03-28,0,2,0
2017-03-29,4,3,0
2017-03-30,0,0,0
2017-03-31,0,0,0
2017-04-01,0,2,0
2017-04-02,2,2,0
2017-04-03,0,4,0
2017-04-04,3,4,0
2017-04-05,5,16,0
2017-04-06,3,9,0
2017-04-07,2,1,0
2017-04-08,0,1,0
2017-04-09,2,15,0
2017-04-10,3,2,0
2017-04-11,9,2,0
2017-04-12,4,2,0
2017-04-13,9,0,0
2017-04-14,7,3,0
2017-04-15,0,2,0
2017-04-16,0,1,0
2017-04-17,0,3,0
2017-04-18,2,5,0
2017-04-19,9,2,0
2017-04-20,5,0,0
2017-04-21,2,1,0
2017-04-22,0,0,0
2017-04-23,0,1,0
2017-04-24,6,8,0
2017-04-25,0,0,0
2017-04-26,2,4,0
2017-04-27,0,4,0
2017-04-28,2,7,3
2017-04-29,10,1,0
2017-04-30,2,1,0
2017-05-01,2,0,0
2017-05-02,6,12,2
2017-05-03,0,5,0
2017-05-04,3,1,0
2017-05-05,0,0,0
2017-05-06,0,2,0
2017-05-07,2,5,0
2017-05-08,0,0,0
2017-05-09,0,1,0
2017-05-10,5,2,0
2017-05-11,2,6,2
2017-05-12,0,4,0
2017-05-13,0,0,0
2017-05-14,2,1,0
2017-05-15,14,1,0
2017-05-16,0,1,0
2017-05-17,0,0,0
2017-05-18,0,2,0
2017-05-19,0,7,0
2017-05-20,0,1,0
2017-05-21,0,1,0
2017-05-22,7,7,0
2017-05-23,0,1,0
2017-05-24,0,1,0
2017-05-25,0,2,0
2017-05-26,4,12,0
2017-05-27,1,8,0
2017-05-28,0,0,0
2017-05-29,0,0,0
2017-05-30,3,3,0
2017-05-31,1,3,0
2017-06-01,0,1,0
2017-06-02,0,2,0
2017-06-03,2,0,0
2017-06-04,12,4,0
2017-06-05,3,0,0
2017-06-06,0,0,0
2017-06-07,1,2,0
2017-06-08,8,1,0
2017-06-09,0,0,0
2017-06-10,0,0,0
2017-06-11,2,0,0
2017-06-12,3,8,0
2017-06-13,0,1,0
