,d3/d3,highcharts/highcharts,plotly/plotly.js
2020-12-17,0,2,7
2020-12-18,0,4,13
2020-12-19,0,0,1
2020-12-20,0,0,0
2020-12-21,0,0,9
2020-12-22,0,0,10
2020-12-23,0,1,2
2020-12-24,0,0,1
2020-12-25,0,0,2
2020-12-26,0,0,2
2020-12-27,0,0,0
2020-12-28,0,0,0
2020-12-29,0,0,0
2020-12-30,0,0,0
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,0,0,0
2021-01-03,0,0,0
2021-01-04,0,1,20
2021-01-05,0,37,14
2021-01-06,0,4,6
2021-01-07,0,5,12
2021-01-08,0,11,7
2021-01-09,0,0,0
2021-01-10,0,0,0
2021-01-11,0,7,4
2021-01-12,0,6,3
2021-01-13,0,16,5
2021-01-14,0,4,16
2021-01-15,0,0,17
2021-01-16,0,0,4
2021-01-17,0,0,0
2021-01-18,0,16,6
2021-01-19,0,0,12
2021-01-20,0,2,14
2021-01-21,0,6,9
2021-01-22,2,2,12
2021-01-23,0,0,2
2021-01-24,0,0,0
2021-01-25,2,14,3
2021-01-26,0,14,3
2021-01-27,0,12,9
2021-01-28,0,0,4
2021-01-29,0,8,0
2021-01-30,0,0,0
2021-01-31,0,0,0
2021-02-01,0,4,0
2021-02-02,0,6,7
2021-02-03,0,12,12
2021-02-04,0,15,9
2021-02-05,0,16,0
2021-02-06,0,0,1
2021-02-07,0,0,0
2021-02-08,0,10,7
2021-02-09,0,26,25
2021-02-10,0,9,8
2021-02-11,0,8,12
2021-02-12,0,26,6
2021-02-13,0,0,14
2021-02-14,0,0,8
2021-02-15,0,13,1
2021-02-16,0,61,1
2021-02-17,0,10,10
2021-02-18,0,21,11
2021-02-19,0,25,9
2021-02-20,0,2,0
2021-02-21,0,0,0
2021-02-22,0,11,11
2021-02-23,0,11,10
2021-02-24,0,11,0
2021-02-25,0,11,1
2021-02-26,0,12,2
2021-02-27,0,0,0
2021-02-28,0,1,0
2021-03-01,0,36,16
2021-03-02,0,22,10
2021-03-03,0,33,4
2021-03-04,0,33,9
2021-03-05,0,29,4
2021-03-06,0,0,0
2021-03-07,0,0,0
2021-03-08,0,14,9
2021-03-09,0,23,2
2021-03-10,2,13,4
2021-03-11,0,20,10
2021-03-12,0,18,0
2021-03-13,0,0,0
2021-03-14,0,1,0
2021-03-15,1,28,3
2021-03-16,0,34,18
2021-03-17,0,29,5
2021-03-18,1,16,1
2021-03-19,0,18,0
2021-03-20,0,1,0
2021-03-21,0,0,0
2021-03-22,0,22,3
2021-03-23,0,30,5
2021-03-24,2,28,9
2021-03-25,0,15,11
2021-03-26,0,29,6
2021-03-27,0,0,0
2021-03-28,0,1,0
2021-03-29,2,15,6
2021-03-30,0,10,7
2021-03-31,0,10,2
2021-04-01,0,4,0
2021-04-02,0,9,2
2021-04-03,0,0,0
2021-04-04,0,0,0
2021-04-05,0,0,9
2021-04-06,0,18,2
2021-04-07,0,25,3
2021-04-08,0,24,13
2021-04-09,0,34,8
2021-04-10,0,0,4
2021-04-11,0,0,0
2021-04-12,0,23,0
2021-04-13,0,17,4
2021-04-14,0,24,3
2021-04-15,0,19,4
2021-04-16,2,11,7
2021-04-17,0,0,0
2021-04-18,0,0,0
2021-04-19,0,13,9
2021-04-20,0,36,1
2021-04-21,0,9,15
2021-04-22,0,8,7
2021-04-23,0,19,1
2021-04-24,0,4,0
2021-04-25,0,2,0
2021-04-26,0,42,5
2021-04-27,0,19,1
2021-04-28,0,20,0
2021-04-29,0,18,2
2021-04-30,0,11,0
2021-05-01,0,0,6
2021-05-02,0,2,0
2021-05-03,0,18,14
2021-05-04,0,19,14
2021-05-05,0,16,19
2021-05-06,0,27,13
2021-05-07,0,19,0
2021-05-08,0,0,9
2021-05-09,0,0,1
2021-05-10,0,29,10
2021-05-11,0,10,14
2021-05-12,0,24,5
2021-05-13,1,2,3
2021-05-14,0,3,15
2021-05-15,0,0,2
2021-05-16,0,0,0
2021-05-17,0,0,3
2021-05-18,0,22,13
2021-05-19,0,22,7
2021-05-20,0,18,9
2021-05-21,0,36,6
2021-05-22,0,0,7
2021-05-23,0,0,0
2021-05-24,0,7,1
2021-05-25,0,16,8
2021-05-26,0,19,17
2021-05-27,0,26,2
2021-05-28,0,19,5
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,0,18,21
2021-06-01,0,18,9
2021-06-02,0,7,26
2021-06-03,0,19,14
2021-06-04,0,12,9
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,0,5,9
2021-06-08,0,7,6
2021-06-09,0,8,0
2021-06-10,0,16,0
2021-06-11,5,8,9
2021-06-12,0,0,0
2021-06-13,0,3,0
2021-06-14,0,12,8
2021-06-15,0,3,11
2021-06-16,0,18,8
2021-06-17,0,37,20
2021-06-18,0,18,20
2021-06-19,0,1,0
2021-06-20,0,0,0
2021-06-21,0,7,4
2021-06-22,0,25,8
2021-06-23,0,20,9
2021-06-24,0,4,41
2021-06-25,0,13,16
2021-06-26,0,0,13
2021-06-27,0,0,2
2021-06-28,0,5,32
2021-06-29,0,3,22
2021-06-30,0,8,15
2021-07-01,0,3,0
2021-07-02,0,17,0
2021-07-03,0,3,0
2021-07-04,1,0,0
2021-07-05,0,20,7
2021-07-06,0,22,21
2021-07-07,0,12,35
2021-07-08,0,8,17
2021-07-09,0,18,17
2021-07-10,0,1,0
2021-07-11,0,0,0
2021-07-12,0,10,19
2021-07-13,0,7,10
2021-07-14,0,9,13
2021-07-15,0,25,0
2021-07-16,0,8,2
2021-07-17,0,1,25
2021-07-18,0,1,1
2021-07-19,0,6,17
2021-07-20,0,4,12
2021-07-21,0,5,11
2021-07-22,0,4,12
2021-07-23,0,9,12
2021-07-24,0,0,2
2021-07-25,0,2,0
2021-07-26,0,5,6
2021-07-27,0,7,4
2021-07-28,0,6,24
2021-07-29,0,5,11
2021-07-30,0,3,16
2021-07-31,0,7,0
2021-08-01,0,5,0
2021-08-02,0,8,1
2021-08-03,0,5,13
2021-08-04,0,5,17
2021-08-05,0,4,10
2021-08-06,0,4,3
2021-08-07,0,0,0
2021-08-08,0,0,0
2021-08-09,0,1,0
2021-08-10,0,6,39
2021-08-11,0,4,8
2021-08-12,0,8,12
2021-08-13,0,112,9
2021-08-14,0,0,1
2021-08-15,0,0,0
2021-08-16,2,16,15
2021-08-17,0,19,6
2021-08-18,0,14,8
2021-08-19,0,15,0
2021-08-20,0,3,0
2021-08-21,0,0,0
2021-08-22,0,0,0
2021-08-23,0,23,10
2021-08-24,0,9,5
2021-08-25,0,6,18
2021-08-26,0,12,14
2021-08-27,0,11,8
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,0,5,10
2021-08-31,0,11,17
2021-09-01,0,6,9
2021-09-02,0,13,9
2021-09-03,0,11,14
2021-09-04,0,0,0
2021-09-05,0,0,0
2021-09-06,0,11,0
2021-09-07,0,9,2
2021-09-08,0,12,2
2021-09-09,0,6,0
2021-09-10,0,8,0
2021-09-11,0,0,0
2021-09-12,0,0,0
2021-09-13,0,16,7
2021-09-14,0,5,5
2021-09-15,0,16,7
2021-09-16,0,4,3
2021-09-17,0,33,0
2021-09-18,0,0,0
2021-09-19,2,0,0
2021-09-20,2,9,0
2021-09-21,0,38,0
2021-09-22,0,14,0
2021-09-23,0,10,4
2021-09-24,2,9,0
2021-09-25,0,0,0
2021-09-26,0,0,0
2021-09-27,0,20,1
2021-09-28,0,9,1
2021-09-29,0,28,2
2021-09-30,0,21,13
2021-10-01,2,13,19
2021-10-02,0,0,0
2021-10-03,2,0,0
2021-10-04,0,18,9
2021-10-05,0,16,3
2021-10-06,0,21,0
2021-10-07,0,8,2
2021-10-08,0,20,16
2021-10-09,0,3,3
2021-10-10,0,0,0
2021-10-11,0,4,2
2021-10-12,0,6,2
2021-10-13,0,7,0
2021-10-14,0,5,0
2021-10-15,0,2,0
2021-10-16,0,0,0
2021-10-17,0,2,0
2021-10-18,0,32,27
2021-10-19,0,16,12
2021-10-20,0,16,4
2021-10-21,0,17,2
2021-10-22,0,10,6
2021-10-23,0,2,0
2021-10-24,0,5,0
2021-10-25,0,1,0
2021-10-26,0,9,7
2021-10-27,0,3,1
2021-10-28,0,16,0
2021-10-29,0,2,8
2021-10-30,0,1,0
2021-10-31,0,0,0
2021-11-01,0,11,0
2021-11-02,0,28,0
2021-11-03,0,8,6
2021-11-04,0,11,0
2021-11-05,0,9,4
2021-11-06,0,2,0
2021-11-07,0,2,0
2021-11-08,0,22,0
2021-11-09,0,18,0
2021-11-10,0,6,0
2021-11-11,0,19,13
2021-11-12,0,5,3
2021-11-13,0,12,0
2021-11-14,0,1,0
2021-11-15,0,4,0
2021-11-16,0,36,1
2021-11-17,0,10,10
2021-11-18,0,3,4
2021-11-19,0,6,4
2021-11-20,0,0,2
2021-11-21,0,5,0
2021-11-22,0,10,16
2021-11-23,0,13,8
2021-11-24,0,10,3
2021-11-25,0,3,2
2021-11-26,0,8,3
2021-11-27,0,1,0
2021-11-28,0,1,0
2021-11-29,0,14,2
2021-11-30,0,3,0
2021-12-01,0,18,2
2021-12-02,0,5,6
2021-12-03,0,14,6
2021-12-04,2,0,0
2021-12-05,0,0,2
2021-12-06,0,27,3
2021-12-07,0,13,1
2021-12-08,0,7,2
2021-12-09,0,11,10
2021-12-10,2,4,8
2021-12-11,0,5,0
2021-12-12,0,0,0
2021-12-13,0,22,0
2021-12-14,0,7,0
2021-12-15,0,7,3
2021-12-16,0,9,2
2021-12-17,0,20,0
2021-12-18,0,0,0
2021-12-19,0,0,0
2021-12-20,0,5,10
2021-12-21,0,12,0
2021-12-22,0,9,2
2021-12-23,0,6,1
2021-12-24,0,0,1
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,0,0
2021-12-28,0,0,0
2021-12-29,0,5,0
2021-12-30,0,9,0
2021-12-31,0,0,0
2022-01-01,0,0,0
2022-01-02,0,0,0
2022-01-03,0,3,3
2022-01-04,0,21,5
2022-01-05,0,7,5
2022-01-06,0,17,6
2022-01-07,2,10,4
2022-01-08,0,0,1
2022-01-09,0,0,0
2022-01-10,0,2,3
2022-01-11,0,3,0
2022-01-12,0,5,3
2022-01-13,0,20,8
2022-01-14,0,35,0
2022-01-15,0,0,0
2022-01-16,0,3,0
2022-01-17,0,3,0
2022-01-18,0,16,0
2022-01-19,0,3,8
2022-01-20,0,5,0
2022-01-21,0,3,4
2022-01-22,0,0,0
2022-01-23,0,0,0
2022-01-24,0,3,5
2022-01-25,0,4,7
2022-01-26,0,14,1
2022-01-27,0,1,8
2022-01-28,0,12,3
2022-01-29,0,19,1
2022-01-30,0,0,2
2022-01-31,0,10,0
2022-02-01,0,10,3
2022-02-02,0,4,0
2022-02-03,0,17,15
2022-02-04,0,11,20
2022-02-05,0,3,0
2022-02-06,0,2,0
2022-02-07,0,12,4
2022-02-08,0,13,2
2022-02-09,0,14,0
2022-02-10,0,7,9
2022-02-11,0,8,3
2022-02-12,0,0,3
2022-02-13,0,0,0
2022-02-14,0,7,0
2022-02-15,0,7,3
2022-02-16,0,6,0
2022-02-17,0,6,0
2022-02-18,0,1,1
2022-02-19,0,0,0
2022-02-20,0,5,0
2022-02-21,0,1,0
2022-02-22,0,2,0
2022-02-23,0,0,0
2022-02-24,0,4,3
2022-02-25,0,0,0
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,0,3,0
2022-03-01,0,2,1
2022-03-02,0,2,0
2022-03-03,0,0,0
2022-03-04,0,15,8
2022-03-05,0,0,3
2022-03-06,0,0,0
2022-03-07,0,9,10
2022-03-08,0,0,14
2022-03-09,0,2,1
2022-03-10,0,2,2
2022-03-11,0,6,18
2022-03-12,0,0,3
2022-03-13,0,0,0
2022-03-14,0,3,1
2022-03-15,0,7,6
2022-03-16,0,42,0
2022-03-17,0,4,5
2022-03-18,0,6,13
2022-03-19,0,0,2
2022-03-20,0,0,2
2022-03-21,0,1,0
2022-03-22,0,6,5
2022-03-23,0,24,20
2022-03-24,0,1,1
2022-03-25,0,6,0
2022-03-26,0,1,0
2022-03-27,0,0,0
2022-03-28,2,7,0
2022-03-29,1,4,0
2022-03-30,0,28,0
2022-03-31,0,4,0
2022-04-01,0,5,4
2022-04-02,2,0,0
2022-04-03,2,0,0
2022-04-04,0,6,0
2022-04-05,0,3,0
2022-04-06,0,3,2
2022-04-07,2,0,22
2022-04-08,0,18,0
2022-04-09,0,0,0
2022-04-10,0,0,0
2022-04-11,2,5,0
2022-04-12,0,3,0
2022-04-13,0,4,0
2022-04-14,0,2,2
2022-04-15,0,0,0
2022-04-16,0,0,0
2022-04-17,0,0,0
2022-04-18,0,0,0
2022-04-19,0,7,0
2022-04-20,0,20,5
2022-04-21,0,6,3
2022-04-22,0,15,6
2022-04-23,0,0,0
2022-04-24,0,0,0
2022-04-25,0,16,7
2022-04-26,0,10,4
2022-04-27,0,22,1
2022-04-28,0,10,1
2022-04-29,0,5,2
2022-04-30,0,0,1
2022-05-01,0,0,0
2022-05-02,0,5,10
2022-05-03,0,4,0
2022-05-04,0,0,3
2022-05-05,0,1,3
2022-05-06,0,13,17
2022-05-07,0,0,0
2022-05-08,0,1,0
2022-05-09,0,4,19
2022-05-10,0,5,0
2022-05-11,0,19,3
2022-05-12,0,6,2
2022-05-13,0,9,2
2022-05-14,0,3,5
2022-05-15,0,5,0
2022-05-16,0,9,0
2022-05-17,0,1,0
2022-05-18,0,21,0
2022-05-19,0,5,2
2022-05-20,0,24,1
2022-05-21,0,0,0
2022-05-22,0,0,0
2022-05-23,0,9,1
2022-05-24,0,4,2
2022-05-25,0,1,3
2022-05-26,0,2,6
2022-05-27,0,2,2
2022-05-28,0,0,0
2022-05-29,0,0,0
2022-05-30,0,16,2
2022-05-31,0,4,3
2022-06-01,0,5,7
2022-06-02,0,1,0
2022-06-03,0,10,0
2022-06-04,0,0,0
2022-06-05,0,0,0
2022-06-06,0,1,0
2022-06-07,0,9,0
2022-06-08,0,0,0
2022-06-09,0,0,11
2022-06-10,0,1,5
2022-06-11,0,0,0
2022-06-12,0,1,0
2022-06-13,0,13,0
2022-06-14,0,4,10
2022-06-15,0,11,8
2022-06-16,0,7,1
2022-06-17,0,10,0
2022-06-18,0,1,0
2022-06-19,0,0,0
2022-06-20,0,2,4
2022-06-21,0,17,5
2022-06-22,0,7,22
2022-06-23,0,16,0
2022-06-24,2,14,4
2022-06-25,0,2,0
2022-06-26,2,2,0
2022-06-27,0,9,7
2022-06-28,0,0,4
2022-06-29,0,0,1
2022-06-30,0,2,3
2022-07-01,0,0,2
2022-07-02,0,0,0
2022-07-03,4,0,0
2022-07-04,0,27,0
2022-07-05,0,9,20
2022-07-06,0,17,13
2022-07-07,0,5,13
2022-07-08,0,34,26
2022-07-09,0,14,2
2022-07-10,0,1,0
2022-07-11,0,9,9
2022-07-12,0,10,12
2022-07-13,0,6,3
2022-07-14,0,17,16
2022-07-15,0,2,14
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,0,5,6
2022-07-19,0,6,0
2022-07-20,0,2,2
2022-07-21,0,2,2
2022-07-22,0,0,0
2022-07-23,0,0,0
2022-07-24,0,0,0
2022-07-25,0,2,6
2022-07-26,0,2,4
2022-07-27,0,4,1
2022-07-28,0,1,5
2022-07-29,0,0,0
2022-07-30,0,0,0
2022-07-31,0,0,0
2022-08-01,0,4,0
2022-08-02,0,2,3
2022-08-03,0,0,0
2022-08-04,0,35,0
2022-08-05,0,70,0
2022-08-06,0,0,0
2022-08-07,0,0,0
2022-08-08,0,14,2
2022-08-09,0,5,2
2022-08-10,0,12,4
2022-08-11,0,24,6
2022-08-12,0,2,3
2022-08-13,0,0,0
2022-08-14,0,0,0
2022-08-15,0,13,0
2022-08-16,0,19,3
2022-08-17,0,2,0
2022-08-18,0,19,0
2022-08-19,0,7,7
2022-08-20,0,0,0
2022-08-21,0,0,0
2022-08-22,0,5,1
2022-08-23,0,15,0
2022-08-24,0,17,0
2022-08-25,0,9,2
2022-08-26,0,4,3
2022-08-27,0,0,0
2022-08-28,0,0,0
2022-08-29,0,16,0
2022-08-30,0,6,3
2022-08-31,0,6,2
2022-09-01,0,4,5
2022-09-02,0,19,10
2022-09-03,0,0,0
2022-09-04,0,0,0
2022-09-05,0,0,0
2022-09-06,0,26,4
2022-09-07,0,31,6
2022-09-08,0,8,4
2022-09-09,0,2,0
2022-09-10,0,0,0
2022-09-11,0,0,0
2022-09-12,0,14,1
2022-09-13,0,15,0
2022-09-14,0,4,0
2022-09-15,0,3,3
2022-09-16,0,0,1
2022-09-17,0,0,1
2022-09-18,0,0,0
2022-09-19,0,11,9
2022-09-20,0,7,2
2022-09-21,0,23,2
2022-09-22,0,8,6
2022-09-23,0,9,9
2022-09-24,0,0,0
2022-09-25,0,3,0
2022-09-26,0,12,0
2022-09-27,0,3,0
2022-09-28,0,6,0
2022-09-29,0,5,4
2022-09-30,0,10,0
2022-10-01,0,0,0
2022-10-02,0,0,0
2022-10-03,0,6,4
2022-10-04,0,5,4
2022-10-05,0,17,6
2022-10-06,0,29,12
2022-10-07,0,10,3
2022-10-08,0,0,0
2022-10-09,0,0,0
2022-10-10,0,3,0
2022-10-11,0,2,3
2022-10-12,0,2,1
2022-10-13,0,1,6
2022-10-14,0,3,14
2022-10-15,0,0,0
2022-10-16,0,0,0
2022-10-17,0,4,0
2022-10-18,0,13,0
2022-10-19,0,0,1
2022-10-20,0,1,0
2022-10-21,0,0,17
2022-10-22,0,0,1
2022-10-23,0,0,0
2022-10-24,0,3,4
2022-10-25,0,4,0
2022-10-26,0,17,0
2022-10-27,0,13,1
2022-10-28,0,9,0
2022-10-29,0,1,0
2022-10-30,0,1,0
2022-10-31,0,23,1
2022-11-01,0,13,6
2022-11-02,0,14,2
2022-11-03,0,16,2
2022-11-04,0,10,3
2022-11-05,0,2,0
2022-11-06,0,0,1
2022-11-07,0,7,2
2022-11-08,0,11,4
2022-11-09,0,6,8
2022-11-10,0,7,5
2022-11-11,0,37,10
2022-11-12,0,0,4
2022-11-13,0,0,0
2022-11-14,0,13,14
2022-11-15,0,10,0
2022-11-16,0,14,6
2022-11-17,0,14,5
2022-11-18,0,18,0
2022-11-19,0,0,0
2022-11-20,0,0,0
2022-11-21,0,13,1
2022-11-22,0,19,0
2022-11-23,0,10,0
2022-11-24,0,17,2
2022-11-25,0,8,0
2022-11-26,0,4,1
2022-11-27,0,0,0
2022-11-28,0,20,0
2022-11-29,0,24,0
2022-11-30,0,16,1
2022-12-01,0,29,6
2022-12-02,0,18,14
2022-12-03,2,0,0
2022-12-04,0,0,2
2022-12-05,0,21,2
2022-12-06,0,29,3
2022-12-07,0,7,3
2022-12-08,0,5,0
2022-12-09,0,24,4
2022-12-10,0,7,0
2022-12-11,0,0,0
2022-12-12,1,40,3
2022-12-13,0,15,3
2022-12-14,0,21,6
2022-12-15,0,11,5
2022-12-16,0,21,5
2022-12-17,0,0,0
2022-12-18,0,0,0
2022-12-19,0,26,2
2022-12-20,3,94,10
2022-12-21,0,56,20
2022-12-22,0,12,8
2022-12-23,0,9,8
2022-12-24,0,2,1
2022-12-25,0,0,0
2022-12-26,0,0,2
2022-12-27,0,6,0
2022-12-28,0,7,0
2022-12-29,0,17,0
2022-12-30,0,11,0
2022-12-31,0,0,0
2023-01-01,0,0,0
2023-01-02,0,18,0
2023-01-03,0,27,13
2023-01-04,0,54,5
2023-01-05,0,35,1
2023-01-06,0,13,1
2023-01-07,0,1,1
2023-01-08,0,0,2
2023-01-09,0,16,4
2023-01-10,0,19,2
2023-01-11,2,16,8
2023-01-12,0,29,8
2023-01-13,0,26,0
2023-01-14,0,3,0
2023-01-15,0,2,0
2023-01-16,0,52,0
2023-01-17,0,48,2
2023-01-18,2,29,8
2023-01-19,0,31,5
2023-01-20,0,22,0
2023-01-21,0,0,0
2023-01-22,0,0,0
2023-01-23,0,32,0
2023-01-24,0,48,4
2023-01-25,0,45,0
2023-01-26,0,31,1
2023-01-27,0,30,0
2023-01-28,0,1,0
2023-01-29,0,1,1
2023-01-30,0,38,5
2023-01-31,0,28,0
2023-02-01,0,29,12
2023-02-02,0,23,6
2023-02-03,0,22,7
2023-02-04,0,1,0
2023-02-05,0,0,0
2023-02-06,0,32,10
2023-02-07,0,27,6
2023-02-08,0,22,2
2023-02-09,0,19,8
2023-02-10,0,8,7
2023-02-11,0,2,0
2023-02-12,0,0,0
2023-02-13,0,25,3
2023-02-14,0,20,2
2023-02-15,0,24,13
2023-02-16,0,17,6
2023-02-17,0,15,12
2023-02-18,0,1,1
2023-02-19,0,0,0
2023-02-20,0,12,35
2023-02-21,0,23,5
2023-02-22,0,17,0
2023-02-23,0,20,7
2023-02-24,0,18,22
2023-02-25,0,3,1
2023-02-26,0,1,0
2023-02-27,0,54,8
2023-02-28,0,34,10
2023-03-01,0,24,20
2023-03-02,0,17,8
2023-03-03,0,37,1
2023-03-04,0,1,0
2023-03-05,0,1,0
2023-03-06,0,38,26
2023-03-07,0,31,9
2023-03-08,0,20,13
2023-03-09,0,24,30
2023-03-10,0,34,31
2023-03-11,0,8,2
2023-03-12,0,1,0
2023-03-13,0,46,24
2023-03-14,0,35,8
2023-03-15,0,11,18
2023-03-16,0,18,0
2023-03-17,0,18,6
2023-03-18,0,2,0
2023-03-19,0,1,0
2023-03-20,0,36,0
2023-03-21,0,50,11
2023-03-22,0,26,1
2023-03-23,0,24,0
2023-03-24,0,16,1
2023-03-25,2,4,0
2023-03-26,0,0,0
2023-03-27,0,21,0
2023-03-28,0,25,4
2023-03-29,0,22,9
2023-03-30,0,19,0
2023-03-31,0,25,6
2023-04-01,2,1,0
2023-04-02,0,1,0
2023-04-03,0,23,3
2023-04-04,0,10,0
2023-04-05,0,4,0
2023-04-06,0,2,0
2023-04-07,0,6,1
2023-04-08,0,0,1
2023-04-09,0,0,0
2023-04-10,0,0,5
2023-04-11,0,39,0
2023-04-12,0,21,3
2023-04-13,0,24,2
2023-04-14,0,9,9
2023-04-15,0,2,3
2023-04-16,0,10,1
2023-04-17,0,40,11
2023-04-18,0,50,1
2023-04-19,0,43,0
2023-04-20,0,22,1
2023-04-21,0,26,3
2023-04-22,0,6,0
2023-04-23,0,6,0
2023-04-24,0,54,3
2023-04-25,0,35,5
2023-04-26,0,24,9
2023-04-27,0,13,11
2023-04-28,0,15,1
2023-04-29,0,1,0
2023-04-30,0,0,0
2023-05-01,0,1,3
2023-05-02,0,29,13
2023-05-03,0,15,2
2023-05-04,0,10,0
2023-05-05,0,6,3
2023-05-06,0,0,0
2023-05-07,0,1,0
2023-05-08,0,17,7
2023-05-09,0,28,1
2023-05-10,0,23,4
2023-05-11,0,18,5
2023-05-12,0,16,31
2023-05-13,0,1,2
2023-05-14,0,2,4
2023-05-15,0,19,4
2023-05-16,0,28,0
2023-05-17,0,12,8
2023-05-18,0,7,5
2023-05-19,0,7,6
2023-05-20,0,0,0
2023-05-21,0,0,0
2023-05-22,0,58,0
2023-05-23,0,37,2
2023-05-24,0,52,4
2023-05-25,0,15,1
2023-05-26,0,38,1
