,huggingface/transformers,pytorch/vision,tensorflow/models
2019-07-25,7,0,5
2019-07-26,11,5,2
2019-07-27,3,0,0
2019-07-28,0,0,0
2019-07-29,1,0,2
2019-07-30,0,0,8
2019-07-31,3,3,2
2019-08-01,1,2,5
2019-08-02,0,1,5
2019-08-03,1,0,1
2019-08-04,4,1,0
2019-08-05,20,3,3
2019-08-06,5,4,6
2019-08-07,9,3,5
2019-08-08,8,4,2
2019-08-09,3,0,8
2019-08-10,2,0,2
2019-08-11,1,0,0
2019-08-12,5,1,4
2019-08-13,4,0,9
2019-08-14,4,0,12
2019-08-15,6,0,3
2019-08-16,10,0,9
2019-08-17,2,0,2
2019-08-18,6,0,0
2019-08-19,6,0,13
2019-08-20,32,0,15
2019-08-21,13,1,6
2019-08-22,5,0,8
2019-08-23,8,0,7
2019-08-24,2,0,1
2019-08-25,0,0,1
2019-08-26,5,0,6
2019-08-27,12,0,5
2019-08-28,44,4,5
2019-08-29,6,3,3
2019-08-30,57,4,4
2019-08-31,23,0,0
2019-09-01,1,0,0
2019-09-02,8,2,0
2019-09-03,0,0,3
2019-09-04,10,0,4
2019-09-05,23,0,6
2019-09-06,6,2,7
2019-09-07,0,0,0
2019-09-08,19,0,0
2019-09-09,16,4,3
2019-09-10,10,3,1
2019-09-11,8,1,3
2019-09-12,4,1,2
2019-09-13,3,0,2
2019-09-14,0,0,0
2019-09-15,0,0,0
2019-09-16,8,1,2
2019-09-17,2,3,6
2019-09-18,18,5,6
2019-09-19,27,0,2
2019-09-20,2,5,8
2019-09-21,0,0,0
2019-09-22,1,1,0
2019-09-23,12,4,4
2019-09-24,38,6,2
2019-09-25,14,0,1
2019-09-26,40,1,2
2019-09-27,18,2,2
2019-09-28,2,0,0
2019-09-29,2,0,1
2019-09-30,3,4,3
2019-10-01,6,2,2
2019-10-02,6,3,1
2019-10-03,37,2,3
2019-10-04,10,3,3
2019-10-05,0,0,1
2019-10-06,2,0,0
2019-10-07,20,4,4
2019-10-08,17,4,2
2019-10-09,22,0,4
2019-10-10,26,0,9
2019-10-11,15,1,10
2019-10-12,2,1,3
2019-10-13,3,0,2
2019-10-14,13,0,1
2019-10-15,30,3,6
2019-10-16,8,9,5
2019-10-17,13,2,9
2019-10-18,3,10,6
2019-10-19,1,0,4
2019-10-20,2,0,1
2019-10-21,5,5,8
2019-10-22,11,3,6
2019-10-23,3,1,5
2019-10-24,7,1,6
2019-10-25,0,1,1
2019-10-26,0,3,0
2019-10-27,3,0,0
2019-10-28,9,2,7
2019-10-29,2,3,3
2019-10-30,22,3,1
2019-10-31,7,2,2
2019-11-01,2,0,7
2019-11-02,0,0,1
2019-11-03,1,0,0
2019-11-04,13,2,1
2019-11-05,18,2,3
2019-11-06,11,2,3
2019-11-07,2,1,6
2019-11-08,9,0,1
2019-11-09,2,0,0
2019-11-10,0,0,2
2019-11-11,5,0,5
2019-11-12,12,0,9
2019-11-13,0,1,5
2019-11-14,15,1,7
2019-11-15,2,5,2
2019-11-16,12,0,0
2019-11-17,0,0,0
2019-11-18,7,2,3
2019-11-19,9,0,3
2019-11-20,2,0,2
2019-11-21,6,1,10
2019-11-22,7,0,6
2019-11-23,3,0,3
2019-11-24,0,0,1
2019-11-25,7,3,4
2019-11-26,49,3,1
2019-11-27,31,0,8
2019-11-28,7,0,1
2019-11-29,8,0,1
2019-11-30,2,1,2
2019-12-01,2,0,0
2019-12-02,4,1,3
2019-12-03,41,0,3
2019-12-04,17,3,6
2019-12-05,23,5,6
2019-12-06,10,1,6
2019-12-07,1,0,0
2019-12-08,0,0,1
2019-12-09,14,0,1
2019-12-10,58,2,3
2019-12-11,29,1,1
2019-12-12,15,1,4
2019-12-13,25,0,3
2019-12-14,11,0,5
2019-12-15,2,0,2
2019-12-16,28,4,3
2019-12-17,18,1,6
2019-12-18,33,0,7
2019-12-19,26,6,7
2019-12-20,39,0,3
2019-12-21,45,0,0
2019-12-22,51,0,3
2019-12-23,28,0,0
2019-12-24,15,0,0
2019-12-25,25,0,0
2019-12-26,7,0,1
2019-12-27,7,0,0
2019-12-28,6,0,1
2019-12-29,2,0,0
2019-12-30,0,0,1
2019-12-31,0,0,1
2020-01-01,2,0,0
2020-01-02,0,3,2
2020-01-03,0,1,1
2020-01-04,1,0,1
2020-01-05,4,0,0
2020-01-06,8,0,1
2020-01-07,12,0,4
2020-01-08,5,0,3
2020-01-09,1,0,1
2020-01-10,14,2,1
2020-01-11,8,0,0
2020-01-12,0,0,0
2020-01-13,9,2,3
2020-01-14,17,2,4
2020-01-15,6,0,0
2020-01-16,15,2,1
2020-01-17,3,4,3
2020-01-18,0,0,1
2020-01-19,0,0,0
2020-01-20,4,1,0
2020-01-21,10,1,6
2020-01-22,1,5,4
2020-01-23,33,0,4
2020-01-24,8,0,4
2020-01-25,0,0,1
2020-01-26,0,0,0
2020-01-27,9,8,4
2020-01-28,15,1,6
2020-01-29,14,6,4
2020-01-30,11,1,6
2020-01-31,18,0,4
2020-02-01,2,0,2
2020-02-02,0,0,0
2020-02-03,5,1,1
2020-02-04,13,1,2
2020-02-05,4,0,3
2020-02-06,7,0,1
2020-02-07,13,0,3
2020-02-08,0,0,1
2020-02-09,0,0,0
2020-02-10,15,4,0
2020-02-11,8,0,1
2020-02-12,6,0,5
2020-02-13,5,2,5
2020-02-14,14,4,4
2020-02-15,0,0,2
2020-02-16,1,0,0
2020-02-17,5,0,0
2020-02-18,2,0,4
2020-02-19,9,0,4
2020-02-20,11,0,14
2020-02-21,7,0,9
2020-02-22,6,0,3
2020-02-23,6,0,3
2020-02-24,13,4,5
2020-02-25,10,3,8
2020-02-26,8,0,13
2020-02-27,6,1,1
2020-02-28,0,1,11
2020-02-29,2,0,0
2020-03-01,3,0,2
2020-03-02,11,0,4
2020-03-03,14,0,7
2020-03-04,22,5,7
2020-03-05,33,0,7
2020-03-06,13,0,3
2020-03-07,0,0,1
2020-03-08,6,0,1
2020-03-09,14,0,5
2020-03-10,8,4,6
2020-03-11,47,4,9
2020-03-12,7,3,8
2020-03-13,6,4,5
2020-03-14,1,0,5
2020-03-15,0,0,4
2020-03-16,7,4,3
2020-03-17,11,4,11
2020-03-18,8,0,3
2020-03-19,23,1,6
2020-03-20,5,2,4
2020-03-21,0,0,1
2020-03-22,0,0,1
2020-03-23,9,3,0
2020-03-24,13,3,2
2020-03-25,5,0,7
2020-03-26,15,0,4
2020-03-27,10,0,5
2020-03-28,0,0,1
2020-03-29,2,0,1
2020-03-30,11,5,7
2020-03-31,16,5,7
2020-04-01,7,4,7
2020-04-02,5,5,9
2020-04-03,10,5,8
2020-04-04,7,0,5
2020-04-05,2,0,2
2020-04-06,19,3,3
2020-04-07,8,5,1
2020-04-08,6,2,6
2020-04-09,5,2,4
2020-04-10,7,2,7
2020-04-11,2,0,2
2020-04-12,0,0,2
2020-04-13,2,0,7
2020-04-14,2,4,4
2020-04-15,2,1,7
2020-04-16,12,1,9
2020-04-17,8,0,12
2020-04-18,6,0,1
2020-04-19,0,0,2
2020-04-20,10,0,9
2020-04-21,4,1,6
2020-04-22,6,0,8
2020-04-23,9,1,5
2020-04-24,6,2,34
2020-04-25,1,0,21
2020-04-26,0,1,8
2020-04-27,9,2,6
2020-04-28,14,2,3
2020-04-29,5,3,2
2020-04-30,4,0,1
2020-05-01,16,0,13
2020-05-02,11,0,2
2020-05-03,1,0,0
2020-05-04,2,5,5
2020-05-05,4,6,3
2020-05-06,7,0,10
2020-05-07,17,3,5
2020-05-08,9,0,5
2020-05-09,0,0,2
2020-05-10,3,0,2
2020-05-11,17,5,4
2020-05-12,12,3,9
2020-05-13,7,0,5
2020-05-14,14,4,12
2020-05-15,10,1,3
2020-05-16,0,0,0
2020-05-17,1,0,1
2020-05-18,19,6,6
2020-05-19,13,3,12
2020-05-20,13,5,8
2020-05-21,4,3,11
2020-05-22,15,0,4
2020-05-23,1,0,2
2020-05-24,0,0,4
2020-05-25,11,0,2
2020-05-26,11,3,7
2020-05-27,10,0,4
2020-05-28,7,0,4
2020-05-29,8,4,11
2020-05-30,0,1,2
2020-05-31,0,1,0
2020-06-01,25,3,4
2020-06-02,11,0,8
2020-06-03,7,1,11
2020-06-04,14,3,10
2020-06-05,13,1,3
2020-06-06,3,0,1
2020-06-07,1,0,0
2020-06-08,9,0,6
2020-06-09,9,1,7
2020-06-10,14,1,8
2020-06-11,6,3,4
2020-06-12,7,0,12
2020-06-13,1,0,0
2020-06-14,2,0,1
2020-06-15,14,0,3
2020-06-16,13,0,6
2020-06-17,14,1,11
2020-06-18,10,0,12
2020-06-19,5,1,17
2020-06-20,7,0,2
2020-06-21,1,0,4
2020-06-22,30,2,7
2020-06-23,11,3,14
2020-06-24,24,0,8
2020-06-25,11,0,10
2020-06-26,12,4,9
2020-06-27,2,0,1
2020-06-28,4,0,14
2020-06-29,21,4,28
2020-06-30,18,7,31
2020-07-01,17,2,30
2020-07-02,11,3,0
2020-07-03,10,3,4
2020-07-04,0,0,3
2020-07-05,0,0,2
2020-07-06,13,5,8
2020-07-07,22,2,6
2020-07-08,9,2,17
2020-07-09,10,2,14
2020-07-10,20,2,24
2020-07-11,1,0,7
2020-07-12,1,2,3
2020-07-13,7,2,16
2020-07-14,14,0,15
2020-07-15,14,2,4
2020-07-16,10,2,22
2020-07-17,11,1,30
2020-07-18,8,0,5
2020-07-19,0,0,3
2020-07-20,17,1,14
2020-07-21,24,0,11
2020-07-22,7,0,11
2020-07-23,8,0,25
2020-07-24,13,0,27
2020-07-25,0,0,0
2020-07-26,3,0,4
2020-07-27,16,0,8
2020-07-28,21,0,28
2020-07-29,9,2,15
2020-07-30,10,4,23
2020-07-31,10,9,15
2020-08-01,2,0,4
2020-08-02,1,0,4
2020-08-03,11,14,33
2020-08-04,19,2,11
2020-08-05,10,1,38
2020-08-06,8,1,6
2020-08-07,19,2,25
2020-08-08,5,1,12
2020-08-09,2,0,7
2020-08-10,12,0,9
2020-08-11,28,1,17
2020-08-12,12,0,11
2020-08-13,11,0,22
2020-08-14,7,1,24
2020-08-15,0,0,5
2020-08-16,2,0,2
2020-08-17,28,0,12
2020-08-18,13,0,25
2020-08-19,7,0,14
2020-08-20,16,4,4
2020-08-21,8,3,7
2020-08-22,2,0,2
2020-08-23,3,0,4
2020-08-24,13,3,12
2020-08-25,20,3,11
2020-08-26,19,1,12
2020-08-27,12,2,11
2020-08-28,9,2,7
2020-08-29,3,0,1
2020-08-30,6,0,0
2020-08-31,15,1,4
2020-09-01,22,3,2
2020-09-02,12,3,6
2020-09-03,12,1,6
2020-09-04,8,0,3
2020-09-05,1,0,0
2020-09-06,1,0,1
2020-09-07,18,1,1
2020-09-08,9,0,6
2020-09-09,6,2,13
2020-09-10,24,0,7
2020-09-11,9,0,7
2020-09-12,1,0,0
2020-09-13,2,0,1
2020-09-14,14,9,7
2020-09-15,15,0,14
2020-09-16,11,0,10
2020-09-17,16,0,4
2020-09-18,27,4,8
2020-09-19,4,0,4
2020-09-20,3,0,1
2020-09-21,16,1,6
2020-09-22,24,7,6
2020-09-23,8,1,2
2020-09-24,15,3,5
2020-09-25,19,1,5
2020-09-26,0,0,3
2020-09-27,2,0,2
2020-09-28,14,4,7
2020-09-29,11,6,3
2020-09-30,16,2,6
2020-10-01,27,3,5
2020-10-02,1,1,11
2020-10-03,0,1,2
2020-10-04,2,0,0
2020-10-05,19,6,3
2020-10-06,16,5,7
2020-10-07,13,9,4
2020-10-08,8,1,9
2020-10-09,14,2,5
2020-10-10,2,0,0
2020-10-11,3,1,0
2020-10-12,11,4,2
2020-10-13,10,3,10
2020-10-14,12,7,3
2020-10-15,13,1,3
2020-10-16,12,5,3
2020-10-17,3,0,2
2020-10-18,1,0,0
2020-10-19,17,0,4
2020-10-20,14,2,5
2020-10-21,24,7,10
2020-10-22,22,7,15
2020-10-23,11,6,9
2020-10-24,2,0,3
2020-10-25,1,0,3
2020-10-26,26,6,9
2020-10-27,21,7,8
2020-10-28,11,1,9
2020-10-29,21,0,3
2020-10-30,10,10,5
2020-10-31,0,0,0
2020-11-01,2,0,15
2020-11-02,15,2,2
2020-11-03,14,2,5
2020-11-04,13,2,1
2020-11-05,10,2,4
2020-11-06,19,6,6
2020-11-07,2,0,8
2020-11-08,7,0,2
2020-11-09,19,7,3
2020-11-10,22,3,8
2020-11-11,11,0,4
2020-11-12,9,2,5
2020-11-13,11,0,7
2020-11-14,0,0,3
2020-11-15,1,0,0
2020-11-16,10,6,5
2020-11-17,14,0,6
2020-11-18,26,4,6
2020-11-19,19,4,5
2020-11-20,6,3,5
2020-11-21,0,0,0
2020-11-22,1,0,0
2020-11-23,17,0,3
2020-11-24,10,0,4
2020-11-25,5,0,5
2020-11-26,6,2,3
2020-11-27,12,5,1
2020-11-28,1,0,0
2020-11-29,3,0,0
2020-11-30,15,3,5
2020-12-01,11,6,3
2020-12-02,7,6,3
2020-12-03,7,4,6
2020-12-04,5,4,10
2020-12-05,2,1,2
2020-12-06,1,0,1
2020-12-07,11,2,2
2020-12-08,9,3,4
2020-12-09,10,3,4
2020-12-10,7,3,2
2020-12-11,15,2,5
2020-12-12,0,2,1
2020-12-13,0,0,0
2020-12-14,10,2,11
2020-12-15,19,2,4
2020-12-16,10,1,2
2020-12-17,12,1,2
2020-12-18,9,0,2
2020-12-19,3,0,3
2020-12-20,1,1,0
2020-12-21,9,0,4
2020-12-22,10,2,2
2020-12-23,6,2,2
2020-12-24,8,0,2
2020-12-25,2,0,0
2020-12-26,0,0,0
2020-12-27,1,0,0
2020-12-28,3,0,2
2020-12-29,3,0,2
2020-12-30,1,0,1
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,3,0,1
2021-01-03,1,0,0
2021-01-04,12,4,2
2021-01-05,13,1,6
2021-01-06,15,0,3
2021-01-07,9,2,3
2021-01-08,7,2,6
2021-01-09,0,0,2
2021-01-10,2,0,0
2021-01-11,16,1,2
2021-01-12,13,0,7
2021-01-13,14,0,5
2021-01-14,11,3,7
2021-01-15,5,2,4
2021-01-16,0,0,3
2021-01-17,0,0,0
2021-01-18,3,1,0
2021-01-19,13,2,6
2021-01-20,17,5,10
2021-01-21,11,1,3
2021-01-22,5,3,6
2021-01-23,2,0,2
2021-01-24,0,0,2
2021-01-25,7,4,8
2021-01-26,13,3,2
2021-01-27,21,5,3
2021-01-28,11,6,2
2021-01-29,6,4,4
2021-01-30,1,0,1
2021-01-31,2,0,1
2021-02-01,11,3,3
2021-02-02,9,5,7
2021-02-03,11,1,4
2021-02-04,14,6,2
2021-02-05,7,1,4
2021-02-06,0,0,1
2021-02-07,0,0,2
2021-02-08,25,1,4
2021-02-09,16,3,5
2021-02-10,9,2,2
2021-02-11,8,6,4
2021-02-12,4,5,8
2021-02-13,6,0,0
2021-02-14,0,0,0
2021-02-15,12,4,2
2021-02-16,5,4,4
2021-02-17,8,0,4
2021-02-18,6,1,4
2021-02-19,15,1,4
2021-02-20,3,0,0
2021-02-21,1,0,0
2021-02-22,9,9,7
2021-02-23,3,5,3
2021-02-24,6,1,9
2021-02-25,11,4,7
2021-02-26,4,2,7
2021-02-27,5,0,2
2021-02-28,3,0,3
2021-03-01,5,17,5
2021-03-02,1,3,10
2021-03-03,9,3,8
2021-03-04,6,3,2
2021-03-05,11,0,5
2021-03-06,3,0,1
2021-03-07,0,0,0
2021-03-08,20,2,3
2021-03-09,9,3,2
2021-03-10,8,7,7
2021-03-11,17,5,11
2021-03-12,7,6,5
2021-03-13,0,0,1
2021-03-14,0,0,2
2021-03-15,16,4,1
2021-03-16,14,3,5
2021-03-17,11,3,3
2021-03-18,14,1,6
2021-03-19,9,1,8
2021-03-20,0,4,2
2021-03-21,5,0,0
2021-03-22,10,3,11
2021-03-23,12,0,9
2021-03-24,6,4,8
2021-03-25,7,1,6
2021-03-26,3,0,6
2021-03-27,0,0,0
2021-03-28,1,0,0
2021-03-29,11,1,7
2021-03-30,11,11,8
2021-03-31,13,3,3
2021-04-01,7,0,6
2021-04-02,1,0,9
2021-04-03,0,0,1
2021-04-04,0,0,1
2021-04-05,15,0,12
2021-04-06,12,2,7
2021-04-07,11,7,1
2021-04-08,14,4,2
2021-04-09,13,2,3
2021-04-10,0,1,1
2021-04-11,0,0,0
2021-04-12,9,3,7
2021-04-13,15,1,11
2021-04-14,10,2,5
2021-04-15,3,0,3
2021-04-16,5,1,5
2021-04-17,0,1,2
2021-04-18,0,1,0
2021-04-19,4,5,4
2021-04-20,6,4,5
2021-04-21,13,6,6
2021-04-22,7,3,3
2021-04-23,19,6,3
2021-04-24,2,0,2
2021-04-25,2,0,0
2021-04-26,20,7,5
2021-04-27,3,6,7
2021-04-28,3,4,5
2021-04-29,4,1,2
2021-04-30,19,2,7
2021-05-01,0,0,0
2021-05-02,1,0,0
2021-05-03,12,2,3
2021-05-04,8,2,10
2021-05-05,5,2,6
2021-05-06,8,1,5
2021-05-07,7,4,7
2021-05-08,0,0,2
2021-05-09,1,0,0
2021-05-10,10,4,7
2021-05-11,8,9,11
2021-05-12,9,1,3
2021-05-13,8,3,4
2021-05-14,4,1,5
2021-05-15,0,1,0
2021-05-16,0,0,0
2021-05-17,7,9,8
2021-05-18,10,2,3
2021-05-19,3,3,3
2021-05-20,6,4,7
2021-05-21,7,21,3
2021-05-22,1,3,2
2021-05-23,0,0,0
2021-05-24,7,6,8
2021-05-25,9,6,5
2021-05-26,7,5,3
2021-05-27,3,5,6
2021-05-28,3,0,6
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,4,0,0
2021-06-01,15,7,2
2021-06-02,7,1,6
2021-06-03,2,4,11
2021-06-04,2,9,6
2021-06-05,0,6,0
2021-06-06,0,1,2
2021-06-07,7,7,2
2021-06-08,11,4,4
2021-06-09,8,13,5
2021-06-10,10,9,1
2021-06-11,3,9,6
2021-06-12,0,0,2
2021-06-13,1,0,1
2021-06-14,19,3,6
2021-06-15,14,5,18
2021-06-16,6,4,9
2021-06-17,9,3,3
2021-06-18,4,2,3
2021-06-19,0,0,2
2021-06-20,0,0,2
2021-06-21,10,4,4
2021-06-22,10,1,3
2021-06-23,21,3,3
2021-06-24,5,2,12
2021-06-25,10,2,6
2021-06-26,2,0,0
2021-06-27,0,0,0
2021-06-28,13,4,3
2021-06-29,11,1,2
2021-06-30,10,1,5
2021-07-01,12,2,11
2021-07-02,7,0,3
2021-07-03,0,0,1
2021-07-04,1,0,1
2021-07-05,12,1,2
2021-07-06,9,0,0
2021-07-07,12,0,4
2021-07-08,9,1,5
2021-07-09,11,1,7
2021-07-10,3,0,2
2021-07-11,0,0,0
2021-07-12,19,3,3
2021-07-13,13,0,8
2021-07-14,11,2,2
2021-07-15,19,1,2
2021-07-16,5,3,3
2021-07-17,4,0,2
2021-07-18,0,0,0
2021-07-19,3,0,7
2021-07-20,9,2,2
2021-07-21,9,0,2
2021-07-22,4,3,6
2021-07-23,3,2,1
2021-07-24,2,0,3
2021-07-25,0,1,0
2021-07-26,10,1,5
2021-07-27,3,1,4
2021-07-28,12,2,2
2021-07-29,3,1,4
2021-07-30,6,1,2
2021-07-31,0,0,0
2021-08-01,1,0,2
2021-08-02,3,1,3
2021-08-03,3,1,12
2021-08-04,10,3,3
2021-08-05,4,0,5
2021-08-06,6,4,2
2021-08-07,0,0,1
2021-08-08,2,0,1
2021-08-09,6,1,6
2021-08-10,12,0,1
2021-08-11,3,0,10
2021-08-12,13,2,3
2021-08-13,7,1,2
2021-08-14,0,0,0
2021-08-15,0,0,0
2021-08-16,7,4,1
2021-08-17,2,3,4
2021-08-18,2,2,4
2021-08-19,1,2,4
2021-08-20,1,1,5
2021-08-21,0,0,1
2021-08-22,0,0,0
2021-08-23,9,4,5
2021-08-24,5,0,2
2021-08-25,8,0,12
2021-08-26,13,5,3
2021-08-27,8,2,4
2021-08-28,1,0,2
2021-08-29,0,0,0
2021-08-30,22,0,3
2021-08-31,21,5,5
2021-09-01,26,4,5
2021-09-02,11,5,7
2021-09-03,0,0,8
2021-09-04,0,3,0
2021-09-05,0,1,0
2021-09-06,11,7,5
2021-09-07,5,2,12
2021-09-08,13,2,3
2021-09-09,7,1,5
2021-09-10,7,2,18
2021-09-11,0,0,4
2021-09-12,0,0,3
2021-09-13,10,3,2
2021-09-14,8,6,3
2021-09-15,4,2,2
2021-09-16,11,3,6
2021-09-17,9,3,8
2021-09-18,0,0,1
2021-09-19,0,0,1
2021-09-20,10,2,10
2021-09-21,12,7,19
2021-09-22,11,1,9
2021-09-23,6,1,6
2021-09-24,10,6,10
2021-09-25,2,0,0
2021-09-26,4,1,0
2021-09-27,9,3,3
2021-09-28,2,2,5
2021-09-29,10,9,4
2021-09-30,8,5,1
2021-10-01,5,4,17
2021-10-02,0,0,7
2021-10-03,0,0,3
2021-10-04,6,4,8
2021-10-05,10,7,2
2021-10-06,12,5,1
2021-10-07,8,10,3
2021-10-08,11,5,3
2021-10-09,1,0,8
2021-10-10,0,0,0
2021-10-11,10,3,4
2021-10-12,7,2,3
2021-10-13,1,4,6
2021-10-14,10,2,4
2021-10-15,4,5,4
2021-10-16,3,0,2
2021-10-17,1,1,0
2021-10-18,10,7,6
2021-10-19,3,7,8
2021-10-20,10,12,10
2021-10-21,12,9,3
2021-10-22,9,6,9
2021-10-23,0,0,10
2021-10-24,0,1,8
2021-10-25,11,9,12
2021-10-26,14,9,11
2021-10-27,8,10,3
2021-10-28,11,5,8
2021-10-29,11,11,9
2021-10-30,0,0,0
2021-10-31,0,2,1
2021-11-01,9,9,4
2021-11-02,7,8,3
2021-11-03,11,11,3
2021-11-04,4,7,6
2021-11-05,3,8,2
2021-11-06,4,3,1
2021-11-07,0,0,1
2021-11-08,8,5,5
2021-11-09,10,6,3
2021-11-10,6,3,6
2021-11-11,7,6,4
2021-11-12,4,8,5
2021-11-13,2,0,4
2021-11-14,1,1,0
2021-11-15,8,2,4
2021-11-16,5,6,12
2021-11-17,6,5,9
2021-11-18,7,4,4
2021-11-19,5,1,8
2021-11-20,0,0,2
2021-11-21,2,3,0
2021-11-22,6,9,3
2021-11-23,1,1,7
2021-11-24,3,1,0
2021-11-25,2,2,1
2021-11-26,4,3,0
2021-11-27,0,1,0
2021-11-28,1,0,0
2021-11-29,6,5,2
2021-11-30,6,5,2
2021-12-01,6,3,3
2021-12-02,8,3,1
2021-12-03,6,1,9
2021-12-04,0,0,4
