,apache/tomcat,apache/struts,spring-projects/spring-framework
2021-05-11,0,0,13
2021-05-12,1,0,6
2021-05-13,2,0,2
2021-05-14,3,0,2
2021-05-15,0,0,0
2021-05-16,1,0,5
2021-05-17,5,0,7
2021-05-18,2,0,4
2021-05-19,5,0,0
2021-05-20,5,0,2
2021-05-21,4,0,1
2021-05-22,2,0,0
2021-05-23,1,0,4
2021-05-24,14,0,1
2021-05-25,16,0,0
2021-05-26,15,0,8
2021-05-27,7,0,2
2021-05-28,0,0,2
2021-05-29,0,0,0
2021-05-30,0,0,2
2021-05-31,0,2,3
2021-06-01,8,0,2
2021-06-02,3,0,3
2021-06-03,5,1,0
2021-06-04,7,0,5
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,5,1,3
2021-06-08,12,0,18
2021-06-09,2,0,3
2021-06-10,1,0,0
2021-06-11,1,0,1
2021-06-12,0,0,0
2021-06-13,1,0,0
2021-06-14,0,1,1
2021-06-15,14,1,6
2021-06-16,6,0,0
2021-06-17,2,0,0
2021-06-18,3,1,0
2021-06-19,1,1,0
2021-06-20,0,1,0
2021-06-21,3,0,7
2021-06-22,10,0,5
2021-06-23,11,0,2
2021-06-24,4,0,4
2021-06-25,8,0,1
2021-06-26,0,0,0
2021-06-27,0,5,0
2021-06-28,2,0,1
2021-06-29,0,0,3
2021-06-30,4,0,7
2021-07-01,4,1,0
2021-07-02,2,0,6
2021-07-03,0,0,0
2021-07-04,0,2,0
2021-07-05,0,0,0
2021-07-06,2,0,2
2021-07-07,2,0,5
2021-07-08,4,0,1
2021-07-09,3,0,13
2021-07-10,0,0,0
2021-07-11,0,0,3
2021-07-12,0,0,12
2021-07-13,2,0,11
2021-07-14,0,0,1
2021-07-15,2,0,0
2021-07-16,3,0,1
2021-07-17,0,0,2
2021-07-18,0,0,0
2021-07-19,0,0,0
2021-07-20,0,0,0
2021-07-21,10,0,0
2021-07-22,4,0,0
2021-07-23,5,0,5
2021-07-24,0,0,1
2021-07-25,0,0,1
2021-07-26,9,0,0
2021-07-27,18,0,3
2021-07-28,42,0,2
2021-07-29,2,0,9
2021-07-30,1,0,3
2021-07-31,0,0,2
2021-08-01,0,0,0
2021-08-02,0,0,0
2021-08-03,4,0,0
2021-08-04,0,0,4
2021-08-05,0,0,0
2021-08-06,2,0,0
2021-08-07,2,0,1
2021-08-08,0,0,2
2021-08-09,0,0,1
2021-08-10,0,0,0
2021-08-11,0,0,2
2021-08-12,0,0,2
2021-08-13,0,0,0
2021-08-14,0,0,0
2021-08-15,0,0,0
2021-08-16,1,0,0
2021-08-17,12,0,2
2021-08-18,7,0,2
2021-08-19,4,0,5
2021-08-20,1,0,0
2021-08-21,8,0,0
2021-08-22,0,0,6
2021-08-23,6,0,8
2021-08-24,1,0,0
2021-08-25,1,0,2
2021-08-26,3,0,2
2021-08-27,1,0,0
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,1,0,5
2021-08-31,7,0,3
2021-09-01,4,0,1
2021-09-02,13,0,5
2021-09-03,3,0,3
2021-09-04,0,0,0
2021-09-05,1,0,0
2021-09-06,5,0,9
2021-09-07,2,0,7
2021-09-08,1,0,1
2021-09-09,6,0,3
2021-09-10,1,0,5
2021-09-11,0,0,0
2021-09-12,0,0,2
2021-09-13,4,0,12
2021-09-14,3,0,17
2021-09-15,4,0,13
2021-09-16,3,0,2
2021-09-17,8,0,16
2021-09-18,0,0,0
2021-09-19,0,0,0
2021-09-20,2,0,5
2021-09-21,0,0,21
2021-09-22,10,1,4
2021-09-23,9,2,8
2021-09-24,7,5,3
2021-09-25,0,0,1
2021-09-26,0,0,0
2021-09-27,13,0,8
2021-09-28,7,1,16
2021-09-29,3,0,5
2021-09-30,2,0,11
2021-10-01,1,0,13
2021-10-02,0,0,4
2021-10-03,0,0,2
2021-10-04,2,1,0
2021-10-05,0,0,12
2021-10-06,1,0,8
2021-10-07,6,0,5
2021-10-08,1,0,10
2021-10-09,0,0,0
2021-10-10,0,0,2
2021-10-11,3,0,9
2021-10-12,7,0,14
2021-10-13,1,0,19
2021-10-14,6,0,28
2021-10-15,0,0,0
2021-10-16,0,0,0
2021-10-17,0,0,6
2021-10-18,0,2,6
2021-10-19,0,0,9
2021-10-20,0,0,4
2021-10-21,1,0,6
2021-10-22,0,0,12
2021-10-23,0,0,7
2021-10-24,0,0,0
2021-10-25,0,0,7
2021-10-26,0,0,2
2021-10-27,0,0,2
2021-10-28,0,0,5
2021-10-29,1,0,3
2021-10-30,0,4,0
2021-10-31,0,1,0
2021-11-01,1,0,0
2021-11-02,1,1,2
2021-11-03,5,0,2
2021-11-04,4,1,2
2021-11-05,10,0,2
2021-11-06,6,1,0
2021-11-07,1,0,0
2021-11-08,12,0,2
2021-11-09,3,0,12
2021-11-10,1,3,10
2021-11-11,4,2,2
2021-11-12,1,4,0
2021-11-13,0,1,0
2021-11-14,0,0,0
2021-11-15,4,1,0
2021-11-16,0,6,2
2021-11-17,1,2,6
2021-11-18,14,0,3
2021-11-19,2,0,4
2021-11-20,0,0,0
2021-11-21,0,0,0
2021-11-22,2,0,24
2021-11-23,11,0,9
2021-11-24,8,1,16
2021-11-25,11,0,6
2021-11-26,2,0,0
2021-11-27,0,0,0
2021-11-28,0,0,4
2021-11-29,3,1,3
2021-11-30,0,0,12
2021-12-01,4,1,1
2021-12-02,7,0,20
2021-12-03,3,0,15
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,6,0,3
2021-12-07,3,0,3
2021-12-08,3,0,2
2021-12-09,5,0,6
2021-12-10,4,1,8
2021-12-11,0,0,0
2021-12-12,0,9,5
2021-12-13,0,0,11
2021-12-14,0,0,31
2021-12-15,2,1,15
2021-12-16,1,0,2
2021-12-17,0,2,0
2021-12-18,0,4,0
2021-12-19,0,2,0
2021-12-20,1,4,0
2021-12-21,4,4,14
2021-12-22,0,0,0
2021-12-23,1,0,0
2021-12-24,0,3,0
2021-12-25,0,0,0
2021-12-26,0,1,0
2021-12-27,0,0,4
2021-12-28,0,1,0
2021-12-29,0,1,9
2021-12-30,0,2,0
2021-12-31,6,0,0
2022-01-01,6,2,0
2022-01-02,13,0,0
2022-01-03,4,0,9
2022-01-04,1,2,20
2022-01-05,2,0,0
2022-01-06,3,1,2
2022-01-07,4,1,9
2022-01-08,1,0,8
2022-01-09,0,0,9
2022-01-10,7,0,9
2022-01-11,2,0,12
2022-01-12,8,0,17
2022-01-13,3,6,10
2022-01-14,8,1,2
2022-01-15,2,0,0
2022-01-16,0,0,0
2022-01-17,0,0,7
2022-01-18,2,1,4
2022-01-19,0,0,4
2022-01-20,4,0,3
2022-01-21,1,0,8
2022-01-22,0,0,3
2022-01-23,0,5,0
2022-01-24,4,0,3
2022-01-25,0,0,9
2022-01-26,9,0,11
2022-01-27,2,0,5
2022-01-28,0,0,8
2022-01-29,0,5,3
2022-01-30,0,0,4
2022-01-31,2,1,2
2022-02-01,2,0,2
2022-02-02,4,0,4
2022-02-03,1,0,11
2022-02-04,0,0,16
2022-02-05,0,0,11
2022-02-06,0,2,0
2022-02-07,3,0,2
2022-02-08,2,0,6
2022-02-09,0,1,0
2022-02-10,8,1,9
2022-02-11,5,0,11
2022-02-12,0,0,2
2022-02-13,1,2,0
2022-02-14,0,0,17
2022-02-15,3,0,16
2022-02-16,1,0,12
2022-02-17,1,0,8
2022-02-18,1,0,6
2022-02-19,8,0,10
2022-02-20,0,4,0
2022-02-21,4,2,0
2022-02-22,2,0,1
2022-02-23,1,1,0
2022-02-24,1,2,6
2022-02-25,2,0,0
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,2,0,12
2022-03-01,4,1,10
2022-03-02,0,0,3
2022-03-03,0,1,1
2022-03-04,0,1,3
2022-03-05,0,0,3
2022-03-06,0,0,2
2022-03-07,0,2,0
2022-03-08,4,0,1
2022-03-09,4,0,21
2022-03-10,1,0,8
2022-03-11,0,0,5
2022-03-12,0,0,9
2022-03-13,1,0,2
2022-03-14,1,0,3
2022-03-15,10,2,11
2022-03-16,2,0,24
2022-03-17,7,0,3
2022-03-18,2,0,6
2022-03-19,1,0,0
2022-03-20,0,0,4
2022-03-21,1,1,3
2022-03-22,5,0,7
2022-03-23,2,0,4
2022-03-24,5,0,4
2022-03-25,0,0,5
2022-03-26,0,0,0
2022-03-27,0,0,11
2022-03-28,0,3,0
2022-03-29,10,0,7
2022-03-30,6,0,0
2022-03-31,2,0,5
2022-04-01,3,0,5
2022-04-02,0,0,0
2022-04-03,0,0,0
2022-04-04,0,1,8
2022-04-05,3,0,0
2022-04-06,0,0,1
2022-04-07,3,1,4
2022-04-08,0,0,12
2022-04-09,0,0,3
2022-04-10,0,0,0
2022-04-11,1,0,7
2022-04-12,0,0,10
2022-04-13,0,0,5
2022-04-14,1,0,11
2022-04-15,0,0,1
2022-04-16,0,0,2
2022-04-17,0,0,0
2022-04-18,0,0,0
2022-04-19,0,0,0
2022-04-20,1,0,1
2022-04-21,3,0,0
2022-04-22,0,0,0
2022-04-23,1,0,0
2022-04-24,0,0,7
2022-04-25,1,0,2
2022-04-26,2,0,5
2022-04-27,1,0,9
2022-04-28,3,0,5
2022-04-29,2,0,3
2022-04-30,0,0,0
2022-05-01,0,1,0
2022-05-02,0,1,1
2022-05-03,0,0,20
2022-05-04,1,3,0
2022-05-05,1,2,45
2022-05-06,7,5,5
2022-05-07,0,0,6
2022-05-08,0,1,0
2022-05-09,7,0,16
2022-05-10,18,1,21
2022-05-11,1,0,21
2022-05-12,2,0,3
2022-05-13,0,0,1
2022-05-14,0,1,4
2022-05-15,0,3,2
2022-05-16,7,3,5
2022-05-17,9,4,6
2022-05-18,7,0,1
2022-05-19,4,1,0
2022-05-20,8,1,4
2022-05-21,0,0,3
2022-05-22,0,0,0
2022-05-23,2,3,14
2022-05-24,3,3,7
2022-05-25,0,2,4
2022-05-26,4,0,1
2022-05-27,1,0,3
2022-05-28,0,0,0
2022-05-29,0,0,0
2022-05-30,1,0,8
2022-05-31,13,0,10
2022-06-01,5,0,10
2022-06-02,2,2,4
2022-06-03,0,0,18
2022-06-04,0,0,2
2022-06-05,0,1,1
2022-06-06,6,1,2
2022-06-07,0,0,14
2022-06-08,5,1,16
2022-06-09,22,0,15
2022-06-10,2,2,4
2022-06-11,0,0,0
2022-06-12,1,0,0
2022-06-13,4,0,16
2022-06-14,5,4,31
2022-06-15,4,4,10
2022-06-16,10,0,4
2022-06-17,13,3,4
2022-06-18,0,6,0
2022-06-19,0,0,1
2022-06-20,7,1,16
2022-06-21,5,3,10
2022-06-22,1,1,0
2022-06-23,11,0,8
2022-06-24,0,0,11
2022-06-25,0,0,5
2022-06-26,0,0,0
2022-06-27,0,2,15
2022-06-28,4,0,2
2022-06-29,4,0,8
2022-06-30,1,0,18
2022-07-01,0,0,11
2022-07-02,0,0,3
2022-07-03,0,1,9
2022-07-04,0,0,11
2022-07-05,0,0,10
2022-07-06,0,0,12
2022-07-07,2,6,6
2022-07-08,0,4,7
2022-07-09,0,0,4
2022-07-10,0,0,4
2022-07-11,2,4,16
2022-07-12,0,0,29
2022-07-13,11,0,56
2022-07-14,1,0,6
2022-07-15,0,0,8
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,0,0,6
2022-07-19,0,0,9
2022-07-20,1,0,5
2022-07-21,1,0,1
2022-07-22,0,0,8
2022-07-23,0,0,0
2022-07-24,0,1,0
2022-07-25,0,0,6
2022-07-26,0,0,3
2022-07-27,0,0,10
2022-07-28,0,0,9
2022-07-29,0,0,27
2022-07-30,0,0,6
2022-07-31,0,1,3
2022-08-01,9,0,12
2022-08-02,5,0,10
2022-08-03,3,0,10
2022-08-04,1,0,17
2022-08-05,0,0,5
2022-08-06,0,3,5
2022-08-07,0,2,0
2022-08-08,6,13,4
2022-08-09,1,3,5
2022-08-10,0,0,3
2022-08-11,5,2,10
2022-08-12,0,2,6
2022-08-13,0,0,2
2022-08-14,0,0,0
2022-08-15,0,0,1
2022-08-16,5,0,12
2022-08-17,1,0,7
2022-08-18,3,0,2
2022-08-19,1,0,6
2022-08-20,0,0,1
2022-08-21,3,1,3
2022-08-22,4,0,9
2022-08-23,6,2,15
2022-08-24,7,1,5
2022-08-25,6,4,5
2022-08-26,0,0,6
2022-08-27,0,0,0
2022-08-28,0,0,7
2022-08-29,2,2,0
2022-08-30,2,0,9
2022-08-31,4,0,12
2022-09-01,3,1,8
2022-09-02,15,3,25
2022-09-03,0,1,4
2022-09-04,1,4,10
2022-09-05,2,0,12
2022-09-06,0,0,17
2022-09-07,1,0,13
2022-09-08,4,0,16
2022-09-09,14,0,20
2022-09-10,0,0,7
2022-09-11,0,0,1
2022-09-12,6,0,36
2022-09-13,7,0,17
2022-09-14,7,5,32
2022-09-15,15,0,10
2022-09-16,2,0,2
2022-09-17,0,3,0
2022-09-18,0,1,2
2022-09-19,0,0,5
2022-09-20,3,10,16
2022-09-21,9,6,4
2022-09-22,1,0,2
2022-09-23,6,0,5
2022-09-24,0,0,0
2022-09-25,0,3,3
2022-09-26,0,0,32
2022-09-27,5,2,11
2022-09-28,10,6,18
2022-09-29,0,0,6
2022-09-30,13,6,21
2022-10-01,0,0,0
2022-10-02,0,0,3
2022-10-03,3,0,17
2022-10-04,0,0,21
2022-10-05,4,1,25
2022-10-06,8,1,14
2022-10-07,2,0,24
2022-10-08,3,0,11
2022-10-09,0,0,2
2022-10-10,3,0,23
2022-10-11,10,0,18
2022-10-12,8,0,6
2022-10-13,0,2,5
2022-10-14,2,4,2
2022-10-15,0,0,0
2022-10-16,0,4,2
2022-10-17,0,6,8
2022-10-18,0,0,32
2022-10-19,9,5,16
2022-10-20,3,2,7
2022-10-21,2,6,4
2022-10-22,0,0,0
2022-10-23,0,0,0
2022-10-24,0,7,4
2022-10-25,0,2,8
2022-10-26,1,0,2
2022-10-27,2,2,5
2022-10-28,4,0,2
2022-10-29,0,0,0
2022-10-30,0,1,2
2022-10-31,10,0,4
2022-11-01,3,0,9
2022-11-02,2,6,31
2022-11-03,0,0,2
2022-11-04,1,5,9
2022-11-05,0,3,6
2022-11-06,0,7,3
2022-11-07,4,1,6
2022-11-08,9,3,28
2022-11-09,2,0,3
2022-11-10,1,0,7
2022-11-11,2,2,12
2022-11-12,0,0,3
2022-11-13,0,3,4
2022-11-14,6,0,19
2022-11-15,0,2,16
2022-11-16,8,0,7
2022-11-17,4,0,11
2022-11-18,9,0,10
2022-11-19,0,0,9
2022-11-20,0,0,3
2022-11-21,5,0,10
2022-11-22,2,0,20
2022-11-23,0,0,3
2022-11-24,0,0,6
2022-11-25,2,0,9
2022-11-26,0,0,7
2022-11-27,0,2,0
2022-11-28,2,2,11
2022-11-29,4,0,8
2022-11-30,4,0,2
2022-12-01,2,1,7
2022-12-02,1,0,4
2022-12-03,0,0,5
2022-12-04,0,3,1
2022-12-05,3,0,12
2022-12-06,1,0,13
2022-12-07,0,0,10
2022-12-08,3,1,2
2022-12-09,2,5,15
2022-12-10,0,0,1
2022-12-11,0,0,2
2022-12-12,1,0,5
2022-12-13,0,5,11
2022-12-14,1,1,3
2022-12-15,0,0,1
2022-12-16,1,0,4
2022-12-17,0,0,12
2022-12-18,0,1,12
2022-12-19,1,0,1
2022-12-20,2,0,3
2022-12-21,1,0,0
2022-12-22,0,0,0
2022-12-23,0,0,5
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,0,0,0
2022-12-28,0,1,0
2022-12-29,0,1,0
2022-12-30,0,0,0
2022-12-31,0,0,0
2023-01-01,0,0,0
2023-01-02,0,0,0
2023-01-03,6,0,3
2023-01-04,4,1,1
2023-01-05,3,0,0
2023-01-06,5,0,3
2023-01-07,0,0,0
2023-01-08,0,0,0
2023-01-09,4,0,5
2023-01-10,0,0,9
2023-01-11,11,0,10
2023-01-12,30,0,0
2023-01-13,5,0,1
2023-01-14,0,0,0
2023-01-15,0,0,0
2023-01-16,1,1,6
2023-01-17,2,0,7
2023-01-18,12,0,2
2023-01-19,22,0,13
2023-01-20,15,0,11
2023-01-21,0,0,0
2023-01-22,0,3,0
2023-01-23,13,1,4
2023-01-24,15,0,2
2023-01-25,7,1,1
2023-01-26,1,2,1
2023-01-27,10,0,5
2023-01-28,0,0,3
2023-01-29,1,0,4
2023-01-30,2,8,20
2023-01-31,1,0,20
2023-02-01,4,1,6
2023-02-02,6,0,13
2023-02-03,2,0,4
2023-02-04,0,0,0
2023-02-05,0,0,0
2023-02-06,0,0,0
2023-02-07,0,0,19
2023-02-08,0,0,2
2023-02-09,6,0,3
2023-02-10,4,0,0
2023-02-11,0,0,0
2023-02-12,0,1,0
2023-02-13,6,0,17
2023-02-14,9,2,15
2023-02-15,17,0,11
2023-02-16,8,0,0
2023-02-17,5,0,1
2023-02-18,0,1,0
2023-02-19,0,0,7
2023-02-20,1,2,4
2023-02-21,0,0,4
2023-02-22,7,0,4
2023-02-23,8,0,1
2023-02-24,5,0,8
2023-02-25,0,1,0
2023-02-26,3,0,5
2023-02-27,9,0,10
2023-02-28,0,2,10
2023-03-01,9,1,5
2023-03-02,5,3,14
2023-03-03,7,1,1
2023-03-04,0,1,1
2023-03-05,0,0,9
2023-03-06,7,0,14
2023-03-07,7,8,8
2023-03-08,8,0,6
2023-03-09,8,0,4
2023-03-10,1,0,5
2023-03-11,0,1,0
2023-03-12,0,5,1
2023-03-13,1,4,4
2023-03-14,9,1,7
2023-03-15,10,3,2
2023-03-16,1,0,0
2023-03-17,3,0,6
2023-03-18,0,0,0
2023-03-19,0,0,5
2023-03-20,0,0,2
2023-03-21,2,1,4
2023-03-22,4,14,6
2023-03-23,7,0,4
2023-03-24,1,1,4
2023-03-25,0,0,3
2023-03-26,2,1,0
2023-03-27,5,0,5
2023-03-28,0,0,6
2023-03-29,2,3,5
2023-03-30,4,2,6
2023-03-31,0,0,5
2023-04-01,0,0,4
2023-04-02,0,0,1
2023-04-03,6,0,8
2023-04-04,0,0,11
2023-04-05,1,0,4
2023-04-06,6,0,4
2023-04-07,0,4,6
2023-04-08,0,0,0
2023-04-09,0,1,0
2023-04-10,0,2,1
2023-04-11,12,0,5
2023-04-12,9,0,8
2023-04-13,11,0,6
2023-04-14,3,0,9
2023-04-15,0,0,1
2023-04-16,0,0,0
2023-04-17,0,0,2
2023-04-18,3,0,5
2023-04-19,1,0,5
2023-04-20,3,0,12
2023-04-21,3,0,0
2023-04-22,0,0,0
2023-04-23,0,0,1
2023-04-24,0,0,6
2023-04-25,5,0,17
2023-04-26,1,0,10
2023-04-27,15,0,0
2023-04-28,5,0,4
2023-04-29,0,0,0
2023-04-30,1,0,5
2023-05-01,0,0,0
2023-05-02,12,0,0
2023-05-03,3,0,6
2023-05-04,7,0,39
2023-05-05,6,2,13
2023-05-06,1,0,0
2023-05-07,1,0,0
2023-05-08,0,0,9
2023-05-09,5,1,13
2023-05-10,5,0,24
2023-05-11,22,0,6
2023-05-12,6,0,6
2023-05-13,4,0,3
2023-05-14,0,0,0
2023-05-15,0,0,8
2023-05-16,0,10,4
2023-05-17,0,1,0
2023-05-18,0,0,0
2023-05-19,2,1,0
2023-05-20,0,2,0
2023-05-21,2,0,0
2023-05-22,7,0,9
2023-05-23,1,1,26
2023-05-24,5,1,4
2023-05-25,0,0,17
2023-05-26,1,0,6
2023-05-27,0,0,0
2023-05-28,0,3,0
2023-05-29,1,3,0
2023-05-30,2,0,21
2023-05-31,8,0,5
2023-06-01,8,0,3
2023-06-02,4,0,9
2023-06-03,0,0,3
2023-06-04,0,1,14
2023-06-05,2,0,8
2023-06-06,0,0,9
2023-06-07,5,0,24
2023-06-08,3,0,19
2023-06-09,2,0,19
2023-06-10,2,0,0
2023-06-11,0,0,6
2023-06-12,1,0,27
2023-06-13,4,0,18
2023-06-14,7,0,37
2023-06-15,1,0,9
2023-06-16,3,0,4
2023-06-17,1,0,6
2023-06-18,0,0,0
2023-06-19,0,1,7
2023-06-20,4,0,17
2023-06-21,3,0,26
2023-06-22,4,0,20
2023-06-23,5,0,15
2023-06-24,0,0,7
2023-06-25,0,0,10
2023-06-26,2,0,13
2023-06-27,1,4,4
2023-06-28,5,3,6
2023-06-29,17,1,13
2023-06-30,1,0,13
2023-07-01,0,0,3
2023-07-02,0,0,2
2023-07-03,1,0,23
2023-07-04,14,0,21
2023-07-05,6,1,21
2023-07-06,2,0,21
2023-07-07,1,0,21
2023-07-08,0,0,7
2023-07-09,0,0,11
2023-07-10,0,0,18
2023-07-11,1,0,26
2023-07-12,1,7,24
2023-07-13,0,0,4
2023-07-14,0,4,18
2023-07-15,0,0,28
2023-07-16,0,1,18
2023-07-17,0,1,1
2023-07-18,0,0,12
2023-07-19,0,0,14
2023-07-20,3,0,1
2023-07-21,0,7,8
2023-07-22,0,0,1
2023-07-23,0,0,0
2023-07-24,5,4,5
2023-07-25,1,0,8
2023-07-26,6,0,9
2023-07-27,4,0,5
2023-07-28,0,0,2
2023-07-29,0,0,0
2023-07-30,0,7,0
2023-07-31,0,5,17
2023-08-01,1,4,25
2023-08-02,8,0,15
2023-08-03,7,0,16
2023-08-04,11,0,21
2023-08-05,0,0,7
2023-08-06,2,0,9
2023-08-07,6,0,11
2023-08-08,12,0,8
2023-08-09,10,0,7
2023-08-10,9,0,3
2023-08-11,0,1,1
2023-08-12,0,0,14
2023-08-13,0,0,7
2023-08-14,3,0,11
2023-08-15,0,0,9
2023-08-16,5,1,25
2023-08-17,0,16,6
