,flutter/flutter,NativeScript/NativeScript,ionic-team/ionic-framework
2019-09-10,21,5,4
2019-09-11,21,1,2
2019-09-12,19,3,3
2019-09-13,16,3,0
2019-09-14,10,0,0
2019-09-15,0,0,0
2019-09-16,27,0,4
2019-09-17,12,2,0
2019-09-18,20,1,0
2019-09-19,20,3,0
2019-09-20,13,0,7
2019-09-21,0,0,0
2019-09-22,0,0,0
2019-09-23,4,0,0
2019-09-24,25,1,4
2019-09-25,21,1,4
2019-09-26,27,0,3
2019-09-27,23,1,10
2019-09-28,7,1,0
2019-09-29,4,0,0
2019-09-30,18,1,1
2019-10-01,14,2,0
2019-10-02,23,6,7
2019-10-03,9,1,0
2019-10-04,28,3,2
2019-10-05,5,0,0
2019-10-06,2,0,0
2019-10-07,13,2,6
2019-10-08,14,5,8
2019-10-09,23,3,7
2019-10-10,35,6,21
2019-10-11,19,0,4
2019-10-12,0,0,0
2019-10-13,1,0,0
2019-10-14,16,2,10
2019-10-15,26,6,8
2019-10-16,11,6,1
2019-10-17,15,2,3
2019-10-18,24,0,3
2019-10-19,0,0,0
2019-10-20,0,0,0
2019-10-21,13,2,6
2019-10-22,11,4,1
2019-10-23,12,3,0
2019-10-24,28,2,0
2019-10-25,12,1,0
2019-10-26,9,0,0
2019-10-27,0,0,0
2019-10-28,29,2,0
2019-10-29,24,4,5
2019-10-30,20,0,15
2019-10-31,19,1,2
2019-11-01,19,1,2
2019-11-02,2,0,0
2019-11-03,0,0,0
2019-11-04,5,0,0
2019-11-05,30,0,0
2019-11-06,23,4,1
2019-11-07,19,5,17
2019-11-08,18,1,5
2019-11-09,12,0,0
2019-11-10,2,0,0
2019-11-11,10,1,2
2019-11-12,9,2,1
2019-11-13,12,0,1
2019-11-14,20,4,6
2019-11-15,17,0,0
2019-11-16,7,0,0
2019-11-17,3,0,0
2019-11-18,13,1,3
2019-11-19,24,2,2
2019-11-20,21,4,4
2019-11-21,22,7,1
2019-11-22,23,1,1
2019-11-23,9,0,0
2019-11-24,1,0,0
2019-11-25,13,0,0
2019-11-26,20,4,0
2019-11-27,21,1,0
2019-11-28,7,1,0
2019-11-29,1,2,0
2019-11-30,1,0,0
2019-12-01,0,0,0
2019-12-02,8,1,1
2019-12-03,23,5,0
2019-12-04,27,3,1
2019-12-05,19,3,2
2019-12-06,15,2,0
2019-12-07,1,0,0
2019-12-08,0,0,0
2019-12-09,13,2,0
2019-12-10,20,1,2
2019-12-11,6,0,12
2019-12-12,12,1,4
2019-12-13,16,5,0
2019-12-14,0,0,0
2019-12-15,0,0,0
2019-12-16,12,2,4
2019-12-17,16,2,0
2019-12-18,21,0,3
2019-12-19,19,0,0
2019-12-20,7,2,0
2019-12-21,7,0,0
2019-12-22,0,0,0
2019-12-23,5,0,0
2019-12-24,2,0,0
2019-12-25,0,0,0
2019-12-26,8,0,0
2019-12-27,5,0,0
2019-12-28,3,0,0
2019-12-29,1,0,0
2019-12-30,3,0,0
2019-12-31,1,0,0
2020-01-01,0,0,0
2020-01-02,6,0,1
2020-01-03,14,1,10
2020-01-04,1,0,0
2020-01-05,0,0,0
2020-01-06,14,1,5
2020-01-07,13,0,0
2020-01-08,28,2,1
2020-01-09,11,1,4
2020-01-10,18,2,0
2020-01-11,6,0,0
2020-01-12,0,0,0
2020-01-13,11,0,11
2020-01-14,18,2,5
2020-01-15,12,1,1
2020-01-16,26,3,1
2020-01-17,22,0,4
2020-01-18,2,0,1
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,9,1,3
2020-01-22,26,1,1
2020-01-23,5,1,17
2020-01-24,18,0,4
2020-01-25,15,0,0
2020-01-26,3,0,0
2020-01-27,12,2,15
2020-01-28,28,1,2
2020-01-29,24,0,8
2020-01-30,19,3,3
2020-01-31,23,3,2
2020-02-01,5,0,0
2020-02-02,0,0,0
2020-02-03,8,1,0
2020-02-04,21,0,2
2020-02-05,17,7,4
2020-02-06,27,2,2
2020-02-07,24,0,5
2020-02-08,5,0,0
2020-02-09,0,0,0
2020-02-10,18,1,3
2020-02-11,14,0,7
2020-02-12,22,0,4
2020-02-13,27,2,2
2020-02-14,13,0,7
2020-02-15,4,0,0
2020-02-16,0,0,0
2020-02-17,1,3,0
2020-02-18,13,0,7
2020-02-19,10,0,6
2020-02-20,18,0,2
2020-02-21,10,6,1
2020-02-22,0,0,0
2020-02-23,5,1,0
2020-02-24,11,1,7
2020-02-25,15,4,1
2020-02-26,21,2,8
2020-02-27,22,7,7
2020-02-28,27,0,0
2020-02-29,6,0,0
2020-03-01,0,0,0
2020-03-02,7,0,2
2020-03-03,15,0,0
2020-03-04,17,0,0
2020-03-05,22,1,2
2020-03-06,25,4,4
2020-03-07,3,2,0
2020-03-08,6,0,0
2020-03-09,10,6,0
2020-03-10,23,7,1
2020-03-11,15,1,9
2020-03-12,16,0,3
2020-03-13,23,2,1
2020-03-14,10,0,0
2020-03-15,7,0,0
2020-03-16,13,3,3
2020-03-17,12,1,1
2020-03-18,25,1,5
2020-03-19,22,2,1
2020-03-20,22,2,1
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,7,1,1
2020-03-24,16,1,6
2020-03-25,31,0,36
2020-03-26,11,4,4
2020-03-27,16,0,0
2020-03-28,5,0,0
2020-03-29,3,1,0
2020-03-30,12,1,3
2020-03-31,19,0,1
2020-04-01,17,2,2
2020-04-02,17,3,2
2020-04-03,21,4,2
2020-04-04,5,0,0
2020-04-05,9,0,0
2020-04-06,16,1,0
2020-04-07,21,1,1
2020-04-08,20,0,2
2020-04-09,19,0,0
2020-04-10,27,2,1
2020-04-11,9,0,0
2020-04-12,4,0,0
2020-04-13,15,0,0
2020-04-14,9,2,0
2020-04-15,12,0,3
2020-04-16,26,0,2
2020-04-17,12,0,1
2020-04-18,7,0,0
2020-04-19,1,0,0
2020-04-20,21,1,0
2020-04-21,11,0,0
2020-04-22,30,0,2
2020-04-23,17,0,15
2020-04-24,8,0,3
2020-04-25,7,0,0
2020-04-26,1,0,0
2020-04-27,22,0,12
2020-04-28,17,0,2
2020-04-29,20,0,3
2020-04-30,3,0,9
2020-05-01,11,0,0
2020-05-02,8,0,0
2020-05-03,6,0,0
2020-05-04,12,0,0
2020-05-05,21,0,0
2020-05-06,13,0,0
2020-05-07,7,0,2
2020-05-08,33,1,5
2020-05-09,1,0,0
2020-05-10,5,0,0
2020-05-11,17,0,3
2020-05-12,7,0,2
2020-05-13,12,0,6
2020-05-14,35,0,2
2020-05-15,4,0,1
2020-05-16,10,0,0
2020-05-17,0,0,0
2020-05-18,31,0,3
2020-05-19,5,0,1
2020-05-20,14,0,4
2020-05-21,7,0,0
2020-05-22,2,0,3
2020-05-23,1,0,0
2020-05-24,0,0,0
2020-05-25,0,0,0
2020-05-26,2,0,3
2020-05-27,28,0,4
2020-05-28,18,0,0
2020-05-29,17,0,3
2020-05-30,1,0,0
2020-05-31,5,0,0
2020-06-01,12,0,1
2020-06-02,12,0,1
2020-06-03,30,2,2
2020-06-04,31,3,0
2020-06-05,15,1,1
2020-06-06,5,4,0
2020-06-07,6,0,0
2020-06-08,25,1,4
2020-06-09,20,0,1
2020-06-10,15,2,7
2020-06-11,14,0,5
2020-06-12,12,0,1
2020-06-13,1,1,0
2020-06-14,0,0,0
2020-06-15,14,0,2
2020-06-16,25,3,1
2020-06-17,10,2,3
2020-06-18,25,2,0
2020-06-19,16,1,1
2020-06-20,0,1,0
2020-06-21,0,0,0
2020-06-22,4,0,0
2020-06-23,40,0,3
2020-06-24,28,2,0
2020-06-25,13,0,1
2020-06-26,17,0,1
2020-06-27,1,0,0
2020-06-28,0,0,0
2020-06-29,17,0,2
2020-06-30,17,3,2
2020-07-01,5,0,2
2020-07-02,9,0,1
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,4,0,0
2020-07-06,8,2,1
2020-07-07,13,3,2
2020-07-08,24,0,1
2020-07-09,32,0,0
2020-07-10,16,0,3
2020-07-11,5,2,0
2020-07-12,0,0,0
2020-07-13,18,0,0
2020-07-14,21,0,5
2020-07-15,29,0,0
2020-07-16,23,0,0
2020-07-17,17,0,3
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,14,2,5
2020-07-21,14,2,3
2020-07-22,1,3,4
2020-07-23,32,0,5
2020-07-24,17,0,2
2020-07-25,4,0,0
2020-07-26,0,0,0
2020-07-27,2,0,3
2020-07-28,45,0,0
2020-07-29,26,0,2
2020-07-30,19,0,0
2020-07-31,11,0,0
2020-08-01,1,0,0
2020-08-02,0,0,0
2020-08-03,17,0,0
2020-08-04,26,0,1
2020-08-05,30,0,0
2020-08-06,29,0,3
2020-08-07,2,2,0
2020-08-08,15,0,0
2020-08-09,9,0,0
2020-08-10,10,0,1
2020-08-11,39,0,0
2020-08-12,18,2,0
2020-08-13,23,0,0
2020-08-14,19,0,0
2020-08-15,4,0,0
2020-08-16,1,0,0
2020-08-17,20,0,1
2020-08-18,13,0,0
2020-08-19,37,1,0
2020-08-20,22,0,0
2020-08-21,22,0,6
2020-08-22,2,0,0
2020-08-23,0,0,0
2020-08-24,18,0,2
2020-08-25,20,0,0
2020-08-26,12,4,0
2020-08-27,16,3,9
2020-08-28,21,2,0
2020-08-29,7,1,0
2020-08-30,3,1,0
2020-08-31,22,0,0
2020-09-01,10,1,0
2020-09-02,18,0,0
2020-09-03,25,3,2
2020-09-04,2,0,1
2020-09-05,3,0,0
2020-09-06,0,2,0
2020-09-07,1,1,0
2020-09-08,17,0,2
2020-09-09,15,4,1
2020-09-10,14,6,1
2020-09-11,13,0,9
2020-09-12,8,3,0
2020-09-13,6,0,0
2020-09-14,1,0,1
2020-09-15,34,1,2
2020-09-16,20,1,1
2020-09-17,33,0,9
2020-09-18,14,0,0
2020-09-19,6,0,0
2020-09-20,0,1,0
2020-09-21,12,0,2
2020-09-22,20,0,4
2020-09-23,33,6,2
2020-09-24,18,1,10
2020-09-25,24,5,2
2020-09-26,4,2,0
2020-09-27,4,1,0
2020-09-28,17,0,2
2020-09-29,21,3,3
2020-09-30,23,3,3
2020-10-01,17,1,10
2020-10-02,16,0,1
2020-10-03,8,2,0
2020-10-04,4,0,0
2020-10-05,24,0,1
2020-10-06,26,3,4
2020-10-07,33,0,6
2020-10-08,34,0,6
2020-10-09,31,0,1
2020-10-10,5,3,0
2020-10-11,0,0,0
2020-10-12,36,0,3
2020-10-13,24,0,5
2020-10-14,25,0,6
2020-10-15,28,0,4
2020-10-16,22,0,0
2020-10-17,2,3,0
2020-10-18,3,1,0
2020-10-19,26,1,0
2020-10-20,13,0,0
2020-10-21,15,1,2
2020-10-22,31,0,4
2020-10-23,21,0,0
2020-10-24,5,0,0
2020-10-25,3,0,0
2020-10-26,20,2,0
2020-10-27,28,1,2
2020-10-28,18,2,0
2020-10-29,37,0,3
2020-10-30,17,0,2
2020-10-31,4,0,0
2020-11-01,4,0,0
2020-11-02,18,0,4
2020-11-03,23,0,0
2020-11-04,17,0,4
2020-11-05,29,0,9
2020-11-06,26,0,5
2020-11-07,13,1,0
2020-11-08,0,0,0
2020-11-09,24,0,2
2020-11-10,17,1,3
2020-11-11,18,3,1
2020-11-12,20,4,7
2020-11-13,17,6,2
2020-11-14,8,6,0
2020-11-15,1,0,0
2020-11-16,15,1,2
2020-11-17,12,6,1
2020-11-18,22,3,4
2020-11-19,13,5,3
2020-11-20,23,4,2
2020-11-21,6,1,0
2020-11-22,1,13,0
2020-11-23,12,6,3
2020-11-24,6,1,2
2020-11-25,11,4,6
2020-11-26,1,0,0
2020-11-27,0,0,0
2020-11-28,0,2,0
2020-11-29,0,1,0
2020-11-30,1,1,2
2020-12-01,26,3,0
2020-12-02,14,0,1
2020-12-03,20,1,3
2020-12-04,19,0,0
2020-12-05,11,0,0
2020-12-06,1,0,0
2020-12-07,13,2,6
2020-12-08,16,1,4
2020-12-09,19,0,2
2020-12-10,8,0,1
2020-12-11,19,0,0
2020-12-12,1,0,0
2020-12-13,1,0,0
2020-12-14,8,0,2
2020-12-15,24,0,2
2020-12-16,30,1,3
2020-12-17,16,0,0
2020-12-18,8,0,1
2020-12-19,0,3,0
2020-12-20,0,0,0
2020-12-21,8,0,0
2020-12-22,14,0,0
2020-12-23,13,1,0
2020-12-24,11,0,0
2020-12-25,2,0,0
2020-12-26,3,0,0
2020-12-27,0,0,0
2020-12-28,7,10,0
2020-12-29,8,0,0
2020-12-30,10,3,0
2020-12-31,5,0,0
2021-01-01,0,0,0
2021-01-02,0,1,0
2021-01-03,1,2,0
2021-01-04,5,0,0
2021-01-05,20,2,0
2021-01-06,22,0,0
2021-01-07,29,0,3
2021-01-08,26,0,1
2021-01-09,5,0,0
2021-01-10,0,0,0
2021-01-11,14,0,0
2021-01-12,17,0,0
2021-01-13,23,1,3
2021-01-14,25,3,1
2021-01-15,32,0,0
2021-01-16,11,0,0
2021-01-17,3,2,0
2021-01-18,1,0,0
2021-01-19,13,0,0
2021-01-20,27,1,3
2021-01-21,16,0,0
2021-01-22,17,3,2
2021-01-23,18,2,0
2021-01-24,3,0,0
2021-01-25,18,0,0
2021-01-26,26,4,0
2021-01-27,29,0,0
2021-01-28,27,2,2
2021-01-29,26,13,0
2021-01-30,2,0,0
2021-01-31,0,1,0
2021-02-01,22,1,4
2021-02-02,33,0,2
2021-02-03,32,0,0
2021-02-04,27,6,3
2021-02-05,7,7,2
2021-02-06,1,0,0
2021-02-07,0,2,0
2021-02-08,1,0,2
2021-02-09,34,0,2
2021-02-10,11,0,1
2021-02-11,31,1,7
2021-02-12,18,0,2
2021-02-13,5,0,0
2021-02-14,1,0,0
2021-02-15,3,0,0
2021-02-16,16,0,0
2021-02-17,27,0,1
2021-02-18,29,0,1
2021-02-19,16,0,0
2021-02-20,10,3,0
2021-02-21,0,0,0
2021-02-22,15,0,0
2021-02-23,15,0,5
2021-02-24,32,0,2
2021-02-25,20,1,1
2021-02-26,19,1,5
2021-02-27,7,6,0
2021-02-28,3,0,0
2021-03-01,16,4,3
2021-03-02,26,10,1
2021-03-03,12,76,5
2021-03-04,23,1,6
2021-03-05,24,3,1
2021-03-06,9,0,0
2021-03-07,0,2,0
2021-03-08,13,1,0
2021-03-09,19,2,0
2021-03-10,20,0,1
2021-03-11,23,4,0
2021-03-12,15,1,0
2021-03-13,16,0,0
2021-03-14,0,0,0
2021-03-15,17,0,3
