,AdguardTeam/AdGuardHome,NLnetLabs/unbound,pi-hole/pi-hole
2022-12-25,0,0,0
2022-12-26,1,0,2
2022-12-27,0,0,2
2022-12-28,1,0,2
2022-12-29,0,0,2
2022-12-30,0,0,2
2022-12-31,0,0,0
2023-01-01,0,0,0
2023-01-02,0,2,0
2023-01-03,0,1,1
2023-01-04,0,2,1
2023-01-05,0,1,0
2023-01-06,0,4,1
2023-01-07,0,0,1
2023-01-08,0,0,0
2023-01-09,1,2,0
2023-01-10,0,0,0
2023-01-11,1,0,0
2023-01-12,0,1,1
2023-01-13,1,5,0
2023-01-14,0,0,11
2023-01-15,0,0,2
2023-01-16,0,0,6
2023-01-17,0,0,0
2023-01-18,0,1,1
2023-01-19,3,6,2
2023-01-20,0,2,1
2023-01-21,0,0,6
2023-01-22,0,0,9
2023-01-23,2,3,2
2023-01-24,1,0,3
2023-01-25,0,0,4
2023-01-26,1,2,0
2023-01-27,1,0,0
2023-01-28,0,1,0
2023-01-29,0,0,0
2023-01-30,0,1,0
2023-01-31,0,0,0
2023-02-01,3,1,1
2023-02-02,1,0,2
2023-02-03,0,0,0
2023-02-04,0,0,0
2023-02-05,0,0,0
2023-02-06,1,0,0
2023-02-07,2,0,0
2023-02-08,2,1,0
2023-02-09,0,7,3
2023-02-10,1,2,3
2023-02-11,0,0,0
2023-02-12,0,0,0
2023-02-13,2,0,1
2023-02-14,1,0,2
2023-02-15,3,0,0
2023-02-16,2,0,4
2023-02-17,0,0,0
2023-02-18,0,0,0
2023-02-19,0,0,0
2023-02-20,1,0,0
2023-02-21,4,6,3
2023-02-22,2,0,3
2023-02-23,0,1,0
2023-02-24,0,1,2
2023-02-25,0,0,1
2023-02-26,0,0,2
2023-02-27,3,0,1
2023-02-28,1,0,0
2023-03-01,4,0,0
2023-03-02,0,0,2
2023-03-03,0,0,0
2023-03-04,0,0,2
2023-03-05,0,0,0
2023-03-06,0,1,1
2023-03-07,5,1,1
2023-03-08,0,0,1
2023-03-09,3,0,0
2023-03-10,0,0,0
2023-03-11,0,0,0
2023-03-12,0,0,0
2023-03-13,1,0,0
2023-03-14,1,1,3
2023-03-15,2,0,0
2023-03-16,0,1,0
2023-03-17,1,1,3
2023-03-18,0,0,3
2023-03-19,1,0,0
2023-03-20,2,1,0
2023-03-21,2,2,4
2023-03-22,2,2,11
2023-03-23,5,2,1
2023-03-24,6,2,0
2023-03-25,0,0,3
2023-03-26,2,0,0
2023-03-27,1,0,0
2023-03-28,2,0,1
2023-03-29,1,0,3
2023-03-30,2,0,0
2023-03-31,3,0,0
2023-04-01,0,0,0
2023-04-02,0,0,0
2023-04-03,2,0,0
2023-04-04,1,1,0
2023-04-05,3,0,0
2023-04-06,4,1,0
2023-04-07,2,0,7
2023-04-08,0,0,1
2023-04-09,0,0,0
2023-04-10,2,0,0
2023-04-11,7,0,0
2023-04-12,3,0,0
2023-04-13,7,2,0
2023-04-14,2,3,0
2023-04-15,0,0,5
2023-04-16,0,0,1
2023-04-17,2,0,2
2023-04-18,6,0,0
2023-04-19,3,1,2
2023-04-20,0,0,0
2023-04-21,1,0,0
2023-04-22,0,0,1
2023-04-23,0,0,1
2023-04-24,0,2,0
2023-04-25,0,2,0
2023-04-26,0,14,0
2023-04-27,1,0,0
2023-04-28,0,0,0
2023-04-29,0,0,1
2023-04-30,0,0,0
2023-05-01,0,4,0
2023-05-02,0,2,1
2023-05-03,1,0,1
2023-05-04,0,3,1
2023-05-05,0,0,0
2023-05-06,0,0,1
2023-05-07,0,0,1
2023-05-08,0,0,1
2023-05-09,0,0,0
2023-05-10,1,0,4
2023-05-11,0,1,1
2023-05-12,1,0,1
2023-05-13,0,0,1
2023-05-14,0,0,0
2023-05-15,0,0,1
2023-05-16,0,2,0
2023-05-17,1,0,0
2023-05-18,0,0,0
2023-05-19,0,2,0
2023-05-20,0,0,2
2023-05-21,0,0,0
2023-05-22,3,0,0
2023-05-23,0,4,0
2023-05-24,1,0,2
2023-05-25,1,2,0
2023-05-26,2,0,0
2023-05-27,0,0,34
2023-05-28,0,0,7
2023-05-29,0,0,1
2023-05-30,0,3,4
2023-05-31,1,1,0
2023-06-01,0,0,9
2023-06-02,1,1,0
2023-06-03,0,0,0
2023-06-04,0,0,10
2023-06-05,0,0,0
2023-06-06,1,0,0
2023-06-07,2,0,0
2023-06-08,4,0,1
2023-06-09,1,1,3
2023-06-10,0,0,3
2023-06-11,0,1,1
2023-06-12,0,4,0
2023-06-13,2,0,0
2023-06-14,2,2,0
2023-06-15,0,2,1
2023-06-16,0,0,0
2023-06-17,0,0,2
2023-06-18,0,0,9
2023-06-19,2,1,0
2023-06-20,3,0,0
2023-06-21,3,0,0
2023-06-22,3,6,0
2023-06-23,3,0,0
2023-06-24,0,0,1
2023-06-25,0,0,1
2023-06-26,0,0,0
2023-06-27,1,2,0
2023-06-28,4,0,0
2023-06-29,4,3,0
2023-06-30,3,1,0
2023-07-01,0,0,0
2023-07-02,0,0,0
2023-07-03,6,8,1
2023-07-04,1,0,1
2023-07-05,0,0,1
2023-07-06,2,1,1
2023-07-07,2,1,0
2023-07-08,0,0,1
2023-07-09,0,0,0
2023-07-10,2,0,0
2023-07-11,3,2,1
2023-07-12,5,0,0
2023-07-13,2,3,1
2023-07-14,0,1,0
2023-07-15,0,0,0
2023-07-16,0,0,6
2023-07-17,1,2,0
2023-07-18,5,0,12
2023-07-19,2,4,0
2023-07-20,3,7,0
2023-07-21,0,13,0
2023-07-22,0,0,0
2023-07-23,0,0,0
2023-07-24,1,0,0
2023-07-25,3,0,0
2023-07-26,2,0,0
2023-07-27,2,0,0
2023-07-28,1,6,0
2023-07-29,0,0,0
2023-07-30,0,3,0
2023-07-31,1,5,0
2023-08-01,1,7,0
2023-08-02,4,2,0
2023-08-03,0,0,1
2023-08-04,0,2,4
2023-08-05,0,4,1
2023-08-06,0,0,1
2023-08-07,2,3,1
2023-08-08,0,2,0
2023-08-09,3,0,1
2023-08-10,2,0,0
2023-08-11,1,0,0
2023-08-12,0,0,2
2023-08-13,0,0,2
2023-08-14,1,0,0
2023-08-15,2,0,0
2023-08-16,0,3,0
2023-08-17,0,4,0
2023-08-18,0,4,0
2023-08-19,0,0,2
2023-08-20,0,0,0
2023-08-21,2,6,0
2023-08-22,3,1,0
2023-08-23,6,1,0
2023-08-24,2,0,0
2023-08-25,0,1,0
2023-08-26,0,0,3
2023-08-27,0,0,5
2023-08-28,3,1,0
2023-08-29,1,0,0
