,pallets/flask,rails/rails,django/django
2022-08-23,0,7,4.0
2022-08-24,0,9,2.0
2022-08-25,0,13,5.0
2022-08-26,0,3,2.0
2022-08-27,2,3,4.0
2022-08-28,0,4,0.0
2022-08-29,0,5,4.0
2022-08-30,0,14,6.0
2022-08-31,0,8,3.0
2022-09-01,0,14,4.0
2022-09-02,2,11,1.0
2022-09-03,0,0,0.0
2022-09-04,0,0,1.0
2022-09-05,0,10,3.0
2022-09-06,0,2,6.0
2022-09-07,0,13,3.0
2022-09-08,0,24,2.0
2022-09-09,0,42,3.0
2022-09-10,0,7,0.0
2022-09-11,2,7,0.0
2022-09-12,0,18,4.0
2022-09-13,0,18,2.0
2022-09-14,2,23,1.0
2022-09-15,0,17,5.0
2022-09-16,0,13,5.0
2022-09-17,0,8,4.0
2022-09-18,1,1,0.0
2022-09-19,0,12,2.0
2022-09-20,0,19,0.0
2022-09-21,0,5,1.0
2022-09-22,0,19,1.0
2022-09-23,0,8,1.0
2022-09-24,0,0,4.0
2022-09-25,0,3,4.0
2022-09-26,0,8,5.0
2022-09-27,0,10,8.0
2022-09-28,0,4,8.0
2022-09-29,0,8,4.0
2022-09-30,0,5,2.0
2022-10-01,0,0,2.0
2022-10-02,0,6,0.0
2022-10-03,0,6,3.0
2022-10-04,0,7,7.0
2022-10-05,2,19,2.0
2022-10-06,0,4,5.0
2022-10-07,0,2,5.0
2022-10-08,0,1,1.0
2022-10-09,0,21,0.0
2022-10-10,0,3,5.0
2022-10-11,0,10,1.0
2022-10-12,0,4,3.0
2022-10-13,0,12,5.0
2022-10-14,0,8,1.0
2022-10-15,0,0,0.0
2022-10-16,0,8,0.0
2022-10-17,0,8,0.0
2022-10-18,0,9,1.0
2022-10-19,1,6,1.0
2022-10-20,0,18,2.0
2022-10-21,0,8,3.0
2022-10-22,0,11,0.0
2022-10-23,0,7,0.0
2022-10-24,0,10,6.0
2022-10-25,0,17,2.0
2022-10-26,0,8,8.0
2022-10-27,0,15,2.0
2022-10-28,0,4,1.0
2022-10-29,0,7,3.0
2022-10-30,3,4,0.0
2022-10-31,0,6,4.0
2022-11-01,1,14,3.0
2022-11-02,0,8,4.0
2022-11-03,0,9,3.0
2022-11-04,0,18,6.0
2022-11-05,0,4,0.0
2022-11-06,0,2,0.0
2022-11-07,0,0,9.0
2022-11-08,0,9,5.0
2022-11-09,0,6,3.0
2022-11-10,0,17,4.0
2022-11-11,0,8,4.0
2022-11-12,0,10,0.0
2022-11-13,0,3,0.0
2022-11-14,0,12,7.0
2022-11-15,0,19,4.0
2022-11-16,0,13,2.0
2022-11-17,0,4,1.0
2022-11-18,0,1,5.0
2022-11-19,0,2,0.0
2022-11-20,0,5,0.0
2022-11-21,0,13,1.0
2022-11-22,0,21,4.0
2022-11-23,0,16,5.0
2022-11-24,0,11,5.0
2022-11-25,3,15,2.0
2022-11-26,0,7,0.0
2022-11-27,4,3,0.0
2022-11-28,0,15,3.0
2022-11-29,0,10,3.0
2022-11-30,0,9,2.0
2022-12-01,0,7,4.0
2022-12-02,0,7,3.0
2022-12-03,0,2,0.0
2022-12-04,0,2,0.0
2022-12-05,0,9,5.0
2022-12-06,0,10,9.0
2022-12-07,0,4,3.0
2022-12-08,0,12,3.0
2022-12-09,0,14,2.0
2022-12-10,1,2,1.0
2022-12-11,0,4,0.0
2022-12-12,0,12,4.0
2022-12-13,1,16,3.0
2022-12-14,1,14,2.0
2022-12-15,0,21,1.0
2022-12-16,0,14,3.0
2022-12-17,0,15,1.0
2022-12-18,0,9,0.0
2022-12-19,0,19,2.0
2022-12-20,0,8,3.0
2022-12-21,0,7,1.0
2022-12-22,2,18,2.0
2022-12-23,0,8,0.0
2022-12-24,17,3,3.0
2022-12-25,0,2,0.0
2022-12-26,0,6,0.0
2022-12-27,0,7,2.0
2022-12-28,0,5,2.0
2022-12-29,3,6,4.0
2022-12-30,0,8,2.0
2022-12-31,0,7,0.0
2023-01-01,0,11,0.0
2023-01-02,0,4,3.0
2023-01-03,1,14,3.0
2023-01-04,3,19,6.0
2023-01-05,0,16,11.0
2023-01-06,0,26,1.0
2023-01-07,0,28,1.0
2023-01-08,0,28,0.0
2023-01-09,6,28,2.0
2023-01-10,0,14,3.0
2023-01-11,0,31,3.0
2023-01-12,0,32,4.0
2023-01-13,0,22,2.0
2023-01-14,0,9,0.0
2023-01-15,0,7,0.0
2023-01-16,0,26,3.0
2023-01-17,0,25,45.0
2023-01-18,4,16,7.0
2023-01-19,1,8,4.0
2023-01-20,4,39,4.0
2023-01-21,0,14,0.0
2023-01-22,0,5,0.0
2023-01-23,1,12,2.0
2023-01-24,0,13,1.0
2023-01-25,0,22,4.0
2023-01-26,0,1,3.0
2023-01-27,0,3,2.0
2023-01-28,0,22,0.0
2023-01-29,0,19,0.0
2023-01-30,0,5,2.0
2023-01-31,0,16,2.0
2023-02-01,2,16,5.0
2023-02-02,3,36,2.0
2023-02-03,0,10,1.0
2023-02-04,0,16,1.0
2023-02-05,0,5,0.0
2023-02-06,0,38,1.0
2023-02-07,2,26,10.0
2023-02-08,0,41,6.0
2023-02-09,3,20,2.0
2023-02-10,10,16,5.0
2023-02-11,0,3,1.0
2023-02-12,0,10,0.0
2023-02-13,0,19,4.0
2023-02-14,0,16,6.0
2023-02-15,4,28,7.0
2023-02-16,2,14,2.0
2023-02-17,0,6,6.0
2023-02-18,0,11,2.0
2023-02-19,0,3,0.0
2023-02-20,0,3,2.0
2023-02-21,0,9,3.0
2023-02-22,0,26,3.0
2023-02-23,13,20,3.0
2023-02-24,0,14,4.0
2023-02-25,0,4,0.0
2023-02-26,0,8,0.0
2023-02-27,0,23,2.0
2023-02-28,0,33,2.0
2023-03-01,2,10,6.0
2023-03-02,0,7,3.0
2023-03-03,0,48,6.0
2023-03-04,0,6,1.0
2023-03-05,0,3,3.0
2023-03-06,0,17,3.0
2023-03-07,0,8,3.0
2023-03-08,2,9,3.0
2023-03-09,0,11,4.0
2023-03-10,0,10,1.0
2023-03-11,9,7,0.0
2023-03-12,0,4,2.0
2023-03-13,0,24,1.0
2023-03-14,0,25,3.0
2023-03-15,0,19,1.0
2023-03-16,0,7,4.0
2023-03-17,0,5,0.0
2023-03-18,0,2,2.0
2023-03-19,0,0,0.0
2023-03-20,0,8,3.0
2023-03-21,0,6,3.0
2023-03-22,0,15,7.0
2023-03-23,0,5,2.0
2023-03-24,0,15,6.0
2023-03-25,0,11,1.0
2023-03-26,0,9,0.0
2023-03-27,0,20,4.0
2023-03-28,0,28,4.0
2023-03-29,0,18,4.0
2023-03-30,0,31,4.0
2023-03-31,1,8,0.0
2023-04-01,0,7,0.0
2023-04-02,0,6,1.0
2023-04-03,3,7,6.0
2023-04-04,1,8,5.0
2023-04-05,1,11,3.0
