,exercism/exercism,ossu/computer-science,freecodecamp/freecodecamp
2022-11-15,0,-0.09000000000000007,3
2022-11-16,0,-0.057000000000000044,3
2022-11-17,0,-0.04132499999999985,3
2022-11-18,0,-0.032233499999999894,2
2022-11-19,0,-0.02632402499999992,0
2022-11-20,0,-0.022187392499999934,0
2022-11-21,0,-0.01913662603124995,2
2022-11-22,0,0.983202294928125,3
2022-11-23,1,-0.10000000000000009,1
2022-11-24,0,-0.04500000000000003,3
2022-11-25,0,-0.028500000000000022,9
2022-11-26,0,-0.020662499999999924,0
2022-11-27,0,1.98388325,1
2022-11-28,0,-0.21316201250000014,5
2022-11-29,0,-0.10109369625000003,1
2022-11-30,0,3.933431686984375,5
2022-12-01,0,-0.44972385253593766,3
2022-12-02,1,-0.21223350000000002,9
2022-12-03,0,1.859675975,0
2022-12-04,0,-0.3048373924999998,0
2022-12-05,0,-0.1736036260312498,7
2022-12-06,0,-0.12644575507187483,7
2022-12-07,0,-0.08569978499999972,4
2022-12-08,0,1.9294932479375002,3
2022-12-09,0,-0.25991943514375004,7
2022-12-10,0,-0.1121873925,2
2022-12-11,0,-0.07613662603124999,1
2022-12-12,0,-0.05812270507187481,10
2022-12-13,1,0.9677665000000001,2
2022-12-14,0,-0.126324025,8
2022-12-15,0,-0.06718739249999997,4
2022-12-16,0,-0.047636626031249976,7
2022-12-17,0,-0.03746020507187488,0
2022-12-18,0,3.98388325,0
2022-12-19,0,1.5868379874999996,7
2022-12-20,0,-0.3910936962500003,8
2022-12-21,0,-0.21356831301562512,4
2022-12-22,0,-0.14804885253593722,7
2022-12-23,0,-0.10579199999999964,6
2022-12-24,0,-0.08488154999999974,1
2022-12-25,0,-0.07069880999999979,0
2022-12-26,0,-0.06046064456249983,0
2022-12-27,0,-0.052732036174999865,0
2022-12-28,0,-0.016797705071874957,1
2022-12-29,0,0.0,0
2022-12-30,0,0.0,1
2022-12-31,0,0.0,3
2023-01-01,0,0.0,0
2023-01-02,0,0.0,12
2023-01-03,0,0.0,10
2023-01-04,0,0.0,7
2023-01-05,0,0.0,5
2023-01-06,0,0.0,7
2023-01-07,0,0.0,6
2023-01-08,0,0.0,3
2023-01-09,0,0.0,6
2023-01-10,0,0.0,9
2023-01-11,0,2.0,8
2023-01-12,0,-0.20000000000000018,3
2023-01-13,0,-0.09000000000000007,3
2023-01-14,0,-0.057000000000000044,0
2023-01-15,0,1.9586750000000002,0
2023-01-16,0,-0.23223350000000006,2
2023-01-17,0,-0.11632402499999998,6
2023-01-18,0,-0.07918739249999998,2
2023-01-19,0,-0.0604616260312498,8
2023-01-20,0,-0.04903120507187485,3
2023-01-21,0,1.9736759750000001,1
2023-01-22,0,-0.2221873925000001,0
2023-01-23,0,-0.10913662603125002,11
2023-01-24,0,-0.073797705071875,1
2023-01-25,0,-0.04132499999999985,10
2023-01-26,0,-0.032233499999999894,7
2023-01-27,0,-0.02632402499999992,6
2023-01-28,0,-0.022187392499999934,0
2023-01-29,0,-0.01913662603124995,1
2023-01-30,0,-0.016797705071874957,7
2023-01-31,0,0.0,3
2023-02-01,0,0.0,6
2023-02-02,0,0.0,7
2023-02-03,0,0.0,2
2023-02-04,0,0.0,0
2023-02-05,0,0.0,1
2023-02-06,0,1.0,2
2023-02-07,0,-0.10000000000000009,2
2023-02-08,0,-0.04500000000000003,8
2023-02-09,0,-0.028500000000000022,6
2023-02-10,1,-0.020662499999999924,11
2023-02-11,0,-0.016116749999999947,4
2023-02-12,0,-0.01316201249999996,0
2023-02-13,0,-0.011093696249999967,7
2023-02-14,0,-0.009568313015624975,3
2023-02-15,0,-0.008398852535937478,0
2023-02-16,0,0.0,7
2023-02-17,0,0.0,5
2023-02-18,0,0.0,15
2023-02-19,0,0.0,3
2023-02-20,0,0.0,6
2023-02-21,0,0.0,10
2023-02-22,0,0.0,4
2023-02-23,0,0.0,8
2023-02-24,0,0.0,9
2023-02-25,0,0.0,0
2023-02-26,0,0.0,0
2023-02-27,0,0.0,5
2023-02-28,0,0.0,14
2023-03-01,0,0.0,2
2023-03-02,0,0.0,4
2023-03-03,0,0.0,2
2023-03-04,0,0.0,0
2023-03-05,0,0.0,0
2023-03-06,0,0.0,11
2023-03-07,0,0.0,8
2023-03-08,0,0.0,8
2023-03-09,0,0.0,6
2023-03-10,0,0.0,12
2023-03-11,0,0.0,3
2023-03-12,0,0.0,1
2023-03-13,0,0.0,8
2023-03-14,0,0.0,6
2023-03-15,0,0.0,6
2023-03-16,0,0.0,9
2023-03-17,0,0.0,5
2023-03-18,0,0.0,5
2023-03-19,0,0.0,1
2023-03-20,0,0.0,5
2023-03-21,0,0.0,14
2023-03-22,0,0.0,3
2023-03-23,0,0.0,9
2023-03-24,0,0.0,13
2023-03-25,0,0.0,2
2023-03-26,0,0.0,0
2023-03-27,0,0.0,5
2023-03-28,0,0.0,4
2023-03-29,0,0.0,3
2023-03-30,0,0.0,13
2023-03-31,0,0.0,5
2023-04-01,0,0.0,1
2023-04-02,0,0.0,1
2023-04-03,0,0.0,12
2023-04-04,0,1.0,3
2023-04-05,0,1.9,10
2023-04-06,0,-0.24500000000000022,7
2023-04-07,0,-0.11850000000000009,3
2023-04-08,0,-0.07766249999999997,2
2023-04-09,0,0.9425582500000003,0
2023-04-10,0,-0.14539551249999993,9
2023-04-11,0,-0.08241772124999992,4
2023-04-12,0,-0.06025570551562494,6
2023-04-13,0,-0.048197978567187355,5
2023-04-14,0,-0.032914455071874904,2
2023-04-15,0,-0.01316201249999996,0
2023-04-16,0,-0.011093696249999967,0
2023-04-17,0,-0.009568313015624975,15
2023-04-18,0,-0.008398852535937478,6
2023-04-19,0,0.0,10
2023-04-20,0,0.0,13
2023-04-21,0,0.0,4
2023-04-22,0,0.0,1
2023-04-23,0,0.0,1
2023-04-24,0,0.0,11
2023-04-25,0,0.0,8
2023-04-26,0,1.0,11
2023-04-27,0,-0.10000000000000009,8
2023-04-28,0,-0.04500000000000003,7
2023-04-29,0,-0.028500000000000022,1
2023-04-30,0,-0.020662499999999924,1
2023-05-01,0,-0.016116749999999947,6
2023-05-02,0,-0.01316201249999996,7
2023-05-03,0,-0.011093696249999967,7
2023-05-04,0,-0.009568313015624975,5
2023-05-05,0,0.9916011474640625,9
2023-05-06,0,-0.10000000000000009,0
2023-05-07,0,-0.04500000000000003,0
2023-05-08,0,-0.028500000000000022,6
2023-05-09,0,-0.020662499999999924,14
2023-05-10,0,-0.016116749999999947,8
2023-05-11,0,-0.01316201249999996,2
2023-05-12,0,-0.011093696249999967,6
2023-05-13,0,-0.009568313015624975,0
2023-05-14,0,-0.008398852535937478,0
2023-05-15,0,0.0,4
2023-05-16,0,0.0,8
2023-05-17,0,0.0,7
2023-05-18,0,0.0,9
2023-05-19,0,0.0,5
2023-05-20,0,0.0,1
2023-05-21,0,0.0,0
2023-05-22,0,0.0,5
2023-05-23,0,0.0,5
2023-05-24,0,0.0,14
2023-05-25,0,0.0,5
2023-05-26,0,0.0,7
2023-05-27,0,0.0,1
2023-05-28,0,0.0,2
2023-05-29,0,0.0,1
2023-05-30,0,0.0,6
2023-05-31,0,0.0,6
2023-06-01,0,0.0,8
2023-06-02,0,0.0,6
2023-06-03,0,0.0,2
2023-06-04,0,0.0,2
2023-06-05,0,0.0,3
2023-06-06,0,0.0,4
2023-06-07,0,0.0,7
2023-06-08,0,0.0,1
2023-06-09,0,0.0,4
2023-06-10,0,0.0,0
2023-06-11,0,0.0,0
2023-06-12,0,0.0,4
2023-06-13,0,0.0,2
2023-06-14,0,0.0,9
2023-06-15,0,0.0,5
2023-06-16,0,0.0,6
2023-06-17,0,0.0,2
2023-06-18,0,0.0,0
2023-06-19,0,0.0,1
2023-06-20,0,0.0,8
2023-06-21,0,0.0,4
2023-06-22,0,0.0,10
2023-06-23,0,0.0,2
2023-06-24,0,0.0,1
2023-06-25,0,0.0,1
2023-06-26,0,0.0,3
2023-06-27,0,0.0,4
2023-06-28,0,0.0,1
2023-06-29,0,0.0,14
2023-06-30,0,0.0,6
2023-07-01,0,0.0,1
2023-07-02,0,0.0,0
2023-07-03,0,0.0,6
2023-07-04,0,0.0,2
2023-07-05,0,0.0,7
2023-07-06,0,0.0,12
2023-07-07,0,0.0,3
2023-07-08,0,0.0,1
2023-07-09,0,0.0,0
2023-07-10,0,0.0,8
2023-07-11,1,0.0,14
2023-07-12,0,0.0,6
