,typesense/typesense,elastic/elasticsearch,meilisearch/meilisearch
2022-08-11,0,16,3.0
2022-08-12,0,13,3.0
2022-08-13,1,2,0.0
2022-08-14,0,0,0.0
2022-08-15,0,15,0.0
2022-08-16,3,16,3.0
2022-08-17,2,32,52.0
2022-08-18,2,15,16.0
2022-08-19,1,0,1.0
2022-08-20,0,0,0.0
2022-08-21,0,0,0.0
2022-08-22,0,20,20.0
2022-08-23,0,16,13.0
2022-08-24,1,14,8.0
2022-08-25,2,11,0.0
2022-08-26,0,21,0.0
2022-08-27,2,1,1.0
2022-08-28,0,0,0.0
2022-08-29,2,15,3.0
2022-08-30,2,19,1.0
2022-08-31,2,12,5.0
2022-09-01,2,22,8.0
2022-09-02,2,3,3.0
2022-09-03,2,0,2.0
2022-09-04,0,0,3.0
2022-09-05,1,7,2.0
2022-09-06,2,17,2.0
2022-09-07,1,37,15.0
2022-09-08,2,34,3.0
2022-09-09,2,23,1.0
2022-09-10,1,1,0.0
2022-09-11,3,0,0.0
2022-09-12,1,25,1.0
2022-09-13,1,22,4.0
2022-09-14,1,16,4.0
2022-09-15,3,22,0.0
2022-09-16,1,1,0.0
2022-09-17,2,0,0.0
2022-09-18,0,0,0.0
2022-09-19,0,18,1.0
2022-09-20,2,28,0.0
2022-09-21,3,18,6.0
2022-09-22,2,15,4.0
2022-09-23,0,13,0.0
2022-09-24,0,1,0.0
2022-09-25,1,1,0.0
2022-09-26,0,33,0.0
2022-09-27,0,28,0.0
2022-09-28,0,18,1.0
2022-09-29,2,23,3.0
2022-09-30,0,17,1.0
2022-10-01,0,1,1.0
2022-10-02,0,0,2.0
2022-10-03,0,15,7.0
2022-10-04,0,21,8.0
2022-10-05,1,23,6.0
2022-10-06,1,15,12.0
2022-10-07,3,3,2.0
2022-10-08,0,0,0.0
2022-10-09,0,1,3.0
2022-10-10,0,25,5.0
2022-10-11,2,28,2.0
2022-10-12,0,31,11.0
2022-10-13,0,19,8.0
2022-10-14,0,38,4.0
2022-10-15,2,1,0.0
2022-10-16,0,0,0.0
2022-10-17,1,15,11.0
2022-10-18,3,21,15.0
2022-10-19,1,13,12.0
2022-10-20,1,19,3.0
2022-10-21,1,4,0.0
2022-10-22,0,0,0.0
2022-10-23,0,0,0.0
2022-10-24,1,15,7.0
2022-10-25,1,15,9.0
2022-10-26,0,13,80.0
2022-10-27,0,6,376.0
2022-10-28,0,7,6.0
2022-10-29,0,0,1.0
2022-10-30,1,0,4.0
2022-10-31,3,18,7.0
2022-11-01,1,25,0.0
2022-11-02,1,20,1.0
2022-11-03,1,25,5.0
2022-11-04,0,23,2.0
2022-11-05,0,3,0.0
2022-11-06,1,0,0.0
2022-11-07,0,19,0.0
2022-11-08,1,31,10.0
2022-11-09,2,28,1.0
2022-11-10,0,35,4.0
2022-11-11,1,9,0.0
2022-11-12,0,0,2.0
2022-11-13,0,0,2.0
2022-11-14,1,24,3.0
2022-11-15,2,29,4.0
2022-11-16,1,26,1.0
2022-11-17,2,22,8.0
2022-11-18,1,27,0.0
2022-11-19,1,3,0.0
2022-11-20,0,1,0.0
2022-11-21,0,21,1.0
2022-11-22,0,28,0.0
2022-11-23,1,24,3.0
2022-11-24,2,30,6.0
2022-11-25,1,1,0.0
2022-11-26,0,0,3.0
2022-11-27,0,1,0.0
2022-11-28,0,17,11.0
2022-11-29,0,14,2.0
2022-11-30,2,13,7.0
2022-12-01,1,9,14.0
2022-12-02,0,11,0.0
2022-12-03,2,0,8.0
2022-12-04,0,0,3.0
2022-12-05,0,20,11.0
2022-12-06,1,24,11.0
2022-12-07,2,28,18.0
2022-12-08,2,19,13.0
2022-12-09,1,3,2.0
2022-12-10,1,0,1.0
2022-12-11,0,3,4.0
2022-12-12,0,31,7.0
2022-12-13,2,18,13.0
2022-12-14,2,25,8.0
2022-12-15,5,15,3.0
2022-12-16,0,15,3.0
2022-12-17,0,2,0.0
2022-12-18,1,1,0.0
2022-12-19,2,12,14.0
2022-12-20,4,18,7.0
2022-12-21,3,27,13.0
2022-12-22,1,28,17.0
2022-12-23,2,12,0.0
2022-12-24,0,1,0.0
2022-12-25,1,0,1.0
2022-12-26,0,6,3.0
2022-12-27,0,9,0.0
2022-12-28,1,7,0.0
2022-12-29,1,3,0.0
2022-12-30,0,7,0.0
2022-12-31,0,1,0.0
2023-01-01,1,0,0.0
2023-01-02,2,0,5.0
2023-01-03,7,18,3.0
2023-01-04,1,24,9.0
2023-01-05,4,17,14.0
2023-01-06,3,3,1.0
2023-01-07,1,0,0.0
2023-01-08,0,0,0.0
2023-01-09,8,29,8.0
2023-01-10,4,24,6.0
2023-01-11,4,30,13.0
2023-01-12,0,23,9.0
2023-01-13,1,34,1.0
2023-01-14,0,3,0.0
2023-01-15,1,0,0.0
2023-01-16,2,24,10.0
2023-01-17,5,30,16.0
2023-01-18,3,24,16.0
2023-01-19,5,32,18.0
2023-01-20,1,4,0.0
2023-01-21,4,3,0.0
2023-01-22,1,1,0.0
2023-01-23,0,39,12.0
2023-01-24,1,43,8.0
2023-01-25,3,31,18.0
2023-01-26,4,30,4.0
2023-01-27,4,35,0.0
2023-01-28,1,1,0.0
2023-01-29,0,0,0.0
2023-01-30,5,33,5.0
2023-01-31,2,26,26.0
2023-02-01,0,30,9.0
2023-02-02,3,40,15.0
2023-02-03,3,3,0.0
2023-02-04,5,3,0.0
2023-02-05,3,0,0.0
2023-02-06,3,37,9.0
2023-02-07,2,47,0.0
2023-02-08,0,25,9.0
2023-02-09,5,27,5.0
2023-02-10,3,26,2.0
2023-02-11,0,5,0.0
2023-02-12,2,1,0.0
2023-02-13,1,25,13.0
2023-02-14,2,28,14.0
2023-02-15,2,13,2.0
2023-02-16,33,19,13.0
2023-02-17,3,6,1.0
2023-02-18,2,1,0.0
2023-02-19,0,0,0.0
2023-02-20,4,21,19.0
2023-02-21,4,26,8.0
2023-02-22,3,25,16.0
2023-02-23,0,27,21.0
2023-02-24,1,14,0.0
2023-02-25,0,1,0.0
2023-02-26,3,0,0.0
2023-02-27,4,18,2.0
2023-02-28,1,24,1.0
2023-03-01,2,27,1.0
2023-03-02,3,26,0.0
2023-03-03,9,3,3.0
2023-03-04,0,2,0.0
2023-03-05,3,0,0.0
2023-03-06,3,26,9.0
2023-03-07,2,23,4.0
2023-03-08,0,35,10.0
2023-03-09,0,17,15.0
2023-03-10,54,32,0.0
2023-03-11,2,3,0.0
2023-03-12,0,0,0.0
2023-03-13,2,3,3.0
2023-03-14,3,7,2.0
2023-03-15,2,5,6.0
2023-03-16,8,6,1.0
2023-03-17,0,1,0.0
2023-03-18,4,3,0.0
2023-03-19,4,0,0.0
2023-03-20,2,22,75.0
2023-03-21,0,32,3.0
2023-03-22,3,28,2.0
2023-03-23,3,20,8.0
2023-03-24,0,22,0.0
2023-03-25,1,1,0.0
2023-03-26,0,2,1.0
2023-03-27,0,41,8.0
2023-03-28,1,36,6.0
2023-03-29,1,29,11.0
2023-03-30,0,34,25.0
2023-03-31,2,34,1.0
2023-04-01,1,0,0.0
2023-04-02,4,0,0.0
2023-04-03,2,12,16.0
2023-04-04,0,23,12.0
2023-04-05,6,34,12.0
2023-04-06,1,20,25.0
2023-04-07,2,6,6.0
2023-04-08,0,0,0.0
2023-04-09,0,2,0.0
2023-04-10,4,16,0.0
2023-04-11,3,39,1.0
2023-04-12,1,25,16.0
2023-04-13,2,24,16.0
2023-04-14,0,5,0.0
2023-04-15,0,1,0.0
2023-04-16,0,0,0.0
2023-04-17,2,48,0.0
2023-04-18,3,40,4.0
2023-04-19,2,22,0.0
2023-04-20,1,43,0.0
2023-04-21,1,35,0.0
2023-04-22,1,4,0.0
2023-04-23,0,0,0.0
2023-04-24,1,33,8.0
2023-04-25,1,24,7.0
2023-04-26,0,22,9.0
2023-04-27,0,29,3.0
2023-04-28,1,20,1.0
2023-04-29,1,3,4.0
2023-04-30,0,1,0.0
2023-05-01,6,13,0.0
2023-05-02,2,28,18.0
2023-05-03,3,39,33.0
2023-05-04,8,33,14.0
2023-05-05,0,21,0.0
2023-05-06,4,1,1.0
2023-05-07,2,2,0.0
2023-05-08,4,18,3.0
2023-05-09,4,32,0.0
2023-05-10,4,25,6.0
2023-05-11,2,25,1.0
2023-05-12,59,17,0.0
2023-05-13,3,1,0.0
2023-05-14,3,0,0.0
2023-05-15,3,22,7.0
2023-05-16,57,31,10.0
2023-05-17,19,28,2.0
2023-05-18,4,10,0.0
2023-05-19,5,1,0.0
2023-05-20,2,0,0.0
2023-05-21,0,0,0.0
2023-05-22,5,29,2.0
2023-05-23,8,24,4.0
2023-05-24,7,29,4.0
2023-05-25,8,29,11.0
2023-05-26,5,22,0.0
2023-05-27,2,2,0.0
2023-05-28,0,2,0.0
2023-05-29,2,8,11.0
2023-05-30,8,24,2.0
2023-05-31,80,16,0.0
2023-06-01,6,32,0.0
2023-06-02,2,20,0.0
2023-06-03,2,3,0.0
2023-06-04,1,0,0.0
2023-06-05,7,24,1.0
2023-06-06,2,32,3.0
2023-06-07,4,33,1.0
2023-06-08,3,29,3.0
2023-06-09,0,20,0.0
2023-06-10,0,2,0.0
2023-06-11,0,0,0.0
2023-06-12,1,27,1.0
2023-06-13,3,25,0.0
2023-06-14,7,39,3.0
2023-06-15,5,22,0.0
2023-06-16,15,6,0.0
2023-06-17,5,1,0.0
2023-06-18,4,3,0.0
2023-06-19,7,17,1.0
2023-06-20,4,36,7.0
2023-06-21,3,16,1.0
2023-06-22,5,36,14.0
2023-06-23,6,16,3.0
2023-06-24,2,7,0.0
2023-06-25,0,1,0.0
2023-06-26,84,29,23.0
2023-06-27,42,27,43.0
2023-06-28,4,28,39.0
2023-06-29,2,34,28.0
2023-06-30,6,21,2.0
2023-07-01,5,2,1.0
2023-07-02,5,3,0.0
2023-07-03,10,19,9.0
2023-07-04,14,20,2.0
2023-07-05,0,20,2.0
2023-07-06,10,20,10.0
2023-07-07,10,33,0.0
2023-07-08,5,2,0.0
2023-07-09,2,2,0.0
2023-07-10,4,36,6.0
2023-07-11,6,34,0.0
2023-07-12,4,29,6.0
2023-07-13,4,22,4.0
2023-07-14,2,20,11.0
2023-07-15,0,3,0.0
2023-07-16,0,0,0.0
2023-07-17,0,19,2.0
2023-07-18,6,29,6.0
2023-07-19,3,22,1.0
2023-07-20,5,27,3.0
2023-07-21,5,4,0.0
2023-07-22,0,0,0.0
2023-07-23,1,0,0.0
2023-07-24,12,20,5.0
2023-07-25,5,28,6.0
2023-07-26,14,27,3.0
2023-07-27,8,27,3.0
2023-07-28,5,18,0.0
2023-07-29,1,4,1.0
2023-07-30,2,1,0.0
2023-07-31,5,20,1.0
2023-08-01,4,31,2.0
2023-08-02,13,25,0.0
2023-08-03,10,26,0.0
2023-08-04,5,29,0.0
2023-08-05,8,1,1.0
2023-08-06,1,2,0.0
2023-08-07,4,15,0.0
2023-08-08,6,25,11.0
2023-08-09,2,28,1.0
2023-08-10,13,24,13.0
2023-08-11,3,25,0.0
2023-08-12,0,4,0.0
2023-08-13,0,4,0.0
2023-08-14,1,25,1.0
2023-08-15,10,36,0.0
2023-08-16,2,36,1.0
2023-08-17,6,38,0.0
2023-08-18,2,6,0.0
2023-08-19,6,1,0.0
2023-08-20,3,2,0.0
2023-08-21,6,26,0.0
2023-08-22,3,53,1.0
2023-08-23,6,36,3.0
2023-08-24,1,21,1.0
2023-08-25,2,24,0.0
2023-08-26,8,5,0.0
2023-08-27,0,4,0.0
2023-08-28,5,20,2.0
2023-08-29,5,35,0.0
2023-08-30,0,24,0.0
2023-08-31,3,30,0.0
2023-09-01,6,14,0.0
2023-09-02,4,2,0.0
2023-09-03,2,1,0.0
2023-09-04,6,18,2.0
2023-09-05,3,16,1.0
2023-09-06,2,41,6.0
2023-09-07,4,33,2.0
2023-09-08,1,47,3.0
2023-09-09,1,1,0.0
2023-09-10,0,1,0.0
2023-09-11,2,36,11.0
2023-09-12,1,24,8.0
2023-09-13,1,30,0.0
2023-09-14,7,19,0.0
2023-09-15,6,5,0.0
2023-09-16,4,1,0.0
2023-09-17,3,1,0.0
2023-09-18,3,24,2.0
2023-09-19,4,29,0.0
2023-09-20,3,26,0.0
2023-09-21,2,24,2.0
2023-09-22,4,25,0.0
2023-09-23,0,3,0.0
2023-09-24,6,1,0.0
2023-09-25,8,21,0.0
2023-09-26,4,22,2.0
2023-09-27,5,27,0.0
2023-09-28,8,35,0.0
2023-09-29,5,39,0.0
2023-09-30,0,3,0.0
2023-10-01,1,5,0.0
2023-10-02,3,38,0.0
2023-10-03,3,45,1.0
2023-10-04,5,37,0.0
2023-10-05,8,28,2.0
2023-10-06,5,37,0.0
2023-10-07,1,6,0.0
2023-10-08,3,3,0.0
2023-10-09,14,43,5.0
2023-10-10,5,46,3.0
2023-10-11,4,46,9.0
2023-10-12,0,28,7.0
2023-10-13,12,36,14.0
2023-10-14,1,3,0.0
2023-10-15,3,4,0.0
2023-10-16,3,33,3.0
2023-10-17,6,33,1.0
2023-10-18,1,40,4.0
2023-10-19,0,40,1.0
2023-10-20,2,5,0.0
2023-10-21,1,1,0.0
2023-10-22,0,1,0.0
2023-10-23,7,20,6.0
2023-10-24,4,20,1.0
2023-10-25,12,31,0.0
2023-10-26,4,34,1.0
2023-10-27,8,35,0.0
2023-10-28,0,6,0.0
2023-10-29,0,3,0.0
2023-10-30,7,33,82.0
2023-10-31,7,35,12.0
2023-11-01,3,23,4.0
2023-11-02,5,39,13.0
2023-11-03,2,32,0.0
2023-11-04,2,3,0.0
2023-11-05,1,1,0.0
2023-11-06,2,23,6.0
2023-11-07,4,30,0.0
2023-11-08,2,22,5.0
2023-11-09,2,32,9.0
2023-11-10,2,30,1.0
2023-11-11,1,2,0.0
2023-11-12,2,5,1.0
2023-11-13,7,38,5.0
2023-11-14,13,42,2.0
2023-11-15,7,48,1.0
2023-11-16,5,46,0.0
2023-11-17,9,5,0.0
2023-11-18,0,3,0.0
2023-11-19,1,4,0.0
2023-11-20,3,31,5.0
2023-11-21,4,31,1.0
2023-11-22,6,35,1.0
2023-11-23,6,43,4.0
2023-11-24,2,42,0.0
2023-11-25,2,2,1.0
2023-11-26,3,1,0.0
2023-11-27,7,50,3.0
2023-11-28,11,35,11.0
2023-11-29,4,25,0.0
2023-11-30,6,39,0.0
2023-12-01,10,45,0.0
2023-12-02,1,2,0.0
2023-12-03,1,4,0.0
2023-12-04,3,33,0.0
2023-12-05,5,48,0.0
2023-12-06,5,30,7.0
2023-12-07,3,36,0.0
2023-12-08,2,21,0.0
2023-12-09,0,4,0.0
2023-12-10,2,3,0.0
2023-12-11,7,42,2.0
2023-12-12,10,45,2.0
2023-12-13,8,17,2.0
2023-12-14,2,38,31.0
2023-12-15,0,6,0.0
2023-12-16,0,3,0.0
2023-12-17,1,1,0.0
2023-12-18,13,20,7.0
2023-12-19,13,25,12.0
2023-12-20,6,23,9.0
2023-12-21,6,21,2.0
2023-12-22,1,19,0.0
2023-12-23,1,2,0.0
2023-12-24,0,2,0.0
2023-12-25,4,2,0.0
2023-12-26,9,4,0.0
2023-12-27,11,18,0.0
2023-12-28,3,8,0.0
2023-12-29,4,8,0.0
2023-12-30,0,6,0.0
2023-12-31,0,2,0.0
2024-01-01,0,1,0.0
2024-01-02,9,40,3.0
2024-01-03,4,34,3.0
2024-01-04,4,38,0.0
2024-01-05,6,30,0.0
2024-01-06,1,4,0.0
2024-01-07,0,3,0.0
2024-01-08,3,46,2.0
2024-01-09,6,50,1.0
2024-01-10,11,41,1.0
2024-01-11,1,33,9.0
2024-01-12,3,35,1.0
2024-01-13,0,6,0.0
2024-01-14,0,2,0.0
2024-01-15,2,17,1.0
2024-01-16,1,26,15.0
2024-01-17,2,38,2.0
2024-01-18,2,46,2.0
2024-01-19,4,4,0.0
2024-01-20,3,3,0.0
2024-01-21,1,4,0.0
2024-01-22,2,25,7.0
2024-01-23,2,11,0.0
2024-01-24,1,31,1.0
2024-01-25,2,23,1.0
2024-01-26,5,24,0.0
2024-01-27,1,3,0.0
2024-01-28,1,2,0.0
2024-01-29,0,42,0.0
2024-01-30,1,42,0.0
2024-01-31,0,26,0.0
2024-02-01,1,26,9.0
2024-02-02,4,28,0.0
2024-02-03,0,1,0.0
2024-02-04,0,4,0.0
2024-02-05,2,30,0.0
2024-02-06,5,53,3.0
2024-02-07,4,31,9.0
2024-02-08,1,35,64.0
2024-02-09,0,38,0.0
2024-02-10,0,2,0.0
2024-02-11,0,2,0.0
2024-02-12,5,40,5.0
2024-02-13,5,24,5.0
2024-02-14,2,30,5.0
2024-02-15,2,38,5.0
2024-02-16,1,5,0.0
2024-02-17,0,1,0.0
2024-02-18,1,5,0.0
2024-02-19,4,18,1.0
2024-02-20,3,18,2.0
2024-02-21,1,31,4.0
2024-02-22,5,33,3.0
2024-02-23,0,26,0.0
2024-02-24,1,5,0.0
2024-02-25,0,2,0.0
2024-02-26,2,6,13.0
2024-02-27,1,5,0.0
2024-02-28,3,6,1.0
2024-02-29,3,4,1.0
2024-03-01,2,6,0.0
2024-03-02,2,2,0.0
2024-03-03,2,4,0.0
2024-03-04,3,29,2.0
2024-03-05,4,25,16.0
2024-03-06,2,29,1.0
2024-03-07,3,22,0.0
2024-03-08,4,33,0.0
2024-03-09,0,5,0.0
2024-03-10,0,1,0.0
2024-03-11,1,26,1.0
2024-03-12,2,42,7.0
2024-03-13,1,42,9.0
2024-03-14,2,27,1.0
2024-03-15,2,2,0.0
2024-03-16,2,1,0.0
2024-03-17,0,3,0.0
2024-03-18,2,25,4.0
2024-03-19,2,41,20.0
2024-03-20,2,32,5.0
2024-03-21,1,42,3.0
2024-03-22,2,34,1.0
2024-03-23,1,2,0.0
2024-03-24,0,2,0.0
2024-03-25,2,20,15.0
2024-03-26,1,29,15.0
2024-03-27,1,34,14.0
2024-03-28,1,27,3.0
2024-03-29,1,17,0.0
2024-03-30,3,7,0.0
2024-03-31,0,5,0.0
2024-04-01,2,21,0.0
2024-04-02,1,28,2.0
2024-04-03,1,34,2.0
2024-04-04,3,29,16.0
2024-04-05,1,23,1.0
2024-04-06,1,1,0.0
2024-04-07,3,0,0.0
2024-04-08,1,27,0.0
2024-04-09,2,27,1.0
2024-04-10,1,39,0.0
2024-04-11,3,30,2.0
2024-04-12,0,27,0.0
2024-04-13,0,3,0.0
2024-04-14,0,2,1.0
2024-04-15,0,33,0.0
2024-04-16,0,37,18.0
2024-04-17,1,24,6.0
2024-04-18,1,29,2.0
2024-04-19,1,3,0.0
2024-04-20,0,4,0.0
2024-04-21,0,2,0.0
2024-04-22,1,38,4.0
2024-04-23,3,30,1.0
2024-04-24,2,37,4.0
2024-04-25,1,30,2.0
2024-04-26,1,24,0.0
2024-04-27,0,2,0.0
2024-04-28,0,3,0.0
2024-04-29,3,38,0.0
2024-04-30,1,33,2.0
2024-05-01,1,31,0.0
2024-05-02,0,35,2.0
2024-05-03,1,25,1.0
2024-05-04,1,5,0.0
2024-05-05,1,2,0.0
2024-05-06,2,24,1.0
2024-05-07,0,33,5.0
2024-05-08,1,30,0.0
2024-05-09,0,28,0.0
2024-05-10,1,29,0.0
2024-05-11,0,4,0.0
2024-05-12,1,2,0.0
2024-05-13,0,42,0.0
2024-05-14,3,35,8.0
2024-05-15,3,31,5.0
2024-05-16,4,27,5.0
2024-05-17,0,42,0.0
2024-05-18,0,3,0.0
2024-05-19,0,6,0.0
2024-05-20,3,18,15.0
2024-05-21,3,26,7.0
2024-05-22,2,37,5.0
2024-05-23,0,35,3.0
2024-05-24,2,28,0.0
2024-05-25,0,2,0.0
2024-05-26,0,1,0.0
2024-05-27,0,30,4.0
2024-05-28,3,32,11.0
2024-05-29,4,35,8.0
2024-05-30,0,24,18.0
2024-05-31,1,24,0.0
2024-06-01,0,1,0.0
2024-06-02,0,4,0.0
2024-06-03,3,29,1.0
2024-06-04,3,34,3.0
2024-06-05,4,35,19.0
2024-06-06,4,22,38.0
2024-06-07,5,22,0.0
2024-06-08,0,1,1.0
2024-06-09,0,0,0.0
2024-06-10,1,30,6.0
2024-06-11,4,33,6.0
2024-06-12,2,37,13.0
2024-06-13,1,31,5.0
2024-06-14,1,2,0.0
2024-06-15,0,2,0.0
2024-06-16,1,3,0.0
2024-06-17,2,30,4.0
2024-06-18,1,33,1.0
2024-06-19,1,30,1.0
2024-06-20,0,26,8.0
2024-06-21,1,44,0.0
2024-06-22,1,2,0.0
2024-06-23,0,0,0.0
2024-06-24,1,19,6.0
2024-06-25,1,28,10.0
2024-06-26,0,32,7.0
2024-06-27,2,29,4.0
2024-06-28,0,34,0.0
2024-06-29,0,1,0.0
2024-06-30,0,2,0.0
2024-07-01,1,31,1.0
2024-07-02,4,39,8.0
2024-07-03,2,40,0.0
2024-07-04,3,16,2.0
2024-07-05,2,24,0.0
2024-07-06,0,0,0.0
2024-07-07,0,1,2.0
2024-07-08,0,35,8.0
2024-07-09,0,26,6.0
2024-07-10,3,28,47.0
2024-07-11,1,31,12.0
2024-07-12,1,21,0.0
2024-07-13,0,1,0.0
2024-07-14,2,0,0.0
2024-07-15,0,28,7.0
2024-07-16,2,316,8.0
2024-07-17,0,31,5.0
2024-07-18,2,40,1.0
2024-07-19,0,31,0.0
2024-07-20,0,10,0.0
2024-07-21,0,2,0.0
2024-07-22,4,24,1.0
2024-07-23,0,18,1.0
2024-07-24,1,20,9.0
2024-07-25,0,37,19.0
2024-07-26,1,37,0.0
2024-07-27,0,7,0.0
2024-07-28,0,0,0.0
2024-07-29,2,30,4.0
2024-07-30,3,31,17.0
2024-07-31,3,16,15.0
2024-08-01,4,20,1.0
2024-08-02,1,15,0.0
2024-08-03,0,0,0.0
2024-08-04,0,1,0.0
2024-08-05,0,23,0.0
2024-08-06,1,26,1.0
2024-08-07,2,22,2.0
2024-08-08,2,23,2.0
2024-08-09,0,18,0.0
2024-08-10,0,0,0.0
2024-08-11,0,0,0.0
2024-08-12,1,28,0.0
2024-08-13,1,17,0.0
2024-08-14,1,20,2.0
2024-08-15,3,24,0.0
2024-08-16,3,2,0.0
2024-08-17,2,1,0.0
2024-08-18,0,0,0.0
2024-08-19,1,21,0.0
2024-08-20,0,29,0.0
2024-08-21,0,25,2.0
2024-08-22,3,27,0.0
2024-08-23,3,25,0.0
2024-08-24,0,5,0.0
2024-08-25,0,3,0.0
2024-08-26,2,23,0.0
2024-08-27,1,29,0.0
2024-08-28,1,32,0.0
2024-08-29,2,42,0.0
2024-08-30,3,26,13.0
2024-08-31,0,3,0.0
2024-09-01,0,2,1.0
2024-09-02,0,11,25.0
2024-09-03,1,24,13.0
2024-09-04,1,40,13.0
2024-09-05,3,23,12.0
2024-09-06,7,32,1.0
2024-09-07,1,4,0.0
2024-09-08,2,3,0.0
2024-09-09,0,36,2.0
2024-09-10,1,27,5.0
2024-09-11,0,35,8.0
2024-09-12,1,30,9.0
2024-09-13,2,16,4.0
2024-09-14,0,4,2.0
2024-09-15,1,1,1.0
2024-09-16,1,25,8.0
2024-09-17,1,43,37.0
2024-09-18,1,62,6.0
2024-09-19,0,40,25.0
2024-09-20,3,44,0.0
2024-09-21,0,12,0.0
2024-09-22,1,2,0.0
2024-09-23,0,42,10.0
2024-09-24,3,37,17.0
2024-09-25,2,37,12.0
2024-09-26,0,56,1.0
2024-09-27,1,36,2.0
2024-09-28,1,3,1.0
2024-09-29,0,3,1.0
2024-09-30,4,36,8.0
2024-10-01,1,43,18.0
2024-10-02,0,36,4.0
2024-10-03,3,40,12.0
2024-10-04,0,48,2.0
2024-10-05,0,2,0.0
2024-10-06,0,5,0.0
2024-10-07,0,38,6.0
2024-10-08,4,47,5.0
2024-10-09,0,37,2.0
2024-10-10,2,47,3.0
2024-10-11,2,46,0.0
2024-10-12,0,2,0.0
2024-10-13,2,1,0.0
2024-10-14,3,57,22.0
2024-10-15,3,52,3.0
2024-10-16,0,44,13.0
2024-10-17,3,33,14.0
2024-10-18,0,32,0.0
2024-10-19,0,3,1.0
2024-10-20,0,1,5.0
2024-10-21,1,41,11.0
2024-10-22,0,46,0.0
2024-10-23,1,46,1.0
2024-10-24,3,59,0.0
2024-10-25,1,47,0.0
2024-10-26,1,3,0.0
2024-10-27,1,1,0.0
2024-10-28,1,37,14.0
2024-10-29,3,29,3.0
2024-10-30,0,34,5.0
2024-10-31,3,32,1.0
2024-11-01,1,44,0.0
2024-11-02,0,8,1.0
2024-11-03,0,3,0.0
2024-11-04,1,31,13.0
2024-11-05,1,38,13.0
