,ioBroker/ioBroker,node-red/node-red,home-assistant/core
2023-01-06,0,0,47
2023-01-07,0,0,33
2023-01-08,0,0,24
2023-01-09,0,1,54
2023-01-10,0,0,57
2023-01-11,0,0,16
2023-01-12,0,0,52
2023-01-13,0,0,21
2023-01-14,8,0,12
2023-01-15,0,1,35
2023-01-16,0,0,65
2023-01-17,0,0,56
2023-01-18,0,0,30
2023-01-19,0,1,24
2023-01-20,0,0,31
2023-01-21,0,0,16
2023-01-22,0,0,34
2023-01-23,0,10,47
2023-01-24,0,0,70
2023-01-25,0,5,58
2023-01-26,0,1,52
2023-01-27,0,1,41
2023-01-28,0,0,18
2023-01-29,0,0,21
2023-01-30,0,11,53
2023-01-31,0,0,53
2023-02-01,0,1,32
2023-02-02,0,23,53
2023-02-03,0,4,58
2023-02-04,0,6,20
2023-02-05,0,2,46
2023-02-06,0,0,28
2023-02-07,0,0,79
2023-02-08,0,0,54
2023-02-09,0,0,46
2023-02-10,0,2,14
2023-02-11,0,0,7
2023-02-12,0,0,41
2023-02-13,0,1,51
2023-02-14,0,1,45
2023-02-15,0,0,62
2023-02-16,0,0,27
2023-02-17,0,0,49
2023-02-18,0,0,25
2023-02-19,1,0,15
2023-02-20,0,13,44
2023-02-21,1,6,26
2023-02-22,1,0,47
2023-02-23,0,6,22
2023-02-24,0,2,17
2023-02-25,0,1,33
2023-02-26,0,1,9
2023-02-27,7,5,53
2023-02-28,0,0,54
2023-03-01,0,3,74
2023-03-02,0,21,21
2023-03-03,0,23,14
2023-03-04,0,0,6
2023-03-05,0,0,30
2023-03-06,0,5,32
2023-03-07,0,4,18
2023-03-08,0,0,70
2023-03-09,0,0,40
2023-03-10,0,0,16
2023-03-11,0,1,10
2023-03-12,0,1,12
2023-03-13,0,2,58
2023-03-14,0,0,27
2023-03-15,0,0,33
2023-03-16,0,0,46
2023-03-17,0,0,32
2023-03-18,0,0,10
2023-03-19,0,0,9
2023-03-20,0,8,32
2023-03-21,0,0,36
2023-03-22,0,0,25
2023-03-23,0,0,50
2023-03-24,0,2,21
2023-03-25,0,0,15
2023-03-26,0,1,38
2023-03-27,0,0,42
2023-03-28,0,0,77
2023-03-29,0,0,38
2023-03-30,0,0,33
2023-03-31,0,2,60
2023-04-01,0,2,19
2023-04-02,8,0,9
2023-04-03,0,0,82
2023-04-04,0,2,34
2023-04-05,0,0,52
2023-04-06,0,0,75
2023-04-07,1,0,13
2023-04-08,0,0,10
2023-04-09,0,1,38
2023-04-10,0,0,14
2023-04-11,0,0,15
2023-04-12,0,0,34
2023-04-13,0,0,62
2023-04-14,0,0,15
2023-04-15,0,0,19
2023-04-16,3,0,21
2023-04-17,0,1,63
2023-04-18,5,0,21
2023-04-19,1,0,29
2023-04-20,2,1,27
2023-04-21,0,0,49
2023-04-22,0,1,57
2023-04-23,0,1,13
2023-04-24,0,1,36
2023-04-25,0,0,34
2023-04-26,0,0,41
2023-04-27,0,0,43
2023-04-28,0,23,43
2023-04-29,0,1,41
2023-04-30,0,0,44
2023-05-01,0,3,27
2023-05-02,0,0,15
2023-05-03,0,0,44
2023-05-04,0,0,47
2023-05-05,0,0,57
2023-05-06,0,2,22
2023-05-07,0,1,16
2023-05-08,0,1,6
2023-05-09,0,0,13
2023-05-10,1,0,10
2023-05-11,0,0,21
2023-05-12,0,0,17
2023-05-13,0,1,5
2023-05-14,0,0,46
2023-05-15,0,0,14
2023-05-16,0,1,12
2023-05-17,1,1,19
2023-05-18,0,0,9
2023-05-19,0,0,2
2023-05-20,0,0,5
2023-05-21,0,0,15
2023-05-22,0,46,29
2023-05-23,0,0,53
2023-05-24,0,0,68
2023-05-25,0,10,29
2023-05-26,0,11,20
2023-05-27,0,1,14
2023-05-28,0,0,16
2023-05-29,0,2,40
2023-05-30,0,4,39
2023-05-31,0,4,56
2023-06-01,0,0,61
2023-06-02,0,1,21
2023-06-03,0,0,10
2023-06-04,0,0,6
2023-06-05,0,0,33
2023-06-06,0,0,18
2023-06-07,0,0,50
2023-06-08,0,0,59
2023-06-09,0,2,14
2023-06-10,0,2,4
2023-06-11,0,0,11
2023-06-12,0,0,19
2023-06-13,0,0,19
2023-06-14,0,0,23
2023-06-15,0,0,61
2023-06-16,0,0,19
2023-06-17,0,7,7
2023-06-18,1,0,7
2023-06-19,0,0,22
2023-06-20,1,1,39
2023-06-21,0,21,45
2023-06-22,0,4,45
2023-06-23,0,8,46
2023-06-24,0,0,12
2023-06-25,0,0,15
2023-06-26,0,0,78
2023-06-27,0,1,107
2023-06-28,0,0,54
2023-06-29,0,0,71
2023-06-30,0,0,50
2023-07-01,0,2,11
2023-07-02,0,1,14
2023-07-03,0,0,71
2023-07-04,0,0,17
2023-07-05,0,1,38
2023-07-06,0,0,43
2023-07-07,0,0,36
2023-07-08,0,0,38
2023-07-09,0,0,21
2023-07-10,0,9,32
2023-07-11,0,3,64
2023-07-12,0,0,52
2023-07-13,0,9,57
2023-07-14,0,4,16
2023-07-15,0,5,15
2023-07-16,0,2,14
2023-07-17,0,0,54
2023-07-18,0,1,83
2023-07-19,0,0,34
2023-07-20,0,0,66
2023-07-21,0,0,43
2023-07-22,0,0,34
2023-07-23,0,0,42
2023-07-24,0,0,56
2023-07-25,0,0,30
2023-07-26,0,5,24
2023-07-27,0,0,52
2023-07-28,0,0,23
2023-07-29,0,1,7
2023-07-30,0,0,33
2023-07-31,0,2,22
2023-08-01,0,0,43
2023-08-02,0,2,22
2023-08-03,0,0,36
2023-08-04,0,1,71
2023-08-05,0,0,29
2023-08-06,0,1,24
2023-08-07,0,0,37
2023-08-08,0,1,46
2023-08-09,0,0,13
2023-08-10,0,0,60
2023-08-11,0,0,74
2023-08-12,0,0,12
2023-08-13,0,1,17
2023-08-14,0,10,38
2023-08-15,0,2,36
2023-08-16,0,8,36
2023-08-17,0,2,22
2023-08-18,0,4,60
2023-08-19,0,4,13
2023-08-20,0,2,9
2023-08-21,0,3,53
2023-08-22,0,0,51
2023-08-23,0,0,43
2023-08-24,0,0,59
2023-08-25,0,0,45
2023-08-26,0,0,10
2023-08-27,0,0,34
2023-08-28,0,0,43
2023-08-29,0,0,38
2023-08-30,0,0,56
2023-08-31,0,0,33
2023-09-01,0,4,29
2023-09-02,0,1,37
2023-09-03,0,0,23
2023-09-04,0,1,76
2023-09-05,0,26,40
2023-09-06,0,4,61
2023-09-07,0,0,51
2023-09-08,0,4,62
2023-09-09,0,2,29
2023-09-10,0,0,37
2023-09-11,0,0,34
2023-09-12,0,0,119
2023-09-13,4,0,48
2023-09-14,3,4,37
2023-09-15,0,0,19
2023-09-16,0,1,19
2023-09-17,0,2,7
2023-09-18,0,3,15
2023-09-19,0,13,16
2023-09-20,0,0,16
2023-09-21,0,0,21
2023-09-22,0,4,19
2023-09-23,0,0,64
2023-09-24,0,3,24
2023-09-25,0,11,46
2023-09-26,0,2,64
2023-09-27,0,0,42
2023-09-28,0,0,51
2023-09-29,0,0,24
2023-09-30,0,0,34
2023-10-01,0,0,34
2023-10-02,0,0,62
2023-10-03,0,2,15
2023-10-04,0,0,38
2023-10-05,0,0,26
2023-10-06,0,0,93
2023-10-07,0,0,19
2023-10-08,0,0,23
2023-10-09,0,0,21
2023-10-10,7,0,28
2023-10-11,3,0,24
2023-10-12,4,1,73
2023-10-13,5,0,26
2023-10-14,1,0,12
2023-10-15,0,0,36
2023-10-16,0,0,15
2023-10-17,0,2,21
2023-10-18,0,5,27
2023-10-19,0,0,44
2023-10-20,0,0,90
2023-10-21,0,0,25
2023-10-22,0,0,57
2023-10-23,0,0,33
2023-10-24,0,1,70
2023-10-25,0,0,63
2023-10-26,0,0,19
2023-10-27,0,0,42
2023-10-28,0,0,16
2023-10-29,0,1,30
2023-10-30,0,0,51
2023-10-31,0,1,50
2023-11-01,0,17,29
2023-11-02,0,0,14
2023-11-03,0,3,44
2023-11-04,0,0,42
2023-11-05,0,0,11
2023-11-06,1,0,56
2023-11-07,0,11,43
2023-11-08,0,0,29
2023-11-09,0,0,14
2023-11-10,0,0,35
2023-11-11,0,0,11
2023-11-12,0,0,31
2023-11-13,0,0,34
2023-11-14,0,2,20
2023-11-15,0,0,41
2023-11-16,1,0,23
2023-11-17,0,3,23
2023-11-18,0,1,8
2023-11-19,0,0,18
2023-11-20,0,5,26
2023-11-21,0,1,27
2023-11-22,0,0,78
2023-11-23,0,0,16
2023-11-24,0,1,40
2023-11-25,0,0,20
2023-11-26,0,0,23
2023-11-27,0,6,28
2023-11-28,0,1,24
2023-11-29,0,7,70
2023-11-30,0,10,92
2023-12-01,0,2,10
2023-12-02,0,3,10
2023-12-03,0,0,11
2023-12-04,0,3,74
2023-12-05,0,1,53
2023-12-06,0,3,30
2023-12-07,0,11,31
2023-12-08,0,3,65
2023-12-09,0,0,21
2023-12-10,0,0,11
2023-12-11,0,2,27
2023-12-12,0,1,34
2023-12-13,0,1,67
2023-12-14,0,1,39
2023-12-15,0,3,8
2023-12-16,0,1,17
2023-12-17,0,2,11
2023-12-18,0,0,44
2023-12-19,0,0,42
2023-12-20,0,4,26
2023-12-21,0,0,40
2023-12-22,0,0,37
2023-12-23,0,1,52
2023-12-24,0,1,18
2023-12-25,0,0,8
2023-12-26,0,2,24
2023-12-27,0,3,108
2023-12-28,0,0,73
2023-12-29,0,3,48
2023-12-30,3,0,21
2023-12-31,0,0,33
2024-01-01,0,2,18
2024-01-02,0,0,87
2024-01-03,0,0,35
2024-01-04,3,0,53
2024-01-05,0,6,78
2024-01-06,0,0,32
2024-01-07,0,4,24
2024-01-08,0,9,63
2024-01-09,0,1,27
2024-01-10,0,0,25
2024-01-11,0,2,25
2024-01-12,0,0,92
2024-01-13,0,0,32
2024-01-14,0,1,45
2024-01-15,0,9,28
2024-01-16,0,6,46
2024-01-17,0,0,34
2024-01-18,0,0,27
2024-01-19,0,4,70
2024-01-20,0,3,62
2024-01-21,0,4,26
2024-01-22,0,2,54
2024-01-23,0,2,31
2024-01-24,0,0,45
2024-01-25,0,2,30
2024-01-26,0,3,11
2024-01-27,0,0,17
2024-01-28,0,0,21
2024-01-29,0,1,42
2024-01-30,0,2,92
2024-01-31,0,0,72
2024-02-01,0,0,72
2024-02-02,0,0,67
2024-02-03,0,0,153
2024-02-04,0,0,174
2024-02-05,0,9,86
2024-02-06,1,7,63
2024-02-07,0,4,45
2024-02-08,0,2,21
2024-02-09,0,2,59
2024-02-10,0,0,16
2024-02-11,0,0,22
2024-02-12,0,0,84
2024-02-13,0,0,30
2024-02-14,0,0,56
2024-02-15,0,0,23
2024-02-16,0,0,75
2024-02-17,0,2,28
2024-02-18,0,0,34
2024-02-19,0,4,36
2024-02-20,0,2,26
2024-02-21,0,0,42
2024-02-22,0,2,62
2024-02-23,0,0,36
2024-02-24,0,0,40
2024-02-25,0,3,60
2024-02-26,0,7,62
2024-02-27,0,0,99
2024-02-28,0,0,78
2024-02-29,0,0,90
2024-03-01,0,8,73
2024-03-02,0,0,39
2024-03-03,0,0,54
2024-03-04,0,4,86
2024-03-05,0,2,132
2024-03-06,0,0,105
2024-03-07,0,18,23
2024-03-08,0,4,59
2024-03-09,0,0,50
2024-03-10,0,1,53
2024-03-11,0,1,117
2024-03-12,0,3,62
2024-03-13,0,7,105
2024-03-14,0,5,163
2024-03-15,0,0,63
2024-03-16,0,5,47
2024-03-17,0,11,40
2024-03-18,0,0,30
2024-03-19,0,0,40
2024-03-20,0,0,40
2024-03-21,0,13,31
2024-03-22,0,0,73
2024-03-23,0,0,30
2024-03-24,0,0,21
2024-03-25,0,4,48
2024-03-26,0,2,34
2024-03-27,0,10,60
2024-03-28,0,15,74
2024-03-29,0,0,45
2024-03-30,0,0,13
2024-03-31,0,1,19
2024-04-01,0,0,21
2024-04-02,0,8,100
2024-04-03,0,4,55
2024-04-04,0,6,40
2024-04-05,0,2,54
2024-04-06,0,0,56
2024-04-07,0,0,30
2024-04-08,0,0,63
2024-04-09,0,0,26
2024-04-10,0,0,20
2024-04-11,0,6,22
2024-04-12,0,3,44
2024-04-13,0,0,34
2024-04-14,0,0,19
2024-04-15,0,1,14
2024-04-16,0,0,20
2024-04-17,0,0,41
2024-04-18,2,5,25
2024-04-19,0,0,18
2024-04-20,0,2,22
2024-04-21,1,0,16
2024-04-22,0,0,22
2024-04-23,0,8,80
2024-04-24,0,2,61
2024-04-25,0,0,24
2024-04-26,0,0,16
2024-04-27,0,0,51
2024-04-28,0,3,24
2024-04-29,0,3,64
2024-04-30,0,0,42
2024-05-01,0,0,71
2024-05-02,0,0,37
2024-05-03,1,6,53
2024-05-04,0,0,28
2024-05-05,0,1,34
2024-05-06,0,0,66
2024-05-07,0,0,43
2024-05-08,0,4,45
2024-05-09,0,3,7
2024-05-10,0,0,37
2024-05-11,0,0,30
2024-05-12,0,4,22
2024-05-13,0,7,19
2024-05-14,0,16,53
2024-05-15,0,2,45
2024-05-16,0,2,35
2024-05-17,0,5,56
2024-05-18,0,0,31
2024-05-19,0,0,11
2024-05-20,0,1,30
2024-05-21,0,9,34
2024-05-22,0,3,37
2024-05-23,4,6,27
2024-05-24,4,0,90
2024-05-25,0,1,70
2024-05-26,0,5,36
2024-05-27,0,2,45
2024-05-28,0,8,50
2024-05-29,0,5,93
2024-05-30,0,17,54
2024-05-31,0,2,72
2024-06-01,0,0,13
2024-06-02,0,4,11
2024-06-03,0,4,100
2024-06-04,0,0,81
2024-06-05,0,2,50
2024-06-06,0,0,50
2024-06-07,0,0,74
2024-06-08,0,0,30
2024-06-09,0,0,31
2024-06-10,0,10,62
2024-06-11,0,3,101
2024-06-12,0,0,56
2024-06-13,0,0,55
2024-06-14,0,3,35
2024-06-15,0,0,44
2024-06-16,0,0,15
2024-06-17,0,4,32
2024-06-18,0,2,51
2024-06-19,0,0,32
2024-06-20,0,5,11
2024-06-21,0,0,134
2024-06-22,0,1,79
2024-06-23,0,3,24
2024-06-24,0,15,69
2024-06-25,0,5,61
2024-06-26,0,12,140
2024-06-27,0,1,77
2024-06-28,0,10,61
2024-06-29,0,2,48
2024-06-30,0,1,33
2024-07-01,0,10,71
2024-07-02,0,1,57
2024-07-03,0,0,55
2024-07-04,0,1,72
2024-07-05,0,0,85
2024-07-06,0,0,34
2024-07-07,0,0,47
2024-07-08,0,1,31
2024-07-09,0,0,31
2024-07-10,1,0,99
2024-07-11,0,0,28
2024-07-12,0,0,27
2024-07-13,1,0,8
2024-07-14,0,0,8
2024-07-15,0,0,17
2024-07-16,0,1,32
2024-07-17,0,0,22
2024-07-18,0,11,19
2024-07-19,0,0,98
2024-07-20,0,1,41
2024-07-21,0,0,35
2024-07-22,0,1,46
2024-07-23,3,0,42
2024-07-24,0,0,28
2024-07-25,0,0,30
2024-07-26,0,0,28
2024-07-27,0,0,12
2024-07-28,0,0,11
2024-07-29,0,0,71
2024-07-30,0,0,49
2024-07-31,0,0,95
2024-08-01,0,0,18
2024-08-02,0,0,61
2024-08-03,0,0,11
2024-08-04,0,4,10
2024-08-05,0,1,51
2024-08-06,0,0,44
2024-08-07,0,0,36
2024-08-08,0,0,18
2024-08-09,3,0,24
2024-08-10,4,0,42
2024-08-11,2,2,9
2024-08-12,1,5,79
2024-08-13,0,2,41
2024-08-14,0,1,70
2024-08-15,0,0,33
2024-08-16,0,0,86
2024-08-17,0,0,14
2024-08-18,0,3,34
2024-08-19,0,0,40
2024-08-20,0,0,29
2024-08-21,0,0,21
2024-08-22,0,0,29
2024-08-23,5,0,13
2024-08-24,0,0,21
2024-08-25,0,0,65
2024-08-26,0,0,34
2024-08-27,0,1,41
2024-08-28,0,0,76
2024-08-29,0,0,29
2024-08-30,0,0,77
2024-08-31,0,1,20
2024-09-01,0,0,19
2024-09-02,0,0,62
2024-09-03,0,0,80
2024-09-04,0,0,60
2024-09-05,0,0,26
2024-09-06,0,0,86
2024-09-07,0,0,10
2024-09-08,0,0,57
2024-09-09,0,2,28
2024-09-10,0,0,62
2024-09-11,0,18,55
2024-09-12,0,1,23
2024-09-13,0,6,39
2024-09-14,0,0,23
2024-09-15,0,0,8
2024-09-16,0,3,91
2024-09-17,0,9,34
2024-09-18,0,0,56
2024-09-19,0,0,29
2024-09-20,0,0,37
2024-09-21,0,0,21
2024-09-22,0,0,39
2024-09-23,0,1,118
2024-09-24,0,0,106
2024-09-25,0,0,50
2024-09-26,0,1,43
2024-09-27,11,3,119
2024-09-28,0,0,13
2024-09-29,0,0,5
2024-09-30,0,0,94
2024-10-01,0,2,81
2024-10-02,0,0,93
2024-10-03,0,0,71
2024-10-04,4,1,36
2024-10-05,0,0,29
2024-10-06,0,0,23
2024-10-07,0,2,37
2024-10-08,0,6,60
2024-10-09,0,6,55
2024-10-10,0,5,21
2024-10-11,0,0,117
2024-10-12,0,3,11
2024-10-13,0,0,17
2024-10-14,0,0,27
2024-10-15,0,0,22
2024-10-16,0,0,40
2024-10-17,0,0,18
2024-10-18,2,0,65
2024-10-19,0,0,77
2024-10-20,5,0,28
2024-10-21,0,5,54
2024-10-22,2,1,17
2024-10-23,1,2,30
2024-10-24,0,1,33
2024-10-25,0,2,107
2024-10-26,0,0,38
2024-10-27,0,0,8
2024-10-28,0,5,39
2024-10-29,0,4,85
2024-10-30,0,4,53
2024-10-31,0,4,34
2024-11-01,0,3,13
2024-11-02,0,0,26
2024-11-03,0,0,18
2024-11-04,0,0,102
2024-11-05,0,0,79
2024-11-06,0,2,58
2024-11-07,0,7,23
2024-11-08,0,7,72
2024-11-09,0,0,34
2024-11-10,0,1,36
2024-11-11,0,4,29
2024-11-12,0,1,11
2024-11-13,0,2,26
2024-11-14,0,1,36
2024-11-15,0,1,123
2024-11-16,0,0,6
2024-11-17,0,0,11
2024-11-18,0,6,24
2024-11-19,0,0,32
2024-11-20,0,0,36
2024-11-21,0,0,60
2024-11-22,0,0,91
2024-11-23,0,0,40
2024-11-24,0,0,27
2024-11-25,0,6,25
2024-11-26,0,1,85
2024-11-27,0,0,50
2024-11-28,0,0,93
2024-11-29,0,0,11
2024-11-30,0,0,17
2024-12-01,0,0,45
2024-12-02,0,1,55
2024-12-03,0,11,77
2024-12-04,0,5,59
2024-12-05,0,8,25
2024-12-06,0,3,66
2024-12-07,0,0,7
2024-12-08,0,0,11
2024-12-09,0,1,70
2024-12-10,0,5,86
2024-12-11,0,3,39
2024-12-12,0,7,74
2024-12-13,0,0,67
2024-12-14,0,0,14
2024-12-15,0,0,41
2024-12-16,0,7,40
2024-12-17,0,6,65
2024-12-18,0,1,66
2024-12-19,0,0,33
2024-12-20,0,4,58
2024-12-21,0,0,51
2024-12-22,0,0,57
2024-12-23,0,0,45
2024-12-24,0,0,39
2024-12-25,0,0,8
2024-12-26,0,0,17
2024-12-27,0,0,19
2024-12-28,0,0,26
2024-12-29,0,0,50
2024-12-30,0,0,51
2024-12-31,0,0,39
2025-01-01,0,0,15
2025-01-02,0,0,78
2025-01-03,0,0,66
2025-01-04,0,0,32
2025-01-05,0,0,18
2025-01-06,0,0,100
2025-01-07,0,1,29
2025-01-08,0,0,40
2025-01-09,0,0,57
2025-01-10,0,0,34
2025-01-11,0,0,21
2025-01-12,0,1,9
2025-01-13,0,2,59
2025-01-14,0,0,41
2025-01-15,0,2,36
2025-01-16,0,0,57
2025-01-17,0,3,59
2025-01-18,0,0,29
2025-01-19,0,1,54
2025-01-20,0,3,87
2025-01-21,0,2,37
2025-01-22,0,1,45
2025-01-23,0,0,56
2025-01-24,0,0,52
2025-01-25,0,0,19
2025-01-26,0,0,26
2025-01-27,0,4,41
2025-01-28,0,0,84
2025-01-29,0,1,102
2025-01-30,0,0,51
2025-01-31,0,1,83
2025-02-01,0,1,58
2025-02-02,5,0,44
2025-02-03,0,2,67
2025-02-04,0,0,106
2025-02-05,0,0,85
2025-02-06,0,0,48
2025-02-07,0,0,89
2025-02-08,0,0,126
2025-02-09,0,0,179
2025-02-10,0,6,61
2025-02-11,0,0,39
2025-02-12,0,2,48
2025-02-13,0,2,19
2025-02-14,0,13,37
2025-02-15,0,0,20
2025-02-16,0,2,15
2025-02-17,0,1,37
2025-02-18,1,0,29
2025-02-19,0,0,43
2025-02-20,0,1,52
2025-02-21,0,0,59
2025-02-22,0,0,27
2025-02-23,0,0,19
2025-02-24,1,9,34
2025-02-25,0,2,72
2025-02-26,0,0,53
2025-02-27,0,0,41
2025-02-28,0,1,74
2025-03-01,0,0,43
2025-03-02,0,0,78
2025-03-03,0,10,23
2025-03-04,0,0,64
2025-03-05,0,0,54
2025-03-06,0,2,38
2025-03-07,0,0,64
2025-03-08,0,0,31
2025-03-09,0,0,25
2025-03-10,0,3,25
2025-03-11,0,3,93
2025-03-12,0,0,12
2025-03-13,0,1,28
2025-03-14,0,0,54
2025-03-15,0,0,25
2025-03-16,0,0,34
2025-03-17,0,5,23
2025-03-18,0,3,28
2025-03-19,0,0,25
2025-03-20,0,0,32
2025-03-21,0,0,52
2025-03-22,0,0,30
2025-03-23,0,0,52
2025-03-24,0,2,45
2025-03-25,0,0,66
2025-03-26,0,0,82
2025-03-27,0,0,61
2025-03-28,0,0,82
2025-03-29,0,0,45
2025-03-30,0,0,83
2025-03-31,0,0,88
2025-04-01,0,0,51
2025-04-02,0,0,62
2025-04-03,0,0,30
2025-04-04,0,0,56
2025-04-05,0,0,25
2025-04-06,0,0,12
2025-04-07,0,0,26
2025-04-08,0,0,31
2025-04-09,0,0,26
2025-04-10,0,0,38
2025-04-11,0,1,81
2025-04-12,0,0,21
2025-04-13,0,1,13
2025-04-14,0,12,78
2025-04-15,0,8,30
2025-04-16,0,1,31
2025-04-17,0,3,19
2025-04-18,0,0,17
2025-04-19,0,0,77
2025-04-20,0,0,38
2025-04-21,0,4,18
2025-04-22,0,0,53
2025-04-23,0,8,26
2025-04-24,0,6,54
2025-04-25,0,5,51
2025-04-26,0,1,22
2025-04-27,0,0,12
2025-04-28,0,24,38
2025-04-29,0,1,54
2025-04-30,0,1,102
2025-05-01,0,3,48
2025-05-02,0,2,19
2025-05-03,0,0,36
2025-05-04,0,0,45
2025-05-05,0,0,50
2025-05-06,0,0,69
2025-05-07,0,0,58
2025-05-08,0,0,39
2025-05-09,0,1,75
2025-05-10,0,0,7
2025-05-11,0,0,32
2025-05-12,0,0,37
2025-05-13,0,2,19
2025-05-14,0,1,61
2025-05-15,0,0,22
2025-05-16,0,0,101
2025-05-17,0,0,12
2025-05-18,0,0,22
2025-05-19,1,0,78
2025-05-20,0,0,55
2025-05-21,0,0,42
2025-05-22,0,0,54
2025-05-23,0,0,70
2025-05-24,1,0,12
2025-05-25,0,0,15
2025-05-26,0,0,111
2025-05-27,0,0,54
2025-05-28,0,0,56
2025-05-29,0,0,15
2025-05-30,0,2,21
2025-05-31,0,0,24
2025-06-01,0,0,6
2025-06-02,0,5,55
2025-06-03,0,13,26
2025-06-04,1,5,43
2025-06-05,0,1,16
2025-06-06,1,23,7
2025-06-07,0,2,12
2025-06-08,0,0,9
2025-06-09,0,5,13
2025-06-10,0,11,113
2025-06-11,0,6,104
2025-06-12,0,0,27
2025-06-13,0,1,49
2025-06-14,0,4,12
2025-06-15,0,1,10
2025-06-16,0,7,40
2025-06-17,0,1,20
2025-06-18,0,0,17
2025-06-19,0,3,22
2025-06-20,0,0,41
2025-06-21,0,1,4
2025-06-22,0,0,14
2025-06-23,0,3,112
2025-06-24,0,2,57
2025-06-25,0,23,50
2025-06-26,0,18,76
2025-06-27,0,0,67
2025-06-28,0,0,22
2025-06-29,0,3,7
2025-06-30,0,0,50
2025-07-01,0,0,83
2025-07-02,0,2,63
2025-07-03,0,1,34
2025-07-04,0,4,69
2025-07-05,0,0,27
2025-07-06,0,1,13
2025-07-07,0,1,24
2025-07-08,0,0,44
2025-07-09,0,0,42
2025-07-10,0,4,22
2025-07-11,0,2,18
2025-07-12,0,0,7
2025-07-13,0,0,17
2025-07-14,0,5,90
2025-07-15,0,0,43
2025-07-16,0,0,42
2025-07-17,0,0,30
2025-07-18,0,0,37
