,fastify/fastify,nestjs/nest,koajs/koa
2018-02-15,1,9,0
2018-02-16,4,11,1
2018-02-17,1,1,0
2018-02-18,0,7,0
2018-02-19,1,0,1
2018-02-20,2,1,0
2018-02-21,0,5,0
2018-02-22,0,0,0
2018-02-23,0,0,0
2018-02-24,1,3,0
2018-02-25,1,1,0
2018-02-26,1,0,0
2018-02-27,1,3,0
2018-02-28,4,2,0
2018-03-01,4,7,0
2018-03-02,1,8,0
2018-03-03,1,1,0
2018-03-04,3,1,0
2018-03-05,1,0,0
2018-03-06,2,1,0
2018-03-07,4,1,0
2018-03-08,2,5,0
2018-03-09,0,5,0
2018-03-10,0,1,0
2018-03-11,0,9,0
2018-03-12,0,2,0
2018-03-13,0,1,0
2018-03-14,0,3,0
2018-03-15,0,2,0
2018-03-16,0,0,0
2018-03-17,0,2,0
2018-03-18,0,1,0
2018-03-19,3,1,0
2018-03-20,2,0,0
2018-03-21,0,0,0
2018-03-22,0,3,0
2018-03-23,0,0,1
2018-03-24,2,7,0
2018-03-25,0,3,0
2018-03-26,2,9,0
2018-03-27,0,2,0
2018-03-28,0,9,0
2018-03-29,1,2,0
2018-03-30,0,0,0
2018-03-31,0,1,0
2018-04-01,1,0,0
2018-04-02,0,0,0
2018-04-03,2,1,0
2018-04-04,1,0,0
2018-04-05,0,0,0
2018-04-06,0,0,0
2018-04-07,0,0,0
2018-04-08,1,0,0
2018-04-09,0,0,0
2018-04-10,0,0,1
2018-04-11,3,0,0
2018-04-12,0,0,0
2018-04-13,0,0,0
2018-04-14,0,0,0
2018-04-15,0,0,0
2018-04-16,0,0,0
2018-04-17,3,8,0
2018-04-18,1,4,0
2018-04-19,2,2,0
2018-04-20,1,2,0
2018-04-21,3,6,0
2018-04-22,0,4,0
2018-04-23,0,1,0
2018-04-24,3,0,0
2018-04-25,1,0,1
2018-04-26,2,0,1
2018-04-27,1,3,2
2018-04-28,0,7,0
2018-04-29,0,3,0
2018-04-30,2,5,0
2018-05-01,0,1,0
2018-05-02,5,4,0
2018-05-03,1,0,0
2018-05-04,2,0,0
2018-05-05,0,0,0
2018-05-06,1,15,0
2018-05-07,1,6,0
2018-05-08,0,0,0
2018-05-09,1,9,0
2018-05-10,0,0,0
2018-05-11,0,0,0
2018-05-12,0,0,0
2018-05-13,0,8,0
2018-05-14,1,0,0
2018-05-15,1,0,0
2018-05-16,1,1,0
2018-05-17,1,2,0
2018-05-18,0,0,0
2018-05-19,1,6,0
2018-05-20,1,3,0
2018-05-21,1,0,0
2018-05-22,1,0,0
2018-05-23,0,0,0
2018-05-24,1,0,0
2018-05-25,1,3,0
2018-05-26,0,2,0
2018-05-27,0,0,0
2018-05-28,1,1,0
2018-05-29,1,0,0
2018-05-30,0,1,0
2018-05-31,0,1,0
2018-06-01,0,0,0
2018-06-02,0,0,0
2018-06-03,0,0,0
2018-06-04,1,3,1
2018-06-05,0,0,0
2018-06-06,0,0,2
2018-06-07,0,0,1
2018-06-08,1,3,0
2018-06-09,0,1,0
2018-06-10,0,1,0
2018-06-11,3,0,0
2018-06-12,0,0,0
2018-06-13,1,0,0
2018-06-14,2,0,0
2018-06-15,2,0,0
2018-06-16,2,0,0
2018-06-17,0,1,0
2018-06-18,1,1,0
2018-06-19,0,1,0
2018-06-20,2,13,0
2018-06-21,2,14,0
2018-06-22,1,1,0
2018-06-23,0,0,0
2018-06-24,0,2,0
2018-06-25,2,1,2
2018-06-26,1,1,0
2018-06-27,1,0,0
2018-06-28,3,2,0
2018-06-29,1,4,0
2018-06-30,0,0,2
2018-07-01,1,0,0
2018-07-02,3,0,0
2018-07-03,1,1,0
2018-07-04,0,6,1
2018-07-05,3,5,0
2018-07-06,1,0,0
2018-07-07,0,1,0
2018-07-08,1,2,0
2018-07-09,2,1,0
2018-07-10,1,0,0
2018-07-11,1,0,2
2018-07-12,3,0,4
2018-07-13,2,0,0
2018-07-14,2,0,0
2018-07-15,0,3,0
2018-07-16,0,1,0
2018-07-17,1,1,0
2018-07-18,1,1,0
2018-07-19,0,6,0
2018-07-20,1,1,0
2018-07-21,0,0,0
2018-07-22,1,0,0
2018-07-23,2,0,0
2018-07-24,1,8,0
2018-07-25,0,15,0
2018-07-26,0,6,0
2018-07-27,0,0,0
2018-07-28,0,0,0
2018-07-29,1,0,0
2018-07-30,0,0,0
2018-07-31,0,1,0
2018-08-01,0,16,0
2018-08-02,0,2,0
2018-08-03,0,0,0
2018-08-04,1,0,0
2018-08-05,2,0,0
2018-08-06,1,0,0
2018-08-07,1,0,0
2018-08-08,0,1,0
2018-08-09,0,2,1
2018-08-10,0,0,0
2018-08-11,1,1,0
2018-08-12,0,0,0
2018-08-13,0,0,0
2018-08-14,0,0,0
2018-08-15,1,0,0
2018-08-16,0,12,0
2018-08-17,4,1,0
2018-08-18,1,0,0
2018-08-19,0,0,0
2018-08-20,0,0,0
2018-08-21,1,1,0
2018-08-22,1,12,0
2018-08-23,0,1,0
2018-08-24,1,5,0
2018-08-25,8,3,0
2018-08-26,4,5,0
2018-08-27,2,9,0
2018-08-28,2,0,0
2018-08-29,6,0,0
2018-08-30,6,0,0
2018-08-31,1,10,0
2018-09-01,1,0,0
2018-09-02,0,6,0
2018-09-03,0,11,0
2018-09-04,3,1,0
2018-09-05,3,9,0
2018-09-06,1,0,0
2018-09-07,0,0,0
2018-09-08,1,3,0
2018-09-09,1,12,0
2018-09-10,0,6,0
2018-09-11,4,0,2
2018-09-12,1,0,0
2018-09-13,0,10,0
2018-09-14,0,5,0
2018-09-15,0,0,0
2018-09-16,1,0,0
2018-09-17,2,0,0
2018-09-18,2,2,0
2018-09-19,4,4,0
2018-09-20,2,2,1
2018-09-21,3,4,0
2018-09-22,2,0,0
2018-09-23,0,0,0
2018-09-24,1,9,0
2018-09-25,3,1,0
2018-09-26,1,3,0
2018-09-27,0,0,0
2018-09-28,2,0,0
2018-09-29,1,3,0
2018-09-30,0,3,0
2018-10-01,1,0,0
2018-10-02,1,9,0
2018-10-03,1,13,0
2018-10-04,0,3,0
2018-10-05,2,17,0
2018-10-06,0,8,0
2018-10-07,0,0,0
2018-10-08,1,1,1
2018-10-09,1,1,0
2018-10-10,0,0,0
2018-10-11,0,1,0
2018-10-12,1,0,0
2018-10-13,0,1,0
2018-10-14,0,0,0
2018-10-15,0,0,0
2018-10-16,0,1,0
2018-10-17,1,20,0
2018-10-18,1,7,0
2018-10-19,0,22,0
2018-10-20,1,0,0
2018-10-21,1,0,0
2018-10-22,2,1,0
2018-10-23,3,0,4
2018-10-24,5,0,0
2018-10-25,1,0,0
2018-10-26,0,0,0
2018-10-27,0,0,0
2018-10-28,0,0,0
2018-10-29,0,0,0
2018-10-30,1,0,0
2018-10-31,7,1,0
2018-11-01,0,0,2
2018-11-02,0,0,0
2018-11-03,0,4,0
2018-11-04,0,0,0
2018-11-05,0,0,2
2018-11-06,0,0,0
2018-11-07,1,1,0
2018-11-08,0,2,0
2018-11-09,2,0,3
2018-11-10,0,2,0
2018-11-11,0,0,0
2018-11-12,0,0,0
2018-11-13,0,0,0
2018-11-14,0,1,0
2018-11-15,1,0,0
2018-11-16,0,1,0
2018-11-17,0,0,0
2018-11-18,0,0,0
2018-11-19,1,0,0
2018-11-20,0,0,0
2018-11-21,1,1,0
2018-11-22,1,0,0
2018-11-23,1,0,0
2018-11-24,1,2,0
2018-11-25,1,1,0
2018-11-26,1,0,0
2018-11-27,3,0,0
2018-11-28,0,3,0
2018-11-29,3,6,0
2018-11-30,1,24,0
2018-12-01,0,1,0
2018-12-02,2,0,0
2018-12-03,2,0,0
2018-12-04,1,0,0
2018-12-05,2,2,0
2018-12-06,0,11,0
2018-12-07,1,0,4
2018-12-08,0,0,0
2018-12-09,0,3,0
2018-12-10,2,6,0
2018-12-11,0,0,0
2018-12-12,1,5,2
2018-12-13,1,1,0
2018-12-14,7,0,0
2018-12-15,0,3,0
2018-12-16,0,0,0
2018-12-17,1,1,0
2018-12-18,0,1,0
2018-12-19,1,0,0
2018-12-20,4,1,0
2018-12-21,1,2,0
2018-12-22,1,0,0
2018-12-23,0,0,0
2018-12-24,1,6,0
2018-12-25,0,0,0
2018-12-26,1,0,0
2018-12-27,1,2,2
2018-12-28,0,0,0
2018-12-29,0,8,0
2018-12-30,0,0,0
2018-12-31,0,0,0
2019-01-01,0,0,0
2019-01-02,2,4,0
2019-01-03,1,5,1
2019-01-04,1,1,0
2019-01-05,0,2,0
2019-01-06,0,0,1
2019-01-07,1,1,1
2019-01-08,0,0,0
2019-01-09,0,0,0
2019-01-10,4,0,0
2019-01-11,4,0,0
2019-01-12,0,0,0
2019-01-13,0,1,0
2019-01-14,0,10,2
2019-01-15,4,1,0
2019-01-16,2,19,0
2019-01-17,0,0,0
2019-01-18,0,1,0
2019-01-19,0,0,0
2019-01-20,0,3,0
2019-01-21,0,1,0
2019-01-22,0,0,0
2019-01-23,2,0,0
2019-01-24,0,0,0
2019-01-25,0,0,0
2019-01-26,0,0,0
2019-01-27,0,0,0
2019-01-28,1,0,2
2019-01-29,2,1,0
2019-01-30,2,2,0
2019-01-31,5,5,0
2019-02-01,1,2,0
2019-02-02,2,0,1
2019-02-03,0,0,0
2019-02-04,3,0,0
2019-02-05,3,15,0
2019-02-06,2,1,0
2019-02-07,0,5,0
2019-02-08,3,7,0
2019-02-09,1,0,0
2019-02-10,0,0,0
2019-02-11,0,2,0
2019-02-12,0,9,0
2019-02-13,0,2,0
2019-02-14,0,16,1
2019-02-15,0,0,0
2019-02-16,0,1,0
2019-02-17,1,3,0
2019-02-18,3,6,0
2019-02-19,0,7,0
2019-02-20,1,8,0
2019-02-21,1,8,0
2019-02-22,6,2,0
2019-02-23,2,0,0
2019-02-24,0,0,0
2019-02-25,3,0,0
2019-02-26,1,0,0
2019-02-27,0,3,0
2019-02-28,1,2,0
2019-03-01,2,2,0
2019-03-02,2,0,0
2019-03-03,0,0,0
2019-03-04,0,1,0
2019-03-05,2,4,0
2019-03-06,2,0,0
2019-03-07,5,0,0
2019-03-08,3,2,0
2019-03-09,2,11,0
2019-03-10,2,0,0
2019-03-11,2,6,0
2019-03-12,2,0,0
2019-03-13,1,0,0
2019-03-14,4,1,0
2019-03-15,3,4,0
2019-03-16,2,30,0
2019-03-17,0,58,0
2019-03-18,0,54,0
2019-03-19,0,59,0
2019-03-20,1,21,0
2019-03-21,0,7,0
2019-03-22,1,4,0
2019-03-23,2,1,0
2019-03-24,0,8,0
2019-03-25,0,7,0
2019-03-26,0,19,0
2019-03-27,1,21,0
2019-03-28,0,0,0
2019-03-29,3,2,0
2019-03-30,0,5,0
2019-03-31,0,28,0
2019-04-01,0,6,0
2019-04-02,0,3,0
2019-04-03,2,11,0
2019-04-04,0,4,0
2019-04-05,1,6,0
2019-04-06,3,14,0
2019-04-07,2,0,0
