,pytorch/pytorch,tensorflow/tensorflow,apache/mxnet
2021-12-24,5,17,3
2021-12-25,2,6,1
2021-12-26,0,7,0
2021-12-27,2,11,0
2021-12-28,13,53,0
2021-12-29,13,74,1
2021-12-30,18,41,0
2021-12-31,2,13,0
2022-01-01,0,4,0
2022-01-02,2,3,0
2022-01-03,3,30,0
2022-01-04,20,62,1
2022-01-05,50,56,2
2022-01-06,37,57,1
2022-01-07,53,80,0
2022-01-08,14,22,0
2022-01-09,3,11,0
2022-01-10,24,47,0
2022-01-11,29,64,0
2022-01-12,49,59,0
2022-01-13,30,44,1
2022-01-14,27,51,0
2022-01-15,7,20,0
2022-01-16,1,5,0
2022-01-17,4,19,0
2022-01-18,19,43,3
2022-01-19,32,59,1
2022-01-20,43,64,0
2022-01-21,34,56,0
2022-01-22,17,18,0
2022-01-23,3,6,0
2022-01-24,10,41,0
2022-01-25,40,66,1
2022-01-26,44,72,1
2022-01-27,49,60,1
2022-01-28,40,52,2
2022-01-29,8,16,0
2022-01-30,4,5,0
2022-01-31,24,42,0
2022-02-01,47,57,1
2022-02-02,34,96,1
2022-02-03,35,67,0
2022-02-04,37,85,0
2022-02-05,11,20,5
2022-02-06,0,14,0
2022-02-07,39,48,0
2022-02-08,31,67,0
2022-02-09,30,80,1
2022-02-10,24,82,1
2022-02-11,43,60,2
2022-02-12,8,17,0
2022-02-13,1,3,0
2022-02-14,25,56,3
2022-02-15,47,88,0
2022-02-16,45,72,1
2022-02-17,31,66,1
2022-02-18,29,54,0
2022-02-19,17,12,0
2022-02-20,3,3,0
2022-02-21,2,15,1
2022-02-22,23,44,0
2022-02-23,36,64,0
2022-02-24,45,65,1
2022-02-25,27,47,0
2022-02-26,13,10,0
2022-02-27,3,3,0
2022-02-28,22,55,0
2022-03-01,52,59,1
2022-03-02,37,72,2
2022-03-03,31,53,0
2022-03-04,30,53,2
2022-03-05,7,21,0
2022-03-06,5,3,0
2022-03-07,15,51,2
2022-03-08,35,53,3
2022-03-09,29,76,0
2022-03-10,25,34,0
2022-03-11,42,44,0
2022-03-12,8,5,0
2022-03-13,2,17,0
2022-03-14,27,44,0
2022-03-15,41,58,3
2022-03-16,51,51,0
2022-03-17,41,40,2
2022-03-18,10,44,2
2022-03-19,2,10,0
2022-03-20,0,2,0
2022-03-21,32,56,0
2022-03-22,41,66,2
2022-03-23,31,79,0
2022-03-24,34,72,3
2022-03-25,36,93,1
2022-03-26,4,33,0
2022-03-27,0,16,0
2022-03-28,34,48,3
2022-03-29,48,56,2
2022-03-30,34,77,0
2022-03-31,46,51,2
2022-04-01,43,57,1
2022-04-02,10,12,0
2022-04-03,1,3,0
2022-04-04,36,45,0
2022-04-05,33,52,0
2022-04-06,51,65,1
2022-04-07,54,57,0
2022-04-08,39,71,0
2022-04-09,9,8,0
2022-04-10,1,5,0
2022-04-11,41,47,0
2022-04-12,33,60,0
2022-04-13,40,57,0
2022-04-14,42,93,0
2022-04-15,47,34,1
2022-04-16,13,17,0
2022-04-17,8,3,0
2022-04-18,27,33,0
2022-04-19,60,59,1
2022-04-20,37,77,0
2022-04-21,23,48,0
2022-04-22,47,66,0
2022-04-23,11,13,0
2022-04-24,6,6,0
2022-04-25,47,49,0
2022-04-26,45,75,2
2022-04-27,25,77,1
2022-04-28,42,67,1
2022-04-29,8,49,0
2022-04-30,4,9,0
2022-05-01,6,5,0
2022-05-02,38,46,0
2022-05-03,54,82,0
2022-05-04,46,71,0
2022-05-05,43,70,0
2022-05-06,30,94,0
2022-05-07,11,20,0
2022-05-08,4,4,0
2022-05-09,42,52,0
2022-05-10,50,62,0
2022-05-11,74,73,0
2022-05-12,45,40,0
2022-05-13,53,59,0
2022-05-14,14,10,0
2022-05-15,8,8,0
2022-05-16,42,55,1
2022-05-17,51,95,2
2022-05-18,65,71,1
2022-05-19,60,80,1
2022-05-20,54,67,0
2022-05-21,20,12,0
2022-05-22,12,6,0
2022-05-23,24,62,1
2022-05-24,50,63,0
2022-05-25,43,50,1
2022-05-26,47,64,0
2022-05-27,13,62,0
2022-05-28,6,16,0
2022-05-29,1,6,0
2022-05-30,8,29,1
2022-05-31,56,58,1
2022-06-01,57,107,0
2022-06-02,44,65,1
2022-06-03,51,82,0
2022-06-04,11,22,0
2022-06-05,7,13,0
2022-06-06,57,39,0
2022-06-07,43,93,1
2022-06-08,52,51,0
2022-06-09,67,48,0
2022-06-10,54,66,1
2022-06-11,18,16,0
2022-06-12,7,9,0
2022-06-13,45,58,0
2022-06-14,62,57,2
2022-06-15,42,57,0
2022-06-16,49,51,0
2022-06-17,45,67,1
2022-06-18,8,13,0
2022-06-19,2,3,0
2022-06-20,36,22,2
2022-06-21,50,34,3
2022-06-22,58,59,1
2022-06-23,37,86,4
2022-06-24,49,86,0
2022-06-25,11,19,0
2022-06-26,4,7,0
2022-06-27,46,38,0
2022-06-28,41,65,2
2022-06-29,48,43,1
2022-06-30,47,62,0
2022-07-01,17,53,0
2022-07-02,4,11,0
2022-07-03,1,3,0
2022-07-04,11,26,0
2022-07-05,50,17,2
2022-07-06,49,46,1
2022-07-07,59,39,2
2022-07-08,52,62,0
2022-07-09,16,10,0
2022-07-10,1,2,0
2022-07-11,28,56,0
2022-07-12,43,65,0
2022-07-13,57,48,0
2022-07-14,41,61,0
2022-07-15,51,46,4
2022-07-16,15,10,0
2022-07-17,11,7,0
2022-07-18,23,49,1
2022-07-19,44,65,3
2022-07-20,48,67,0
2022-07-21,1222,80,1
2022-07-22,64,52,1
2022-07-23,17,13,0
2022-07-24,8,7,0
2022-07-25,46,50,0
2022-07-26,51,67,0
2022-07-27,83,74,0
2022-07-28,47,80,0
2022-07-29,35,66,1
2022-07-30,8,20,0
2022-07-31,2,3,0
2022-08-01,33,40,1
2022-08-02,34,76,1
2022-08-03,51,75,0
2022-08-04,43,70,3
2022-08-05,39,61,0
2022-08-06,21,11,0
2022-08-07,10,7,0
2022-08-08,42,63,0
2022-08-09,37,69,0
2022-08-10,48,73,0
2022-08-11,43,67,0
2022-08-12,34,67,2
2022-08-13,12,1,0
2022-08-14,3,8,0
2022-08-15,23,53,0
2022-08-16,51,86,1
2022-08-17,45,69,0
2022-08-18,44,72,0
2022-08-19,51,56,0
2022-08-20,9,12,0
2022-08-21,7,5,0
2022-08-22,42,71,1
2022-08-23,43,74,1
2022-08-24,50,65,0
2022-08-25,43,84,0
2022-08-26,34,60,1
2022-08-27,11,30,0
2022-08-28,13,7,0
2022-08-29,35,76,1
2022-08-30,41,85,0
2022-08-31,34,98,1
2022-09-01,48,97,0
2022-09-02,21,88,0
2022-09-03,4,17,0
2022-09-04,2,4,0
2022-09-05,11,32,0
2022-09-06,31,48,0
2022-09-07,43,94,0
2022-09-08,30,90,1
2022-09-09,47,69,0
2022-09-10,13,10,0
2022-09-11,1,2,0
2022-09-12,32,51,0
2022-09-13,39,63,0
2022-09-14,34,61,0
2022-09-15,33,74,1
2022-09-16,44,74,1
2022-09-17,27,12,0
2022-09-18,4,5,0
2022-09-19,25,63,0
2022-09-20,29,65,0
2022-09-21,50,78,0
2022-09-22,32,81,0
2022-09-23,50,70,0
2022-09-24,15,14,0
2022-09-25,8,4,0
2022-09-26,22,57,1
2022-09-27,52,84,0
2022-09-28,68,65,0
2022-09-29,50,95,0
2022-09-30,61,85,0
2022-10-01,11,16,0
2022-10-02,17,11,0
2022-10-03,56,57,0
2022-10-04,21,82,0
2022-10-05,36,84,0
2022-10-06,46,90,0
2022-10-07,51,61,0
2022-10-08,12,10,0
2022-10-09,10,8,0
2022-10-10,29,42,0
2022-10-11,49,64,0
2022-10-12,36,73,0
2022-10-13,58,75,0
2022-10-14,38,73,0
2022-10-15,16,20,0
2022-10-16,10,5,0
2022-10-17,42,60,0
2022-10-18,52,70,0
2022-10-19,44,106,0
2022-10-20,41,96,0
2022-10-21,49,92,0
2022-10-22,10,19,0
2022-10-23,8,9,0
2022-10-24,43,68,0
2022-10-25,54,78,0
2022-10-26,57,86,0
2022-10-27,35,102,0
2022-10-28,48,78,0
2022-10-29,25,25,0
2022-10-30,5,11,0
2022-10-31,45,76,0
2022-11-01,56,62,0
2022-11-02,78,77,0
2022-11-03,54,102,0
2022-11-04,38,56,0
2022-11-05,12,14,0
2022-11-06,1,3,0
2022-11-07,35,76,0
2022-11-08,41,73,0
2022-11-09,40,81,0
2022-11-10,49,48,0
2022-11-11,44,42,0
2022-11-12,20,10,0
2022-11-13,15,4,0
2022-11-14,30,47,0
2022-11-15,46,115,0
2022-11-16,63,109,0
2022-11-17,52,119,0
2022-11-18,50,81,0
2022-11-19,21,29,0
2022-11-20,6,9,0
2022-11-21,25,65,0
2022-11-22,44,61,0
2022-11-23,50,48,0
2022-11-24,32,40,0
2022-11-25,15,28,0
2022-11-26,3,3,0
2022-11-27,12,3,0
2022-11-28,49,64,0
2022-11-29,39,81,0
2022-11-30,61,70,0
2022-12-01,49,78,0
2022-12-02,42,57,0
2022-12-03,13,13,0
2022-12-04,9,4,0
2022-12-05,27,75,0
2022-12-06,62,86,0
2022-12-07,36,66,0
2022-12-08,65,71,0
2022-12-09,41,59,0
2022-12-10,21,18,0
2022-12-11,17,5,0
2022-12-12,28,68,0
2022-12-13,55,98,0
2022-12-14,49,86,0
2022-12-15,35,79,0
2022-12-16,63,64,0
2022-12-17,17,22,0
2022-12-18,3,6,0
2022-12-19,39,63,0
2022-12-20,60,79,0
2022-12-21,49,59,0
2022-12-22,34,66,0
2022-12-23,11,20,0
2022-12-24,0,8,0
