,4ian/GDevelop,godotengine/godot,MonoGame/MonoGame
2017-12-28,0,11,0
2017-12-29,0,12,1
2017-12-30,0,8,0
2017-12-31,0,16,0
2018-01-01,0,18,0
2018-01-02,0,10,0
2018-01-03,0,49,0
2018-01-04,3,57,0
2018-01-05,1,30,1
2018-01-06,2,39,0
2018-01-07,1,32,0
2018-01-08,0,40,0
2018-01-09,19,21,0
2018-01-10,2,25,2
2018-01-11,0,36,0
2018-01-12,0,37,2
2018-01-13,2,34,0
2018-01-14,1,17,0
2018-01-15,0,19,1
2018-01-16,5,12,0
2018-01-17,5,8,0
2018-01-18,5,41,0
2018-01-19,0,17,0
2018-01-20,8,17,2
2018-01-21,3,14,0
2018-01-22,6,19,0
2018-01-23,0,7,0
2018-01-24,1,22,0
2018-01-25,0,16,0
2018-01-26,0,10,0
2018-01-27,5,12,1
2018-01-28,1,3,1
2018-01-29,1,5,0
2018-01-30,2,21,6
2018-01-31,0,18,0
2018-02-01,0,21,0
2018-02-02,0,10,0
2018-02-03,8,11,0
2018-02-04,2,6,0
2018-02-05,1,12,0
2018-02-06,1,4,0
2018-02-07,0,7,0
2018-02-08,0,2,1
2018-02-09,0,4,0
2018-02-10,2,2,0
2018-02-11,6,4,0
2018-02-12,0,11,4
2018-02-13,2,29,0
2018-02-14,0,59,4
2018-02-15,2,15,0
2018-02-16,0,17,5
2018-02-17,9,22,0
2018-02-18,4,14,0
2018-02-19,0,54,0
2018-02-20,1,26,1
2018-02-21,0,30,38
2018-02-22,0,27,0
2018-02-23,3,12,9
2018-02-24,4,25,2
2018-02-25,14,12,0
2018-02-26,0,7,2
2018-02-27,9,18,0
2018-02-28,1,10,0
2018-03-01,0,25,3
2018-03-02,0,28,0
2018-03-03,0,20,7
2018-03-04,0,12,1
2018-03-05,0,9,0
2018-03-06,0,17,5
2018-03-07,0,11,1
2018-03-08,0,4,1
2018-03-09,0,10,1
2018-03-10,6,12,1
2018-03-11,5,8,2
2018-03-12,1,2,0
2018-03-13,0,68,0
2018-03-14,0,11,1
2018-03-15,1,30,2
2018-03-16,0,11,0
2018-03-17,2,7,0
2018-03-18,0,12,4
2018-03-19,0,12,5
2018-03-20,0,12,0
2018-03-21,0,13,0
2018-03-22,0,6,4
2018-03-23,0,21,2
2018-03-24,0,8,0
2018-03-25,2,2,0
2018-03-26,0,8,0
2018-03-27,0,11,3
2018-03-28,0,14,1
2018-03-29,5,9,0
2018-03-30,9,16,2
2018-03-31,6,2,0
2018-04-01,4,3,0
2018-04-02,3,6,0
2018-04-03,6,38,0
2018-04-04,8,24,0
2018-04-05,1,9,0
2018-04-06,0,12,0
2018-04-07,0,19,1
2018-04-08,6,27,0
2018-04-09,1,23,0
2018-04-10,3,23,0
2018-04-11,0,11,0
2018-04-12,0,22,0
2018-04-13,12,10,0
2018-04-14,1,3,0
2018-04-15,3,9,2
2018-04-16,1,17,0
2018-04-17,0,7,0
2018-04-18,0,23,0
2018-04-19,0,11,0
2018-04-20,1,7,0
2018-04-21,0,6,0
2018-04-22,0,7,0
2018-04-23,10,7,0
2018-04-24,15,8,0
2018-04-25,4,5,1
2018-04-26,5,6,0
2018-04-27,4,9,0
2018-04-28,2,13,0
2018-04-29,0,14,0
2018-04-30,3,26,0
2018-05-01,0,29,0
2018-05-02,6,22,0
2018-05-03,0,21,0
2018-05-04,5,17,0
2018-05-05,2,17,0
2018-05-06,0,6,2
2018-05-07,0,57,0
2018-05-08,0,42,1
2018-05-09,2,21,1
2018-05-10,0,23,0
2018-05-11,1,25,0
2018-05-12,0,17,1
2018-05-13,0,18,2
2018-05-14,0,14,1
2018-05-15,0,20,2
2018-05-16,0,44,1
2018-05-17,0,26,0
2018-05-18,0,18,0
2018-05-19,0,6,0
2018-05-20,0,5,0
2018-05-21,2,13,0
2018-05-22,2,5,0
2018-05-23,4,17,0
2018-05-24,2,8,0
2018-05-25,9,21,0
2018-05-26,4,23,0
2018-05-27,14,12,0
2018-05-28,5,17,0
2018-05-29,5,15,0
2018-05-30,0,17,0
2018-05-31,0,10,1
2018-06-01,0,6,0
2018-06-02,0,0,0
2018-06-03,0,6,0
2018-06-04,1,1,0
2018-06-05,0,19,1
2018-06-06,0,9,6
2018-06-07,0,23,0
2018-06-08,0,16,0
2018-06-09,1,7,0
2018-06-10,4,6,1
2018-06-11,8,8,1
2018-06-12,4,7,0
2018-06-13,1,23,1
2018-06-14,2,5,0
2018-06-15,0,18,0
2018-06-16,7,3,0
2018-06-17,5,1,0
2018-06-18,2,23,3
2018-06-19,0,6,0
2018-06-20,2,7,0
2018-06-21,1,7,0
2018-06-22,0,9,0
2018-06-23,15,4,0
2018-06-24,1,4,1
2018-06-25,4,19,0
2018-06-26,0,13,0
2018-06-27,1,10,0
2018-06-28,4,7,3
2018-06-29,1,5,0
2018-06-30,0,6,1
2018-07-01,1,17,0
2018-07-02,0,10,8
2018-07-03,3,47,8
2018-07-04,4,35,0
2018-07-05,1,11,0
2018-07-06,2,2,0
2018-07-07,0,4,0
2018-07-08,2,6,1
2018-07-09,1,7,0
2018-07-10,1,19,0
2018-07-11,7,5,0
2018-07-12,1,12,0
2018-07-13,0,4,3
2018-07-14,0,5,0
2018-07-15,0,5,0
2018-07-16,3,13,1
2018-07-17,0,38,2
2018-07-18,1,29,0
2018-07-19,2,9,0
2018-07-20,6,16,2
2018-07-21,1,19,1
2018-07-22,0,20,1
2018-07-23,2,20,0
2018-07-24,0,36,1
2018-07-25,3,52,0
2018-07-26,0,32,2
2018-07-27,0,43,0
2018-07-28,1,20,3
2018-07-29,0,18,0
2018-07-30,1,12,0
2018-07-31,1,8,4
2018-08-01,1,2,0
2018-08-02,3,7,4
2018-08-03,0,3,0
2018-08-04,0,16,2
2018-08-05,1,10,0
2018-08-06,0,8,0
2018-08-07,3,12,0
2018-08-08,0,13,0
2018-08-09,4,12,0
2018-08-10,1,20,0
2018-08-11,0,14,0
2018-08-12,0,9,0
2018-08-13,7,36,0
2018-08-14,1,67,0
2018-08-15,0,20,0
2018-08-16,5,32,0
2018-08-17,10,14,0
2018-08-18,3,22,0
2018-08-19,5,20,1
2018-08-20,1,38,0
2018-08-21,3,38,0
2018-08-22,4,26,0
2018-08-23,3,51,0
2018-08-24,3,49,3
2018-08-25,8,15,0
2018-08-26,10,17,0
2018-08-27,13,51,0
2018-08-28,1,21,0
2018-08-29,9,34,0
2018-08-30,4,16,0
2018-08-31,2,10,0
2018-09-01,1,21,0
2018-09-02,0,9,0
2018-09-03,6,8,0
2018-09-04,5,8,0
2018-09-05,2,15,0
2018-09-06,2,9,1
2018-09-07,0,14,0
2018-09-08,1,14,0
2018-09-09,14,10,0
2018-09-10,4,47,0
2018-09-11,4,15,0
2018-09-12,2,46,0
2018-09-13,2,38,0
2018-09-14,1,39,0
2018-09-15,0,24,0
2018-09-16,6,12,0
2018-09-17,0,24,0
2018-09-18,11,10,0
2018-09-19,2,31,0
2018-09-20,1,46,0
2018-09-21,0,20,0
2018-09-22,2,21,1
2018-09-23,2,25,4
2018-09-24,0,13,1
2018-09-25,0,17,0
2018-09-26,0,8,0
2018-09-27,1,18,1
2018-09-28,3,34,0
2018-09-29,0,23,4
2018-09-30,1,26,3
2018-10-01,0,26,8
2018-10-02,3,68,4
2018-10-03,1,40,4
2018-10-04,0,32,13
2018-10-05,1,35,8
2018-10-06,0,21,2
2018-10-07,0,39,14
2018-10-08,28,10,4
2018-10-09,3,9,2
2018-10-10,0,2,0
2018-10-11,1,20,1
2018-10-12,0,4,2
2018-10-13,4,8,0
2018-10-14,0,10,1
2018-10-15,3,10,0
2018-10-16,1,20,0
2018-10-17,2,11,0
2018-10-18,9,13,0
2018-10-19,1,12,0
2018-10-20,4,8,0
2018-10-21,10,12,0
2018-10-22,4,8,0
2018-10-23,0,12,0
2018-10-24,0,30,0
2018-10-25,0,41,0
2018-10-26,0,11,0
2018-10-27,0,3,0
2018-10-28,8,11,2
2018-10-29,0,31,0
2018-10-30,0,13,0
2018-10-31,5,8,0
2018-11-01,0,34,1
2018-11-02,0,22,1
2018-11-03,1,10,0
2018-11-04,0,14,2
2018-11-05,4,22,2
2018-11-06,0,16,0
2018-11-07,0,7,2
2018-11-08,1,16,2
2018-11-09,0,14,0
2018-11-10,0,27,0
2018-11-11,2,6,0
2018-11-12,1,22,1
2018-11-13,5,12,5
2018-11-14,2,13,13
2018-11-15,1,12,0
2018-11-16,0,26,5
2018-11-17,2,8,2
2018-11-18,0,24,0
2018-11-19,4,21,2
2018-11-20,0,34,2
2018-11-21,2,16,1
2018-11-22,0,30,0
2018-11-23,1,13,0
2018-11-24,0,7,0
2018-11-25,6,10,2
2018-11-26,0,25,4
2018-11-27,0,13,0
2018-11-28,5,31,0
2018-11-29,0,3,0
2018-11-30,1,11,0
2018-12-01,1,7,0
2018-12-02,0,14,0
2018-12-03,0,14,0
2018-12-04,0,19,0
2018-12-05,1,7,0
2018-12-06,0,20,0
2018-12-07,0,22,1
2018-12-08,0,8,12
2018-12-09,0,12,9
2018-12-10,5,9,6
2018-12-11,3,24,0
2018-12-12,0,18,0
2018-12-13,0,21,0
2018-12-14,0,31,1
2018-12-15,0,10,2
2018-12-16,7,16,6
2018-12-17,2,15,0
2018-12-18,3,25,0
2018-12-19,1,8,0
2018-12-20,4,23,0
2018-12-21,2,20,0
2018-12-22,6,3,0
2018-12-23,1,7,0
2018-12-24,5,4,0
2018-12-25,3,3,0
2018-12-26,8,1,0
2018-12-27,9,22,0
2018-12-28,0,3,0
2018-12-29,3,5,0
2018-12-30,3,17,0
2018-12-31,0,4,0
2019-01-01,0,10,0
2019-01-02,0,7,1
2019-01-03,6,20,0
2019-01-04,0,20,3
2019-01-05,9,9,3
2019-01-06,5,8,6
2019-01-07,0,21,3
2019-01-08,0,8,0
2019-01-09,1,17,0
2019-01-10,4,14,0
2019-01-11,5,22,0
2019-01-12,2,0,0
2019-01-13,3,6,0
2019-01-14,7,19,0
2019-01-15,0,17,0
2019-01-16,0,25,0
2019-01-17,2,20,9
2019-01-18,1,26,0
2019-01-19,2,14,1
2019-01-20,2,10,2
2019-01-21,1,28,0
2019-01-22,1,27,0
2019-01-23,6,31,7
2019-01-24,2,22,1
2019-01-25,0,26,0
2019-01-26,0,22,0
2019-01-27,1,34,0
2019-01-28,30,25,0
2019-01-29,0,8,1
2019-01-30,4,8,0
2019-01-31,0,11,0
2019-02-01,0,12,0
2019-02-02,0,0,0
2019-02-03,3,11,0
2019-02-04,5,5,0
2019-02-05,4,4,0
2019-02-06,7,10,1
2019-02-07,0,4,1
2019-02-08,2,34,1
2019-02-09,18,18,0
2019-02-10,4,30,1
2019-02-11,0,9,0
2019-02-12,1,43,1
2019-02-13,0,18,0
2019-02-14,0,14,0
2019-02-15,0,12,0
2019-02-16,5,42,2
2019-02-17,3,9,4
2019-02-18,1,27,0
2019-02-19,2,21,2
2019-02-20,0,50,0
2019-02-21,0,29,1
2019-02-22,2,26,2
2019-02-23,4,26,1
2019-02-24,1,21,0
2019-02-25,0,24,0
2019-02-26,0,23,0
2019-02-27,0,37,0
2019-02-28,5,21,0
2019-03-01,0,34,0
2019-03-02,8,19,0
2019-03-03,1,30,0
2019-03-04,0,61,0
2019-03-05,1,56,2
2019-03-06,0,37,0
2019-03-07,9,30,0
2019-03-08,0,17,0
2019-03-09,2,21,0
2019-03-10,2,8,0
2019-03-11,7,26,0
2019-03-12,0,19,0
2019-03-13,0,10,0
2019-03-14,1,5,0
2019-03-15,0,2,0
2019-03-16,2,29,0
2019-03-17,7,11,0
2019-03-18,1,6,1
2019-03-19,0,9,2
2019-03-20,0,10,1
2019-03-21,0,1,0
2019-03-22,0,4,0
2019-03-23,0,5,3
2019-03-24,0,3,0
2019-03-25,0,3,0
2019-03-26,3,6,0
2019-03-27,0,20,0
2019-03-28,0,5,0
2019-03-29,0,6,0
2019-03-30,0,0,0
2019-03-31,0,6,0
2019-04-01,4,21,0
2019-04-02,2,9,0
2019-04-03,2,18,0
2019-04-04,1,16,1
2019-04-05,0,53,0
2019-04-06,0,36,0
2019-04-07,6,34,0
2019-04-08,0,36,0
2019-04-09,1,25,2
2019-04-10,1,15,0
2019-04-11,0,24,0
2019-04-12,0,15,0
2019-04-13,16,6,1
2019-04-14,1,5,1
2019-04-15,2,27,0
2019-04-16,1,20,0
2019-04-17,3,11,0
2019-04-18,1,15,0
2019-04-19,1,19,0
2019-04-20,5,16,0
2019-04-21,5,23,0
2019-04-22,4,26,0
2019-04-23,15,51,0
2019-04-24,4,23,0
2019-04-25,1,49,0
2019-04-26,7,15,0
2019-04-27,0,15,0
2019-04-28,0,2,1
2019-04-29,5,31,0
2019-04-30,0,63,0
2019-05-01,2,33,0
2019-05-02,1,28,0
2019-05-03,1,20,0
2019-05-04,0,2,0
2019-05-05,0,11,0
2019-05-06,4,14,0
2019-05-07,5,5,0
2019-05-08,2,17,0
2019-05-09,1,7,0
2019-05-10,7,4,0
2019-05-11,0,12,1
2019-05-12,1,5,0
2019-05-13,0,16,0
2019-05-14,0,12,0
2019-05-15,2,13,0
2019-05-16,1,20,0
2019-05-17,6,17,0
2019-05-18,6,11,0
2019-05-19,5,8,0
2019-05-20,4,30,2
2019-05-21,3,33,4
2019-05-22,2,17,3
2019-05-23,5,20,0
2019-05-24,1,43,0
2019-05-25,0,13,1
2019-05-26,0,17,1
2019-05-27,3,27,0
2019-05-28,8,48,2
2019-05-29,2,29,0
2019-05-30,3,32,0
2019-05-31,2,22,0
2019-06-01,3,17,0
2019-06-02,4,8,0
2019-06-03,0,35,0
2019-06-04,1,30,0
2019-06-05,2,8,0
2019-06-06,2,7,0
2019-06-07,0,8,0
2019-06-08,4,8,0
2019-06-09,3,8,0
2019-06-10,0,11,0
2019-06-11,0,34,2
2019-06-12,0,48,0
2019-06-13,0,19,0
2019-06-14,0,24,0
2019-06-15,3,25,0
2019-06-16,16,13,0
2019-06-17,1,23,0
2019-06-18,0,24,0
2019-06-19,5,38,5
2019-06-20,3,21,3
2019-06-21,2,14,1
2019-06-22,8,2,1
2019-06-23,8,12,35
2019-06-24,3,28,4
2019-06-25,1,20,7
2019-06-26,0,23,8
2019-06-27,3,26,9
2019-06-28,1,19,8
2019-06-29,0,32,6
2019-06-30,6,21,0
2019-07-01,7,35,2
2019-07-02,5,32,0
2019-07-03,0,27,0
2019-07-04,5,26,1
2019-07-05,2,33,1
2019-07-06,0,27,0
2019-07-07,0,10,0
2019-07-08,0,31,0
2019-07-09,1,39,0
2019-07-10,0,29,0
2019-07-11,1,27,1
2019-07-12,0,14,0
2019-07-13,0,3,0
2019-07-14,0,7,1
2019-07-15,0,33,0
2019-07-16,0,19,1
2019-07-17,1,21,5
2019-07-18,0,12,1
2019-07-19,0,23,4
2019-07-20,0,23,0
2019-07-21,0,5,0
2019-07-22,0,30,0
2019-07-23,2,11,1
2019-07-24,0,13,0
2019-07-25,0,30,0
2019-07-26,0,13,0
2019-07-27,6,14,2
2019-07-28,9,9,0
2019-07-29,16,41,0
2019-07-30,6,18,0
2019-07-31,0,13,0
2019-08-01,5,15,0
2019-08-02,0,12,0
2019-08-03,4,8,0
2019-08-04,14,7,0
2019-08-05,0,23,1
2019-08-06,0,16,0
2019-08-07,0,28,0
2019-08-08,0,32,1
2019-08-09,0,31,16
2019-08-10,0,8,2
2019-08-11,1,15,13
2019-08-12,2,38,2
2019-08-13,9,26,4
2019-08-14,3,18,0
2019-08-15,3,19,0
2019-08-16,3,3,0
2019-08-17,0,23,2
2019-08-18,0,20,0
2019-08-19,1,13,0
2019-08-20,1,18,0
2019-08-21,6,40,4
2019-08-22,0,30,3
2019-08-23,5,24,0
2019-08-24,0,10,0
2019-08-25,2,23,2
2019-08-26,0,25,0
2019-08-27,4,37,0
2019-08-28,0,27,0
2019-08-29,1,32,0
2019-08-30,0,33,0
2019-08-31,0,13,0
2019-09-01,0,33,0
2019-09-02,2,33,0
2019-09-03,0,40,0
2019-09-04,0,36,0
2019-09-05,1,11,0
2019-09-06,4,12,0
2019-09-07,0,11,0
2019-09-08,3,4,0
2019-09-09,2,3,0
2019-09-10,2,2,0
2019-09-11,1,8,2
2019-09-12,0,1,0
2019-09-13,0,7,0
2019-09-14,0,7,0
2019-09-15,22,4,0
2019-09-16,0,3,0
2019-09-17,4,8,0
2019-09-18,1,5,0
2019-09-19,2,30,0
2019-09-20,4,34,0
2019-09-21,0,8,0
2019-09-22,2,17,0
2019-09-23,0,49,0
2019-09-24,1,37,0
2019-09-25,0,38,0
2019-09-26,8,31,0
2019-09-27,0,23,0
2019-09-28,0,19,0
2019-09-29,1,8,0
2019-09-30,0,14,0
2019-10-01,1,28,0
2019-10-02,0,31,0
2019-10-03,23,31,2
2019-10-04,0,26,2
2019-10-05,8,14,1
2019-10-06,3,20,3
2019-10-07,5,25,0
2019-10-08,1,31,0
2019-10-09,1,23,0
2019-10-10,0,22,0
2019-10-11,0,31,0
2019-10-12,0,13,8
2019-10-13,4,11,0
2019-10-14,0,12,0
2019-10-15,1,12,3
2019-10-16,6,9,0
2019-10-17,1,4,0
2019-10-18,1,5,0
2019-10-19,9,5,0
2019-10-20,0,5,0
2019-10-21,1,21,2
2019-10-22,1,42,0
2019-10-23,2,24,0
2019-10-24,3,32,1
2019-10-25,1,37,2
2019-10-26,12,19,0
2019-10-27,2,14,7
2019-10-28,1,14,0
2019-10-29,2,17,1
2019-10-30,0,14,3
2019-10-31,0,23,0
2019-11-01,0,27,0
2019-11-02,0,26,4
2019-11-03,1,12,0
2019-11-04,0,16,0
2019-11-05,1,9,3
2019-11-06,1,12,0
2019-11-07,2,25,8
2019-11-08,0,30,3
2019-11-09,0,23,2
2019-11-10,2,17,0
2019-11-11,0,24,4
2019-11-12,1,31,1
2019-11-13,0,12,0
2019-11-14,22,12,0
2019-11-15,4,10,2
2019-11-16,3,8,0
2019-11-17,3,8,0
2019-11-18,0,15,0
2019-11-19,0,16,1
2019-11-20,8,18,0
2019-11-21,3,21,0
2019-11-22,0,11,0
2019-11-23,0,5,0
2019-11-24,2,5,0
2019-11-25,4,24,2
2019-11-26,0,17,3
2019-11-27,0,23,9
2019-11-28,2,10,1
2019-11-29,3,13,0
2019-11-30,0,16,0
2019-12-01,5,20,0
2019-12-02,2,7,0
2019-12-03,1,26,0
2019-12-04,1,17,0
2019-12-05,2,15,1
2019-12-06,8,21,0
2019-12-07,9,6,0
2019-12-08,2,3,1
2019-12-09,4,15,0
2019-12-10,4,17,7
2019-12-11,0,27,0
2019-12-12,1,25,0
2019-12-13,0,33,0
2019-12-14,0,17,0
2019-12-15,5,11,4
2019-12-16,1,22,0
2019-12-17,4,26,0
2019-12-18,0,15,0
2019-12-19,0,12,0
2019-12-20,0,11,0
2019-12-21,4,18,0
2019-12-22,1,20,0
2019-12-23,2,7,0
2019-12-24,4,8,0
2019-12-25,6,3,0
2019-12-26,9,7,0
2019-12-27,15,1,0
2019-12-28,0,9,0
2019-12-29,1,9,0
2019-12-30,0,45,1
2019-12-31,0,9,0
2020-01-01,0,15,0
2020-01-02,5,36,0
2020-01-03,3,37,0
2020-01-04,0,12,0
2020-01-05,2,17,0
2020-01-06,6,25,0
2020-01-07,3,19,0
2020-01-08,0,46,0
2020-01-09,0,26,3
2020-01-10,2,57,1
2020-01-11,0,10,0
2020-01-12,5,10,4
2020-01-13,5,39,0
2020-01-14,2,44,2
2020-01-15,2,24,0
2020-01-16,4,57,0
2020-01-17,1,15,0
2020-01-18,1,19,10
2020-01-19,3,34,1
2020-01-20,2,28,0
2020-01-21,0,21,4
2020-01-22,0,32,0
2020-01-23,0,37,0
2020-01-24,0,25,0
2020-01-25,1,11,1
2020-01-26,3,30,0
2020-01-27,6,25,0
2020-01-28,2,24,0
2020-01-29,0,10,0
2020-01-30,2,5,0
2020-01-31,0,40,0
2020-02-01,4,17,0
2020-02-02,2,3,0
2020-02-03,0,13,4
2020-02-04,0,4,0
2020-02-05,6,27,0
2020-02-06,0,20,0
2020-02-07,1,22,0
2020-02-08,5,21,0
2020-02-09,4,23,0
2020-02-10,2,48,1
2020-02-11,5,148,3
2020-02-12,1,30,1
2020-02-13,0,34,6
2020-02-14,4,33,0
2020-02-15,0,17,6
2020-02-16,1,12,5
2020-02-17,4,16,2
2020-02-18,3,21,0
2020-02-19,2,24,8
2020-02-20,0,12,2
2020-02-21,0,17,0
2020-02-22,8,28,0
2020-02-23,5,25,0
2020-02-24,1,10,0
2020-02-25,7,22,0
2020-02-26,0,32,2
2020-02-27,1,41,0
2020-02-28,0,34,0
2020-02-29,2,17,1
2020-03-01,3,11,0
2020-03-02,4,11,6
2020-03-03,4,9,0
2020-03-04,3,33,1
2020-03-05,2,26,1
2020-03-06,0,18,2
2020-03-07,0,10,0
2020-03-08,3,18,0
2020-03-09,2,32,0
2020-03-10,2,18,0
2020-03-11,1,16,0
2020-03-12,1,8,2
2020-03-13,0,9,0
2020-03-14,5,10,0
2020-03-15,1,1,1
2020-03-16,2,10,0
