,carla-simulator/carla,commaai/openpilot,apolloauto/apollo
2022-06-13,0,14,3
2022-06-14,0,7,1
2022-06-15,0,17,3
2022-06-16,0,11,3
2022-06-17,0,11,0
2022-06-18,0,0,0
2022-06-19,0,8,0
2022-06-20,0,6,4
2022-06-21,40,14,1
2022-06-22,1,13,5
2022-06-23,0,3,1
2022-06-24,0,8,0
2022-06-25,0,1,0
2022-06-26,0,0,0
2022-06-27,0,10,8
2022-06-28,0,11,5
2022-06-29,0,5,7
2022-06-30,0,20,5
2022-07-01,3,12,3
2022-07-02,0,2,3
2022-07-03,0,0,5
2022-07-04,0,3,4
2022-07-05,0,6,10
2022-07-06,1,11,2
2022-07-07,0,19,8
2022-07-08,0,25,0
2022-07-09,0,9,1
2022-07-10,0,0,1
2022-07-11,0,6,1
2022-07-12,8,13,2
2022-07-13,0,19,4
2022-07-14,0,9,5
2022-07-15,0,4,3
2022-07-16,0,0,8
2022-07-17,0,0,10
2022-07-18,0,2,2
2022-07-19,1,20,8
2022-07-20,1,8,0
2022-07-21,13,16,2
2022-07-22,10,10,8
2022-07-23,0,5,1
2022-07-24,0,2,8
2022-07-25,10,15,4
2022-07-26,0,4,2
2022-07-27,13,5,3
2022-07-28,1,7,12
2022-07-29,3,3,4
2022-07-30,0,0,0
2022-07-31,0,4,0
2022-08-01,2,6,7
2022-08-02,0,13,17
2022-08-03,0,5,14
2022-08-04,0,6,10
2022-08-05,0,7,8
2022-08-06,0,2,0
2022-08-07,0,1,0
2022-08-08,0,7,4
2022-08-09,0,2,9
2022-08-10,0,1,7
2022-08-11,0,6,0
2022-08-12,0,13,0
2022-08-13,0,6,0
2022-08-14,0,2,1
2022-08-15,0,6,3
2022-08-16,2,11,5
2022-08-17,2,8,1
2022-08-18,0,13,0
2022-08-19,0,12,1
2022-08-20,0,7,4
2022-08-21,0,3,0
2022-08-22,0,2,1
2022-08-23,0,12,8
2022-08-24,0,7,0
2022-08-25,0,10,1
2022-08-26,2,8,0
2022-08-27,0,3,0
2022-08-28,0,1,0
2022-08-29,1,11,7
2022-08-30,1,7,2
2022-08-31,0,11,11
2022-09-01,0,7,5
2022-09-02,0,10,0
2022-09-03,0,1,0
2022-09-04,10,3,0
2022-09-05,2,10,6
2022-09-06,0,6,2
2022-09-07,0,11,3
2022-09-08,0,13,11
2022-09-09,0,3,2
2022-09-10,0,6,0
2022-09-11,0,2,0
2022-09-12,0,3,0
2022-09-13,0,14,34
2022-09-14,0,10,19
2022-09-15,0,13,36
2022-09-16,4,19,32
2022-09-17,0,13,0
2022-09-18,0,1,1
2022-09-19,0,4,5
2022-09-20,0,13,8
2022-09-21,0,2,32
2022-09-22,0,11,6
2022-09-23,2,4,0
2022-09-24,0,2,0
2022-09-25,0,0,0
2022-09-26,0,3,8
2022-09-27,0,5,12
2022-09-28,3,14,13
2022-09-29,0,12,14
2022-09-30,0,9,8
2022-10-01,0,3,0
2022-10-02,0,1,0
2022-10-03,0,8,0
2022-10-04,0,5,0
2022-10-05,0,10,0
2022-10-06,0,21,0
2022-10-07,0,8,0
2022-10-08,0,6,6
2022-10-09,0,2,0
2022-10-10,1,0,7
2022-10-11,2,7,19
2022-10-12,0,21,18
2022-10-13,6,20,14
2022-10-14,0,7,3
2022-10-15,0,5,0
2022-10-16,0,6,0
2022-10-17,8,11,5
2022-10-18,3,21,0
2022-10-19,1,22,5
2022-10-20,4,15,10
2022-10-21,0,18,2
2022-10-22,0,13,0
2022-10-23,0,8,0
2022-10-24,3,4,3
2022-10-25,6,15,1
2022-10-26,3,10,3
2022-10-27,3,12,8
2022-10-28,0,6,3
2022-10-29,0,6,0
2022-10-30,0,3,0
2022-10-31,1,9,0
2022-11-01,0,12,11
2022-11-02,18,11,3
2022-11-03,9,15,12
2022-11-04,12,16,11
2022-11-05,0,11,0
2022-11-06,0,6,0
2022-11-07,0,2,12
2022-11-08,0,14,23
2022-11-09,1,9,9
2022-11-10,0,22,9
2022-11-11,0,15,2
2022-11-12,0,7,1
2022-11-13,0,4,0
2022-11-14,0,10,0
2022-11-15,0,10,1
2022-11-16,1,26,4
2022-11-17,0,2,5
2022-11-18,0,1,18
2022-11-19,0,4,0
2022-11-20,0,2,0
2022-11-21,0,11,9
2022-11-22,2,13,0
2022-11-23,7,7,2
2022-11-24,0,0,5
2022-11-25,1,2,4
2022-11-26,0,1,0
2022-11-27,0,0,0
2022-11-28,1,4,4
2022-11-29,16,15,31
2022-11-30,3,10,2
2022-12-01,5,20,2
2022-12-02,0,11,0
2022-12-03,0,8,0
2022-12-04,0,5,0
2022-12-05,0,8,2
2022-12-06,0,6,7
2022-12-07,1,6,2
2022-12-08,0,9,1
2022-12-09,0,10,3
2022-12-10,0,11,0
2022-12-11,0,5,1
2022-12-12,0,12,15
2022-12-13,0,19,2
2022-12-14,0,8,2
2022-12-15,0,6,7
2022-12-16,0,2,4
2022-12-17,0,3,0
2022-12-18,0,0,0
2022-12-19,2,1,27
2022-12-20,10,3,12
2022-12-21,0,2,10
2022-12-22,1,0,14
2022-12-23,3,0,1
2022-12-24,0,0,1
2022-12-25,0,0,2
2022-12-26,0,0,1
2022-12-27,0,0,1
2022-12-28,0,1,3
2022-12-29,0,4,2
2022-12-30,0,3,0
2022-12-31,0,4,0
2023-01-01,0,2,1
2023-01-02,0,4,0
2023-01-03,0,1,0
2023-01-04,0,2,5
2023-01-05,0,0,3
2023-01-06,0,1,0
2023-01-07,0,8,0
2023-01-08,0,3,0
2023-01-09,0,3,2
2023-01-10,0,7,0
2023-01-11,1,7,2
2023-01-12,0,17,7
2023-01-13,1,10,2
2023-01-14,0,5,0
2023-01-15,0,7,0
2023-01-16,5,6,6
2023-01-17,0,5,8
2023-01-18,2,7,3
2023-01-19,0,9,4
2023-01-20,0,17,0
2023-01-21,0,4,0
2023-01-22,0,8,0
2023-01-23,9,2,0
2023-01-24,3,8,0
2023-01-25,0,13,0
2023-01-26,5,20,0
2023-01-27,4,15,0
2023-01-28,0,4,0
2023-01-29,0,10,0
2023-01-30,4,6,2
2023-01-31,0,19,2
2023-02-01,0,6,1
2023-02-02,2,18,3
2023-02-03,0,18,4
2023-02-04,0,5,0
2023-02-05,0,5,0
2023-02-06,1,4,0
2023-02-07,0,11,4
2023-02-08,0,16,0
2023-02-09,0,19,0
2023-02-10,0,15,1
2023-02-11,0,9,0
2023-02-12,0,2,0
2023-02-13,0,6,0
2023-02-14,0,13,4
2023-02-15,4,11,1
2023-02-16,0,10,0
2023-02-17,0,9,1
2023-02-18,0,6,0
2023-02-19,0,2,0
2023-02-20,0,15,0
2023-02-21,0,6,0
2023-02-22,0,8,0
2023-02-23,2,7,0
2023-02-24,1,5,0
2023-02-25,0,1,0
2023-02-26,0,0,0
2023-02-27,0,5,0
2023-02-28,0,1,0
2023-03-01,14,6,0
2023-03-02,1,7,0
2023-03-03,1,3,0
2023-03-04,0,3,0
2023-03-05,0,1,0
2023-03-06,0,4,0
2023-03-07,0,4,0
2023-03-08,0,7,0
2023-03-09,2,6,0
2023-03-10,0,8,0
2023-03-11,0,2,0
2023-03-12,0,1,0
2023-03-13,0,4,0
2023-03-14,6,8,0
2023-03-15,0,6,0
2023-03-16,0,15,0
2023-03-17,8,13,0
2023-03-18,0,1,0
2023-03-19,0,1,0
2023-03-20,6,7,0
2023-03-21,1,7,0
2023-03-22,0,10,0
2023-03-23,0,5,0
2023-03-24,0,11,0
2023-03-25,0,11,2
2023-03-26,0,0,0
2023-03-27,0,14,1
2023-03-28,0,9,0
2023-03-29,0,9,0
2023-03-30,0,12,0
2023-03-31,0,11,0
2023-04-01,0,9,0
2023-04-02,0,3,0
2023-04-03,0,8,0
2023-04-04,0,6,1
2023-04-05,0,6,0
2023-04-06,0,8,0
2023-04-07,0,17,1
2023-04-08,0,3,0
2023-04-09,0,1,0
2023-04-10,0,2,0
2023-04-11,1,9,0
2023-04-12,0,10,0
2023-04-13,7,12,1
2023-04-14,5,21,0
2023-04-15,0,3,0
2023-04-16,0,6,0
2023-04-17,0,7,0
2023-04-18,0,16,0
2023-04-19,0,19,2
2023-04-20,0,4,0
2023-04-21,0,11,0
2023-04-22,0,10,0
2023-04-23,0,0,0
2023-04-24,4,3,0
2023-04-25,0,0,0
2023-04-26,1,13,0
2023-04-27,4,11,0
2023-04-28,0,3,1
2023-04-29,0,2,0
2023-04-30,0,0,0
2023-05-01,0,7,0
2023-05-02,0,6,0
2023-05-03,4,10,0
2023-05-04,1,26,0
2023-05-05,9,8,0
2023-05-06,0,1,0
2023-05-07,0,4,0
2023-05-08,0,7,0
2023-05-09,2,9,0
2023-05-10,0,11,0
2023-05-11,0,4,0
2023-05-12,1,4,0
2023-05-13,0,10,0
2023-05-14,0,4,0
2023-05-15,0,14,0
2023-05-16,0,8,0
2023-05-17,0,4,0
2023-05-18,0,12,0
2023-05-19,0,4,0
2023-05-20,0,4,0
2023-05-21,0,10,0
2023-05-22,0,12,0
2023-05-23,0,10,0
2023-05-24,0,11,0
2023-05-25,0,16,0
2023-05-26,0,14,0
2023-05-27,0,6,0
2023-05-28,0,5,0
2023-05-29,0,1,0
2023-05-30,0,5,0
2023-05-31,0,7,0
2023-06-01,0,11,0
2023-06-02,0,15,0
2023-06-03,0,8,0
2023-06-04,0,4,0
2023-06-05,0,8,0
2023-06-06,4,17,0
2023-06-07,0,16,0
2023-06-08,0,6,0
2023-06-09,0,13,0
2023-06-10,0,6,0
2023-06-11,0,13,0
2023-06-12,0,8,0
2023-06-13,0,13,0
2023-06-14,0,9,0
2023-06-15,0,15,0
2023-06-16,1,19,0
2023-06-17,0,13,0
2023-06-18,0,1,0
2023-06-19,1,3,0
2023-06-20,0,8,0
2023-06-21,10,10,0
2023-06-22,0,18,0
2023-06-23,0,19,0
2023-06-24,0,11,0
2023-06-25,0,13,0
2023-06-26,0,9,0
2023-06-27,0,10,0
2023-06-28,0,9,0
2023-06-29,0,15,0
2023-06-30,0,12,0
2023-07-01,0,7,0
2023-07-02,0,3,0
2023-07-03,1,3,0
2023-07-04,2,2,0
2023-07-05,1,5,1
2023-07-06,0,7,1
2023-07-07,0,12,0
2023-07-08,0,5,0
2023-07-09,0,11,0
2023-07-10,0,8,0
2023-07-11,2,17,0
2023-07-12,0,5,0
2023-07-13,0,9,0
2023-07-14,0,22,2
2023-07-15,0,8,0
2023-07-16,0,14,0
2023-07-17,0,13,0
2023-07-18,0,24,0
2023-07-19,0,12,0
2023-07-20,0,17,0
2023-07-21,0,12,0
2023-07-22,0,6,0
2023-07-23,0,8,0
2023-07-24,0,11,0
2023-07-25,0,14,0
2023-07-26,0,12,0
2023-07-27,0,8,0
2023-07-28,0,1,0
2023-07-29,0,0,0
2023-07-30,0,4,0
2023-07-31,0,9,0
2023-08-01,0,18,0
2023-08-02,0,6,1
2023-08-03,0,10,0
2023-08-04,0,8,0
2023-08-05,0,10,0
2023-08-06,0,0,0
2023-08-07,0,7,0
2023-08-08,0,14,0
2023-08-09,0,7,0
2023-08-10,0,15,0
2023-08-11,0,23,0
2023-08-12,0,14,0
2023-08-13,0,7,0
2023-08-14,0,21,0
2023-08-15,0,9,0
2023-08-16,0,12,0
2023-08-17,0,26,0
2023-08-18,0,8,0
2023-08-19,0,7,0
2023-08-20,0,5,0
2023-08-21,0,19,0
2023-08-22,0,28,0
2023-08-23,0,28,0
2023-08-24,0,44,0
2023-08-25,0,25,1
2023-08-26,0,21,0
2023-08-27,0,8,0
2023-08-28,0,10,0
2023-08-29,0,16,0
2023-08-30,0,22,0
2023-08-31,0,16,0
2023-09-01,0,8,1
2023-09-02,0,3,0
2023-09-03,0,1,0
2023-09-04,1,3,0
2023-09-05,0,8,0
2023-09-06,1,21,0
2023-09-07,0,11,0
2023-09-08,0,21,0
2023-09-09,0,5,0
2023-09-10,0,6,0
2023-09-11,0,8,0
2023-09-12,0,12,0
2023-09-13,0,7,0
2023-09-14,0,8,0
2023-09-15,0,17,0
2023-09-16,0,6,0
2023-09-17,0,4,0
2023-09-18,0,6,0
2023-09-19,0,9,0
2023-09-20,0,12,0
2023-09-21,0,4,0
2023-09-22,0,11,0
2023-09-23,0,8,0
2023-09-24,0,3,0
2023-09-25,0,10,0
2023-09-26,0,19,0
2023-09-27,5,6,0
2023-09-28,0,9,0
2023-09-29,0,14,0
2023-09-30,0,9,0
2023-10-01,0,5,0
2023-10-02,0,9,0
2023-10-03,0,12,0
2023-10-04,0,9,0
2023-10-05,0,7,0
2023-10-06,0,8,0
2023-10-07,0,8,0
2023-10-08,0,2,0
2023-10-09,0,1,0
2023-10-10,0,2,0
2023-10-11,0,0,0
2023-10-12,0,2,0
2023-10-13,0,0,0
2023-10-14,0,3,0
2023-10-15,0,5,0
2023-10-16,0,2,0
2023-10-17,0,7,0
2023-10-18,0,6,0
2023-10-19,1,11,0
2023-10-20,0,2,0
2023-10-21,0,9,0
2023-10-22,0,1,0
2023-10-23,2,3,0
2023-10-24,1,5,0
2023-10-25,0,12,0
2023-10-26,0,1,0
2023-10-27,4,0,0
2023-10-28,6,0,0
2023-10-29,0,4,0
2023-10-30,0,5,0
2023-10-31,1,2,0
2023-11-01,0,2,0
2023-11-02,0,6,0
2023-11-03,0,8,0
2023-11-04,0,1,0
2023-11-05,0,4,0
2023-11-06,3,6,1
2023-11-07,1,12,0
2023-11-08,10,8,0
2023-11-09,4,6,0
2023-11-10,6,9,0
2023-11-11,0,3,0
2023-11-12,0,1,0
2023-11-13,5,5,0
2023-11-14,2,16,0
2023-11-15,5,7,1
2023-11-16,2,12,0
2023-11-17,3,4,1
2023-11-18,0,1,0
2023-11-19,0,11,0
2023-11-20,1,3,1
2023-11-21,1,2,1
2023-11-22,3,3,1
2023-11-23,12,1,0
2023-11-24,9,0,0
2023-11-25,1,2,0
2023-11-26,0,3,0
2023-11-27,4,4,0
2023-11-28,1,10,1
2023-11-29,0,5,0
2023-11-30,2,6,0
2023-12-01,2,4,0
2023-12-02,0,10,0
2023-12-03,0,4,0
2023-12-04,0,2,0
2023-12-05,0,12,3
2023-12-06,0,10,0
2023-12-07,0,10,5
2023-12-08,0,14,0
2023-12-09,0,17,0
2023-12-10,0,8,0
2023-12-11,0,5,0
2023-12-12,1,20,0
2023-12-13,0,18,0
2023-12-14,0,22,0
2023-12-15,0,16,0
2023-12-16,0,5,0
2023-12-17,0,15,0
2023-12-18,0,7,4
2023-12-19,0,7,0
2023-12-20,13,11,0
2023-12-21,4,1,0
2023-12-22,0,0,0
2023-12-23,0,0,1
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,2,1
2023-12-27,4,4,0
2023-12-28,2,1,0
2023-12-29,2,0,0
2023-12-30,0,2,0
2023-12-31,0,3,0
2024-01-01,0,5,0
2024-01-02,6,6,0
2024-01-03,7,8,0
2024-01-04,1,9,0
2024-01-05,1,7,0
2024-01-06,0,4,0
2024-01-07,0,5,0
2024-01-08,0,4,2
2024-01-09,0,11,1
2024-01-10,3,8,0
2024-01-11,0,16,0
2024-01-12,0,11,0
2024-01-13,0,8,0
2024-01-14,0,2,0
2024-01-15,0,5,0
2024-01-16,3,8,0
2024-01-17,6,16,0
2024-01-18,0,9,0
2024-01-19,0,26,0
2024-01-20,0,1,0
2024-01-21,0,5,0
2024-01-22,2,12,0
2024-01-23,18,16,0
2024-01-24,3,16,0
2024-01-25,4,15,0
2024-01-26,0,17,1
2024-01-27,0,5,0
2024-01-28,0,4,0
2024-01-29,3,12,0
2024-01-30,4,17,0
2024-01-31,2,11,0
2024-02-01,0,14,0
2024-02-02,0,8,0
2024-02-03,0,7,0
2024-02-04,0,3,0
2024-02-05,2,4,0
2024-02-06,1,23,0
2024-02-07,2,21,0
2024-02-08,0,26,0
2024-02-09,1,7,0
2024-02-10,0,9,0
2024-02-11,0,2,0
2024-02-12,3,6,0
2024-02-13,3,13,0
2024-02-14,0,20,0
2024-02-15,1,17,0
2024-02-16,1,6,0
2024-02-17,0,5,0
2024-02-18,0,2,0
2024-02-19,0,7,0
2024-02-20,2,11,0
2024-02-21,2,13,0
2024-02-22,6,8,0
2024-02-23,1,8,0
2024-02-24,0,5,0
2024-02-25,0,9,0
2024-02-26,6,7,0
2024-02-27,0,18,0
2024-02-28,2,7,1
2024-02-29,0,28,0
2024-03-01,1,15,1
2024-03-02,0,13,0
2024-03-03,0,1,0
2024-03-04,4,9,0
2024-03-05,0,6,0
2024-03-06,3,28,0
2024-03-07,2,22,0
2024-03-08,7,20,0
2024-03-09,0,7,0
2024-03-10,1,10,0
2024-03-11,6,8,0
2024-03-12,11,23,0
2024-03-13,4,10,0
2024-03-14,6,5,0
2024-03-15,1,14,0
2024-03-16,0,3,0
2024-03-17,1,7,0
2024-03-18,11,8,0
2024-03-19,2,10,0
2024-03-20,3,13,0
2024-03-21,17,18,0
2024-03-22,0,15,0
2024-03-23,0,1,0
2024-03-24,0,1,0
2024-03-25,3,9,0
2024-03-26,1,5,0
2024-03-27,3,10,0
2024-03-28,0,3,0
2024-03-29,0,10,0
2024-03-30,0,4,0
2024-03-31,0,2,0
2024-04-01,0,7,0
2024-04-02,10,7,0
2024-04-03,3,1,0
2024-04-04,2,3,0
2024-04-05,0,8,0
2024-04-06,0,0,0
2024-04-07,0,0,0
2024-04-08,3,13,4
2024-04-09,4,10,0
2024-04-10,3,6,0
2024-04-11,22,9,0
2024-04-12,1,5,0
2024-04-13,0,6,0
2024-04-14,0,4,0
2024-04-15,2,13,0
2024-04-16,3,9,1
2024-04-17,4,19,0
2024-04-18,1,6,0
2024-04-19,2,9,0
2024-04-20,0,3,0
2024-04-21,0,4,0
2024-04-22,13,9,0
2024-04-23,1,4,0
2024-04-24,3,4,0
2024-04-25,0,10,1
2024-04-26,2,2,0
2024-04-27,0,2,0
2024-04-28,0,3,0
2024-04-29,1,4,0
2024-04-30,6,2,0
2024-05-01,0,2,0
2024-05-02,6,3,0
2024-05-03,2,6,0
2024-05-04,0,2,0
2024-05-05,0,1,0
2024-05-06,1,5,0
2024-05-07,8,7,0
2024-05-08,2,13,0
2024-05-09,0,4,0
2024-05-10,0,0,0
2024-05-11,0,6,0
2024-05-12,0,0,0
2024-05-13,3,18,0
2024-05-14,1,7,0
2024-05-15,3,3,0
2024-05-16,2,4,0
2024-05-17,1,9,0
2024-05-18,0,19,0
2024-05-19,0,5,0
2024-05-20,0,6,0
2024-05-21,3,20,0
2024-05-22,2,12,0
2024-05-23,3,7,1
2024-05-24,2,4,0
2024-05-25,0,11,0
2024-05-26,0,4,0
2024-05-27,1,3,0
2024-05-28,1,4,0
2024-05-29,3,1,0
2024-05-30,1,4,0
2024-05-31,1,5,0
2024-06-01,0,6,0
2024-06-02,0,1,0
2024-06-03,0,5,0
2024-06-04,6,9,0
2024-06-05,0,14,0
2024-06-06,2,15,0
2024-06-07,1,4,0
2024-06-08,0,11,0
2024-06-09,0,8,0
