,google/closure-compiler,rescript-lang/rescript-compiler,microsoft/typescript
2019-06-29,0,6,7
2019-06-30,0,0,8
2019-07-01,8,7,27
2019-07-02,4,3,7
2019-07-03,4,4,14
2019-07-04,0,14,2
2019-07-05,0,10,9
2019-07-06,0,0,0
2019-07-07,0,13,1
2019-07-08,8,6,15
2019-07-09,5,11,5
2019-07-10,0,7,11
2019-07-11,11,9,16
2019-07-12,0,6,17
2019-07-13,14,9,2
2019-07-14,0,0,0
2019-07-15,0,16,11
2019-07-16,0,5,14
2019-07-17,15,5,19
2019-07-18,7,9,11
2019-07-19,5,14,8
2019-07-20,0,0,6
2019-07-21,0,5,1
2019-07-22,3,13,5
2019-07-23,6,2,7
2019-07-24,8,3,5
2019-07-25,3,7,14
2019-07-26,11,8,9
2019-07-27,0,0,1
2019-07-28,0,0,3
2019-07-29,6,27,14
2019-07-30,4,12,9
2019-07-31,0,6,7
2019-08-01,9,8,10
2019-08-02,2,6,16
2019-08-03,6,0,5
2019-08-04,0,4,6
2019-08-05,0,16,9
2019-08-06,3,8,22
2019-08-07,0,7,10
2019-08-08,0,18,11
2019-08-09,0,6,37
2019-08-10,3,0,8
2019-08-11,0,2,0
2019-08-12,1,8,7
2019-08-13,2,0,7
2019-08-14,3,9,16
2019-08-15,2,14,22
2019-08-16,5,6,23
2019-08-17,0,0,4
2019-08-18,0,0,2
2019-08-19,5,6,14
2019-08-20,2,1,10
2019-08-21,4,2,7
2019-08-22,2,3,6
2019-08-23,7,4,9
2019-08-24,0,4,1
2019-08-25,0,0,0
2019-08-26,0,7,11
2019-08-27,13,2,13
2019-08-28,4,13,8
2019-08-29,4,10,7
2019-08-30,0,2,10
2019-08-31,7,0,5
2019-09-01,0,0,0
2019-09-02,0,14,4
2019-09-03,4,12,8
2019-09-04,0,2,18
2019-09-05,10,0,14
2019-09-06,0,4,7
2019-09-07,0,0,3
