,histoire-dev/histoire,tajo/ladle,storybookjs/storybook
2022-08-26,0,2,43
2022-08-27,0,0,2
2022-08-28,0,1,0
2022-08-29,0,3,35
2022-08-30,1,8,24
2022-08-31,0,3,28
2022-09-01,0,0,43
2022-09-02,0,0,51
2022-09-03,0,0,2
2022-09-04,0,0,11
2022-09-05,0,0,31
2022-09-06,0,0,23
2022-09-07,0,0,40
2022-09-08,0,3,52
2022-09-09,0,0,8
2022-09-10,0,0,5
2022-09-11,0,0,14
2022-09-12,0,0,32
2022-09-13,0,0,47
2022-09-14,0,0,38
2022-09-15,0,0,29
2022-09-16,1,0,15
2022-09-17,4,3,7
2022-09-18,0,0,11
2022-09-19,1,0,3
2022-09-20,0,0,9
2022-09-21,0,0,8
2022-09-22,0,0,9
2022-09-23,0,0,1
2022-09-24,0,0,2
2022-09-25,2,0,0
2022-09-26,1,0,43
2022-09-27,0,0,49
2022-09-28,0,3,17
2022-09-29,0,0,9
2022-09-30,0,0,36
2022-10-01,0,0,20
2022-10-02,15,0,19
2022-10-03,30,0,59
2022-10-04,3,0,60
2022-10-05,0,0,90
2022-10-06,11,1,40
2022-10-07,0,0,29
2022-10-08,7,1,10
2022-10-09,7,1,21
2022-10-10,1,0,120
2022-10-11,0,1,60
2022-10-12,3,0,73
2022-10-13,0,0,71
2022-10-14,2,0,40
2022-10-15,0,0,20
2022-10-16,0,0,7
2022-10-17,6,2,98
2022-10-18,0,1,93
2022-10-19,0,0,53
2022-10-20,1,0,43
2022-10-21,0,1,36
2022-10-22,0,0,41
2022-10-23,0,0,16
2022-10-24,2,0,56
2022-10-25,0,0,75
2022-10-26,5,0,70
2022-10-27,0,0,73
2022-10-28,0,0,63
2022-10-29,0,0,14
2022-10-30,0,0,4
2022-10-31,0,0,19
2022-11-01,0,0,37
2022-11-02,0,0,62
2022-11-03,0,0,71
2022-11-04,0,0,64
2022-11-05,0,0,7
2022-11-06,0,0,3
2022-11-07,0,0,23
2022-11-08,0,0,37
2022-11-09,0,0,33
2022-11-10,0,0,29
2022-11-11,6,0,48
2022-11-12,7,0,0
2022-11-13,0,0,17
2022-11-14,1,0,62
2022-11-15,0,0,45
2022-11-16,0,0,63
2022-11-17,0,0,65
2022-11-18,0,0,32
2022-11-19,0,0,14
2022-11-20,0,0,4
2022-11-21,0,0,44
2022-11-22,0,0,21
2022-11-23,0,0,33
2022-11-24,0,0,48
2022-11-25,0,0,52
2022-11-26,0,0,2
2022-11-27,0,0,7
2022-11-28,0,1,52
2022-11-29,0,0,48
2022-11-30,0,0,54
2022-12-01,0,0,33
2022-12-02,5,0,48
2022-12-03,11,0,22
2022-12-04,0,0,14
2022-12-05,0,1,50
2022-12-06,0,0,76
2022-12-07,0,0,77
2022-12-08,0,0,83
2022-12-09,1,0,50
2022-12-10,0,0,10
2022-12-11,0,0,3
2022-12-12,0,0,34
2022-12-13,0,0,76
2022-12-14,0,0,98
2022-12-15,2,2,50
2022-12-16,0,5,57
2022-12-17,0,0,2
2022-12-18,0,0,6
2022-12-19,12,0,41
2022-12-20,8,0,55
2022-12-21,0,0,21
2022-12-22,0,0,30
2022-12-23,4,0,45
2022-12-24,0,0,10
2022-12-25,0,0,13
2022-12-26,0,0,5
2022-12-27,0,0,5
2022-12-28,1,0,17
2022-12-29,0,0,36
2022-12-30,0,0,45
2022-12-31,0,0,10
2023-01-01,0,0,14
2023-01-02,0,0,11
2023-01-03,0,0,22
2023-01-04,0,0,16
2023-01-05,0,0,24
2023-01-06,0,0,33
2023-01-07,0,0,20
2023-01-08,0,0,7
2023-01-09,0,1,38
2023-01-10,0,0,68
2023-01-11,0,0,25
2023-01-12,0,0,53
2023-01-13,0,1,89
2023-01-14,0,0,28
2023-01-15,0,0,17
2023-01-16,0,0,45
2023-01-17,0,0,54
2023-01-18,0,0,42
2023-01-19,0,0,76
2023-01-20,0,0,61
2023-01-21,0,0,9
2023-01-22,0,0,23
2023-01-23,0,0,38
2023-01-24,0,1,51
2023-01-25,0,1,57
2023-01-26,0,6,38
2023-01-27,0,0,29
2023-01-28,0,0,8
2023-01-29,0,0,5
2023-01-30,0,0,45
2023-01-31,0,2,42
2023-02-01,0,0,58
2023-02-02,0,1,30
2023-02-03,0,1,34
2023-02-04,0,0,21
2023-02-05,16,6,9
2023-02-06,1,0,42
2023-02-07,0,2,39
2023-02-08,14,0,15
2023-02-09,3,13,20
2023-02-10,12,7,19
2023-02-11,2,0,6
2023-02-12,0,0,3
2023-02-13,0,2,40
2023-02-14,0,2,31
2023-02-15,11,9,55
2023-02-16,5,8,67
2023-02-17,7,4,36
2023-02-18,3,3,7
2023-02-19,0,0,5
2023-02-20,0,0,57
2023-02-21,0,0,68
2023-02-22,0,0,58
2023-02-23,0,0,55
2023-02-24,0,1,42
2023-02-25,0,0,7
2023-02-26,0,0,0
2023-02-27,0,0,44
2023-02-28,0,0,39
2023-03-01,0,0,50
2023-03-02,0,0,43
2023-03-03,0,0,43
2023-03-04,0,0,7
2023-03-05,0,2,9
2023-03-06,0,3,35
2023-03-07,0,11,31
2023-03-08,0,0,51
2023-03-09,0,0,54
2023-03-10,0,0,27
2023-03-11,0,0,0
2023-03-12,0,0,0
2023-03-13,0,0,52
2023-03-14,0,0,49
2023-03-15,0,0,31
2023-03-16,9,0,34
2023-03-17,2,0,25
2023-03-18,0,0,4
2023-03-19,0,0,2
2023-03-20,0,0,53
