,rails/rails,pallets/flask,django/django
2022-09-17,8,0,4.0
2022-09-18,1,1,0.0
2022-09-19,12,0,2.0
2022-09-20,19,0,0.0
2022-09-21,5,0,1.0
2022-09-22,19,0,1.0
2022-09-23,8,0,1.0
2022-09-24,0,0,4.0
2022-09-25,3,0,4.0
2022-09-26,8,0,5.0
2022-09-27,10,0,8.0
2022-09-28,4,0,8.0
2022-09-29,8,0,4.0
2022-09-30,5,0,2.0
2022-10-01,0,0,2.0
2022-10-02,6,0,0.0
2022-10-03,6,0,3.0
2022-10-04,7,0,7.0
2022-10-05,19,2,2.0
2022-10-06,4,0,5.0
2022-10-07,2,0,5.0
2022-10-08,1,0,1.0
2022-10-09,21,0,0.0
2022-10-10,3,0,5.0
2022-10-11,10,0,1.0
2022-10-12,4,0,3.0
2022-10-13,12,0,5.0
2022-10-14,8,0,1.0
2022-10-15,0,0,0.0
2022-10-16,8,0,0.0
2022-10-17,8,0,0.0
2022-10-18,9,0,1.0
2022-10-19,6,1,1.0
2022-10-20,18,0,2.0
2022-10-21,8,0,3.0
2022-10-22,11,0,0.0
2022-10-23,7,0,0.0
2022-10-24,10,0,6.0
2022-10-25,17,0,2.0
2022-10-26,8,0,8.0
2022-10-27,15,0,2.0
2022-10-28,4,0,1.0
2022-10-29,7,0,3.0
2022-10-30,4,3,0.0
2022-10-31,6,0,4.0
2022-11-01,14,1,3.0
2022-11-02,8,0,4.0
2022-11-03,9,0,3.0
2022-11-04,18,0,6.0
2022-11-05,4,0,0.0
2022-11-06,2,0,0.0
2022-11-07,0,0,9.0
2022-11-08,9,0,5.0
2022-11-09,6,0,3.0
2022-11-10,17,0,4.0
2022-11-11,8,0,4.0
2022-11-12,10,0,0.0
2022-11-13,3,0,0.0
2022-11-14,12,0,7.0
2022-11-15,19,0,4.0
2022-11-16,13,0,2.0
2022-11-17,4,0,1.0
2022-11-18,1,0,5.0
2022-11-19,2,0,0.0
2022-11-20,5,0,0.0
2022-11-21,13,0,1.0
2022-11-22,21,0,4.0
2022-11-23,16,0,5.0
2022-11-24,11,0,5.0
2022-11-25,15,3,2.0
2022-11-26,7,0,0.0
2022-11-27,3,4,0.0
2022-11-28,15,0,3.0
2022-11-29,10,0,3.0
2022-11-30,9,0,2.0
2022-12-01,7,0,4.0
2022-12-02,7,0,3.0
2022-12-03,2,0,0.0
2022-12-04,2,0,0.0
2022-12-05,9,0,5.0
2022-12-06,10,0,9.0
2022-12-07,4,0,3.0
2022-12-08,12,0,3.0
2022-12-09,14,0,2.0
2022-12-10,2,1,1.0
2022-12-11,4,0,0.0
2022-12-12,12,0,4.0
2022-12-13,16,1,3.0
2022-12-14,14,1,2.0
2022-12-15,21,0,1.0
2022-12-16,14,0,3.0
2022-12-17,15,0,1.0
2022-12-18,9,0,0.0
2022-12-19,19,0,2.0
2022-12-20,8,0,3.0
2022-12-21,7,0,1.0
2022-12-22,18,2,2.0
2022-12-23,8,0,0.0
2022-12-24,3,17,3.0
2022-12-25,2,0,0.0
2022-12-26,6,0,0.0
2022-12-27,7,0,2.0
2022-12-28,5,0,2.0
2022-12-29,6,3,4.0
2022-12-30,8,0,2.0
2022-12-31,7,0,0.0
2023-01-01,11,0,0.0
2023-01-02,4,0,3.0
2023-01-03,14,1,3.0
2023-01-04,19,3,6.0
2023-01-05,16,0,11.0
2023-01-06,26,0,1.0
2023-01-07,28,0,1.0
2023-01-08,28,0,0.0
2023-01-09,28,6,2.0
2023-01-10,14,0,3.0
2023-01-11,31,0,3.0
2023-01-12,32,0,4.0
2023-01-13,22,0,2.0
2023-01-14,9,0,0.0
2023-01-15,7,0,0.0
2023-01-16,26,0,3.0
2023-01-17,25,0,45.0
2023-01-18,16,4,7.0
2023-01-19,8,1,4.0
2023-01-20,39,4,4.0
2023-01-21,14,0,0.0
2023-01-22,5,0,0.0
2023-01-23,12,1,2.0
2023-01-24,13,0,1.0
2023-01-25,22,0,4.0
2023-01-26,1,0,3.0
2023-01-27,3,0,2.0
2023-01-28,22,0,0.0
2023-01-29,19,0,0.0
2023-01-30,5,0,2.0
2023-01-31,16,0,2.0
2023-02-01,16,2,5.0
2023-02-02,36,3,2.0
2023-02-03,10,0,1.0
2023-02-04,16,0,1.0
2023-02-05,5,0,0.0
2023-02-06,38,0,1.0
2023-02-07,26,2,10.0
2023-02-08,41,0,6.0
2023-02-09,20,3,2.0
2023-02-10,16,10,5.0
2023-02-11,3,0,1.0
2023-02-12,10,0,0.0
2023-02-13,19,0,4.0
2023-02-14,16,0,6.0
2023-02-15,28,4,7.0
2023-02-16,14,2,2.0
2023-02-17,6,0,6.0
2023-02-18,11,0,2.0
2023-02-19,3,0,0.0
2023-02-20,3,0,2.0
2023-02-21,9,0,3.0
2023-02-22,26,0,3.0
2023-02-23,20,13,3.0
2023-02-24,14,0,4.0
2023-02-25,4,0,0.0
2023-02-26,8,0,0.0
2023-02-27,23,0,2.0
2023-02-28,33,0,2.0
2023-03-01,10,2,6.0
2023-03-02,7,0,3.0
2023-03-03,48,0,6.0
2023-03-04,6,0,1.0
2023-03-05,3,0,3.0
2023-03-06,17,0,3.0
2023-03-07,8,0,3.0
2023-03-08,9,2,3.0
2023-03-09,11,0,4.0
2023-03-10,10,0,1.0
2023-03-11,7,9,0.0
2023-03-12,4,0,2.0
2023-03-13,24,0,1.0
2023-03-14,25,0,3.0
2023-03-15,19,0,1.0
2023-03-16,7,0,4.0
2023-03-17,5,0,0.0
2023-03-18,2,0,2.0
2023-03-19,0,0,0.0
2023-03-20,8,0,3.0
2023-03-21,6,0,3.0
2023-03-22,15,0,7.0
2023-03-23,5,0,2.0
2023-03-24,15,0,6.0
2023-03-25,11,0,1.0
2023-03-26,9,0,0.0
2023-03-27,20,0,4.0
2023-03-28,28,0,4.0
2023-03-29,18,0,4.0
2023-03-30,31,0,4.0
2023-03-31,8,1,0.0
2023-04-01,7,0,0.0
2023-04-02,6,0,1.0
2023-04-03,7,3,6.0
2023-04-04,8,1,5.0
2023-04-05,11,1,3.0
2023-04-06,13,0,5.0
2023-04-07,3,0,4.0
2023-04-08,13,0,0.0
2023-04-09,12,0,0.0
2023-04-10,7,0,1.0
2023-04-11,14,3,1.0
2023-04-12,12,9,4.0
2023-04-13,7,7,2.0
2023-04-14,6,2,2.0
2023-04-15,12,7,1.0
2023-04-16,7,0,0.0
2023-04-17,8,0,3.0
2023-04-18,14,0,2.0
2023-04-19,18,0,3.0
2023-04-20,17,8,3.0
2023-04-21,16,0,6.0
2023-04-22,14,0,2.0
2023-04-23,13,0,0.0
2023-04-24,9,2,4.0
2023-04-25,22,16,4.0
2023-04-26,16,0,3.0
2023-04-27,18,0,4.0
2023-04-28,7,0,2.0
2023-04-29,0,0,0.0
2023-04-30,1,0,0.0
2023-05-01,0,14,2.0
2023-05-02,13,14,4.0
2023-05-03,12,0,6.0
2023-05-04,11,0,4.0
2023-05-05,20,0,1.0
2023-05-06,6,0,0.0
2023-05-07,18,0,1.0
2023-05-08,26,0,2.0
2023-05-09,20,2,2.0
2023-05-10,6,0,4.0
2023-05-11,12,0,2.0
2023-05-12,17,0,3.0
2023-05-13,10,0,0.0
2023-05-14,3,2,0.0
2023-05-15,8,0,0.0
2023-05-16,15,0,1.0
2023-05-17,4,0,4.0
2023-05-18,37,1,3.0
2023-05-19,12,0,1.0
2023-05-20,2,0,2.0
2023-05-21,9,0,0.0
2023-05-22,17,0,6.0
2023-05-23,7,0,4.0
2023-05-24,18,1,4.0
2023-05-25,11,0,1.0
2023-05-26,8,0,3.0
2023-05-27,1,0,0.0
2023-05-28,8,0,0.0
2023-05-29,21,0,0.0
2023-05-30,27,0,0.0
2023-05-31,9,4,2.0
2023-06-01,16,3,6.0
2023-06-02,25,0,2.0
2023-06-03,0,0,1.0
2023-06-04,5,0,1.0
2023-06-05,15,0,6.0
