,seleniumhq/selenium,gocolly/colly,puppeteer/puppeteer
2022-09-16,4,0,2
2022-09-17,0,0,0
2022-09-18,1,0,0
2022-09-19,1,0,7
2022-09-20,2,0,1
2022-09-21,2,0,2
2022-09-22,1,0,4
2022-09-23,1,0,3
2022-09-24,2,0,0
2022-09-25,2,0,0
2022-09-26,12,0,0
2022-09-27,3,0,1
2022-09-28,15,0,2
2022-09-29,3,0,1
2022-09-30,1,0,0
2022-10-01,10,0,0
2022-10-02,10,0,0
2022-10-03,6,0,0
2022-10-04,7,0,2
2022-10-05,11,0,10
2022-10-06,3,0,11
2022-10-07,1,0,0
2022-10-08,2,0,0
2022-10-09,5,0,0
2022-10-10,0,0,5
2022-10-11,10,0,3
2022-10-12,9,0,0
2022-10-13,6,0,2
2022-10-14,7,0,1
2022-10-15,0,0,0
2022-10-16,0,0,0
2022-10-17,4,0,2
2022-10-18,5,0,0
2022-10-19,4,0,4
2022-10-20,2,0,1
2022-10-21,4,0,1
2022-10-22,0,0,0
2022-10-23,0,0,0
2022-10-24,5,0,2
2022-10-25,2,0,3
2022-10-26,7,0,0
2022-10-27,3,0,2
2022-10-28,19,0,5
2022-10-29,3,0,0
2022-10-30,0,0,0
2022-10-31,8,0,0
2022-11-01,5,0,0
2022-11-02,7,0,3
2022-11-03,5,0,5
2022-11-04,6,0,0
2022-11-05,2,0,0
2022-11-06,1,0,0
2022-11-07,8,0,0
2022-11-08,5,0,1
2022-11-09,5,0,1
2022-11-10,0,0,3
2022-11-11,7,0,4
2022-11-12,2,0,0
2022-11-13,0,0,0
2022-11-14,0,0,5
2022-11-15,2,0,1
2022-11-16,9,0,0
2022-11-17,3,0,4
2022-11-18,0,0,0
2022-11-19,0,0,0
2022-11-20,0,0,0
2022-11-21,6,0,0
2022-11-22,10,0,1
2022-11-23,3,0,9
2022-11-24,7,0,5
2022-11-25,3,0,1
2022-11-26,20,0,0
2022-11-27,5,0,0
