,davisking/dlib,scikit-image/scikit-image,opencv/opencv
2020-10-17,0,0,2
2020-10-18,0,0,3
2020-10-19,0,0,8
2020-10-20,1,2,3
2020-10-21,1,1,6
2020-10-22,0,1,6
2020-10-23,0,0,3
2020-10-24,0,0,1
2020-10-25,0,0,1
2020-10-26,0,0,5
2020-10-27,0,1,2
2020-10-28,0,5,7
2020-10-29,0,2,3
2020-10-30,0,5,1
2020-10-31,0,2,0
2020-11-01,0,0,0
2020-11-02,0,0,2
2020-11-03,0,0,5
2020-11-04,0,0,0
2020-11-05,0,2,7
2020-11-06,0,0,8
2020-11-07,0,2,2
2020-11-08,2,0,3
2020-11-09,0,0,0
2020-11-10,0,1,6
2020-11-11,0,3,4
2020-11-12,0,2,4
2020-11-13,1,0,13
2020-11-14,0,0,11
2020-11-15,1,0,2
2020-11-16,0,1,13
2020-11-17,1,0,29
2020-11-18,1,0,8
2020-11-19,0,1,10
2020-11-20,0,0,10
2020-11-21,2,0,2
2020-11-22,0,0,3
2020-11-23,0,0,4
2020-11-24,0,1,5
2020-11-25,2,3,5
2020-11-26,0,9,10
2020-11-27,0,2,7
2020-11-28,0,0,1
2020-11-29,2,0,1
2020-11-30,0,0,9
2020-12-01,0,0,13
2020-12-02,0,1,15
2020-12-03,0,0,13
2020-12-04,2,0,3
2020-12-05,0,7,8
2020-12-06,0,2,3
2020-12-07,1,3,9
2020-12-08,0,7,14
2020-12-09,1,6,10
2020-12-10,0,5,10
2020-12-11,0,3,21
2020-12-12,0,5,1
2020-12-13,1,1,1
2020-12-14,1,0,6
2020-12-15,0,0,10
2020-12-16,0,9,7
2020-12-17,1,0,10
2020-12-18,0,1,20
2020-12-19,1,0,3
2020-12-20,0,0,14
2020-12-21,0,0,8
2020-12-22,0,0,0
2020-12-23,0,2,9
2020-12-24,0,0,13
2020-12-25,0,1,3
2020-12-26,0,1,1
2020-12-27,0,0,2
2020-12-28,1,0,1
2020-12-29,0,0,2
2020-12-30,1,1,2
2020-12-31,0,0,3
2021-01-01,0,1,2
2021-01-02,0,0,1
2021-01-03,1,0,1
2021-01-04,0,3,0
2021-01-05,0,1,1
2021-01-06,2,2,0
2021-01-07,0,1,0
2021-01-08,0,0,0
2021-01-09,0,0,1
2021-01-10,0,0,1
2021-01-11,0,1,11
2021-01-12,0,0,5
2021-01-13,1,0,6
2021-01-14,0,0,5
2021-01-15,1,2,4
2021-01-16,4,1,3
2021-01-17,3,1,5
2021-01-18,2,0,8
2021-01-19,0,1,6
2021-01-20,0,0,1
2021-01-21,0,3,1
2021-01-22,0,3,7
2021-01-23,0,0,2
2021-01-24,0,0,8
2021-01-25,0,0,9
2021-01-26,0,1,4
2021-01-27,0,1,5
2021-01-28,1,0,5
2021-01-29,0,2,7
2021-01-30,0,1,3
2021-01-31,0,0,4
2021-02-01,0,2,3
2021-02-02,0,1,6
2021-02-03,0,0,7
2021-02-04,0,0,4
2021-02-05,0,1,8
2021-02-06,0,0,4
2021-02-07,0,0,2
2021-02-08,0,0,1
2021-02-09,1,0,8
2021-02-10,0,3,6
2021-02-11,1,0,3
2021-02-12,1,2,4
2021-02-13,1,0,6
2021-02-14,0,0,4
2021-02-15,0,0,9
2021-02-16,1,2,6
2021-02-17,1,1,8
2021-02-18,0,0,6
2021-02-19,0,0,7
2021-02-20,1,0,10
2021-02-21,0,2,7
2021-02-22,0,1,4
2021-02-23,0,36,4
2021-02-24,0,0,8
2021-02-25,0,1,10
2021-02-26,0,1,5
2021-02-27,0,0,5
2021-02-28,0,0,3
2021-03-01,0,1,6
2021-03-02,0,3,16
2021-03-03,0,10,11
2021-03-04,0,6,5
2021-03-05,0,4,6
2021-03-06,0,0,5
2021-03-07,0,0,4
2021-03-08,1,0,0
2021-03-09,0,2,7
2021-03-10,0,0,7
2021-03-11,0,2,4
2021-03-12,0,0,7
2021-03-13,0,1,7
2021-03-14,0,0,0
2021-03-15,0,0,0
2021-03-16,0,1,0
2021-03-17,0,0,3
2021-03-18,0,0,4
2021-03-19,0,0,6
2021-03-20,0,4,2
2021-03-21,0,0,1
2021-03-22,1,3,2
2021-03-23,0,6,3
2021-03-24,0,2,11
2021-03-25,0,1,6
2021-03-26,0,1,9
2021-03-27,0,0,2
2021-03-28,3,0,0
2021-03-29,0,0,8
2021-03-30,0,2,9
2021-03-31,0,9,23
2021-04-01,0,11,26
2021-04-02,0,0,8
2021-04-03,0,0,0
2021-04-04,2,1,3
2021-04-05,0,2,2
2021-04-06,0,4,4
2021-04-07,0,4,2
2021-04-08,0,2,7
2021-04-09,0,3,4
2021-04-10,0,1,0
2021-04-11,0,0,1
2021-04-12,1,2,2
2021-04-13,1,1,4
2021-04-14,3,8,2
2021-04-15,0,1,4
2021-04-16,0,3,0
