,flutter/flutter,ionic-team/ionic-framework,NativeScript/NativeScript
2024-01-07,3,0,0
2024-01-08,10,4,0
2024-01-09,28,4,0
2024-01-10,28,5,0
2024-01-11,14,0,0
2024-01-12,25,0,0
2024-01-13,3,0,0
2024-01-14,3,0,0
2024-01-15,1,2,0
2024-01-16,15,3,0
2024-01-17,19,8,0
2024-01-18,33,2,0
2024-01-19,20,2,9
2024-01-20,8,0,0
2024-01-21,4,0,1
2024-01-22,23,1,0
2024-01-23,25,2,0
2024-01-24,33,5,0
2024-01-25,26,7,0
2024-01-26,28,5,0
2024-01-27,8,0,0
2024-01-28,0,0,0
2024-01-29,25,1,0
2024-01-30,23,3,0
2024-01-31,39,12,0
2024-02-01,30,3,0
2024-02-02,14,4,0
2024-02-03,4,0,0
2024-02-04,2,0,0
2024-02-05,7,3,0
2024-02-06,11,6,0
2024-02-07,35,8,0
2024-02-08,24,3,0
2024-02-09,23,2,0
2024-02-10,10,0,1
2024-02-11,3,0,0
2024-02-12,14,1,1
2024-02-13,21,9,0
2024-02-14,20,10,0
2024-02-15,13,3,1
2024-02-16,24,0,0
2024-02-17,12,0,0
2024-02-18,5,0,0
2024-02-19,8,0,0
2024-02-20,24,0,0
2024-02-21,22,3,0
2024-02-22,21,7,0
2024-02-23,22,0,1
2024-02-24,11,0,0
2024-02-25,0,0,0
2024-02-26,18,1,0
2024-02-27,16,0,0
2024-02-28,18,6,0
2024-02-29,30,2,0
2024-03-01,19,2,0
2024-03-02,2,0,0
2024-03-03,1,0,0
2024-03-04,17,1,0
2024-03-05,19,0,0
2024-03-06,20,14,0
2024-03-07,24,2,0
2024-03-08,12,1,0
2024-03-09,16,1,0
2024-03-10,3,0,0
2024-03-11,11,1,0
2024-03-12,18,9,0
2024-03-13,22,15,0
2024-03-14,21,2,0
2024-03-15,14,4,0
2024-03-16,15,1,0
2024-03-17,3,0,0
2024-03-18,20,3,0
2024-03-19,21,7,0
2024-03-20,18,17,0
2024-03-21,24,3,0
2024-03-22,17,1,0
2024-03-23,10,0,0
2024-03-24,5,0,0
2024-03-25,22,1,0
2024-03-26,16,0,0
2024-03-27,16,13,0
2024-03-28,17,0,0
2024-03-29,20,0,0
2024-03-30,8,0,0
2024-03-31,4,0,0
2024-04-01,17,3,0
2024-04-02,19,4,4
2024-04-03,36,11,1
2024-04-04,26,1,0
2024-04-05,21,1,0
2024-04-06,6,0,1
2024-04-07,1,0,2
2024-04-08,19,2,6
2024-04-09,12,4,0
2024-04-10,12,13,0
2024-04-11,20,0,0
2024-04-12,15,1,0
2024-04-13,1,0,0
2024-04-14,1,0,0
2024-04-15,10,2,7
2024-04-16,20,0,3
2024-04-17,31,14,0
2024-04-18,26,1,0
2024-04-19,27,1,1
2024-04-20,8,0,0
2024-04-21,4,0,0
2024-04-22,9,0,0
2024-04-23,36,5,3
2024-04-24,17,5,1
2024-04-25,18,3,0
2024-04-26,17,1,0
2024-04-27,8,0,0
2024-04-28,4,0,0
2024-04-29,10,4,0
2024-04-30,14,1,0
2024-05-01,19,15,1
2024-05-02,24,1,2
2024-05-03,22,3,0
2024-05-04,3,0,0
2024-05-05,7,0,0
2024-05-06,17,3,2
2024-05-07,33,2,2
2024-05-08,23,2,0
2024-05-09,13,0,0
2024-05-10,18,3,0
2024-05-11,5,0,0
2024-05-12,1,0,0
2024-05-13,17,0,0
2024-05-14,26,1,0
2024-05-15,12,8,0
