,friendica/friendica,mastodon/mastodon,diaspora/diaspora
2020-08-08,11,1,0
2020-08-09,6,3,0
2020-08-10,7,0,0
2020-08-11,6,2,0
2020-08-12,10,3,0
2020-08-13,7,1,0
2020-08-14,4,1,0
2020-08-15,15,0,0
2020-08-16,13,0,0
2020-08-17,14,0,0
2020-08-18,21,0,0
2020-08-19,20,2,0
2020-08-20,17,0,0
2020-08-21,11,1,0
2020-08-22,19,2,0
2020-08-23,21,0,0
2020-08-24,6,9,0
2020-08-25,0,1,0
2020-08-26,15,0,0
2020-08-27,7,0,0
2020-08-28,2,4,0
2020-08-29,6,2,0
2020-08-30,13,3,0
2020-08-31,11,5,0
2020-09-01,17,4,0
2020-09-02,13,3,2
2020-09-03,17,0,0
2020-09-04,7,3,7
2020-09-05,5,0,0
2020-09-06,15,0,0
2020-09-07,26,3,0
2020-09-08,18,1,0
2020-09-09,19,1,0
2020-09-10,1,1,0
2020-09-11,14,2,0
2020-09-12,20,1,0
2020-09-13,9,1,0
2020-09-14,25,2,0
2020-09-15,9,2,0
2020-09-16,12,4,0
2020-09-17,27,0,2
2020-09-18,14,1,0
2020-09-19,20,0,0
2020-09-20,21,0,0
2020-09-21,7,2,0
2020-09-22,11,1,0
2020-09-23,12,1,0
2020-09-24,10,1,0
2020-09-25,9,0,0
2020-09-26,30,2,0
2020-09-27,27,1,0
2020-09-28,12,3,0
2020-09-29,12,1,0
2020-09-30,13,3,0
2020-10-01,5,1,0
2020-10-02,9,0,0
2020-10-03,16,0,0
2020-10-04,12,1,0
2020-10-05,15,2,0
2020-10-06,18,2,0
2020-10-07,14,2,0
2020-10-08,8,0,0
2020-10-09,1,1,0
2020-10-10,22,0,0
2020-10-11,29,0,0
2020-10-12,6,5,0
2020-10-13,8,1,0
2020-10-14,2,0,0
2020-10-15,7,2,0
2020-10-16,4,1,0
2020-10-17,10,0,0
2020-10-18,13,0,0
2020-10-19,3,1,0
2020-10-20,9,1,3
2020-10-21,4,2,0
2020-10-22,0,0,0
2020-10-23,7,2,1
2020-10-24,12,0,4
2020-10-25,12,0,1
2020-10-26,3,1,0
2020-10-27,1,5,0
2020-10-28,0,0,0
2020-10-29,8,0,0
2020-10-30,6,2,5
2020-10-31,9,0,0
2020-11-01,3,3,2
2020-11-02,2,2,12
2020-11-03,5,1,0
2020-11-04,7,4,7
2020-11-05,2,0,0
2020-11-06,1,2,1
2020-11-07,15,3,0
2020-11-08,22,2,0
2020-11-09,14,3,0
2020-11-10,5,2,0
2020-11-11,13,3,0
2020-11-12,5,5,0
2020-11-13,0,1,0
2020-11-14,20,1,1
2020-11-15,5,1,0
2020-11-16,6,1,0
2020-11-17,15,0,0
2020-11-18,14,2,0
2020-11-19,17,7,0
2020-11-20,13,0,0
2020-11-21,12,4,0
2020-11-22,9,0,0
2020-11-23,5,2,0
2020-11-24,5,1,0
2020-11-25,6,0,0
2020-11-26,6,1,0
2020-11-27,2,5,0
2020-11-28,13,2,0
2020-11-29,15,1,0
2020-11-30,22,2,3
2020-12-01,5,3,0
2020-12-02,11,3,0
2020-12-03,5,0,0
2020-12-04,9,2,0
2020-12-05,3,0,0
2020-12-06,8,1,0
2020-12-07,3,6,0
2020-12-08,5,2,0
2020-12-09,5,3,0
2020-12-10,6,1,0
2020-12-11,5,0,0
2020-12-12,4,0,0
2020-12-13,8,0,0
2020-12-14,4,5,0
2020-12-15,9,9,0
2020-12-16,2,1,0
2020-12-17,9,1,0
2020-12-18,10,11,0
2020-12-19,7,3,0
2020-12-20,14,3,0
2020-12-21,7,1,0
2020-12-22,14,6,0
2020-12-23,10,7,0
2020-12-24,2,2,0
2020-12-25,0,0,0
2020-12-26,4,3,0
2020-12-27,4,2,0
2020-12-28,6,0,0
2020-12-29,6,0,0
2020-12-30,5,4,4
2020-12-31,19,0,0
2021-01-01,3,0,0
2021-01-02,8,0,0
2021-01-03,6,0,0
2021-01-04,5,0,0
2021-01-05,8,4,0
2021-01-06,6,1,0
2021-01-07,17,3,0
2021-01-08,0,3,0
2021-01-09,4,3,0
2021-01-10,3,1,0
2021-01-11,12,0,0
2021-01-12,6,2,0
2021-01-13,1,0,0
2021-01-14,5,0,0
2021-01-15,9,0,0
2021-01-16,29,0,0
2021-01-17,22,0,0
2021-01-18,6,0,0
2021-01-19,9,1,0
2021-01-20,7,0,0
2021-01-21,9,2,0
2021-01-22,15,4,0
2021-01-23,14,0,0
2021-01-24,14,1,0
2021-01-25,18,1,0
2021-01-26,0,0,0
2021-01-27,3,0,0
2021-01-28,3,2,0
2021-01-29,8,1,0
2021-01-30,19,0,0
2021-01-31,23,4,0
2021-02-01,13,0,0
2021-02-02,6,2,0
2021-02-03,0,0,0
2021-02-04,10,0,0
2021-02-05,11,0,0
2021-02-06,1,0,0
2021-02-07,0,0,0
2021-02-08,5,0,4
2021-02-09,6,2,0
2021-02-10,9,1,0
2021-02-11,0,10,0
2021-02-12,0,2,0
2021-02-13,1,1,5
2021-02-14,8,1,2
2021-02-15,21,1,0
2021-02-16,8,2,0
2021-02-17,2,0,0
2021-02-18,6,0,0
2021-02-19,6,6,0
2021-02-20,3,0,0
2021-02-21,17,1,2
2021-02-22,3,2,0
2021-02-23,9,0,0
2021-02-24,2,3,0
2021-02-25,3,0,0
2021-02-26,2,1,0
2021-02-27,6,0,0
2021-02-28,6,1,0
2021-03-01,7,3,0
2021-03-02,5,1,0
2021-03-03,3,1,0
2021-03-04,4,0,0
2021-03-05,0,0,0
2021-03-06,11,0,0
2021-03-07,14,1,0
2021-03-08,11,0,0
2021-03-09,9,0,0
2021-03-10,15,0,0
2021-03-11,9,0,0
2021-03-12,7,5,0
2021-03-13,9,0,0
2021-03-14,9,0,0
2021-03-15,2,2,0
2021-03-16,5,0,0
2021-03-17,4,2,0
2021-03-18,7,0,0
2021-03-19,2,15,0
2021-03-20,2,1,0
2021-03-21,5,0,0
2021-03-22,3,0,0
2021-03-23,2,0,0
2021-03-24,11,8,0
2021-03-25,5,1,0
2021-03-26,8,2,0
2021-03-27,10,0,0
2021-03-28,15,0,0
2021-03-29,6,0,0
2021-03-30,0,1,0
2021-03-31,0,2,0
2021-04-01,7,0,0
2021-04-02,10,0,0
2021-04-03,0,2,0
2021-04-04,7,0,0
2021-04-05,13,2,0
2021-04-06,0,1,0
2021-04-07,11,0,0
2021-04-08,8,0,0
2021-04-09,0,3,0
2021-04-10,13,2,12
2021-04-11,2,1,40
2021-04-12,2,3,0
2021-04-13,2,3,1
2021-04-14,2,1,1
2021-04-15,1,4,0
2021-04-16,3,4,0
2021-04-17,5,4,2
2021-04-18,8,0,10
2021-04-19,4,2,0
