,seleniumhq/selenium,cypress-io/cypress,DevExpress/testcafe
2020-02-15,3,2,0
2020-02-16,0,0,0
2020-02-17,1,1,6
2020-02-18,0,2,2
2020-02-19,0,3,1
2020-02-20,0,5,0
2020-02-21,0,6,1
2020-02-22,0,1,0
2020-02-23,0,0,0
2020-02-24,2,8,0
2020-02-25,0,10,3
2020-02-26,1,5,1
2020-02-27,1,3,0
2020-02-28,4,14,0
2020-02-29,1,3,0
2020-03-01,0,0,0
2020-03-02,1,5,4
2020-03-03,1,6,5
2020-03-04,3,1,2
2020-03-05,7,2,2
2020-03-06,1,4,0
2020-03-07,3,3,0
2020-03-08,2,0,0
2020-03-09,1,5,0
2020-03-10,6,1,0
2020-03-11,2,4,0
2020-03-12,9,2,1
2020-03-13,5,1,0
2020-03-14,0,1,0
2020-03-15,0,0,0
2020-03-16,4,10,2
2020-03-17,13,8,2
2020-03-18,4,2,0
2020-03-19,2,1,1
2020-03-20,10,0,2
2020-03-21,3,2,0
2020-03-22,9,0,0
2020-03-23,2,3,1
2020-03-24,2,12,1
2020-03-25,1,4,2
2020-03-26,0,4,2
2020-03-27,1,15,1
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,15,4,2
2020-03-31,38,0,3
2020-04-01,8,1,1
2020-04-02,7,4,0
2020-04-03,17,7,1
2020-04-04,4,0,0
2020-04-05,11,0,0
2020-04-06,9,10,2
2020-04-07,8,4,4
2020-04-08,3,2,2
2020-04-09,12,1,1
2020-04-10,3,6,0
2020-04-11,5,0,0
2020-04-12,16,0,0
2020-04-13,5,5,0
2020-04-14,13,4,1
2020-04-15,4,0,7
2020-04-16,4,2,0
2020-04-17,9,1,0
2020-04-18,12,0,0
2020-04-19,8,0,0
2020-04-20,12,9,0
2020-04-21,2,12,2
2020-04-22,1,4,2
2020-04-23,15,6,0
2020-04-24,5,1,1
2020-04-25,21,0,0
2020-04-26,8,3,0
2020-04-27,7,6,3
2020-04-28,10,6,0
2020-04-29,17,11,1
2020-04-30,1,6,1
2020-05-01,16,4,0
2020-05-02,0,6,0
2020-05-03,4,0,0
2020-05-04,7,11,0
2020-05-05,1,6,0
2020-05-06,10,4,2
2020-05-07,3,5,3
2020-05-08,1,20,3
2020-05-09,1,1,0
2020-05-10,0,0,0
2020-05-11,3,8,0
2020-05-12,14,7,0
2020-05-13,2,7,1
2020-05-14,0,6,1
2020-05-15,3,22,3
2020-05-16,1,12,0
2020-05-17,0,2,0
2020-05-18,2,17,0
2020-05-19,40,12,4
2020-05-20,19,7,3
2020-05-21,0,3,3
2020-05-22,3,2,2
2020-05-23,1,0,0
2020-05-24,3,2,0
2020-05-25,2,1,3
2020-05-26,2,9,2
2020-05-27,9,13,2
2020-05-28,13,8,5
2020-05-29,1,10,0
2020-05-30,1,3,0
2020-05-31,1,0,0
2020-06-01,5,8,6
2020-06-02,2,3,3
2020-06-03,1,8,1
2020-06-04,4,14,0
2020-06-05,7,15,2
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,2,6,6
2020-06-09,2,6,2
2020-06-10,2,14,2
2020-06-11,2,1,1
2020-06-12,0,8,0
2020-06-13,2,1,0
2020-06-14,0,0,0
2020-06-15,1,5,3
2020-06-16,9,5,0
2020-06-17,0,6,1
2020-06-18,9,4,2
2020-06-19,7,5,3
