,flutter/flutter,ionic-team/ionic-framework,NativeScript/NativeScript
2019-10-16,11,1,6
2019-10-17,15,3,2
2019-10-18,24,3,0
2019-10-19,0,0,0
2019-10-20,0,0,0
2019-10-21,13,6,2
2019-10-22,11,1,4
2019-10-23,12,0,3
2019-10-24,28,0,2
2019-10-25,12,0,1
2019-10-26,9,0,0
2019-10-27,0,0,0
2019-10-28,29,0,2
2019-10-29,24,5,4
2019-10-30,20,15,0
2019-10-31,19,2,1
2019-11-01,19,2,1
2019-11-02,2,0,0
2019-11-03,0,0,0
2019-11-04,5,0,0
2019-11-05,30,0,0
2019-11-06,23,1,4
2019-11-07,19,17,5
2019-11-08,18,5,1
2019-11-09,12,0,0
2019-11-10,2,0,0
2019-11-11,10,2,1
2019-11-12,9,1,2
2019-11-13,12,1,0
2019-11-14,20,6,4
2019-11-15,17,0,0
2019-11-16,7,0,0
2019-11-17,3,0,0
2019-11-18,13,3,1
2019-11-19,24,2,2
2019-11-20,21,4,4
2019-11-21,22,1,7
2019-11-22,23,1,1
2019-11-23,9,0,0
2019-11-24,1,0,0
2019-11-25,13,0,0
2019-11-26,20,0,4
2019-11-27,21,0,1
2019-11-28,7,0,1
2019-11-29,1,0,2
2019-11-30,1,0,0
2019-12-01,0,0,0
2019-12-02,8,1,1
2019-12-03,23,0,5
2019-12-04,27,1,3
2019-12-05,19,2,3
2019-12-06,15,0,2
2019-12-07,1,0,0
2019-12-08,0,0,0
2019-12-09,13,0,2
2019-12-10,20,2,1
2019-12-11,6,12,0
2019-12-12,12,4,1
2019-12-13,16,0,5
2019-12-14,0,0,0
2019-12-15,0,0,0
2019-12-16,12,4,2
2019-12-17,16,0,2
2019-12-18,21,3,0
2019-12-19,19,0,0
2019-12-20,7,0,2
2019-12-21,7,0,0
2019-12-22,0,0,0
2019-12-23,5,0,0
2019-12-24,2,0,0
2019-12-25,0,0,0
2019-12-26,8,0,0
2019-12-27,5,0,0
2019-12-28,3,0,0
2019-12-29,1,0,0
2019-12-30,3,0,0
2019-12-31,1,0,0
2020-01-01,0,0,0
2020-01-02,6,1,0
2020-01-03,14,10,1
2020-01-04,1,0,0
2020-01-05,0,0,0
2020-01-06,14,5,1
2020-01-07,13,0,0
2020-01-08,28,1,2
2020-01-09,11,4,1
2020-01-10,18,0,2
2020-01-11,6,0,0
2020-01-12,0,0,0
2020-01-13,11,11,0
2020-01-14,18,5,2
2020-01-15,12,1,1
2020-01-16,26,1,3
2020-01-17,22,4,0
2020-01-18,2,1,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,9,3,1
2020-01-22,26,1,1
2020-01-23,5,17,1
2020-01-24,18,4,0
2020-01-25,15,0,0
2020-01-26,3,0,0
2020-01-27,12,15,2
2020-01-28,28,2,1
2020-01-29,24,8,0
2020-01-30,19,3,3
2020-01-31,23,2,3
2020-02-01,5,0,0
2020-02-02,0,0,0
2020-02-03,8,0,1
2020-02-04,21,2,0
2020-02-05,17,4,7
2020-02-06,27,2,2
2020-02-07,24,5,0
2020-02-08,5,0,0
2020-02-09,0,0,0
2020-02-10,18,3,1
2020-02-11,14,7,0
2020-02-12,22,4,0
2020-02-13,27,2,2
2020-02-14,13,7,0
2020-02-15,4,0,0
2020-02-16,0,0,0
2020-02-17,1,0,3
2020-02-18,13,7,0
2020-02-19,10,6,0
2020-02-20,18,2,0
2020-02-21,10,1,6
2020-02-22,0,0,0
2020-02-23,5,0,1
2020-02-24,11,7,1
2020-02-25,15,1,4
2020-02-26,21,8,2
2020-02-27,22,7,7
2020-02-28,27,0,0
2020-02-29,6,0,0
2020-03-01,0,0,0
2020-03-02,7,2,0
2020-03-03,15,0,0
2020-03-04,17,0,0
2020-03-05,22,2,1
2020-03-06,25,4,4
2020-03-07,3,0,2
2020-03-08,6,0,0
2020-03-09,10,0,6
2020-03-10,23,1,7
2020-03-11,15,9,1
2020-03-12,16,3,0
2020-03-13,23,1,2
2020-03-14,10,0,0
2020-03-15,7,0,0
2020-03-16,13,3,3
2020-03-17,12,1,1
2020-03-18,25,5,1
2020-03-19,22,1,2
2020-03-20,22,1,2
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,7,1,1
2020-03-24,16,6,1
2020-03-25,31,36,0
2020-03-26,11,4,4
2020-03-27,16,0,0
2020-03-28,5,0,0
2020-03-29,3,0,1
2020-03-30,12,3,1
2020-03-31,19,1,0
2020-04-01,17,2,2
2020-04-02,17,2,3
2020-04-03,21,2,4
2020-04-04,5,0,0
2020-04-05,9,0,0
2020-04-06,16,0,1
2020-04-07,21,1,1
2020-04-08,20,2,0
2020-04-09,19,0,0
2020-04-10,27,1,2
2020-04-11,9,0,0
2020-04-12,4,0,0
2020-04-13,15,0,0
2020-04-14,9,0,2
2020-04-15,12,3,0
2020-04-16,26,2,0
2020-04-17,12,1,0
2020-04-18,7,0,0
2020-04-19,1,0,0
2020-04-20,21,0,1
2020-04-21,11,0,0
2020-04-22,30,2,0
2020-04-23,17,15,0
2020-04-24,8,3,0
2020-04-25,7,0,0
2020-04-26,1,0,0
2020-04-27,22,12,0
2020-04-28,17,2,0
2020-04-29,20,3,0
2020-04-30,3,9,0
2020-05-01,11,0,0
2020-05-02,8,0,0
2020-05-03,6,0,0
2020-05-04,12,0,0
2020-05-05,21,0,0
2020-05-06,13,0,0
2020-05-07,7,2,0
2020-05-08,33,5,1
2020-05-09,1,0,0
2020-05-10,5,0,0
2020-05-11,17,3,0
2020-05-12,7,2,0
2020-05-13,12,6,0
2020-05-14,35,2,0
2020-05-15,4,1,0
