,seleniumhq/selenium,cypress-io/cypress,DevExpress/testcafe
2024-01-02,1,3,0
2024-01-03,9,3,0
2024-01-04,3,1,0
2024-01-05,4,4,0
2024-01-06,2,1,0
2024-01-07,4,0,0
2024-01-08,4,1,1
2024-01-09,9,5,0
2024-01-10,8,5,1
2024-01-11,3,4,0
2024-01-12,5,6,1
2024-01-13,0,0,0
2024-01-14,1,0,0
2024-01-15,1,0,1
2024-01-16,2,4,0
2024-01-17,7,2,0
2024-01-18,13,3,0
2024-01-19,5,2,0
2024-01-20,9,0,0
2024-01-21,9,0,0
2024-01-22,7,5,0
2024-01-23,20,3,0
2024-01-24,5,2,0
2024-01-25,13,0,0
2024-01-26,7,0,0
2024-01-27,1,0,0
2024-01-28,0,0,0
2024-01-29,1,1,0
2024-01-30,5,4,0
2024-01-31,0,0,0
2024-02-01,1,2,0
2024-02-02,2,2,0
2024-02-03,0,0,0
2024-02-04,0,0,0
2024-02-05,2,2,0
2024-02-06,4,4,0
2024-02-07,9,0,0
2024-02-08,7,4,0
2024-02-09,0,4,0
2024-02-10,0,0,0
2024-02-11,1,0,0
2024-02-12,1,0,0
2024-02-13,8,1,0
2024-02-14,5,1,0
2024-02-15,5,4,0
2024-02-16,3,1,3
2024-02-17,8,0,1
2024-02-18,2,0,0
2024-02-19,10,1,1
2024-02-20,3,3,1
2024-02-21,1,1,0
2024-02-22,0,6,0
2024-02-23,2,1,0
2024-02-24,0,0,0
2024-02-25,0,0,0
2024-02-26,2,0,0
2024-02-27,0,1,0
2024-02-28,0,0,0
2024-02-29,1,1,1
2024-03-01,2,0,0
2024-03-02,0,0,0
2024-03-03,1,0,0
2024-03-04,2,1,0
2024-03-05,1,1,0
2024-03-06,0,1,0
2024-03-07,1,0,0
2024-03-08,3,2,0
2024-03-09,1,0,0
2024-03-10,2,0,0
2024-03-11,6,4,0
2024-03-12,0,9,0
2024-03-13,4,1,0
2024-03-14,7,1,0
2024-03-15,15,0,1
2024-03-16,0,0,0
2024-03-17,1,0,0
2024-03-18,7,3,0
2024-03-19,3,0,0
2024-03-20,6,1,0
2024-03-21,5,3,0
2024-03-22,2,0,0
2024-03-23,9,0,0
2024-03-24,0,0,0
2024-03-25,30,1,0
2024-03-26,14,1,0
2024-03-27,12,1,1
2024-03-28,3,0,0
2024-03-29,5,4,1
2024-03-30,1,0,0
2024-03-31,0,0,0
2024-04-01,4,0,1
2024-04-02,4,4,0
2024-04-03,5,2,0
2024-04-04,2,0,0
2024-04-05,3,0,0
2024-04-06,2,0,0
2024-04-07,1,0,0
2024-04-08,3,0,0
2024-04-09,4,1,2
2024-04-10,5,3,0
2024-04-11,1,3,0
2024-04-12,4,1,0
2024-04-13,0,0,0
2024-04-14,3,0,0
2024-04-15,0,1,0
2024-04-16,0,1,0
2024-04-17,0,3,0
2024-04-18,0,4,0
2024-04-19,0,1,0
2024-04-20,0,0,0
2024-04-21,0,0,0
2024-04-22,0,2,1
2024-04-23,0,5,1
2024-04-24,0,1,0
2024-04-25,0,1,2
2024-04-26,0,1,0
2024-04-27,0,0,0
2024-04-28,0,0,0
2024-04-29,0,1,1
2024-04-30,0,5,1
2024-05-01,0,2,0
2024-05-02,0,7,0
2024-05-03,0,0,0
2024-05-04,0,0,0
2024-05-05,0,0,0
2024-05-06,0,6,0
2024-05-07,0,4,0
2024-05-08,0,2,0
2024-05-09,0,1,0
2024-05-10,0,3,0
2024-05-11,0,0,0
2024-05-12,0,0,0
2024-05-13,0,1,0
2024-05-14,0,0,0
2024-05-15,0,1,0
2024-05-16,0,0,0
2024-05-17,0,3,0
2024-05-18,0,0,0
2024-05-19,0,0,0
2024-05-20,0,2,0
2024-05-21,0,5,0
2024-05-22,0,1,0
2024-05-23,0,1,0
2024-05-24,0,1,0
2024-05-25,0,0,0
2024-05-26,0,0,0
2024-05-27,0,0,0
2024-05-28,0,0,0
2024-05-29,0,1,0
2024-05-30,0,1,0
2024-05-31,0,0,0
2024-06-01,0,0,0
2024-06-02,0,0,0
2024-06-03,0,4,1
2024-06-04,0,3,1
2024-06-05,0,1,0
2024-06-06,0,0,0
2024-06-07,0,15,0
2024-06-08,0,0,0
2024-06-09,0,0,0
2024-06-10,0,0,1
2024-06-11,0,5,1
2024-06-12,0,4,0
2024-06-13,0,0,0
2024-06-14,0,0,0
2024-06-15,0,0,0
2024-06-16,0,0,0
2024-06-17,0,0,0
2024-06-18,0,2,0
2024-06-19,0,0,0
