,reactor/reactor-core,Kotlin/kotlinx.coroutines,reactivex/rxjava
2016-09-16,1,0.0,0
2016-09-17,0,0.0,0
2016-09-18,0,0.0,0
2016-09-19,1,0.0,0
2016-09-20,0,0.0,4
2016-09-21,1,0.0,2
2016-09-22,0,0.0,6
2016-09-23,2,0.0,8
2016-09-24,0,0.0,0
2016-09-25,0,0.0,7
2016-09-26,0,0.0,4
2016-09-27,0,0.0,5
2016-09-28,0,0.0,4
2016-09-29,0,0.0,11
2016-09-30,0,0.0,2
2016-10-01,0,0.0,2
2016-10-02,0,0.0,1
2016-10-03,2,0.0,1
2016-10-04,2,0.0,2
2016-10-05,0,0.0,3
2016-10-06,3,0.0,3
2016-10-07,1,0.0,2
2016-10-08,2,0.0,0
2016-10-09,0,0.0,0
2016-10-10,0,0.0,2
2016-10-11,12,0.0,4
2016-10-12,0,0.0,6
2016-10-13,0,0.0,0
2016-10-14,1,0.0,3
2016-10-15,2,0.0,3
2016-10-16,1,0.0,1
2016-10-17,2,0.0,4
2016-10-18,2,0.0,2
2016-10-19,0,1.0,5
2016-10-20,0,-0.30000000000000004,3
2016-10-21,2,-0.10499999999999993,6
2016-10-22,0,-0.05949999999999997,3
2016-10-23,0,-0.0401625,0
2016-10-24,0,-0.029720249999999997,2
2016-10-25,4,-0.023280862499999996,3
2016-10-26,4,-0.018957273750000003,1
2016-10-27,14,-0.015876716765625045,0
2016-10-28,10,-0.013583413232812524,0
2016-10-29,0,0.0,1
2016-10-30,0,0.0,0
2016-10-31,0,0.0,1
2016-11-01,0,0.0,0
2016-11-02,0,0.0,1
2016-11-03,0,0.0,1
2016-11-04,0,0.0,2
2016-11-05,3,0.0,0
2016-11-06,0,0.0,1
2016-11-07,0,0.0,1
2016-11-08,0,0.0,0
2016-11-09,0,0.0,0
2016-11-10,0,0.0,4
2016-11-11,0,0.0,4
2016-11-12,0,0.0,1
2016-11-13,0,0.0,0
2016-11-14,0,0.0,0
2016-11-15,0,0.0,0
2016-11-16,0,0.0,1
2016-11-17,0,0.0,0
2016-11-18,1,0.0,1
2016-11-19,0,0.0,0
2016-11-20,0,0.0,0
2016-11-21,0,0.0,0
2016-11-22,0,0.0,2
2016-11-23,1,0.0,3
2016-11-24,1,0.0,1
2016-11-25,1,0.0,0
2016-11-26,0,0.0,1
2016-11-27,0,0.0,0
2016-11-28,2,0.0,5
2016-11-29,1,1.0,0
2016-11-30,1,-0.30000000000000004,0
2016-12-01,2,-0.10499999999999993,0
2016-12-02,0,-0.05949999999999997,1
2016-12-03,0,-0.0401625,4
2016-12-04,0,-0.029720249999999997,1
2016-12-05,0,-0.023280862499999996,1
2016-12-06,2,-0.018957273750000003,0
2016-12-07,0,-0.015876716765625045,1
2016-12-08,5,-0.013583413232812524,0
2016-12-09,0,0.0,1
2016-12-10,0,0.0,0
2016-12-11,0,0.0,0
2016-12-12,0,0.0,0
2016-12-13,6,1.0,0
2016-12-14,7,-0.30000000000000004,0
2016-12-15,2,3.895,1
2016-12-16,0,1.7405,1
2016-12-17,0,-1.3601625,0
2016-12-18,0,-0.5827202499999997,2
2016-12-19,2,-0.3624308624999999,0
2016-12-20,4,1.74167422625,2
2016-12-21,5,4.201839083234375,1
2016-12-22,11,-0.8692550957328127,0
2016-12-23,5,-1.0643786883125,0
2016-12-24,0,-0.584788803228125,0
2016-12-25,0,-0.36050323969843756,0
2016-12-26,0,-0.23532547499999998,0
2016-12-27,0,-0.18403911,0
2016-12-28,0,-0.1498206647812501,0
2016-12-29,0,-0.1255076840437503,2
2016-12-30,0,-0.08379378292968767,1
2016-12-31,0,-0.013583413232812524,0
2017-01-01,0,0.0,0
2017-01-02,0,0.0,0
2017-01-03,8,0.0,1
2017-01-04,1,0.0,4
2017-01-05,1,0.0,0
2017-01-06,3,0.0,1
2017-01-07,0,0.0,1
2017-01-08,0,0.0,6
2017-01-09,2,0.0,3
2017-01-10,6,0.0,1
2017-01-11,0,0.0,1
2017-01-12,29,0.0,2
2017-01-13,11,0.0,1
2017-01-14,0,0.0,0
2017-01-15,0,0.0,0
2017-01-16,3,0.0,2
2017-01-17,3,0.0,1
2017-01-18,3,1.0,2
2017-01-19,2,10.7,0
2017-01-20,0,-1.4050000000000007,1
2017-01-21,0,-1.8144999999999991,0
2017-01-22,0,-0.9046624999999995,0
2017-01-23,5,-0.5905077499999999,0
2017-01-24,2,17.5694713875,2
2017-01-25,2,-0.73448726125,2
2017-01-26,5,-1.6609684530156237,0
2017-01-27,5,-2.4221418451546874,4
2017-01-28,5,-1.4115959790921875,0
2017-01-29,0,-0.881943826465625,0
2017-01-30,7,1.3520182250000001,0
2017-01-31,9,3.88292426,0
2017-02-01,4,-1.137128995531251,1
2017-02-02,5,7.694200430481249,3
2017-02-03,3,-1.2824954996953126,11
2017-02-04,0,-1.8919198264656245,2
2017-02-05,2,-0.9808254749999996,0
2017-02-06,1,6.33549839,4
2017-02-07,7,7.402372085218749,2
2017-02-08,7,-1.1294759465437503,1
2017-02-09,6,4.332529028320313,1
2017-02-10,9,-0.48552591162343806,1
2017-02-11,0,-1.5771709026265621,1
2017-02-12,0,-1.6393228639656245,0
2017-02-13,0,4.98069220875,1
2017-02-14,0,3.4414184076406245,0
2017-02-15,1,1.966987830964062,1
2017-02-16,0,-1.9027280363749997,3
2017-02-17,1,1.3449850591921875,1
2017-02-18,0,-1.8834678166765628,3
2017-02-19,0,0.05005386853593774,1
2017-02-20,0,2.0657240192671873,2
2017-02-21,1,-1.4806160055937503,2
2017-02-22,0,11.241511238759374,1
2017-02-23,0,-4.068346424475001,0
2017-02-24,0,-1.5508733541796869,1
2017-02-25,0,-0.8876551760296872,1
2017-02-26,1,-0.6115001009484375,0
2017-02-27,3,4.570608461984375,2
2017-02-28,0,5.159416086470312,0
2017-03-01,0,2.1067624753015624,0
2017-03-02,4,-2.7230206011875,0
2017-03-03,0,1.6946865412062504,1
2017-03-04,0,5.37276125,0
2017-03-05,0,-2.9402585625000004,1
2017-03-06,1,1.6801463437500006,0
2017-03-07,1,-0.7654763125781252,4
2017-03-08,0,-1.2591387022734377,1
2017-03-09,0,11.264148186042187,1
2017-03-10,3,1.932257575085937,1
2017-03-11,0,-3.3696543165468746,2
2017-03-12,0,-1.595450094557812,2
2017-03-13,5,1.9858134236203124,0
2017-03-14,1,5.435794575953125,2
2017-03-15,2,2.070681193535937,2
2017-03-16,1,2.205744126767188,3
2017-03-17,2,8.1337482563125,0
2017-03-18,0,-4.751059509387501,0
2017-03-19,0,-2.0126973168968743,1
2017-03-20,1,-0.22375160874999955,3
2017-03-21,3,1.812875870953125,2
2017-03-22,4,-1.695000688307813,2
2017-03-23,0,0.10015666729218742,2
2017-03-24,1,-0.8744931612421878,7
2017-03-25,0,0.5022312994140619,0
2017-03-26,0,-0.6213591580609378,2
2017-03-27,1,-0.23396236124999992,1
2017-03-28,0,-0.16196878801562503,0
2017-03-29,2,-0.12465692602968764,2
2017-03-30,0,0.9105722365515624,0
2017-03-31,0,0.6608424207343749,1
2017-04-01,2,-0.4375406869828125,3
2017-04-02,0,-0.18037671676562494,2
2017-04-03,4,-0.1132459132328125,1
2017-04-04,9,-0.06988275,0
2017-04-05,7,3.9469988875,0
2017-04-06,0,0.7577618637499999,1
2017-04-07,0,3.945166009484375,1
2017-04-08,0,-1.9774601299984376,0
2017-04-09,0,-0.8182334132328122,0
2017-04-10,2,0.5032940000000001,1
2017-04-11,1,2.34662355,0
2017-04-12,0,-1.27599207,1
2017-04-13,4,-0.5923257270625,0
2017-04-14,3,-0.39953595521250007,0
2017-04-15,0,-0.25675816029375026,1
2017-04-16,0,-0.1803586786640626,0
2017-04-17,0,3.91120013875,2
2017-04-18,9,-0.27274853801562515,0
2017-04-19,5,3.2187864364703125,1
2017-04-20,0,-0.5837502396984375,4
2017-04-21,0,-0.9401499999999997,4
2017-04-22,0,-0.5020434999999999,1
2017-04-23,0,-0.34299369999999996,0
2017-04-24,0,-0.2581534575,0
2017-04-25,2,-0.20530784081250017,0
2017-04-26,2,-0.16932032719687515,0
2017-04-27,7,0.9039524459546873,0
2017-04-28,0,-0.37021036969687515,0
2017-04-29,0,-0.11858341323281245,1
2017-04-30,0,-0.05949999999999997,0
2017-05-01,0,-0.0401625,1
2017-05-02,0,-0.029720249999999997,1
2017-05-03,2,-0.023280862499999996,0
2017-05-04,2,2.98104272625,0
2017-05-05,1,-0.9158767167656252,0
2017-05-06,0,-0.3285834132328123,0
2017-05-07,0,-0.1784999999999999,0
2017-05-08,0,-0.1204875,0
2017-05-09,2,-0.08916074999999998,0
2017-05-10,0,0.9301574125000001,0
2017-05-11,0,1.64312817875,0
2017-05-12,3,-0.7526301502968751,0
2017-05-13,0,-0.3102502396984374,0
2017-05-14,0,-0.15916249999999993,0
2017-05-15,0,0.88995475,1
2017-05-16,0,8.6172786375,1
2017-05-17,0,6.129481001249999,1
2017-05-18,4,-3.7582912642656243,2
2017-05-19,1,-1.5659993467640616,0
2017-05-20,0,-0.9538495764656247,0
2017-05-21,0,-0.6522256124999999,0
2017-05-22,2,-0.49596728625,0
2017-05-23,2,-0.39601994301562504,0
2017-05-24,0,-0.327089327873438,0
2017-05-25,0,-0.2651411699859381,1
2017-05-26,5,-0.12225071909531271,0
2017-05-27,0,0.0,0
2017-05-28,0,0.0,1
2017-05-29,2,2.0,0
2017-05-30,6,-0.6000000000000001,1
2017-05-31,3,0.7900000000000001,0
2017-06-01,9,-0.419,2
2017-06-02,0,-0.1853249999999999,0
2017-06-03,0,-0.11894049999999996,1
2017-06-04,0,-0.08672422499999999,1
2017-06-05,0,-0.06763479750000001,1
2017-06-06,6,2.94496570396875,0
2017-06-07,2,1.0538758997843747,0
2017-06-08,1,-0.9308767167656249,0
2017-06-09,0,9.597916586767187,2
2017-06-10,0,-3.2394875000000005,0
2017-06-11,0,-1.2194857499999994,2
2017-06-12,2,-0.7242830874999997,2
2017-06-13,3,0.4949414537500001,0
2017-06-14,2,-0.6827471977968751,0
2017-06-15,1,-0.41031229822968757,0
2017-06-16,1,-0.27623956396562505,2
2017-06-17,0,-0.19892966765625045,2
2017-06-18,0,0.8344456176718748,0
2017-06-19,6,0.6767191374999999,0
2017-06-20,2,0.5760427262500001,1
2017-06-21,0,-0.480376716765625,2
