,jetty/jetty.project,apache/httpcomponents-client,square/okhttp
2019-09-18,21,0,0
2019-09-19,6,0,2
2019-09-20,5,0,0
2019-09-21,0,0,7
2019-09-22,0,0,5
2019-09-23,7,0,3
2019-09-24,5,0,1
2019-09-25,8,0,0
2019-09-26,5,0,4
2019-09-27,2,2,2
2019-09-28,1,0,1
2019-09-29,0,0,10
2019-09-30,7,0,0
2019-10-01,18,0,2
2019-10-02,22,0,7
2019-10-03,6,1,1
2019-10-04,2,2,1
2019-10-05,1,0,0
2019-10-06,1,1,11
2019-10-07,6,0,5
2019-10-08,10,0,0
2019-10-09,11,1,0
2019-10-10,13,0,0
2019-10-11,2,0,0
2019-10-12,0,0,0
2019-10-13,0,0,0
2019-10-14,3,0,2
2019-10-15,13,0,0
2019-10-16,32,0,1
2019-10-17,7,0,0
2019-10-18,2,0,3
2019-10-19,4,0,2
2019-10-20,11,0,0
2019-10-21,6,0,0
2019-10-22,4,0,0
2019-10-23,2,2,0
2019-10-24,4,0,0
2019-10-25,1,0,0
2019-10-26,0,0,6
2019-10-27,0,0,3
2019-10-28,0,0,0
2019-10-29,1,0,0
2019-10-30,11,0,0
2019-10-31,7,1,0
2019-11-01,1,0,0
2019-11-02,0,0,2
2019-11-03,1,0,0
2019-11-04,8,0,0
2019-11-05,8,0,0
2019-11-06,13,0,0
2019-11-07,17,0,0
2019-11-08,7,1,0
2019-11-09,0,0,3
2019-11-10,1,1,3
2019-11-11,12,0,0
2019-11-12,13,0,0
2019-11-13,25,0,0
2019-11-14,24,0,0
2019-11-15,3,0,0
2019-11-16,1,0,0
2019-11-17,10,0,4
2019-11-18,17,0,1
2019-11-19,11,0,1
2019-11-20,13,0,0
2019-11-21,4,0,0
2019-11-22,3,1,0
2019-11-23,0,0,1
2019-11-24,1,0,0
2019-11-25,3,0,0
2019-11-26,10,1,0
2019-11-27,17,1,1
2019-11-28,9,0,0
2019-11-29,2,0,0
2019-11-30,0,0,0
2019-12-01,1,0,0
2019-12-02,12,0,0
2019-12-03,8,0,0
2019-12-04,6,0,2
2019-12-05,1,4,1
2019-12-06,3,0,0
2019-12-07,4,0,3
2019-12-08,1,0,6
2019-12-09,1,0,3
2019-12-10,3,2,0
2019-12-11,5,0,0
2019-12-12,6,3,1
2019-12-13,4,0,2
2019-12-14,0,0,0
2019-12-15,0,15,0
2019-12-16,5,0,0
2019-12-17,8,0,0
2019-12-18,4,0,0
2019-12-19,17,0,0
2019-12-20,7,1,3
2019-12-21,0,1,2
2019-12-22,1,0,2
2019-12-23,2,0,0
2019-12-24,0,0,1
2019-12-25,0,1,0
2019-12-26,1,1,0
2019-12-27,2,3,0
2019-12-28,0,0,0
2019-12-29,0,0,1
2019-12-30,7,2,4
2019-12-31,1,3,11
2020-01-01,0,4,3
2020-01-02,3,0,1
2020-01-03,2,0,2
2020-01-04,2,0,5
2020-01-05,0,0,4
2020-01-06,0,0,1
2020-01-07,10,4,5
2020-01-08,0,1,0
2020-01-09,14,1,0
2020-01-10,0,1,0
2020-01-11,0,0,2
2020-01-12,0,0,8
2020-01-13,3,0,1
2020-01-14,10,1,0
2020-01-15,9,0,2
2020-01-16,4,0,1
2020-01-17,20,0,0
2020-01-18,0,0,0
2020-01-19,1,2,7
2020-01-20,6,0,4
2020-01-21,4,0,4
2020-01-22,9,2,1
2020-01-23,1,0,0
2020-01-24,6,0,0
2020-01-25,0,0,2
2020-01-26,0,1,0
2020-01-27,0,0,0
2020-01-28,5,1,2
2020-01-29,12,2,2
2020-01-30,14,2,0
2020-01-31,7,0,0
2020-02-01,2,0,1
2020-02-02,1,0,2
2020-02-03,4,0,1
2020-02-04,5,0,2
2020-02-05,2,0,0
2020-02-06,7,0,2
2020-02-07,4,0,0
2020-02-08,0,0,0
2020-02-09,1,0,6
2020-02-10,5,0,0
2020-02-11,1,0,2
2020-02-12,4,0,0
2020-02-13,2,0,0
2020-02-14,0,1,0
2020-02-15,0,3,0
2020-02-16,9,0,7
2020-02-17,2,2,11
2020-02-18,6,0,0
2020-02-19,15,2,0
2020-02-20,21,0,1
2020-02-21,4,0,0
2020-02-22,1,2,0
2020-02-23,0,0,3
2020-02-24,0,1,0
2020-02-25,7,0,1
2020-02-26,7,0,0
2020-02-27,10,0,0
2020-02-28,5,0,0
2020-02-29,2,0,0
2020-03-01,5,0,1
2020-03-02,4,0,2
2020-03-03,6,0,0
2020-03-04,2,0,3
2020-03-05,0,0,2
2020-03-06,0,0,2
2020-03-07,6,2,3
2020-03-08,1,0,6
2020-03-09,5,0,1
2020-03-10,9,0,1
2020-03-11,6,0,0
2020-03-12,3,0,0
2020-03-13,5,0,0
2020-03-14,0,0,1
2020-03-15,2,0,4
2020-03-16,11,0,1
2020-03-17,17,2,0
2020-03-18,10,0,5
2020-03-19,6,0,1
2020-03-20,15,0,0
2020-03-21,5,0,2
2020-03-22,1,0,2
2020-03-23,10,0,1
2020-03-24,10,0,5
2020-03-25,9,0,4
2020-03-26,11,0,4
2020-03-27,3,0,0
2020-03-28,1,0,2
2020-03-29,1,0,1
2020-03-30,9,0,3
2020-03-31,34,1,0
2020-04-01,7,0,0
2020-04-02,9,0,1
2020-04-03,5,0,0
2020-04-04,3,0,2
2020-04-05,1,2,0
2020-04-06,15,0,2
2020-04-07,14,0,0
2020-04-08,13,2,1
2020-04-09,3,0,2
2020-04-10,5,0,4
2020-04-11,1,0,8
2020-04-12,0,0,4
2020-04-13,6,0,2
2020-04-14,14,0,0
2020-04-15,5,0,0
2020-04-16,9,0,0
2020-04-17,10,1,1
2020-04-18,5,1,4
2020-04-19,4,0,1
2020-04-20,2,0,2
2020-04-21,6,0,0
2020-04-22,14,0,1
2020-04-23,2,0,0
2020-04-24,6,1,5
2020-04-25,0,0,5
2020-04-26,0,1,2
2020-04-27,14,0,8
2020-04-28,14,0,2
2020-04-29,11,0,3
2020-04-30,5,0,1
2020-05-01,9,0,1
2020-05-02,0,0,1
2020-05-03,3,0,1
2020-05-04,9,0,0
2020-05-05,7,0,1
2020-05-06,1,0,1
2020-05-07,8,0,6
2020-05-08,27,0,1
2020-05-09,0,0,6
2020-05-10,0,0,1
2020-05-11,19,0,2
2020-05-12,6,0,1
2020-05-13,13,0,3
2020-05-14,9,0,0
2020-05-15,0,0,0
2020-05-16,11,0,1
2020-05-17,0,0,4
2020-05-18,1,0,3
2020-05-19,5,0,2
2020-05-20,25,0,4
2020-05-21,7,0,1
2020-05-22,1,0,0
2020-05-23,0,0,0
2020-05-24,0,0,0
