,zurb/foundation-sites,primer/css,twbs/bootstrap
2015-08-12,23,0,0
2015-08-13,15,0,32
2015-08-14,8,0,9
2015-08-15,6,0,5
2015-08-16,0,0,0
2015-08-17,29,0,14
2015-08-18,25,0,37
2015-08-19,20,0,72
2015-08-20,12,0,44
2015-08-21,18,0,43
2015-08-22,3,0,7
2015-08-23,1,0,45
2015-08-24,6,0,25
2015-08-25,2,0,27
2015-08-26,11,0,25
2015-08-27,5,2,15
2015-08-28,0,0,2
2015-08-29,0,0,10
2015-08-30,0,0,2
2015-08-31,2,0,3
2015-09-01,17,0,6
2015-09-02,9,0,36
2015-09-03,5,0,9
2015-09-04,3,0,0
2015-09-05,1,0,14
2015-09-06,6,0,17
2015-09-07,0,0,3
2015-09-08,12,2,9
2015-09-09,6,1,4
2015-09-10,5,0,10
2015-09-11,3,15,3
2015-09-12,1,0,2
2015-09-13,0,0,1
2015-09-14,3,0,1
2015-09-15,5,0,2
2015-09-16,4,0,6
2015-09-17,2,0,1
2015-09-18,9,0,0
2015-09-19,0,0,3
2015-09-20,2,0,3
2015-09-21,3,0,1
2015-09-22,23,0,5
2015-09-23,30,0,4
2015-09-24,35,0,7
2015-09-25,31,2,9
2015-09-26,4,0,2
2015-09-27,3,0,6
2015-09-28,14,0,6
2015-09-29,12,2,5
2015-09-30,28,1,0
2015-10-01,9,0,10
2015-10-02,12,2,2
2015-10-03,3,0,0
2015-10-04,3,0,3
2015-10-05,10,0,0
2015-10-06,20,0,2
2015-10-07,4,0,7
2015-10-08,23,0,4
2015-10-09,43,0,3
2015-10-10,2,4,3
2015-10-11,1,0,5
2015-10-12,7,1,5
2015-10-13,23,2,11
2015-10-14,14,2,2
2015-10-15,3,0,3
2015-10-16,19,2,5
2015-10-17,0,0,4
2015-10-18,3,0,0
2015-10-19,22,7,4
2015-10-20,29,0,3
2015-10-21,32,1,2
2015-10-22,17,0,1
2015-10-23,6,0,10
2015-10-24,0,0,14
2015-10-25,14,0,4
2015-10-26,11,0,7
2015-10-27,7,0,14
2015-10-28,11,0,7
2015-10-29,2,0,9
2015-10-30,6,0,8
2015-10-31,0,0,3
2015-11-01,2,0,0
2015-11-02,14,1,5
2015-11-03,13,0,9
2015-11-04,30,0,2
2015-11-05,35,0,1
2015-11-06,30,0,1
2015-11-07,12,0,0
2015-11-08,9,0,0
2015-11-09,12,0,0
2015-11-10,23,0,0
2015-11-11,16,0,7
2015-11-12,16,0,6
2015-11-13,7,0,44
2015-11-14,14,0,1
2015-11-15,2,0,45
2015-11-16,26,6,11
2015-11-17,53,0,0
2015-11-18,31,0,0
2015-11-19,60,0,9
2015-11-20,50,0,0
2015-11-21,20,0,0
2015-11-22,4,0,0
2015-11-23,26,0,4
2015-11-24,42,0,3
2015-11-25,22,0,1
2015-11-26,5,0,5
2015-11-27,11,0,1
2015-11-28,3,0,1
2015-11-29,2,0,1
2015-11-30,29,0,35
2015-12-01,26,0,7
2015-12-02,26,0,2
2015-12-03,11,0,5
2015-12-04,9,0,8
2015-12-05,7,0,19
2015-12-06,2,0,9
2015-12-07,6,0,24
2015-12-08,9,7,78
2015-12-09,11,0,12
2015-12-10,17,0,4
2015-12-11,25,0,6
2015-12-12,11,0,5
2015-12-13,10,0,6
2015-12-14,18,0,1
2015-12-15,42,0,1
2015-12-16,28,0,2
2015-12-17,29,0,6
2015-12-18,28,0,1
2015-12-19,10,0,0
2015-12-20,2,0,3
2015-12-21,12,0,9
2015-12-22,21,0,3
2015-12-23,31,0,8
2015-12-24,1,0,26
2015-12-25,5,0,25
2015-12-26,1,0,9
2015-12-27,1,0,4
2015-12-28,1,0,0
2015-12-29,2,0,4
2015-12-30,5,0,2
2015-12-31,3,0,4
2016-01-01,1,0,5
2016-01-02,0,0,1
2016-01-03,0,0,0
2016-01-04,29,0,20
2016-01-05,15,0,4
2016-01-06,32,0,58
2016-01-07,9,0,22
2016-01-08,13,0,3
2016-01-09,0,0,13
2016-01-10,0,0,3
2016-01-11,7,0,16
2016-01-12,6,0,0
2016-01-13,20,0,7
2016-01-14,18,0,10
2016-01-15,19,0,6
2016-01-16,2,0,4
2016-01-17,0,0,16
2016-01-18,17,0,14
2016-01-19,33,2,7
2016-01-20,28,0,4
2016-01-21,12,1,11
2016-01-22,11,0,0
2016-01-23,9,0,6
2016-01-24,1,0,8
2016-01-25,14,0,5
2016-01-26,6,0,5
2016-01-27,2,0,3
2016-01-28,8,0,0
2016-01-29,2,0,1
2016-01-30,0,0,0
2016-01-31,0,0,1
2016-02-01,23,0,0
2016-02-02,21,1,0
2016-02-03,13,0,2
2016-02-04,21,0,15
2016-02-05,14,0,5
2016-02-06,2,0,61
2016-02-07,0,0,43
2016-02-08,8,0,28
2016-02-09,11,0,29
2016-02-10,10,0,0
2016-02-11,8,4,6
2016-02-12,4,1,0
2016-02-13,0,0,0
2016-02-14,1,0,5
2016-02-15,10,0,2
2016-02-16,16,9,33
2016-02-17,19,4,49
2016-02-18,22,1,6
2016-02-19,8,7,15
2016-02-20,1,0,0
2016-02-21,0,0,0
2016-02-22,1,0,0
2016-02-23,16,0,9
2016-02-24,24,0,1
2016-02-25,15,0,3
2016-02-26,19,0,2
2016-02-27,0,0,10
2016-02-28,3,0,11
2016-02-29,15,0,1
2016-03-01,23,0,1
2016-03-02,12,0,1
2016-03-03,7,0,4
2016-03-04,10,8,4
2016-03-05,0,0,2
2016-03-06,0,0,3
2016-03-07,2,0,15
2016-03-08,16,0,0
2016-03-09,2,0,0
2016-03-10,8,2,4
2016-03-11,12,1,6
2016-03-12,4,2,0
2016-03-13,2,2,1
2016-03-14,13,11,7
2016-03-15,4,0,2
2016-03-16,24,2,7
2016-03-17,8,4,1
2016-03-18,1,0,0
2016-03-19,1,1,2
