,microsoft/TypeScript,sindresorhus/type-fest,definitelytyped/definitelytyped
2023-11-06,3,0,9
2023-11-07,3,1,9
2023-11-08,2,4,7
2023-11-09,3,2,5
2023-11-10,1,0,7
2023-11-11,0,1,3
2023-11-12,0,0,2
2023-11-13,4,4,3
2023-11-14,2,0,3
2023-11-15,5,3,4
2023-11-16,6,0,12
2023-11-17,4,4,4
2023-11-18,1,1,1
2023-11-19,1,0,0
2023-11-20,4,1,12
2023-11-21,13,2,16
2023-11-22,5,0,15
2023-11-23,0,0,9
2023-11-24,0,1,3
2023-11-25,0,0,1
2023-11-26,0,0,2
2023-11-27,5,0,9
2023-11-28,7,1,21
2023-11-29,10,0,10
2023-11-30,10,0,9
2023-12-01,4,0,10
2023-12-02,2,2,7
2023-12-03,0,0,16
2023-12-04,3,2,66
2023-12-05,3,0,38
2023-12-06,3,0,76
2023-12-07,5,1,11
2023-12-08,7,0,10
2023-12-09,0,0,4
2023-12-10,1,0,0
2023-12-11,7,0,9
2023-12-12,2,0,24
2023-12-13,6,0,10
2023-12-14,0,0,6
2023-12-15,4,1,25
2023-12-16,1,0,5
2023-12-17,0,0,6
2023-12-18,1,0,9
2023-12-19,1,0,4
2023-12-20,1,0,3
2023-12-21,1,0,12
2023-12-22,0,0,7
2023-12-23,0,0,2
2023-12-24,0,0,2
2023-12-25,0,0,3
2023-12-26,1,0,8
2023-12-27,0,2,21
2023-12-28,0,0,17
2023-12-29,0,0,14
2023-12-30,1,0,6
2023-12-31,0,0,1
2024-01-01,0,0,21
2024-01-02,9,1,17
2024-01-03,3,0,16
2024-01-04,5,1,4
2024-01-05,3,0,5
2024-01-06,1,0,6
2024-01-07,0,0,2
2024-01-08,2,0,11
2024-01-09,9,0,12
2024-01-10,5,0,5
2024-01-11,7,0,8
2024-01-12,3,0,5
2024-01-13,1,0,1
2024-01-14,0,0,5
2024-01-15,1,0,5
2024-01-16,6,0,10
2024-01-17,2,0,9
2024-01-18,3,0,5
2024-01-19,9,0,9
2024-01-20,1,0,5
2024-01-21,0,2,4
2024-01-22,2,1,14
2024-01-23,2,0,6
2024-01-24,2,2,7
2024-01-25,3,0,21
2024-01-26,1,0,16
2024-01-27,1,0,5
2024-01-28,2,0,5
2024-01-29,4,0,11
2024-01-30,4,2,8
2024-01-31,3,0,11
2024-02-01,4,0,23
2024-02-02,3,0,5
2024-02-03,0,0,9
2024-02-04,1,0,4
2024-02-05,1,0,9
2024-02-06,1,0,11
2024-02-07,5,0,18
2024-02-08,1,0,15
2024-02-09,2,0,8
2024-02-10,1,0,4
2024-02-11,1,0,4
2024-02-12,3,0,14
2024-02-13,6,0,11
2024-02-14,2,0,5
2024-02-15,4,0,13
2024-02-16,5,0,5
2024-02-17,1,0,6
2024-02-18,0,0,2
2024-02-19,1,0,8
2024-02-20,3,0,6
2024-02-21,3,0,7
2024-02-22,4,2,11
2024-02-23,8,0,23
2024-02-24,1,0,10
2024-02-25,1,0,0
2024-02-26,4,0,27
2024-02-27,3,0,20
2024-02-28,5,0,10
2024-02-29,2,0,34
2024-03-01,5,0,24
2024-03-02,4,0,5
2024-03-03,1,0,2
2024-03-04,6,3,13
2024-03-05,0,2,14
2024-03-06,3,0,7
2024-03-07,1,0,8
2024-03-08,4,2,8
2024-03-09,0,0,1
2024-03-10,1,0,2
2024-03-11,7,0,10
2024-03-12,6,1,3
