,libbitcoin/libbitcoin-system,bitcoinj/bitcoinj,bitcoin/bitcoin
2024-03-19,-0.919909376,0,10
2024-03-20,-0.5815675904000002,0,18
2024-03-21,-0.33598423040000025,0,12
2024-03-22,0.777776128,0,11
2024-03-23,1.4250816512000002,0,3
2024-03-24,0.9482524672000001,0,0
2024-03-25,-1.2030173183999997,0,13
2024-03-26,-0.4607926272,0,29
2024-03-27,-0.24115200000000012,0,14
2024-03-28,7.8339327999999995,0,6
2024-03-29,5.675799040000001,0,7
2024-03-30,-4.657823231999999,0,1
2024-03-31,-1.6718507008,0,1
2024-04-01,-0.9647077376000004,0,9
2024-04-02,-0.6396123136000005,0,15
2024-04-03,-0.45327360000000017,0,4
2024-04-04,-0.35363328000000005,0,12
2024-04-05,1.713419264,0,8
2024-04-06,-1.0387866623999997,0,9
2024-04-07,-0.35518341119999997,3,6
2024-04-08,-0.128,0,5
2024-04-09,-0.0832000000000001,0,16
2024-04-10,2.940096,1,10
2024-04-11,3.7540736000000003,0,5
2024-04-12,-1.3967411199999997,0,5
2024-04-13,-1.222311424,0,0
2024-04-14,1.4096036863999999,0,1
2024-04-15,-1.1618560000000002,0,13
2024-04-16,1.4997504,0,22
2024-04-17,-1.12787968,0,12
2024-04-18,-0.48348313600000004,0,12
2024-04-19,-0.32044759040000004,0,12
2024-04-20,0.7917271039999999,0,0
2024-04-21,-0.5094432767999999,1,1
2024-04-22,-0.196237824,0,14
2024-04-23,-0.1263374336,10,7
2024-04-24,-0.07191142400000003,0,20
2024-04-25,-0.05554831360000001,0,20
2024-04-26,-0.022963200000000007,0,16
2024-04-27,-0.018370559999999994,7,2
2024-04-28,3.984844288,0,9
2024-04-29,9.3872018432,8,11
2024-04-30,-4.879999999999999,0,15
2024-05-01,3.4240000000000004,0,15
2024-05-02,-2.8703999999999996,0,10
2024-05-03,-1.1774080000000007,0,23
2024-05-04,-0.7413248000000002,0,6
2024-05-05,-0.5340774400000003,1,4
2024-05-06,-0.412459008,0,11
2024-05-07,-0.33272145919999996,0,8
2024-05-08,1.7673674752000001,1,10
2024-05-09,2.1242214400000003,0,14
2024-05-10,-1.5039907839999997,0,6
2024-05-11,-0.488,0,6
2024-05-12,-0.2752000000000001,0,4
2024-05-13,-0.18470400000000017,0,12
2024-05-14,-0.13578240000000005,4,26
2024-05-15,-0.10563072000000001,0,12
2024-05-16,2.914576896,0,34
2024-05-17,-1.2710634495999997,0,6
2024-05-18,-0.3983944704,0,1
