,getsentry/sentry,elastic/kibana,grafana/grafana
2021-08-29,0,0,2
2021-08-30,26,38,9
2021-08-31,42,44,16
2021-09-01,30,47,25
2021-09-02,24,26,17
2021-09-03,2,46,5
2021-09-04,0,0,0
2021-09-05,0,1,0
2021-09-06,0,19,12
2021-09-07,28,41,20
2021-09-08,17,53,19
2021-09-09,23,43,23
2021-09-10,16,26,21
2021-09-11,0,0,0
2021-09-12,0,1,1
2021-09-13,31,41,26
2021-09-14,25,41,18
2021-09-15,29,46,25
2021-09-16,20,31,17
2021-09-17,18,6,22
2021-09-18,0,3,0
2021-09-19,0,5,1
2021-09-20,31,25,23
2021-09-21,33,31,15
2021-09-22,34,39,14
2021-09-23,29,45,24
2021-09-24,18,3,2
2021-09-25,0,0,2
2021-09-26,0,3,0
2021-09-27,26,35,17
2021-09-28,35,39,18
2021-09-29,38,41,26
2021-09-30,25,32,21
2021-10-01,18,28,21
2021-10-02,3,2,0
2021-10-03,0,1,0
2021-10-04,28,58,14
2021-10-05,20,59,12
2021-10-06,44,61,22
2021-10-07,31,51,19
2021-10-08,52,12,15
2021-10-09,0,2,0
2021-10-10,0,2,0
2021-10-11,14,42,18
2021-10-12,33,64,27
2021-10-13,25,57,15
2021-10-14,25,56,23
2021-10-15,24,51,15
2021-10-16,0,6,1
2021-10-17,0,5,0
2021-10-18,34,57,21
2021-10-19,27,80,22
2021-10-20,25,69,27
2021-10-21,22,68,22
2021-10-22,30,5,18
2021-10-23,1,1,0
2021-10-24,0,0,0
2021-10-25,20,48,15
2021-10-26,22,75,26
2021-10-27,26,33,24
2021-10-28,24,39,18
2021-10-29,28,46,21
2021-10-30,0,8,0
2021-10-31,0,0,0
2021-11-01,19,38,16
2021-11-02,16,70,36
2021-11-03,30,53,21
2021-11-04,41,44,17
2021-11-05,21,41,20
2021-11-06,1,2,2
2021-11-07,0,2,1
2021-11-08,18,36,16
2021-11-09,31,54,28
2021-11-10,32,43,25
2021-11-11,29,69,27
2021-11-12,19,8,20
2021-11-13,3,1,1
2021-11-14,0,0,2
2021-11-15,31,47,26
2021-11-16,16,60,23
2021-11-17,13,35,36
2021-11-18,18,39,31
2021-11-19,14,40,36
2021-11-20,1,1,2
2021-11-21,0,2,0
2021-11-22,19,36,17
2021-11-23,31,49,25
2021-11-24,34,45,36
2021-11-25,14,25,16
2021-11-26,9,6,20
2021-11-27,0,2,0
2021-11-28,0,1,0
2021-11-29,21,40,31
2021-11-30,26,48,16
2021-12-01,30,49,25
2021-12-02,35,38,21
2021-12-03,21,40,14
2021-12-04,0,3,0
2021-12-05,0,0,0
2021-12-06,37,36,14
2021-12-07,14,59,10
2021-12-08,13,47,10
2021-12-09,36,40,10
2021-12-10,21,10,4
2021-12-11,1,0,0
2021-12-12,0,0,0
2021-12-13,9,40,18
2021-12-14,45,37,27
2021-12-15,39,37,20
2021-12-16,45,34,18
2021-12-17,17,35,17
2021-12-18,0,1,2
2021-12-19,0,0,1
2021-12-20,12,31,23
2021-12-21,13,49,20
2021-12-22,11,36,11
2021-12-23,14,25,9
2021-12-24,0,3,2
2021-12-25,0,0,0
2021-12-26,0,2,0
2021-12-27,0,12,4
2021-12-28,1,13,6
2021-12-29,4,4,1
2021-12-30,1,5,4
2021-12-31,0,2,0
2022-01-01,0,2,0
2022-01-02,0,0,0
2022-01-03,18,4,8
2022-01-04,24,25,24
2022-01-05,26,28,19
2022-01-06,24,23,14
2022-01-07,21,4,26
2022-01-08,0,0,0
2022-01-09,0,0,0
2022-01-10,32,36,21
2022-01-11,25,37,18
2022-01-12,27,45,15
2022-01-13,26,29,19
2022-01-14,18,27,14
2022-01-15,1,2,0
2022-01-16,0,0,0
2022-01-17,14,24,19
2022-01-18,19,44,15
2022-01-19,28,28,19
2022-01-20,27,45,19
2022-01-21,24,3,22
2022-01-22,1,0,1
2022-01-23,0,3,1
2022-01-24,17,28,17
2022-01-25,39,45,17
2022-01-26,27,27,15
2022-01-27,43,41,21
2022-01-28,25,35,17
2022-01-29,0,0,1
2022-01-30,0,1,0
2022-01-31,22,57,30
2022-02-01,26,65,22
2022-02-02,27,36,25
2022-02-03,23,33,33
2022-02-04,21,34,26
2022-02-05,2,2,1
2022-02-06,0,0,0
2022-02-07,22,32,25
2022-02-08,25,34,39
2022-02-09,19,35,40
2022-02-10,20,49,36
2022-02-11,18,41,33
2022-02-12,0,2,0
2022-02-13,0,0,0
2022-02-14,31,35,1
2022-02-15,38,43,27
2022-02-16,28,48,25
2022-02-17,21,43,30
2022-02-18,17,2,28
2022-02-19,0,0,2
2022-02-20,0,0,0
2022-02-21,9,14,17
2022-02-22,24,22,13
2022-02-23,50,37,20
2022-02-24,27,34,25
2022-02-25,25,4,22
2022-02-26,1,0,1
2022-02-27,0,1,0
2022-02-28,27,30,17
2022-03-01,40,34,18
2022-03-02,43,24,27
2022-03-03,41,40,33
2022-03-04,38,32,23
2022-03-05,3,0,0
2022-03-06,0,1,0
2022-03-07,46,39,8
2022-03-08,30,41,11
2022-03-09,29,59,11
2022-03-10,23,46,12
2022-03-11,28,3,11
2022-03-12,3,0,1
2022-03-13,0,0,0
2022-03-14,36,37,17
2022-03-15,44,61,18
2022-03-16,32,56,21
2022-03-17,34,38,19
2022-03-18,32,42,17
2022-03-19,0,2,1
2022-03-20,0,1,0
2022-03-21,21,51,25
2022-03-22,23,36,19
2022-03-23,28,39,22
2022-03-24,29,64,18
2022-03-25,22,9,12
2022-03-26,1,0,4
2022-03-27,0,3,0
2022-03-28,31,59,0
2022-03-29,53,79,23
2022-03-30,60,58,26
2022-03-31,28,50,31
2022-04-01,32,40,24
2022-04-02,1,3,2
2022-04-03,0,0,0
2022-04-04,42,37,28
2022-04-05,48,27,32
2022-04-06,29,32,35
2022-04-07,52,44,19
2022-04-08,28,6,22
2022-04-09,0,1,0
2022-04-10,0,1,0
2022-04-11,27,41,15
2022-04-12,33,39,33
2022-04-13,32,46,27
2022-04-14,30,52,23
2022-04-15,17,21,13
2022-04-16,1,5,0
2022-04-17,0,2,0
2022-04-18,28,28,4
2022-04-19,46,63,13
2022-04-20,43,39,41
2022-04-21,31,29,35
2022-04-22,24,5,22
2022-04-23,0,0,2
2022-04-24,0,1,2
2022-04-25,47,16,19
2022-04-26,35,33,22
2022-04-27,42,36,24
2022-04-28,39,29,38
2022-04-29,38,28,28
2022-04-30,0,1,0
2022-05-01,0,1,0
2022-05-02,16,25,22
2022-05-03,45,36,26
2022-05-04,33,55,31
2022-05-05,44,27,36
2022-05-06,23,34,24
2022-05-07,3,0,0
2022-05-08,1,1,1
2022-05-09,40,27,6
2022-05-10,47,35,4
2022-05-11,42,48,8
2022-05-12,38,46,13
2022-05-13,25,2,8
2022-05-14,14,0,0
2022-05-15,1,3,2
2022-05-16,42,35,28
2022-05-17,37,50,35
2022-05-18,43,53,29
2022-05-19,36,45,30
2022-05-20,33,51,27
2022-05-21,0,0,5
