,flutter/flutter,NativeScript/NativeScript,ionic-team/ionic-framework
2024-01-29,25,0,1
2024-01-30,23,0,3
2024-01-31,39,0,12
2024-02-01,30,0,3
2024-02-02,14,0,4
2024-02-03,4,0,0
2024-02-04,2,0,0
2024-02-05,7,0,3
2024-02-06,11,0,6
2024-02-07,35,0,8
2024-02-08,24,0,3
2024-02-09,23,0,2
2024-02-10,10,1,0
2024-02-11,3,0,0
2024-02-12,14,1,1
2024-02-13,21,0,9
2024-02-14,20,0,10
2024-02-15,13,1,3
2024-02-16,24,0,0
2024-02-17,12,0,0
2024-02-18,5,0,0
2024-02-19,8,0,0
2024-02-20,24,0,0
2024-02-21,22,0,3
2024-02-22,21,0,7
2024-02-23,22,1,0
2024-02-24,11,0,0
2024-02-25,0,0,0
2024-02-26,18,0,1
2024-02-27,16,0,0
2024-02-28,18,0,6
2024-02-29,30,0,2
2024-03-01,19,0,2
2024-03-02,2,0,0
2024-03-03,1,0,0
2024-03-04,17,0,1
2024-03-05,19,0,0
2024-03-06,20,0,14
2024-03-07,24,0,2
2024-03-08,12,0,1
2024-03-09,16,0,1
2024-03-10,3,0,0
2024-03-11,11,0,1
2024-03-12,18,0,9
2024-03-13,22,0,15
2024-03-14,21,0,2
2024-03-15,14,0,4
