,apache/tomee,dropwizard/dropwizard,spring-projects/spring-boot
2021-08-13,0,2,9
2021-08-14,0,0,0
2021-08-15,0,1,0
2021-08-16,0,1,34
2021-08-17,0,0,41
2021-08-18,0,0,35
2021-08-19,0,0,14
2021-08-20,0,1,11
2021-08-21,0,0,0
2021-08-22,0,1,0
2021-08-23,0,0,18
2021-08-24,0,0,2
2021-08-25,0,0,6
2021-08-26,1,0,0
2021-08-27,0,0,0
2021-08-28,0,4,5
2021-08-29,0,0,0
2021-08-30,0,0,0
2021-08-31,6,0,1
2021-09-01,0,5,0
2021-09-02,0,0,5
2021-09-03,0,0,0
2021-09-04,0,0,0
2021-09-05,0,0,18
2021-09-06,0,0,12
2021-09-07,1,0,6
2021-09-08,0,2,6
2021-09-09,0,0,29
2021-09-10,0,0,17
2021-09-11,0,0,2
2021-09-12,0,4,4
2021-09-13,0,12,28
2021-09-14,4,14,28
2021-09-15,5,2,34
2021-09-16,0,2,36
2021-09-17,0,0,13
2021-09-18,0,0,0
2021-09-19,0,2,0
2021-09-20,3,0,17
2021-09-21,2,0,45
2021-09-22,5,0,28
2021-09-23,0,4,22
2021-09-24,1,15,2
2021-09-25,0,1,0
2021-09-26,0,3,3
2021-09-27,3,0,0
2021-09-28,0,0,4
2021-09-29,0,0,0
2021-09-30,1,1,6
2021-10-01,1,0,21
2021-10-02,0,1,0
2021-10-03,1,0,3
2021-10-04,2,1,3
2021-10-05,2,1,24
2021-10-06,0,0,8
2021-10-07,2,0,20
2021-10-08,1,4,28
2021-10-09,0,0,0
2021-10-10,0,0,0
2021-10-11,0,0,25
2021-10-12,0,2,14
2021-10-13,0,0,13
2021-10-14,1,0,60
2021-10-15,0,0,21
2021-10-16,0,0,0
2021-10-17,0,26,0
2021-10-18,0,5,28
2021-10-19,1,4,46
2021-10-20,1,0,19
