,google/closure-compiler,microsoft/typescript,rescript-lang/rescript-compiler
2018-11-27,0,0,2
2018-11-28,6,8,8
2018-11-29,0,4,3
2018-11-30,8,9,11
2018-12-01,0,9,2
2018-12-02,0,0,16
2018-12-03,0,7,10
2018-12-04,7,13,5
2018-12-05,0,13,3
2018-12-06,2,26,0
2018-12-07,17,6,1
2018-12-08,1,9,0
2018-12-09,0,5,1
2018-12-10,0,11,6
2018-12-11,2,20,0
2018-12-12,0,5,5
2018-12-13,11,7,9
2018-12-14,0,3,5
2018-12-15,6,0,3
2018-12-16,0,4,1
2018-12-17,9,9,8
2018-12-18,5,19,0
2018-12-19,9,11,0
2018-12-20,0,25,0
2018-12-21,17,14,5
2018-12-22,0,1,3
2018-12-23,0,1,0
2018-12-24,0,0,0
2018-12-25,0,1,2
2018-12-26,5,3,0
2018-12-27,0,3,12
2018-12-28,2,10,11
2018-12-29,0,1,10
2018-12-30,0,0,2
2018-12-31,0,14,5
2019-01-01,0,4,11
2019-01-02,0,1,6
2019-01-03,2,15,1
2019-01-04,3,4,18
2019-01-05,0,0,3
2019-01-06,0,1,11
2019-01-07,7,4,0
2019-01-08,6,5,0
2019-01-09,5,13,15
2019-01-10,2,13,2
2019-01-11,12,18,7
2019-01-12,0,2,0
2019-01-13,0,1,0
2019-01-14,10,11,18
2019-01-15,7,18,6
2019-01-16,5,15,9
2019-01-17,7,19,5
2019-01-18,8,8,6
2019-01-19,0,12,0
2019-01-20,0,4,17
2019-01-21,0,0,10
2019-01-22,13,7,16
2019-01-23,7,7,10
2019-01-24,0,30,11
2019-01-25,11,38,13
2019-01-26,8,6,0
2019-01-27,0,4,0
2019-01-28,0,15,16
2019-01-29,15,15,1
2019-01-30,8,21,17
2019-01-31,3,21,7
2019-02-01,4,31,0
2019-02-02,3,13,0
2019-02-03,0,10,0
2019-02-04,2,19,6
2019-02-05,0,12,5
2019-02-06,15,23,7
2019-02-07,8,32,9
2019-02-08,14,7,7
2019-02-09,0,1,9
2019-02-10,0,7,1
2019-02-11,0,18,2
2019-02-12,12,0,4
2019-02-13,7,7,6
2019-02-14,4,9,9
2019-02-15,13,8,9
2019-02-16,0,1,1
2019-02-17,0,1,2
2019-02-18,0,2,5
2019-02-19,5,11,3
2019-02-20,0,14,6
2019-02-21,19,14,12
2019-02-22,5,15,3
2019-02-23,0,6,4
2019-02-24,0,0,0
2019-02-25,4,10,6
2019-02-26,6,21,0
2019-02-27,4,12,10
2019-02-28,8,16,0
2019-03-01,4,19,13
2019-03-02,0,7,11
2019-03-03,0,1,6
2019-03-04,3,8,0
2019-03-05,14,13,4
2019-03-06,9,10,3
2019-03-07,11,6,2
2019-03-08,6,19,0
2019-03-09,2,11,0
2019-03-10,0,2,0
2019-03-11,11,9,4
2019-03-12,0,15,0
2019-03-13,3,22,14
2019-03-14,7,16,16
2019-03-15,0,10,0
2019-03-16,11,2,0
2019-03-17,0,0,0
2019-03-18,0,12,3
2019-03-19,11,10,7
2019-03-20,10,6,1
2019-03-21,6,4,4
2019-03-22,3,5,0
2019-03-23,0,2,5
2019-03-24,0,37,12
2019-03-25,3,2,12
2019-03-26,4,9,1
2019-03-27,10,8,12
2019-03-28,10,7,1
2019-03-29,0,6,4
2019-03-30,0,1,3
2019-03-31,0,2,1
2019-04-01,0,5,6
2019-04-02,0,17,15
2019-04-03,17,15,0
2019-04-04,4,19,1
2019-04-05,8,9,1
2019-04-06,0,7,2
2019-04-07,0,2,3
2019-04-08,4,18,13
2019-04-09,6,2,2
2019-04-10,5,4,2
2019-04-11,11,9,5
2019-04-12,4,8,1
2019-04-13,0,3,0
2019-04-14,0,0,0
2019-04-15,10,8,14
2019-04-16,2,15,11
2019-04-17,0,25,5
2019-04-18,12,34,9
2019-04-19,12,16,0
2019-04-20,6,0,5
2019-04-21,0,0,5
2019-04-22,0,4,10
2019-04-23,0,20,7
2019-04-24,14,22,0
2019-04-25,13,26,2
2019-04-26,2,12,5
2019-04-27,0,9,2
2019-04-28,0,5,13
2019-04-29,3,29,7
2019-04-30,10,23,1
2019-05-01,9,19,0
2019-05-02,9,14,0
2019-05-03,4,6,0
2019-05-04,0,0,0
2019-05-05,0,3,0
2019-05-06,12,6,0
2019-05-07,10,10,0
2019-05-08,6,10,0
2019-05-09,6,4,0
2019-05-10,6,7,0
2019-05-11,0,4,0
2019-05-12,0,2,0
2019-05-13,10,11,0
2019-05-14,10,7,0
2019-05-15,2,7,0
2019-05-16,12,4,0
2019-05-17,9,5,0
2019-05-18,0,0,0
2019-05-19,0,0,1
2019-05-20,7,11,12
2019-05-21,11,13,4
2019-05-22,0,17,0
2019-05-23,6,15,0
2019-05-24,7,14,0
2019-05-25,9,0,0
2019-05-26,0,0,0
2019-05-27,0,1,3
2019-05-28,0,6,11
2019-05-29,10,5,14
2019-05-30,10,14,2
2019-05-31,6,33,7
2019-06-01,0,4,0
2019-06-02,0,3,0
2019-06-03,2,7,13
2019-06-04,9,6,7
2019-06-05,0,18,10
2019-06-06,6,22,4
2019-06-07,1,9,0
2019-06-08,1,2,1
2019-06-09,0,7,4
2019-06-10,0,3,7
2019-06-11,6,7,6
2019-06-12,1,6,11
2019-06-13,0,4,16
2019-06-14,9,32,8
2019-06-15,0,1,0
2019-06-16,0,0,4
2019-06-17,3,9,5
2019-06-18,6,8,13
2019-06-19,4,23,1
2019-06-20,4,20,15
2019-06-21,1,19,8
2019-06-22,0,6,0
2019-06-23,0,5,0
2019-06-24,3,8,9
2019-06-25,3,15,4
2019-06-26,12,19,4
2019-06-27,8,17,5
2019-06-28,2,18,2
2019-06-29,0,7,6
2019-06-30,0,8,0
2019-07-01,8,27,7
2019-07-02,4,7,3
2019-07-03,4,14,4
2019-07-04,0,2,14
2019-07-05,0,9,10
2019-07-06,0,0,0
2019-07-07,0,1,13
2019-07-08,8,15,6
2019-07-09,5,5,11
2019-07-10,0,11,7
2019-07-11,11,16,9
2019-07-12,0,17,6
2019-07-13,14,2,9
2019-07-14,0,0,0
2019-07-15,0,11,16
2019-07-16,0,14,5
2019-07-17,15,19,5
2019-07-18,7,11,9
2019-07-19,5,8,14
2019-07-20,0,6,0
2019-07-21,0,1,5
2019-07-22,3,5,13
2019-07-23,6,7,2
2019-07-24,8,5,3
2019-07-25,3,14,7
2019-07-26,11,9,8
2019-07-27,0,1,0
2019-07-28,0,3,0
2019-07-29,6,14,27
2019-07-30,4,9,12
2019-07-31,0,7,6
2019-08-01,9,10,8
2019-08-02,2,16,6
2019-08-03,6,5,0
2019-08-04,0,6,4
2019-08-05,0,9,16
2019-08-06,3,22,8
2019-08-07,0,10,7
2019-08-08,0,11,18
2019-08-09,0,37,6
2019-08-10,3,8,0
2019-08-11,0,0,2
2019-08-12,1,7,8
2019-08-13,2,7,0
2019-08-14,3,16,9
2019-08-15,2,22,14
2019-08-16,5,23,6
2019-08-17,0,4,0
2019-08-18,0,2,0
2019-08-19,5,14,6
2019-08-20,2,10,1
2019-08-21,4,7,2
2019-08-22,2,6,3
2019-08-23,7,9,4
2019-08-24,0,1,4
2019-08-25,0,0,0
2019-08-26,0,11,7
2019-08-27,13,13,2
2019-08-28,4,8,13
2019-08-29,4,7,10
2019-08-30,0,10,2
2019-08-31,7,5,0
2019-09-01,0,0,0
2019-09-02,0,4,14
2019-09-03,4,8,12
2019-09-04,0,18,2
2019-09-05,10,14,0
2019-09-06,0,7,4
2019-09-07,0,3,0
2019-09-08,0,0,2
2019-09-09,0,11,24
2019-09-10,10,8,3
2019-09-11,12,19,19
2019-09-12,4,11,10
2019-09-13,4,7,0
2019-09-14,0,3,0
2019-09-15,0,5,6
2019-09-16,2,9,1
2019-09-17,3,12,9
2019-09-18,7,13,8
2019-09-19,0,6,12
2019-09-20,10,12,7
2019-09-21,0,8,5
2019-09-22,0,0,0
2019-09-23,5,15,7
2019-09-24,5,30,2
2019-09-25,0,18,3
2019-09-26,12,13,8
2019-09-27,1,23,1
2019-09-28,0,0,5
2019-09-29,0,0,0
2019-09-30,8,17,0
2019-10-01,1,14,4
2019-10-02,2,8,1
2019-10-03,2,12,0
2019-10-04,8,16,0
2019-10-05,0,5,0
2019-10-06,0,7,0
2019-10-07,6,3,1
2019-10-08,6,3,0
2019-10-09,0,10,1
2019-10-10,12,7,0
2019-10-11,6,0,4
2019-10-12,0,1,5
2019-10-13,0,6,1
2019-10-14,5,7,6
2019-10-15,12,16,6
2019-10-16,0,29,11
2019-10-17,8,30,4
2019-10-18,6,23,5
2019-10-19,6,8,0
2019-10-20,0,0,1
2019-10-21,0,14,6
2019-10-22,1,8,11
2019-10-23,0,5,7
2019-10-24,15,6,1
2019-10-25,0,5,12
2019-10-26,0,1,0
2019-10-27,0,0,0
2019-10-28,0,6,8
2019-10-29,11,6,1
2019-10-30,0,7,11
2019-10-31,0,4,0
2019-11-01,0,2,1
2019-11-02,0,0,3
2019-11-03,0,0,1
2019-11-04,0,3,15
2019-11-05,10,4,6
2019-11-06,19,2,8
2019-11-07,5,4,10
2019-11-08,8,1,2
2019-11-09,0,1,1
2019-11-10,0,0,4
2019-11-11,1,1,2
2019-11-12,3,3,1
2019-11-13,0,2,0
2019-11-14,0,2,0
2019-11-15,7,5,11
2019-11-16,11,0,11
2019-11-17,0,0,13
2019-11-18,4,3,14
2019-11-19,0,7,4
2019-11-20,4,5,7
2019-11-21,0,8,0
2019-11-22,9,11,0
2019-11-23,0,1,8
2019-11-24,0,0,4
2019-11-25,0,3,21
2019-11-26,7,0,0
2019-11-27,4,7,3
2019-11-28,0,1,1
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,0,0,1
2019-12-02,2,5,7
2019-12-03,8,2,2
2019-12-04,0,3,10
2019-12-05,10,5,3
2019-12-06,0,4,5
2019-12-07,0,0,0
2019-12-08,0,0,0
2019-12-09,0,2,12
2019-12-10,11,4,5
2019-12-11,14,8,9
2019-12-12,5,1,11
2019-12-13,3,6,7
2019-12-14,0,0,21
2019-12-15,0,1,17
2019-12-16,10,2,13
2019-12-17,8,2,6
2019-12-18,0,13,3
2019-12-19,0,3,5
2019-12-20,14,7,3
2019-12-21,0,4,1
2019-12-22,0,2,0
2019-12-23,0,6,1
2019-12-24,0,1,15
2019-12-25,0,0,5
2019-12-26,0,0,2
2019-12-27,0,1,0
2019-12-28,0,0,0
2019-12-29,0,0,0
2019-12-30,0,1,0
2019-12-31,0,1,0
2020-01-01,0,0,0
2020-01-02,0,3,10
2020-01-03,19,11,7
2020-01-04,0,2,1
2020-01-05,0,0,0
2020-01-06,7,4,3
2020-01-07,8,10,11
2020-01-08,8,8,5
2020-01-09,3,3,1
2020-01-10,6,8,0
2020-01-11,0,0,0
2020-01-12,0,0,4
2020-01-13,3,3,5
2020-01-14,0,2,7
2020-01-15,17,5,8
2020-01-16,4,5,3
2020-01-17,7,9,0
2020-01-18,0,3,4
2020-01-19,0,0,4
2020-01-20,0,0,12
2020-01-21,6,8,0
2020-01-22,5,8,2
2020-01-23,2,9,0
2020-01-24,3,14,1
2020-01-25,0,7,0
2020-01-26,0,0,0
2020-01-27,2,6,1
2020-01-28,9,10,13
2020-01-29,6,14,4
2020-01-30,6,6,22
2020-01-31,0,15,17
2020-02-01,0,0,4
2020-02-02,0,0,8
2020-02-03,0,3,9
2020-02-04,12,3,9
2020-02-05,0,9,3
2020-02-06,0,4,2
2020-02-07,7,4,8
2020-02-08,0,0,5
2020-02-09,0,0,3
2020-02-10,7,2,6
2020-02-11,0,6,6
2020-02-12,4,9,9
2020-02-13,11,4,7
2020-02-14,0,8,7
2020-02-15,0,2,6
2020-02-16,0,0,5
2020-02-17,0,0,4
2020-02-18,0,2,7
2020-02-19,18,8,6
2020-02-20,10,15,2
2020-02-21,4,17,13
2020-02-22,0,1,4
2020-02-23,0,0,14
2020-02-24,3,11,10
2020-02-25,1,23,17
2020-02-26,2,14,8
2020-02-27,0,24,4
2020-02-28,0,7,5
2020-02-29,0,6,6
2020-03-01,0,0,6
2020-03-02,6,12,5
2020-03-03,2,12,3
2020-03-04,4,9,0
2020-03-05,0,8,14
2020-03-06,20,6,9
2020-03-07,0,3,1
2020-03-08,0,1,7
2020-03-09,15,4,7
2020-03-10,4,9,15
2020-03-11,0,15,13
2020-03-12,0,17,10
2020-03-13,0,16,0
2020-03-14,10,2,6
2020-03-15,0,0,25
2020-03-16,0,2,3
2020-03-17,0,13,0
2020-03-18,0,7,5
2020-03-19,17,11,1
2020-03-20,0,3,1
2020-03-21,0,2,14
2020-03-22,0,2,7
2020-03-23,0,2,8
2020-03-24,0,5,9
2020-03-25,19,11,9
2020-03-26,0,5,14
2020-03-27,7,4,4
2020-03-28,0,1,0
2020-03-29,0,0,0
2020-03-30,0,10,0
2020-03-31,7,8,22
2020-04-01,3,9,21
2020-04-02,5,9,0
2020-04-03,2,7,0
2020-04-04,0,1,0
2020-04-05,1,0,0
2020-04-06,0,2,1
2020-04-07,8,7,13
2020-04-08,9,7,9
2020-04-09,3,13,3
2020-04-10,0,9,1
2020-04-11,0,2,4
2020-04-12,0,0,13
2020-04-13,8,8,4
2020-04-14,0,3,1
2020-04-15,0,9,5
2020-04-16,12,1,7
2020-04-17,0,2,3
2020-04-18,0,0,1
2020-04-19,2,3,2
2020-04-20,18,11,0
2020-04-21,4,14,0
2020-04-22,0,10,0
2020-04-23,0,4,8
2020-04-24,0,14,15
2020-04-25,0,3,7
2020-04-26,0,0,14
2020-04-27,17,4,10
2020-04-28,0,7,0
2020-04-29,4,6,8
2020-04-30,0,9,15
2020-05-01,0,0,0
2020-05-02,0,1,0
2020-05-03,0,0,0
2020-05-04,14,9,1
2020-05-05,4,5,7
2020-05-06,0,14,10
2020-05-07,8,8,18
2020-05-08,0,8,5
2020-05-09,3,1,14
2020-05-10,0,0,7
2020-05-11,5,13,4
2020-05-12,0,14,12
2020-05-13,0,2,14
2020-05-14,11,4,12
2020-05-15,0,4,7
2020-05-16,0,23,13
2020-05-17,0,1,3
2020-05-18,19,7,7
2020-05-19,0,15,11
2020-05-20,8,17,24
2020-05-21,0,15,6
2020-05-22,0,19,5
2020-05-23,0,5,1
2020-05-24,0,0,1
2020-05-25,0,7,21
2020-05-26,2,14,1
2020-05-27,18,8,20
2020-05-28,0,2,5
2020-05-29,13,39,10
2020-05-30,0,4,0
2020-05-31,0,2,2
2020-06-01,0,16,33
2020-06-02,11,6,9
2020-06-03,0,7,4
2020-06-04,19,8,0
2020-06-05,4,9,3
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,3,0,4
2020-06-09,6,7,2
2020-06-10,0,7,19
2020-06-11,3,5,6
2020-06-12,10,6,4
2020-06-13,0,4,8
2020-06-14,0,0,6
2020-06-15,6,4,0
2020-06-16,7,13,3
2020-06-17,9,12,6
2020-06-18,11,11,6
2020-06-19,8,15,15
2020-06-20,0,1,16
2020-06-21,0,1,3
2020-06-22,5,8,2
2020-06-23,6,14,12
2020-06-24,5,8,0
2020-06-25,10,5,0
2020-06-26,4,13,0
2020-06-27,4,0,0
2020-06-28,0,3,0
2020-06-29,8,10,23
2020-06-30,21,13,11
2020-07-01,8,5,17
2020-07-02,6,8,18
2020-07-03,0,7,19
2020-07-04,0,3,20
2020-07-05,0,0,0
2020-07-06,5,10,19
2020-07-07,6,21,0
2020-07-08,12,19,16
2020-07-09,11,7,9
2020-07-10,7,10,0
2020-07-11,1,1,9
2020-07-12,0,0,34
2020-07-13,3,8,6
2020-07-14,6,6,15
2020-07-15,3,7,15
2020-07-16,7,5,4
2020-07-17,18,6,18
2020-07-18,0,0,3
2020-07-19,1,0,13
2020-07-20,8,1,9
2020-07-21,4,7,7
2020-07-22,9,8,7
2020-07-23,10,1,6
2020-07-24,8,3,9
2020-07-25,2,0,1
2020-07-26,8,0,10
2020-07-27,11,5,13
2020-07-28,8,3,10
2020-07-29,7,3,8
2020-07-30,6,11,13
2020-07-31,10,1,10
2020-08-01,1,1,1
2020-08-02,0,0,2
2020-08-03,12,12,5
2020-08-04,5,11,2
2020-08-05,4,8,17
2020-08-06,6,4,14
2020-08-07,18,1,15
2020-08-08,1,1,0
2020-08-09,0,0,2
2020-08-10,8,2,3
2020-08-11,13,2,0
2020-08-12,6,2,12
2020-08-13,3,5,2
2020-08-14,13,3,19
2020-08-15,1,1,4
2020-08-16,0,1,2
2020-08-17,1,5,0
2020-08-18,2,11,1
2020-08-19,11,9,0
2020-08-20,6,8,0
2020-08-21,3,8,0
2020-08-22,0,5,0
2020-08-23,0,1,1
2020-08-24,1,2,16
2020-08-25,4,6,13
2020-08-26,11,6,0
2020-08-27,7,10,2
2020-08-28,5,4,0
2020-08-29,0,4,0
2020-08-30,0,0,0
2020-08-31,7,4,26
2020-09-01,6,6,6
2020-09-02,5,3,0
2020-09-03,7,4,4
2020-09-04,1,8,3
2020-09-05,0,4,12
2020-09-06,0,0,5
2020-09-07,1,0,4
2020-09-08,6,11,4
2020-09-09,10,4,17
2020-09-10,8,13,15
2020-09-11,12,12,14
2020-09-12,2,6,0
2020-09-13,1,2,0
2020-09-14,4,12,7
2020-09-15,4,10,10
2020-09-16,4,4,40
2020-09-17,5,4,18
2020-09-18,5,3,10
2020-09-19,2,3,7
2020-09-20,0,0,4
2020-09-21,12,7,7
2020-09-22,7,10,5
2020-09-23,2,11,0
2020-09-24,4,8,0
2020-09-25,4,11,2
2020-09-26,1,6,0
2020-09-27,0,2,0
2020-09-28,4,4,1
2020-09-29,1,8,7
2020-09-30,8,5,1
2020-10-01,7,11,0
2020-10-02,5,8,0
2020-10-03,1,2,0
2020-10-04,0,0,0
2020-10-05,4,11,0
2020-10-06,3,21,0
2020-10-07,2,14,0
2020-10-08,5,5,5
2020-10-09,3,11,3
2020-10-10,1,2,2
2020-10-11,0,1,6
2020-10-12,4,9,4
2020-10-13,4,7,11
2020-10-14,4,7,13
2020-10-15,1,7,18
2020-10-16,1,0,4
2020-10-17,1,3,0
2020-10-18,1,0,0
2020-10-19,4,13,11
2020-10-20,8,3,6
2020-10-21,1,7,8
2020-10-22,2,7,4
2020-10-23,2,8,10
2020-10-24,0,3,4
2020-10-25,0,0,1
2020-10-26,4,8,6
2020-10-27,1,18,0
2020-10-28,3,13,2
2020-10-29,7,9,0
2020-10-30,3,12,0
2020-10-31,0,1,3
2020-11-01,0,1,7
2020-11-02,6,15,1
2020-11-03,6,11,0
2020-11-04,0,5,8
2020-11-05,6,3,10
2020-11-06,2,10,10
2020-11-07,0,2,4
2020-11-08,0,0,0
2020-11-09,8,3,4
2020-11-10,3,8,11
2020-11-11,3,15,1
2020-11-12,2,6,7
2020-11-13,6,1,0
2020-11-14,5,0,0
2020-11-15,1,1,0
2020-11-16,4,1,10
2020-11-17,7,1,16
2020-11-18,3,4,1
2020-11-19,3,2,10
2020-11-20,2,4,5
2020-11-21,1,2,0
2020-11-22,0,0,0
2020-11-23,5,3,0
2020-11-24,3,12,3
2020-11-25,3,5,0
2020-11-26,0,4,4
2020-11-27,0,1,2
2020-11-28,0,0,4
2020-11-29,0,0,6
2020-11-30,3,5,5
2020-12-01,4,10,1
2020-12-02,4,7,1
2020-12-03,4,8,4
2020-12-04,5,7,4
2020-12-05,0,5,0
2020-12-06,0,1,8
2020-12-07,6,4,4
2020-12-08,9,5,8
2020-12-09,5,10,0
2020-12-10,8,4,0
2020-12-11,3,5,1
2020-12-12,0,2,0
2020-12-13,0,1,5
2020-12-14,3,1,2
2020-12-15,8,5,1
2020-12-16,3,5,5
2020-12-17,4,5,2
2020-12-18,1,11,0
2020-12-19,0,2,0
2020-12-20,0,0,0
2020-12-21,2,1,0
2020-12-22,6,6,0
2020-12-23,1,2,0
2020-12-24,0,1,0
2020-12-25,0,0,0
2020-12-26,0,0,0
2020-12-27,0,0,3
2020-12-28,0,4,8
2020-12-29,1,0,7
2020-12-30,1,4,9
2020-12-31,0,1,5
2021-01-01,0,1,0
2021-01-02,0,1,0
2021-01-03,0,0,0
2021-01-04,0,13,3
2021-01-05,2,4,0
2021-01-06,4,3,2
2021-01-07,9,2,0
2021-01-08,5,6,6
2021-01-09,3,3,0
2021-01-10,0,3,1
2021-01-11,2,3,2
2021-01-12,5,6,0
2021-01-13,9,2,2
2021-01-14,9,2,4
2021-01-15,8,6,7
2021-01-16,4,3,15
2021-01-17,2,0,1
2021-01-18,0,2,11
2021-01-19,2,3,0
2021-01-20,7,7,3
2021-01-21,7,2,2
2021-01-22,5,3,4
2021-01-23,0,3,2
2021-01-24,0,0,5
2021-01-25,10,8,1
2021-01-26,4,1,0
2021-01-27,3,4,2
2021-01-28,5,3,1
2021-01-29,11,7,2
2021-01-30,0,0,4
2021-01-31,0,0,5
2021-02-01,8,2,0
2021-02-02,8,4,0
2021-02-03,5,7,7
2021-02-04,3,8,1
2021-02-05,3,6,1
2021-02-06,3,0,0
2021-02-07,0,1,1
2021-02-08,8,2,10
2021-02-09,6,4,0
2021-02-10,3,3,3
2021-02-11,9,5,0
2021-02-12,8,7,1
2021-02-13,0,2,0
2021-02-14,1,1,0
2021-02-15,0,1,0
2021-02-16,0,6,0
2021-02-17,8,3,0
2021-02-18,19,11,7
2021-02-19,3,6,12
2021-02-20,0,1,3
2021-02-21,2,1,0
2021-02-22,7,2,6
2021-02-23,6,7,6
2021-02-24,6,6,3
2021-02-25,3,8,4
2021-02-26,6,4,0
2021-02-27,0,1,0
2021-02-28,1,1,0
2021-03-01,7,7,8
2021-03-02,4,7,0
2021-03-03,5,8,3
2021-03-04,7,5,0
2021-03-05,4,6,0
2021-03-06,0,3,5
2021-03-07,0,1,0
2021-03-08,14,1,0
2021-03-09,7,5,5
2021-03-10,4,6,3
2021-03-11,3,11,7
2021-03-12,2,5,1
2021-03-13,0,3,12
2021-03-14,0,0,0
2021-03-15,0,0,9
2021-03-16,6,5,2
2021-03-17,5,0,4
2021-03-18,4,2,3
2021-03-19,4,5,9
2021-03-20,2,3,3
2021-03-21,0,1,2
2021-03-22,6,5,4
2021-03-23,2,1,8
2021-03-24,6,2,0
2021-03-25,7,6,3
2021-03-26,1,7,2
2021-03-27,0,2,0
2021-03-28,0,2,1
2021-03-29,10,4,0
2021-03-30,13,9,2
2021-03-31,16,3,1
2021-04-01,18,2,1
2021-04-02,9,2,4
2021-04-03,2,1,1
2021-04-04,0,1,0
2021-04-05,6,13,3
2021-04-06,7,7,1
2021-04-07,4,9,5
2021-04-08,7,2,0
2021-04-09,7,3,0
2021-04-10,2,1,0
2021-04-11,0,0,8
2021-04-12,5,3,9
2021-04-13,5,8,8
2021-04-14,8,3,2
2021-04-15,3,3,2
2021-04-16,3,2,2
2021-04-17,0,2,0
2021-04-18,0,1,1
2021-04-19,5,7,1
2021-04-20,7,6,4
2021-04-21,5,5,0
2021-04-22,3,4,24
2021-04-23,5,4,4
2021-04-24,1,2,2
2021-04-25,0,1,3
2021-04-26,9,3,1
2021-04-27,2,4,1
2021-04-28,10,6,5
2021-04-29,4,5,8
2021-04-30,6,5,0
2021-05-01,1,0,0
2021-05-02,0,1,0
2021-05-03,9,1,0
2021-05-04,2,0,1
2021-05-05,7,5,0
2021-05-06,2,7,5
2021-05-07,4,10,1
2021-05-08,2,1,8
2021-05-09,1,1,6
2021-05-10,9,3,9
2021-05-11,6,2,0
2021-05-12,11,3,2
2021-05-13,9,3,16
2021-05-14,12,0,2
2021-05-15,6,1,1
2021-05-16,1,0,3
2021-05-17,8,1,0
2021-05-18,12,6,2
2021-05-19,7,6,8
2021-05-20,3,9,1
2021-05-21,5,3,0
2021-05-22,4,1,5
2021-05-23,0,0,9
2021-05-24,11,8,1
2021-05-25,8,6,2
2021-05-26,10,11,1
2021-05-27,7,4,1
2021-05-28,3,4,0
2021-05-29,1,2,4
2021-05-30,0,0,3
2021-05-31,0,0,2
2021-06-01,4,3,0
2021-06-02,7,3,3
2021-06-03,13,7,0
2021-06-04,13,5,0
2021-06-05,2,1,1
2021-06-06,0,0,7
2021-06-07,7,2,0
2021-06-08,7,4,0
2021-06-09,10,1,0
2021-06-10,11,4,0
2021-06-11,14,3,2
2021-06-12,1,1,1
