,ethereum/go-ethereum,hyperledger/besu,NethermindEth/nethermind
2023-06-07,2,2,1
2023-06-08,1,3,0
2023-06-09,0,6,3
2023-06-10,0,0,1
2023-06-11,0,0,0
2023-06-12,0,3,7
2023-06-13,4,5,4
2023-06-14,3,4,9
2023-06-15,3,0,1
2023-06-16,2,2,1
2023-06-17,0,0,0
2023-06-18,2,0,0
2023-06-19,18,1,7
2023-06-20,5,4,3
2023-06-21,2,3,5
2023-06-22,2,5,4
2023-06-23,1,1,5
2023-06-24,0,0,0
2023-06-25,1,0,1
2023-06-26,0,1,3
2023-06-27,8,2,2
2023-06-28,3,5,1
2023-06-29,0,0,2
2023-06-30,0,3,3
2023-07-01,0,0,0
2023-07-02,1,0,0
2023-07-03,0,0,2
2023-07-04,1,2,2
2023-07-05,1,2,1
2023-07-06,5,0,7
2023-07-07,1,1,4
2023-07-08,0,0,0
2023-07-09,0,0,0
2023-07-10,1,0,2
2023-07-11,7,1,2
2023-07-12,4,1,1
2023-07-13,7,2,1
2023-07-14,5,0,3
2023-07-15,4,0,0
2023-07-16,0,0,0
2023-07-17,2,1,3
2023-07-18,2,1,3
2023-07-19,0,0,0
2023-07-20,0,1,1
2023-07-21,0,0,3
2023-07-22,0,0,0
2023-07-23,0,0,1
2023-07-24,5,3,3
2023-07-25,0,8,2
2023-07-26,0,6,1
2023-07-27,6,1,2
2023-07-28,1,0,2
2023-07-29,0,0,0
2023-07-30,0,0,1
2023-07-31,5,3,3
2023-08-01,9,1,4
2023-08-02,1,3,1
2023-08-03,1,0,1
2023-08-04,5,1,0
2023-08-05,0,0,0
2023-08-06,0,0,0
2023-08-07,4,0,0
2023-08-08,2,1,1
2023-08-09,3,1,3
2023-08-10,6,0,1
2023-08-11,7,0,2
2023-08-12,1,0,0
2023-08-13,0,0,1
2023-08-14,3,1,2
2023-08-15,4,2,0
2023-08-16,4,1,1
2023-08-17,2,3,3
2023-08-18,3,2,4
2023-08-19,0,0,0
2023-08-20,0,0,0
2023-08-21,2,3,3
2023-08-22,8,5,1
2023-08-23,18,3,3
2023-08-24,3,7,1
2023-08-25,7,2,2
2023-08-26,6,0,0
2023-08-27,0,1,0
2023-08-28,1,4,4
2023-08-29,1,1,2
2023-08-30,1,1,1
2023-08-31,4,1,4
2023-09-01,0,1,0
2023-09-02,0,0,1
2023-09-03,0,0,0
2023-09-04,2,0,2
2023-09-05,1,1,4
2023-09-06,2,2,4
2023-09-07,3,4,3
2023-09-08,2,1,0
2023-09-09,0,0,0
2023-09-10,0,0,0
2023-09-11,2,2,6
2023-09-12,2,0,0
2023-09-13,4,5,4
2023-09-14,8,2,0
2023-09-15,3,3,3
2023-09-16,0,0,0
2023-09-17,7,1,0
2023-09-18,0,2,5
2023-09-19,7,3,6
2023-09-20,1,3,1
2023-09-21,1,3,4
2023-09-22,6,3,3
2023-09-23,0,0,0
2023-09-24,0,1,0
2023-09-25,8,1,0
2023-09-26,5,4,5
2023-09-27,1,7,2
2023-09-28,8,6,3
2023-09-29,8,1,1
2023-09-30,0,1,0
2023-10-01,0,0,0
2023-10-02,1,1,1
2023-10-03,6,1,2
2023-10-04,3,1,1
2023-10-05,0,7,1
2023-10-06,0,2,1
2023-10-07,1,0,1
2023-10-08,0,1,0
2023-10-09,0,1,1
2023-10-10,8,6,1
2023-10-11,6,1,5
2023-10-12,3,2,1
2023-10-13,9,5,2
2023-10-14,0,0,1
2023-10-15,0,0,0
2023-10-16,2,0,0
2023-10-17,13,5,3
2023-10-18,1,4,4
2023-10-19,3,1,1
2023-10-20,1,2,0
2023-10-21,0,0,2
2023-10-22,2,0,0
2023-10-23,7,0,2
2023-10-24,0,2,3
2023-10-25,5,6,2
2023-10-26,1,4,2
2023-10-27,3,5,2
2023-10-28,0,0,1
2023-10-29,0,0,0
2023-10-30,0,1,7
2023-10-31,5,5,2
2023-11-01,0,2,1
2023-11-02,1,2,1
2023-11-03,2,2,1
2023-11-04,0,0,0
2023-11-05,0,0,0
2023-11-06,0,3,1
2023-11-07,4,2,1
2023-11-08,1,4,2
2023-11-09,3,2,3
2023-11-10,6,3,1
2023-11-11,0,0,0
2023-11-12,0,1,0
2023-11-13,0,2,0
2023-11-14,5,5,0
2023-11-15,7,1,0
2023-11-16,0,1,2
2023-11-17,2,2,0
2023-11-18,0,0,1
2023-11-19,0,0,0
2023-11-20,4,3,2
2023-11-21,6,6,4
2023-11-22,7,4,3
2023-11-23,3,1,1
2023-11-24,1,0,2
2023-11-25,1,0,1
2023-11-26,0,0,0
2023-11-27,2,0,1
2023-11-28,8,1,2
2023-11-29,2,3,2
2023-11-30,1,1,2
2023-12-01,3,4,2
2023-12-02,0,0,0
2023-12-03,0,0,0
2023-12-04,4,2,3
2023-12-05,3,5,2
2023-12-06,1,1,6
2023-12-07,2,11,2
2023-12-08,5,0,4
2023-12-09,0,0,0
2023-12-10,0,0,0
2023-12-11,0,4,7
2023-12-12,3,4,5
2023-12-13,2,3,4
2023-12-14,0,8,6
2023-12-15,1,0,3
2023-12-16,0,0,0
2023-12-17,0,0,0
2023-12-18,10,3,3
2023-12-19,5,0,4
2023-12-20,4,1,2
2023-12-21,1,1,3
2023-12-22,3,0,3
2023-12-23,0,0,1
2023-12-24,0,0,2
2023-12-25,0,0,0
2023-12-26,1,0,3
2023-12-27,0,0,3
2023-12-28,2,0,10
2023-12-29,0,0,4
2023-12-30,2,0,0
2023-12-31,0,1,0
2024-01-01,0,0,1
2024-01-02,2,0,3
2024-01-03,1,5,6
2024-01-04,2,2,5
2024-01-05,1,2,3
2024-01-06,0,1,1
2024-01-07,0,1,1
2024-01-08,4,5,4
2024-01-09,3,6,5
2024-01-10,3,3,5
2024-01-11,2,4,3
2024-01-12,9,7,10
2024-01-13,0,0,2
2024-01-14,2,1,3
2024-01-15,5,2,7
2024-01-16,2,2,6
2024-01-17,2,2,1
2024-01-18,1,3,1
2024-01-19,2,6,4
2024-01-20,1,0,1
2024-01-21,0,0,3
2024-01-22,1,4,5
2024-01-23,10,1,3
2024-01-24,4,6,3
2024-01-25,0,6,4
2024-01-26,1,1,5
2024-01-27,1,0,1
2024-01-28,0,0,2
2024-01-29,3,6,4
2024-01-30,1,10,5
2024-01-31,2,11,4
2024-02-01,0,3,0
2024-02-02,3,7,4
2024-02-03,0,0,0
2024-02-04,1,1,0
2024-02-05,4,0,1
2024-02-06,2,6,2
2024-02-07,5,4,1
2024-02-08,5,4,7
2024-02-09,6,2,8
2024-02-10,0,0,1
2024-02-11,0,0,6
2024-02-12,0,1,5
2024-02-13,3,2,6
2024-02-14,2,2,3
2024-02-15,9,4,3
2024-02-16,2,6,4
2024-02-17,1,0,3
2024-02-18,0,1,0
2024-02-19,4,3,2
2024-02-20,3,1,1
2024-02-21,5,4,1
2024-02-22,2,3,3
2024-02-23,1,0,7
2024-02-24,0,0,0
2024-02-25,0,0,1
2024-02-26,8,4,3
2024-02-27,4,5,2
2024-02-28,6,2,2
2024-02-29,5,3,4
2024-03-01,0,1,0
2024-03-02,2,1,0
2024-03-03,0,1,0
2024-03-04,9,3,0
2024-03-05,12,7,5
2024-03-06,8,1,2
2024-03-07,3,3,0
2024-03-08,2,2,2
2024-03-09,0,0,1
2024-03-10,1,0,0
2024-03-11,4,0,0
2024-03-12,6,7,2
2024-03-13,7,7,1
2024-03-14,2,3,3
2024-03-15,4,5,1
2024-03-16,0,2,0
2024-03-17,0,0,0
2024-03-18,2,5,0
2024-03-19,5,4,0
2024-03-20,11,1,5
2024-03-21,1,7,5
2024-03-22,5,5,1
2024-03-23,0,1,1
2024-03-24,1,0,0
2024-03-25,5,1,0
2024-03-26,6,9,0
2024-03-27,4,4,2
2024-03-28,6,3,6
2024-03-29,0,8,7
2024-03-30,0,2,0
2024-03-31,0,0,0
2024-04-01,3,1,2
2024-04-02,9,7,2
2024-04-03,1,11,2
2024-04-04,11,2,3
2024-04-05,2,3,0
2024-04-06,5,1,0
2024-04-07,0,0,0
2024-04-08,6,5,4
2024-04-09,7,9,2
2024-04-10,1,5,0
2024-04-11,2,2,1
2024-04-12,0,4,1
2024-04-13,0,0,0
2024-04-14,0,1,0
2024-04-15,5,3,4
2024-04-16,10,6,3
2024-04-17,4,3,0
2024-04-18,3,0,2
2024-04-19,3,1,1
2024-04-20,0,0,0
2024-04-21,2,0,0
2024-04-22,6,3,2
2024-04-23,6,4,0
2024-04-24,10,1,0
2024-04-25,7,0,1
2024-04-26,2,1,5
2024-04-27,0,0,1
2024-04-28,1,0,2
2024-04-29,1,0,2
2024-04-30,13,4,2
2024-05-01,0,8,0
2024-05-02,5,9,4
2024-05-03,0,8,5
2024-05-04,0,2,2
2024-05-05,0,0,1
2024-05-06,4,4,1
2024-05-07,4,9,5
2024-05-08,10,9,3
2024-05-09,4,1,2
2024-05-10,4,3,2
2024-05-11,0,0,0
2024-05-12,0,2,0
2024-05-13,2,1,3
2024-05-14,3,5,4
2024-05-15,1,3,5
2024-05-16,1,4,7
2024-05-17,0,2,2
2024-05-18,0,0,1
2024-05-19,0,1,0
2024-05-20,0,1,9
2024-05-21,2,1,8
2024-05-22,0,3,3
2024-05-23,7,2,3
2024-05-24,3,0,2
2024-05-25,0,0,0
2024-05-26,1,0,0
2024-05-27,4,2,5
2024-05-28,10,2,6
2024-05-29,11,2,10
2024-05-30,3,3,1
2024-05-31,3,3,5
2024-06-01,0,0,0
2024-06-02,0,0,2
2024-06-03,6,0,5
2024-06-04,4,3,3
2024-06-05,5,4,2
2024-06-06,6,4,5
2024-06-07,2,3,3
2024-06-08,2,1,2
2024-06-09,2,0,3
2024-06-10,2,0,7
2024-06-11,6,8,3
2024-06-12,4,7,3
2024-06-13,0,8,3
2024-06-14,1,3,2
2024-06-15,0,0,2
2024-06-16,0,1,0
2024-06-17,6,0,1
2024-06-18,1,1,0
2024-06-19,4,1,2
2024-06-20,2,2,5
2024-06-21,3,2,3
2024-06-22,0,0,0
2024-06-23,0,0,0
2024-06-24,0,6,2
2024-06-25,7,3,6
2024-06-26,0,2,1
2024-06-27,2,4,3
2024-06-28,5,6,0
2024-06-29,0,0,1
2024-06-30,0,0,0
2024-07-01,3,4,0
2024-07-02,4,1,1
2024-07-03,1,2,0
2024-07-04,0,2,2
2024-07-05,0,1,1
2024-07-06,0,0,0
2024-07-07,0,0,0
2024-07-08,0,0,1
2024-07-09,3,0,1
2024-07-10,0,5,2
2024-07-11,4,0,1
2024-07-12,0,5,0
2024-07-13,0,0,0
2024-07-14,0,1,0
2024-07-15,7,4,0
2024-07-16,5,6,1
2024-07-17,0,4,3
2024-07-18,2,5,1
2024-07-19,0,1,2
2024-07-20,0,0,0
2024-07-21,0,1,0
2024-07-22,4,1,0
2024-07-23,6,1,2
2024-07-24,3,2,2
2024-07-25,0,4,1
2024-07-26,1,2,1
2024-07-27,1,0,0
2024-07-28,0,2,0
2024-07-29,0,3,0
2024-07-30,1,4,1
2024-07-31,1,6,4
2024-08-01,4,5,0
2024-08-02,3,6,2
2024-08-03,0,0,0
2024-08-04,0,0,0
2024-08-05,1,1,1
2024-08-06,4,1,1
2024-08-07,0,1,1
2024-08-08,6,1,1
2024-08-09,1,0,1
2024-08-10,1,0,0
2024-08-11,0,0,0
2024-08-12,6,8,1
2024-08-13,1,7,0
2024-08-14,1,7,4
2024-08-15,6,3,0
2024-08-16,3,9,2
2024-08-17,0,1,0
2024-08-18,0,0,1
2024-08-19,4,6,0
2024-08-20,10,7,2
2024-08-21,3,4,4
2024-08-22,1,0,1
2024-08-23,6,4,2
2024-08-24,0,0,7
2024-08-25,0,0,0
2024-08-26,4,3,5
2024-08-27,2,3,1
2024-08-28,2,5,0
2024-08-29,1,3,1
2024-08-30,1,6,0
2024-08-31,0,0,0
2024-09-01,0,2,0
2024-09-02,2,5,4
2024-09-03,1,5,6
2024-09-04,5,3,4
2024-09-05,2,6,0
2024-09-06,5,2,0
2024-09-07,0,0,0
2024-09-08,0,0,0
2024-09-09,0,2,1
2024-09-10,1,6,3
2024-09-11,1,2,6
2024-09-12,1,2,0
2024-09-13,4,2,3
2024-09-14,2,0,1
2024-09-15,1,0,0
2024-09-16,4,3,5
2024-09-17,1,0,1
2024-09-18,3,6,4
2024-09-19,4,2,1
2024-09-20,2,10,3
2024-09-21,0,2,2
2024-09-22,1,0,2
2024-09-23,4,2,5
2024-09-24,4,5,1
2024-09-25,0,1,5
2024-09-26,3,1,3
2024-09-27,6,1,5
2024-09-28,0,0,1
2024-09-29,0,2,1
2024-09-30,5,6,8
2024-10-01,6,6,1
2024-10-02,2,5,1
2024-10-03,0,3,2
2024-10-04,1,5,5
2024-10-05,0,0,2
2024-10-06,0,0,0
2024-10-07,0,4,7
2024-10-08,1,0,0
2024-10-09,2,4,9
2024-10-10,3,3,4
2024-10-11,1,4,3
2024-10-12,1,0,0
2024-10-13,2,0,3
2024-10-14,3,3,3
2024-10-15,5,8,1
2024-10-16,2,0,6
2024-10-17,4,2,2
2024-10-18,4,3,2
2024-10-19,0,0,1
2024-10-20,7,0,1
2024-10-21,2,3,4
2024-10-22,0,4,3
2024-10-23,5,2,3
2024-10-24,2,5,12
2024-10-25,2,1,1
2024-10-26,0,0,3
2024-10-27,0,1,2
2024-10-28,2,2,11
2024-10-29,4,3,6
2024-10-30,2,4,4
2024-10-31,5,5,6
2024-11-01,1,0,3
2024-11-02,0,0,2
2024-11-03,1,2,0
2024-11-04,6,4,4
2024-11-05,2,2,12
2024-11-06,1,3,7
2024-11-07,1,0,1
2024-11-08,9,6,1
2024-11-09,2,0,2
2024-11-10,1,0,0
2024-11-11,2,0,1
2024-11-12,0,0,2
2024-11-13,0,1,2
2024-11-14,0,3,1
2024-11-15,3,0,0
2024-11-16,0,0,0
2024-11-17,0,0,0
2024-11-18,0,0,0
2024-11-19,7,7,2
2024-11-20,2,8,7
2024-11-21,0,0,7
2024-11-22,5,3,3
2024-11-23,0,0,1
2024-11-24,1,2,1
2024-11-25,5,7,5
2024-11-26,4,3,8
2024-11-27,1,5,2
2024-11-28,5,1,9
2024-11-29,4,6,6
2024-11-30,0,0,0
2024-12-01,0,0,2
2024-12-02,3,1,10
2024-12-03,2,3,3
2024-12-04,2,3,1
2024-12-05,0,5,8
2024-12-06,1,4,3
2024-12-07,0,0,1
2024-12-08,0,1,0
