,ray-project/ray,DLR-RM/stable-baselines3,hill-a/stable-baselines
2020-11-24,16,1,0
2020-11-25,26,0,0
2020-11-26,8,0,0
2020-11-27,3,0,0
2020-11-28,6,0,0
2020-11-29,2,0,0
2020-11-30,10,0,0
2020-12-01,19,0,0
2020-12-02,15,1,0
2020-12-03,9,0,0
2020-12-04,7,0,0
2020-12-05,1,0,0
2020-12-06,0,1,0
2020-12-07,7,0,0
2020-12-08,13,1,0
2020-12-09,22,0,0
2020-12-10,13,1,0
2020-12-11,19,0,0
2020-12-12,15,0,0
2020-12-13,4,1,0
2020-12-14,12,0,0
2020-12-15,17,0,0
2020-12-16,7,0,0
2020-12-17,9,0,0
2020-12-18,13,0,0
2020-12-19,8,0,0
2020-12-20,12,0,0
2020-12-21,14,1,0
2020-12-22,6,0,0
2020-12-23,13,0,1
2020-12-24,9,0,0
2020-12-25,2,0,0
2020-12-26,0,0,0
2020-12-27,3,0,0
2020-12-28,3,0,0
2020-12-29,10,0,0
2020-12-30,5,0,0
2020-12-31,9,0,0
2021-01-01,1,0,0
2021-01-02,5,0,0
2021-01-03,0,0,0
2021-01-04,7,1,0
2021-01-05,14,0,0
2021-01-06,12,0,0
2021-01-07,12,0,0
2021-01-08,11,1,0
2021-01-09,5,0,0
2021-01-10,2,0,0
2021-01-11,8,1,0
2021-01-12,11,0,0
2021-01-13,13,0,0
2021-01-14,26,0,0
2021-01-15,8,0,0
2021-01-16,6,0,0
2021-01-17,2,0,0
2021-01-18,6,0,0
2021-01-19,18,0,0
2021-01-20,11,0,0
2021-01-21,8,1,0
2021-01-22,15,0,0
2021-01-23,5,0,0
2021-01-24,2,0,0
2021-01-25,11,0,0
2021-01-26,16,0,0
2021-01-27,16,0,0
2021-01-28,17,0,0
2021-01-29,13,0,0
2021-01-30,3,0,0
2021-01-31,0,0,0
2021-02-01,12,2,0
2021-02-02,17,0,0
2021-02-03,10,0,0
2021-02-04,13,0,0
2021-02-05,10,0,0
2021-02-06,3,1,0
2021-02-07,2,0,0
2021-02-08,10,0,0
2021-02-09,10,0,0
2021-02-10,15,0,0
2021-02-11,9,0,0
2021-02-12,6,0,0
2021-02-13,2,0,0
2021-02-14,2,0,0
2021-02-15,11,0,0
2021-02-16,14,0,0
2021-02-17,12,0,0
2021-02-18,15,0,0
2021-02-19,11,1,0
2021-02-20,7,0,0
2021-02-21,0,0,0
2021-02-22,14,0,0
2021-02-23,19,0,0
2021-02-24,12,0,0
2021-02-25,17,0,0
2021-02-26,14,0,0
2021-02-27,1,3,0
2021-02-28,1,0,0
2021-03-01,11,2,0
2021-03-02,16,0,0
2021-03-03,18,0,0
2021-03-04,12,0,0
2021-03-05,4,1,0
2021-03-06,3,2,0
2021-03-07,1,0,0
2021-03-08,8,0,0
2021-03-09,15,0,0
2021-03-10,11,0,0
2021-03-11,7,0,0
2021-03-12,12,0,0
2021-03-13,2,0,0
2021-03-14,0,0,0
2021-03-15,19,0,0
2021-03-16,11,0,0
2021-03-17,16,1,0
2021-03-18,18,0,0
2021-03-19,12,1,0
2021-03-20,6,1,0
2021-03-21,0,0,0
2021-03-22,11,0,0
2021-03-23,19,0,0
2021-03-24,20,0,0
2021-03-25,12,1,0
2021-03-26,4,0,0
2021-03-27,1,0,0
2021-03-28,2,0,0
2021-03-29,14,0,0
2021-03-30,14,0,0
2021-03-31,15,1,0
2021-04-01,12,0,0
2021-04-02,17,1,0
2021-04-03,4,0,0
2021-04-04,2,0,0
2021-04-05,9,0,0
2021-04-06,10,0,0
2021-04-07,14,0,0
2021-04-08,12,0,0
2021-04-09,7,0,0
2021-04-10,2,1,0
2021-04-11,5,0,0
2021-04-12,8,0,0
2021-04-13,9,1,0
2021-04-14,10,0,0
2021-04-15,23,1,0
2021-04-16,5,1,0
2021-04-17,2,0,0
2021-04-18,1,0,0
2021-04-19,4,1,1
2021-04-20,7,0,0
2021-04-21,5,0,0
2021-04-22,14,0,0
2021-04-23,14,0,0
2021-04-24,1,0,0
2021-04-25,0,0,0
2021-04-26,8,1,0
2021-04-27,19,0,0
2021-04-28,2,0,0
2021-04-29,14,0,0
2021-04-30,3,0,0
2021-05-01,1,0,0
2021-05-02,0,0,0
2021-05-03,5,0,0
2021-05-04,12,1,0
2021-05-05,9,0,0
2021-05-06,5,0,0
2021-05-07,3,0,0
2021-05-08,2,0,0
2021-05-09,1,0,0
2021-05-10,9,1,0
2021-05-11,9,1,0
2021-05-12,11,1,0
2021-05-13,20,0,0
2021-05-14,5,0,0
2021-05-15,3,0,0
2021-05-16,5,1,0
2021-05-17,8,0,0
2021-05-18,17,0,0
2021-05-19,20,0,0
2021-05-20,15,1,0
2021-05-21,22,0,0
2021-05-22,1,0,0
2021-05-23,0,2,0
2021-05-24,9,0,0
2021-05-25,8,0,0
2021-05-26,12,0,0
2021-05-27,15,0,0
2021-05-28,7,1,0
2021-05-29,2,0,0
2021-05-30,0,0,0
2021-05-31,5,0,0
2021-06-01,14,0,0
2021-06-02,11,0,1
2021-06-03,7,0,0
2021-06-04,19,0,0
2021-06-05,11,0,0
2021-06-06,3,0,0
2021-06-07,7,1,0
2021-06-08,14,0,0
2021-06-09,12,0,0
2021-06-10,18,0,0
2021-06-11,11,0,0
2021-06-12,4,0,0
2021-06-13,1,0,0
2021-06-14,5,1,0
2021-06-15,14,0,0
2021-06-16,15,0,0
2021-06-17,18,0,0
2021-06-18,23,0,0
2021-06-19,9,0,0
2021-06-20,3,0,0
2021-06-21,13,0,0
2021-06-22,8,1,0
2021-06-23,11,0,0
2021-06-24,11,0,0
2021-06-25,16,0,0
2021-06-26,4,0,0
2021-06-27,0,0,0
2021-06-28,8,0,0
2021-06-29,16,0,0
2021-06-30,13,0,0
