,pi-hole/pi-hole,AdguardTeam/AdGuardHome,NLnetLabs/unbound
2019-02-19,1,16,0
2019-02-20,0,11,1
2019-02-21,0,8,3
2019-02-22,4,10,0
2019-02-23,3,0,0
2019-02-24,0,2,0
2019-02-25,0,10,1
2019-02-26,0,2,0
2019-02-27,1,30,4
2019-02-28,0,13,3
2019-03-01,2,2,1
2019-03-02,2,0,7
2019-03-03,1,0,0
2019-03-04,0,0,0
2019-03-05,0,1,1
2019-03-06,0,13,0
2019-03-07,0,6,1
2019-03-08,0,0,0
2019-03-09,0,0,0
2019-03-10,0,0,0
2019-03-11,0,4,0
2019-03-12,0,4,1
2019-03-13,0,1,0
2019-03-14,2,2,0
2019-03-15,2,21,0
2019-03-16,1,0,0
2019-03-17,0,0,0
2019-03-18,0,2,2
2019-03-19,0,18,1
2019-03-20,0,12,0
2019-03-21,0,0,1
2019-03-22,0,7,0
2019-03-23,1,0,0
2019-03-24,1,3,1
2019-03-25,0,0,2
2019-03-26,0,1,0
2019-03-27,0,2,0
2019-03-28,0,7,0
2019-03-29,2,2,0
2019-03-30,0,0,0
2019-03-31,0,0,0
2019-04-01,0,1,0
2019-04-02,0,1,3
2019-04-03,0,1,3
2019-04-04,0,14,1
2019-04-05,0,3,4
2019-04-06,0,0,0
2019-04-07,2,0,0
2019-04-08,0,0,5
2019-04-09,0,0,0
2019-04-10,0,0,1
2019-04-11,0,1,6
2019-04-12,0,0,0
2019-04-13,0,0,0
2019-04-14,1,0,0
2019-04-15,0,5,1
2019-04-16,1,6,2
2019-04-17,1,5,0
2019-04-18,0,2,13
2019-04-19,0,0,0
2019-04-20,0,0,0
2019-04-21,0,0,0
2019-04-22,0,2,0
2019-04-23,3,34,0
2019-04-24,9,5,0
2019-04-25,10,0,7
2019-04-26,12,0,0
2019-04-27,4,0,0
2019-04-28,5,2,0
2019-04-29,3,0,15
2019-04-30,1,0,0
2019-05-01,14,0,12
2019-05-02,1,0,4
2019-05-03,4,0,1
2019-05-04,8,0,2
2019-05-05,2,0,1
2019-05-06,0,2,3
2019-05-07,3,0,2
2019-05-08,2,1,1
2019-05-09,1,0,1
2019-05-10,2,0,0
2019-05-11,3,0,0
2019-05-12,6,0,0
2019-05-13,0,4,2
2019-05-14,3,2,0
2019-05-15,0,6,0
2019-05-16,0,0,2
2019-05-17,1,21,0
2019-05-18,2,0,1
2019-05-19,1,0,0
2019-05-20,0,3,1
2019-05-21,6,0,0
2019-05-22,1,0,0
2019-05-23,0,2,0
2019-05-24,0,5,1
2019-05-25,0,0,0
2019-05-26,0,0,0
2019-05-27,2,4,1
2019-05-28,0,45,2
2019-05-29,0,1,1
2019-05-30,6,4,0
2019-05-31,4,4,0
2019-06-01,3,0,0
2019-06-02,0,0,0
2019-06-03,4,13,1
2019-06-04,1,11,3
2019-06-05,2,2,1
2019-06-06,0,23,1
2019-06-07,0,5,0
2019-06-08,0,0,0
2019-06-09,0,0,0
2019-06-10,3,2,0
2019-06-11,0,0,2
2019-06-12,1,0,9
2019-06-13,1,0,0
2019-06-14,1,0,1
2019-06-15,4,0,0
2019-06-16,9,0,0
2019-06-17,3,0,3
2019-06-18,0,1,10
2019-06-19,0,0,0
2019-06-20,0,2,0
2019-06-21,0,0,0
2019-06-22,0,0,0
2019-06-23,0,0,0
2019-06-24,0,1,2
2019-06-25,2,3,2
2019-06-26,1,4,0
2019-06-27,2,11,0
2019-06-28,0,0,0
2019-06-29,3,0,0
2019-06-30,10,0,0
2019-07-01,2,6,0
2019-07-02,0,4,0
2019-07-03,5,2,0
2019-07-04,5,4,0
2019-07-05,7,18,1
2019-07-06,6,0,0
2019-07-07,3,0,0
2019-07-08,5,4,0
2019-07-09,3,2,1
2019-07-10,3,0,0
2019-07-11,4,0,0
2019-07-12,1,2,1
2019-07-13,1,0,0
2019-07-14,0,0,0
2019-07-15,0,7,0
2019-07-16,0,8,2
2019-07-17,0,4,0
2019-07-18,1,0,0
2019-07-19,0,13,2
2019-07-20,4,0,0
2019-07-21,0,0,0
2019-07-22,5,4,0
2019-07-23,0,3,1
2019-07-24,0,6,0
2019-07-25,0,0,0
2019-07-26,0,0,0
2019-07-27,0,0,0
2019-07-28,0,0,0
2019-07-29,1,5,3
2019-07-30,1,0,0
2019-07-31,0,4,0
2019-08-01,0,0,6
2019-08-02,0,4,0
2019-08-03,0,0,0
2019-08-04,1,0,0
2019-08-05,7,13,0
2019-08-06,1,1,0
2019-08-07,0,1,2
2019-08-08,0,4,3
2019-08-09,0,0,0
2019-08-10,0,0,0
2019-08-11,0,1,0
2019-08-12,1,0,3
2019-08-13,0,7,1
2019-08-14,2,3,6
2019-08-15,1,0,7
2019-08-16,0,8,5
2019-08-17,1,0,0
2019-08-18,0,0,0
2019-08-19,0,5,1
2019-08-20,7,7,0
2019-08-21,17,1,1
2019-08-22,6,7,4
2019-08-23,1,6,3
2019-08-24,2,0,0
2019-08-25,1,0,0
2019-08-26,2,1,0
2019-08-27,1,1,1
2019-08-28,0,1,0
2019-08-29,1,4,0
2019-08-30,1,6,0
2019-08-31,2,0,0
2019-09-01,3,0,0
2019-09-02,1,3,3
2019-09-03,2,2,1
2019-09-04,2,17,1
2019-09-05,0,0,0
2019-09-06,1,0,0
2019-09-07,6,0,0
2019-09-08,1,0,0
2019-09-09,0,2,5
2019-09-10,0,1,0
2019-09-11,0,3,1
2019-09-12,0,19,0
2019-09-13,0,3,0
2019-09-14,0,0,0
2019-09-15,1,0,0
2019-09-16,0,6,0
2019-09-17,3,5,0
2019-09-18,1,0,1
2019-09-19,0,10,11
2019-09-20,0,0,8
2019-09-21,0,0,1
2019-09-22,2,0,0
2019-09-23,0,9,2
2019-09-24,0,0,1
2019-09-25,0,4,1
2019-09-26,3,11,3
2019-09-27,0,7,0
2019-09-28,0,0,0
2019-09-29,2,0,0
2019-09-30,0,1,0
2019-10-01,0,1,0
2019-10-02,0,9,1
2019-10-03,2,2,8
2019-10-04,0,3,0
2019-10-05,0,0,0
2019-10-06,2,0,0
2019-10-07,0,2,1
2019-10-08,0,1,0
2019-10-09,0,15,0
2019-10-10,0,9,0
2019-10-11,0,6,0
2019-10-12,0,0,0
2019-10-13,1,0,0
2019-10-14,4,3,0
2019-10-15,2,7,0
2019-10-16,3,4,0
2019-10-17,0,2,0
2019-10-18,0,5,0
2019-10-19,0,0,0
2019-10-20,0,0,0
2019-10-21,0,6,3
2019-10-22,0,12,3
2019-10-23,0,10,3
2019-10-24,0,3,1
2019-10-25,0,3,0
2019-10-26,0,0,0
2019-10-27,2,0,0
2019-10-28,2,0,0
2019-10-29,0,0,0
2019-10-30,1,0,0
2019-10-31,0,0,0
2019-11-01,0,0,1
2019-11-02,0,0,1
2019-11-03,0,0,0
2019-11-04,0,0,1
2019-11-05,1,0,0
2019-11-06,0,0,0
2019-11-07,1,6,0
2019-11-08,3,2,0
2019-11-09,0,0,0
2019-11-10,0,0,0
2019-11-11,2,3,3
2019-11-12,3,3,0
2019-11-13,2,0,3
2019-11-14,1,0,0
2019-11-15,1,0,0
2019-11-16,1,0,0
2019-11-17,0,0,0
2019-11-18,0,0,5
2019-11-19,0,14,13
2019-11-20,0,21,27
2019-11-21,0,4,0
2019-11-22,0,2,4
2019-11-23,0,0,0
2019-11-24,0,0,0
2019-11-25,1,6,1
2019-11-26,2,11,1
2019-11-27,3,3,0
2019-11-28,0,0,0
2019-11-29,2,15,0
2019-11-30,8,0,0
2019-12-01,4,0,0
2019-12-02,1,12,2
2019-12-03,0,8,20
2019-12-04,5,2,4
2019-12-05,0,8,2
2019-12-06,0,0,2
2019-12-07,1,0,0
2019-12-08,1,0,0
2019-12-09,8,1,0
2019-12-10,0,13,2
2019-12-11,4,3,0
2019-12-12,12,6,4
2019-12-13,0,8,0
2019-12-14,0,0,0
2019-12-15,2,0,0
2019-12-16,2,2,1
2019-12-17,0,7,0
2019-12-18,1,1,0
2019-12-19,0,10,1
2019-12-20,3,12,0
2019-12-21,2,0,0
2019-12-22,0,0,0
2019-12-23,0,13,2
2019-12-24,0,3,0
2019-12-25,0,7,0
2019-12-26,0,0,0
2019-12-27,0,0,0
2019-12-28,2,0,0
2019-12-29,3,0,0
2019-12-30,2,0,0
2019-12-31,0,1,0
2020-01-01,5,0,0
2020-01-02,1,0,0
2020-01-03,0,0,0
2020-01-04,1,0,0
2020-01-05,1,0,0
2020-01-06,0,0,3
2020-01-07,0,0,2
2020-01-08,0,0,7
2020-01-09,0,4,0
2020-01-10,0,14,2
2020-01-11,0,0,0
2020-01-12,1,0,0
2020-01-13,1,3,0
2020-01-14,2,4,4
2020-01-15,0,7,8
2020-01-16,0,15,6
2020-01-17,0,5,0
2020-01-18,0,0,0
2020-01-19,2,0,0
2020-01-20,3,6,5
2020-01-21,0,5,7
2020-01-22,0,3,6
2020-01-23,1,0,21
2020-01-24,2,1,0
2020-01-25,1,0,0
2020-01-26,0,0,0
2020-01-27,2,0,17
2020-01-28,0,10,18
2020-01-29,0,1,14
2020-01-30,0,12,32
2020-01-31,0,15,12
2020-02-01,0,0,0
2020-02-02,1,0,0
2020-02-03,0,2,5
2020-02-04,0,3,3
2020-02-05,1,3,6
2020-02-06,0,1,10
2020-02-07,1,5,0
2020-02-08,2,0,0
2020-02-09,0,0,0
2020-02-10,0,0,3
2020-02-11,1,1,0
2020-02-12,7,4,14
2020-02-13,0,12,0
2020-02-14,1,1,12
2020-02-15,0,0,0
2020-02-16,4,0,0
2020-02-17,11,0,7
2020-02-18,0,2,6
2020-02-19,3,0,1
2020-02-20,1,4,6
2020-02-21,3,4,0
2020-02-22,2,0,1
2020-02-23,2,0,0
2020-02-24,9,0,2
2020-02-25,3,0,2
2020-02-26,0,1,5
2020-02-27,0,1,11
2020-02-28,5,4,18
2020-02-29,0,0,0
2020-03-01,2,0,2
2020-03-02,4,5,11
2020-03-03,1,0,3
2020-03-04,0,0,5
2020-03-05,0,1,5
2020-03-06,0,0,2
2020-03-07,0,0,0
2020-03-08,3,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,4,3,6
2020-03-12,1,1,1
2020-03-13,0,4,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,5,1
2020-03-17,0,16,2
2020-03-18,1,5,0
2020-03-19,0,3,11
2020-03-20,0,6,6
2020-03-21,0,1,0
2020-03-22,0,0,0
2020-03-23,0,1,3
2020-03-24,1,3,5
2020-03-25,0,0,4
2020-03-26,0,0,2
2020-03-27,3,0,3
2020-03-28,0,0,0
2020-03-29,0,0,3
2020-03-30,0,0,8
2020-03-31,4,0,2
2020-04-01,2,1,4
2020-04-02,1,0,2
2020-04-03,2,1,0
2020-04-04,2,0,0
2020-04-05,7,3,0
2020-04-06,0,3,2
2020-04-07,0,16,3
2020-04-08,3,15,0
2020-04-09,2,7,0
2020-04-10,1,0,0
2020-04-11,1,0,0
2020-04-12,0,0,0
2020-04-13,1,5,0
2020-04-14,0,0,2
2020-04-15,1,7,1
2020-04-16,1,5,6
2020-04-17,0,1,6
2020-04-18,4,0,0
2020-04-19,5,0,0
2020-04-20,1,0,4
2020-04-21,7,4,5
2020-04-22,0,13,2
2020-04-23,3,4,0
2020-04-24,2,14,0
2020-04-25,0,0,0
2020-04-26,4,1,0
2020-04-27,0,4,0
2020-04-28,5,1,0
2020-04-29,2,1,1
2020-04-30,0,3,0
2020-05-01,2,1,0
2020-05-02,1,3,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,3,1,0
2020-05-06,2,1,0
2020-05-07,2,2,2
2020-05-08,0,6,2
2020-05-09,0,0,0
2020-05-10,1,0,4
2020-05-11,1,1,0
2020-05-12,10,2,1
2020-05-13,4,4,1
2020-05-14,3,16,0
2020-05-15,2,2,6
2020-05-16,1,0,0
2020-05-17,0,0,0
2020-05-18,1,4,5
2020-05-19,1,0,4
2020-05-20,2,2,1
2020-05-21,4,4,1
2020-05-22,1,1,0
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,4,6,2
2020-05-26,3,8,3
2020-05-27,1,5,2
2020-05-28,2,3,0
2020-05-29,0,11,0
2020-05-30,5,0,0
2020-05-31,1,0,0
2020-06-01,4,3,0
2020-06-02,1,3,0
2020-06-03,3,2,6
2020-06-04,4,0,0
2020-06-05,5,4,0
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,0,0,1
2020-06-09,0,0,2
2020-06-10,0,2,0
2020-06-11,0,4,0
2020-06-12,0,0,0
2020-06-13,6,0,0
2020-06-14,1,2,0
2020-06-15,3,0,0
2020-06-16,0,6,0
2020-06-17,0,4,2
2020-06-18,0,5,0
2020-06-19,0,3,4
2020-06-20,0,0,0
2020-06-21,4,0,0
2020-06-22,0,0,0
2020-06-23,1,8,2
2020-06-24,0,0,16
2020-06-25,1,0,7
2020-06-26,0,4,2
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,5,0
2020-06-30,1,0,5
2020-07-01,2,0,0
2020-07-02,3,2,0
2020-07-03,0,14,0
2020-07-04,0,0,0
2020-07-05,4,2,0
2020-07-06,1,5,1
2020-07-07,0,0,2
2020-07-08,0,2,2
2020-07-09,0,2,14
2020-07-10,0,10,3
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,1,6,6
2020-07-14,1,5,1
2020-07-15,12,3,8
2020-07-16,3,5,12
2020-07-17,0,4,5
2020-07-18,1,0,0
2020-07-19,0,0,0
2020-07-20,3,10,6
2020-07-21,8,3,0
2020-07-22,4,5,6
2020-07-23,2,6,4
2020-07-24,1,19,2
2020-07-25,0,0,0
2020-07-26,3,0,0
2020-07-27,2,3,14
2020-07-28,5,0,0
2020-07-29,0,0,4
2020-07-30,7,1,4
2020-07-31,1,3,5
2020-08-01,1,6,0
2020-08-02,4,0,0
2020-08-03,3,8,1
2020-08-04,2,2,9
2020-08-05,0,0,5
2020-08-06,0,0,6
2020-08-07,0,1,0
2020-08-08,0,0,0
2020-08-09,3,0,0
2020-08-10,2,0,7
2020-08-11,2,0,0
2020-08-12,0,3,0
2020-08-13,0,7,1
2020-08-14,3,3,0
2020-08-15,1,0,0
2020-08-16,0,0,0
2020-08-17,2,0,0
2020-08-18,1,2,0
2020-08-19,0,4,0
2020-08-20,0,10,1
2020-08-21,0,1,0
2020-08-22,0,0,0
2020-08-23,4,0,0
2020-08-24,0,1,3
2020-08-25,0,6,2
2020-08-26,0,3,1
2020-08-27,0,2,5
2020-08-28,0,3,1
2020-08-29,0,0,0
2020-08-30,0,0,1
2020-08-31,0,1,4
2020-09-01,0,3,0
2020-09-02,0,7,0
2020-09-03,0,5,0
2020-09-04,0,10,0
2020-09-05,0,1,0
2020-09-06,3,0,0
2020-09-07,5,11,0
2020-09-08,1,18,0
2020-09-09,0,15,1
2020-09-10,0,4,2
2020-09-11,0,8,1
2020-09-12,0,0,0
2020-09-13,0,0,0
2020-09-14,0,4,0
2020-09-15,0,3,3
2020-09-16,0,5,2
2020-09-17,2,1,0
2020-09-18,0,3,4
2020-09-19,0,0,2
2020-09-20,0,0,0
2020-09-21,1,1,6
2020-09-22,0,2,0
2020-09-23,0,4,7
2020-09-24,0,3,0
2020-09-25,1,0,0
2020-09-26,0,0,0
2020-09-27,0,0,0
2020-09-28,2,2,0
2020-09-29,0,0,2
2020-09-30,0,0,7
2020-10-01,0,0,1
2020-10-02,1,3,0
2020-10-03,1,0,0
2020-10-04,0,0,0
2020-10-05,0,2,0
2020-10-06,0,6,3
2020-10-07,0,3,0
2020-10-08,0,3,2
2020-10-09,6,2,15
2020-10-10,2,0,0
2020-10-11,0,0,0
2020-10-12,2,2,0
2020-10-13,1,1,2
2020-10-14,2,2,8
2020-10-15,0,2,6
2020-10-16,0,0,4
2020-10-17,0,0,0
2020-10-18,1,0,0
2020-10-19,1,0,19
2020-10-20,0,1,1
2020-10-21,1,0,19
2020-10-22,1,7,7
2020-10-23,10,0,9
2020-10-24,0,0,0
2020-10-25,0,0,0
2020-10-26,2,0,1
2020-10-27,7,0,2
2020-10-28,1,2,2
2020-10-29,1,4,5
