,facebook/docusaurus,docsifyjs/docsify,mkdocs/mkdocs
2017-12-13,10,1,0
2017-12-14,21,8,0
2017-12-15,1,0,0
2017-12-16,0,1,0
2017-12-17,3,0,0
2017-12-18,16,0,1
2017-12-19,7,0,0
2017-12-20,16,0,0
2017-12-21,2,0,0
2017-12-22,1,0,0
2017-12-23,0,0,0
2017-12-24,0,1,0
2017-12-25,0,1,0
2017-12-26,0,1,0
2017-12-27,5,0,0
2017-12-28,2,0,0
2017-12-29,0,3,1
2017-12-30,0,0,0
2017-12-31,0,0,0
2018-01-01,0,0,1
2018-01-02,0,0,0
2018-01-03,1,1,0
2018-01-04,7,0,0
2018-01-05,0,1,1
2018-01-06,0,0,0
2018-01-07,0,0,0
2018-01-08,2,0,0
2018-01-09,3,0,0
2018-01-10,0,0,0
2018-01-11,2,0,0
2018-01-12,6,1,0
2018-01-13,0,0,0
2018-01-14,0,1,0
2018-01-15,0,0,0
2018-01-16,0,0,0
2018-01-17,0,0,0
2018-01-18,3,0,0
2018-01-19,0,2,0
2018-01-20,1,2,2
2018-01-21,0,0,1
2018-01-22,3,0,0
2018-01-23,3,3,1
2018-01-24,1,1,0
2018-01-25,0,0,1
2018-01-26,2,0,0
2018-01-27,0,0,1
2018-01-28,0,0,0
2018-01-29,0,1,2
2018-01-30,1,0,0
2018-01-31,0,1,0
2018-02-01,3,0,0
2018-02-02,1,0,3
2018-02-03,1,0,1
2018-02-04,1,1,0
2018-02-05,0,1,0
2018-02-06,1,0,1
2018-02-07,0,7,0
2018-02-08,0,0,0
2018-02-09,0,0,0
2018-02-10,0,0,0
2018-02-11,2,36,0
2018-02-12,3,8,0
2018-02-13,3,1,0
2018-02-14,0,3,0
2018-02-15,1,5,0
2018-02-16,1,0,0
2018-02-17,5,0,0
2018-02-18,0,0,0
2018-02-19,1,0,0
2018-02-20,1,0,0
2018-02-21,0,0,0
2018-02-22,0,0,1
2018-02-23,0,2,0
2018-02-24,0,0,0
2018-02-25,0,0,0
2018-02-26,2,0,0
2018-02-27,1,0,0
2018-02-28,3,0,0
2018-03-01,1,6,0
2018-03-02,0,0,0
2018-03-03,0,12,0
2018-03-04,5,0,0
2018-03-05,0,0,0
2018-03-06,0,3,1
2018-03-07,4,1,0
2018-03-08,3,0,0
2018-03-09,0,0,3
2018-03-10,0,3,1
2018-03-11,0,0,0
2018-03-12,4,0,0
2018-03-13,5,0,0
2018-03-14,1,0,0
2018-03-15,3,0,1
2018-03-16,3,0,1
2018-03-17,0,0,0
2018-03-18,0,0,0
2018-03-19,5,3,0
2018-03-20,0,0,0
2018-03-21,0,0,0
2018-03-22,0,0,0
2018-03-23,0,0,0
2018-03-24,0,0,0
2018-03-25,0,0,0
2018-03-26,0,0,0
2018-03-27,0,1,0
2018-03-28,1,0,0
2018-03-29,0,0,1
2018-03-30,0,0,0
2018-03-31,0,0,0
2018-04-01,0,0,0
2018-04-02,0,0,0
2018-04-03,0,3,2
2018-04-04,2,0,3
2018-04-05,0,0,1
2018-04-06,1,0,2
2018-04-07,0,0,0
2018-04-08,4,0,0
2018-04-09,3,0,1
2018-04-10,4,2,0
2018-04-11,1,0,1
2018-04-12,14,0,1
2018-04-13,1,0,0
2018-04-14,4,0,0
2018-04-15,2,0,0
2018-04-16,0,0,0
2018-04-17,5,0,0
2018-04-18,6,0,0
2018-04-19,1,0,0
2018-04-20,3,0,0
2018-04-21,0,0,0
2018-04-22,0,0,0
2018-04-23,12,0,0
2018-04-24,2,0,0
2018-04-25,2,0,0
2018-04-26,2,2,0
2018-04-27,3,0,0
2018-04-28,4,0,0
2018-04-29,4,0,0
2018-04-30,2,0,0
2018-05-01,0,0,0
2018-05-02,2,1,0
2018-05-03,9,0,0
2018-05-04,4,0,0
2018-05-05,0,0,0
2018-05-06,10,1,0
2018-05-07,2,0,0
2018-05-08,3,0,0
2018-05-09,2,1,1
2018-05-10,2,0,0
2018-05-11,2,0,0
2018-05-12,1,0,0
2018-05-13,0,0,0
2018-05-14,0,0,0
2018-05-15,0,0,0
2018-05-16,2,0,0
2018-05-17,4,1,0
2018-05-18,2,0,0
2018-05-19,3,0,0
2018-05-20,0,0,0
2018-05-21,7,0,0
2018-05-22,2,0,0
2018-05-23,5,2,3
2018-05-24,1,0,0
2018-05-25,1,0,0
2018-05-26,5,0,0
2018-05-27,0,0,0
2018-05-28,0,0,0
2018-05-29,1,0,0
2018-05-30,1,0,0
2018-05-31,3,0,0
2018-06-01,0,0,0
2018-06-02,5,0,0
2018-06-03,1,0,0
2018-06-04,0,1,0
2018-06-05,0,0,0
2018-06-06,5,0,0
2018-06-07,3,0,0
2018-06-08,1,0,0
2018-06-09,2,0,0
2018-06-10,9,0,0
2018-06-11,6,0,0
2018-06-12,4,0,0
2018-06-13,0,0,0
2018-06-14,2,0,0
2018-06-15,5,0,0
2018-06-16,4,0,0
2018-06-17,4,0,0
2018-06-18,2,0,0
2018-06-19,2,4,0
2018-06-20,1,0,0
2018-06-21,2,0,0
2018-06-22,0,0,0
2018-06-23,1,0,0
2018-06-24,2,0,0
2018-06-25,2,1,0
2018-06-26,1,0,0
2018-06-27,3,0,0
2018-06-28,0,0,1
2018-06-29,1,11,4
2018-06-30,2,0,2
2018-07-01,4,3,0
2018-07-02,1,0,0
2018-07-03,0,0,3
2018-07-04,2,0,1
2018-07-05,0,3,2
2018-07-06,4,0,2
