,deployphp/deployer,laravel/envoy,rocketeers/rocketeer
2014-12-08,0,0,2
2014-12-09,2,0,0
2014-12-10,0,0,0
2014-12-11,0,0,1
2014-12-12,0,0,16
2014-12-13,2,0,0
2014-12-14,0,0,11
2014-12-15,0,0,19
2014-12-16,0,0,18
2014-12-17,0,0,6
2014-12-18,0,0,6
2014-12-19,0,0,15
2014-12-20,0,0,2
2014-12-21,0,0,0
2014-12-22,0,0,0
2014-12-23,0,0,0
2014-12-24,0,1,0
2014-12-25,1,0,0
2014-12-26,0,0,0
2014-12-27,0,0,0
2014-12-28,0,0,0
2014-12-29,0,0,2
2014-12-30,0,0,0
2014-12-31,0,0,0
2015-01-01,0,0,0
2015-01-02,13,0,0
2015-01-03,3,0,0
2015-01-04,0,0,0
2015-01-05,0,0,0
2015-01-06,0,0,0
2015-01-07,0,0,1
2015-01-08,1,0,0
2015-01-09,0,0,4
2015-01-10,0,0,9
2015-01-11,0,0,4
2015-01-12,1,0,0
2015-01-13,0,0,0
2015-01-14,0,0,0
2015-01-15,2,1,0
2015-01-16,5,0,5
2015-01-17,4,0,0
2015-01-18,0,0,0
2015-01-19,1,0,11
2015-01-20,1,0,11
2015-01-21,3,0,8
2015-01-22,3,0,3
2015-01-23,0,0,9
2015-01-24,0,0,0
2015-01-25,0,0,12
2015-01-26,0,1,24
2015-01-27,0,0,8
2015-01-28,4,0,28
2015-01-29,3,0,17
2015-01-30,0,0,26
2015-01-31,1,0,0
2015-02-01,0,0,0
2015-02-02,0,0,0
2015-02-03,8,0,0
2015-02-04,1,0,14
2015-02-05,3,0,0
2015-02-06,3,0,2
2015-02-07,0,0,1
