,ionic-team/ionic-framework,NativeScript/NativeScript,flutter/flutter
2024-01-29,1,0,25
2024-01-30,3,0,23
2024-01-31,12,0,39
2024-02-01,3,0,30
2024-02-02,4,0,14
2024-02-03,0,0,4
2024-02-04,0,0,2
2024-02-05,3,0,7
2024-02-06,6,0,11
2024-02-07,8,0,35
2024-02-08,3,0,24
2024-02-09,2,0,23
2024-02-10,0,1,10
2024-02-11,0,0,3
2024-02-12,1,1,14
2024-02-13,9,0,21
2024-02-14,10,0,20
2024-02-15,3,1,13
2024-02-16,0,0,24
2024-02-17,0,0,12
2024-02-18,0,0,5
2024-02-19,0,0,8
2024-02-20,0,0,24
2024-02-21,3,0,22
2024-02-22,7,0,21
2024-02-23,0,1,22
2024-02-24,0,0,11
2024-02-25,0,0,0
2024-02-26,1,0,18
2024-02-27,0,0,16
2024-02-28,6,0,18
2024-02-29,2,0,30
2024-03-01,2,0,19
2024-03-02,0,0,2
2024-03-03,0,0,1
2024-03-04,1,0,17
2024-03-05,0,0,19
2024-03-06,14,0,20
2024-03-07,2,0,24
2024-03-08,1,0,12
2024-03-09,1,0,16
2024-03-10,0,0,3
2024-03-11,1,0,11
2024-03-12,9,0,18
2024-03-13,15,0,22
2024-03-14,2,0,21
2024-03-15,4,0,14
