,reactivex/rxjava,Kotlin/kotlinx.coroutines,reactor/reactor-core
2016-09-19,0,0.0,1
2016-09-20,4,0.0,0
2016-09-21,2,0.0,1
2016-09-22,6,0.0,0
2016-09-23,8,0.0,2
2016-09-24,0,0.0,0
2016-09-25,7,0.0,0
2016-09-26,4,0.0,0
2016-09-27,5,0.0,0
2016-09-28,4,0.0,0
2016-09-29,11,0.0,0
2016-09-30,2,0.0,0
2016-10-01,2,0.0,0
2016-10-02,1,0.0,0
2016-10-03,1,0.0,2
2016-10-04,2,0.0,2
2016-10-05,3,0.0,0
2016-10-06,3,0.0,3
2016-10-07,2,0.0,1
2016-10-08,0,0.0,2
2016-10-09,0,0.0,0
2016-10-10,2,0.0,0
2016-10-11,4,0.0,12
2016-10-12,6,0.0,0
2016-10-13,0,0.0,0
2016-10-14,3,0.0,1
2016-10-15,3,0.0,2
2016-10-16,1,0.0,1
2016-10-17,4,0.0,2
2016-10-18,2,0.0,2
2016-10-19,5,1.0,0
2016-10-20,3,-0.30000000000000004,0
2016-10-21,6,-0.10499999999999993,2
2016-10-22,3,-0.05949999999999997,0
2016-10-23,0,-0.0401625,0
2016-10-24,2,-0.029720249999999997,0
2016-10-25,3,-0.023280862499999996,4
2016-10-26,1,-0.018957273750000003,4
2016-10-27,0,-0.015876716765625045,14
2016-10-28,0,-0.013583413232812524,10
2016-10-29,1,0.0,0
2016-10-30,0,0.0,0
2016-10-31,1,0.0,0
2016-11-01,0,0.0,0
2016-11-02,1,0.0,0
2016-11-03,1,0.0,0
2016-11-04,2,0.0,0
2016-11-05,0,0.0,3
2016-11-06,1,0.0,0
2016-11-07,1,0.0,0
2016-11-08,0,0.0,0
2016-11-09,0,0.0,0
2016-11-10,4,0.0,0
2016-11-11,4,0.0,0
2016-11-12,1,0.0,0
2016-11-13,0,0.0,0
2016-11-14,0,0.0,0
2016-11-15,0,0.0,0
2016-11-16,1,0.0,0
2016-11-17,0,0.0,0
2016-11-18,1,0.0,1
2016-11-19,0,0.0,0
2016-11-20,0,0.0,0
2016-11-21,0,0.0,0
2016-11-22,2,0.0,0
2016-11-23,3,0.0,1
2016-11-24,1,0.0,1
2016-11-25,0,0.0,1
2016-11-26,1,0.0,0
2016-11-27,0,0.0,0
2016-11-28,5,0.0,2
2016-11-29,0,1.0,1
2016-11-30,0,-0.30000000000000004,1
2016-12-01,0,-0.10499999999999993,2
2016-12-02,1,-0.05949999999999997,0
2016-12-03,4,-0.0401625,0
2016-12-04,1,-0.029720249999999997,0
2016-12-05,1,-0.023280862499999996,0
2016-12-06,0,-0.018957273750000003,2
2016-12-07,1,-0.015876716765625045,0
2016-12-08,0,-0.013583413232812524,5
2016-12-09,1,0.0,0
2016-12-10,0,0.0,0
2016-12-11,0,0.0,0
2016-12-12,0,0.0,0
2016-12-13,0,1.0,6
2016-12-14,0,-0.30000000000000004,7
2016-12-15,1,3.895,2
2016-12-16,1,1.7405,0
2016-12-17,0,-1.3601625,0
2016-12-18,2,-0.5827202499999997,0
2016-12-19,0,-0.3624308624999999,2
2016-12-20,2,1.74167422625,4
2016-12-21,1,4.201839083234375,5
2016-12-22,0,-0.8692550957328127,11
2016-12-23,0,-1.0643786883125,5
2016-12-24,0,-0.584788803228125,0
2016-12-25,0,-0.36050323969843756,0
2016-12-26,0,-0.23532547499999998,0
2016-12-27,0,-0.18403911,0
2016-12-28,0,-0.1498206647812501,0
2016-12-29,2,-0.1255076840437503,0
2016-12-30,1,-0.08379378292968767,0
2016-12-31,0,-0.013583413232812524,0
2017-01-01,0,0.0,0
2017-01-02,0,0.0,0
2017-01-03,1,0.0,8
2017-01-04,4,0.0,1
2017-01-05,0,0.0,1
2017-01-06,1,0.0,3
2017-01-07,1,0.0,0
2017-01-08,6,0.0,0
2017-01-09,3,0.0,2
2017-01-10,1,0.0,6
2017-01-11,1,0.0,0
2017-01-12,2,0.0,29
2017-01-13,1,0.0,11
2017-01-14,0,0.0,0
2017-01-15,0,0.0,0
2017-01-16,2,0.0,3
2017-01-17,1,0.0,3
2017-01-18,2,1.0,3
2017-01-19,0,10.7,2
2017-01-20,1,-1.4050000000000007,0
2017-01-21,0,-1.8144999999999991,0
2017-01-22,0,-0.9046624999999995,0
2017-01-23,0,-0.5905077499999999,5
2017-01-24,2,17.5694713875,2
2017-01-25,2,-0.73448726125,2
2017-01-26,0,-1.6609684530156237,5
2017-01-27,4,-2.4221418451546874,5
2017-01-28,0,-1.4115959790921875,5
2017-01-29,0,-0.881943826465625,0
2017-01-30,0,1.3520182250000001,7
2017-01-31,0,3.88292426,9
2017-02-01,1,-1.137128995531251,4
2017-02-02,3,7.694200430481249,5
2017-02-03,11,-1.2824954996953126,3
2017-02-04,2,-1.8919198264656245,0
2017-02-05,0,-0.9808254749999996,2
2017-02-06,4,6.33549839,1
2017-02-07,2,7.402372085218749,7
2017-02-08,1,-1.1294759465437503,7
2017-02-09,1,4.332529028320313,6
2017-02-10,1,-0.48552591162343806,9
2017-02-11,1,-1.5771709026265621,0
2017-02-12,0,-1.6393228639656245,0
2017-02-13,1,4.98069220875,0
2017-02-14,0,3.4414184076406245,0
2017-02-15,1,1.966987830964062,1
2017-02-16,3,-1.9027280363749997,0
2017-02-17,1,1.3449850591921875,1
2017-02-18,3,-1.8834678166765628,0
2017-02-19,1,0.05005386853593774,0
2017-02-20,2,2.0657240192671873,0
2017-02-21,2,-1.4806160055937503,1
2017-02-22,1,11.241511238759374,0
2017-02-23,0,-4.068346424475001,0
2017-02-24,1,-1.5508733541796869,0
2017-02-25,1,-0.8876551760296872,0
2017-02-26,0,-0.6115001009484375,1
2017-02-27,2,4.570608461984375,3
2017-02-28,0,5.159416086470312,0
2017-03-01,0,2.1067624753015624,0
2017-03-02,0,-2.7230206011875,4
2017-03-03,1,1.6946865412062504,0
2017-03-04,0,5.37276125,0
2017-03-05,1,-2.9402585625000004,0
2017-03-06,0,1.6801463437500006,1
2017-03-07,4,-0.7654763125781252,1
2017-03-08,1,-1.2591387022734377,0
2017-03-09,1,11.264148186042187,0
2017-03-10,1,1.932257575085937,3
2017-03-11,2,-3.3696543165468746,0
2017-03-12,2,-1.595450094557812,0
2017-03-13,0,1.9858134236203124,5
2017-03-14,2,5.435794575953125,1
2017-03-15,2,2.070681193535937,2
2017-03-16,3,2.205744126767188,1
2017-03-17,0,8.1337482563125,2
2017-03-18,0,-4.751059509387501,0
2017-03-19,1,-2.0126973168968743,0
2017-03-20,3,-0.22375160874999955,1
2017-03-21,2,1.812875870953125,3
2017-03-22,2,-1.695000688307813,4
2017-03-23,2,0.10015666729218742,0
2017-03-24,7,-0.8744931612421878,1
2017-03-25,0,0.5022312994140619,0
2017-03-26,2,-0.6213591580609378,0
2017-03-27,1,-0.23396236124999992,1
2017-03-28,0,-0.16196878801562503,0
2017-03-29,2,-0.12465692602968764,2
2017-03-30,0,0.9105722365515624,0
2017-03-31,1,0.6608424207343749,0
2017-04-01,3,-0.4375406869828125,2
2017-04-02,2,-0.18037671676562494,0
2017-04-03,1,-0.1132459132328125,4
2017-04-04,0,-0.06988275,9
2017-04-05,0,3.9469988875,7
2017-04-06,1,0.7577618637499999,0
2017-04-07,1,3.945166009484375,0
2017-04-08,0,-1.9774601299984376,0
2017-04-09,0,-0.8182334132328122,0
2017-04-10,1,0.5032940000000001,2
2017-04-11,0,2.34662355,1
2017-04-12,1,-1.27599207,0
2017-04-13,0,-0.5923257270625,4
2017-04-14,0,-0.39953595521250007,3
2017-04-15,1,-0.25675816029375026,0
2017-04-16,0,-0.1803586786640626,0
2017-04-17,2,3.91120013875,0
2017-04-18,0,-0.27274853801562515,9
2017-04-19,1,3.2187864364703125,5
2017-04-20,4,-0.5837502396984375,0
2017-04-21,4,-0.9401499999999997,0
2017-04-22,1,-0.5020434999999999,0
2017-04-23,0,-0.34299369999999996,0
2017-04-24,0,-0.2581534575,0
2017-04-25,0,-0.20530784081250017,2
2017-04-26,0,-0.16932032719687515,2
2017-04-27,0,0.9039524459546873,7
2017-04-28,0,-0.37021036969687515,0
2017-04-29,1,-0.11858341323281245,0
2017-04-30,0,-0.05949999999999997,0
2017-05-01,1,-0.0401625,0
2017-05-02,1,-0.029720249999999997,0
2017-05-03,0,-0.023280862499999996,2
2017-05-04,0,2.98104272625,2
2017-05-05,0,-0.9158767167656252,1
2017-05-06,0,-0.3285834132328123,0
2017-05-07,0,-0.1784999999999999,0
2017-05-08,0,-0.1204875,0
2017-05-09,0,-0.08916074999999998,2
2017-05-10,0,0.9301574125000001,0
2017-05-11,0,1.64312817875,0
2017-05-12,0,-0.7526301502968751,3
2017-05-13,0,-0.3102502396984374,0
2017-05-14,0,-0.15916249999999993,0
2017-05-15,1,0.88995475,0
2017-05-16,1,8.6172786375,0
2017-05-17,1,6.129481001249999,0
2017-05-18,2,-3.7582912642656243,4
2017-05-19,0,-1.5659993467640616,1
2017-05-20,0,-0.9538495764656247,0
2017-05-21,0,-0.6522256124999999,0
2017-05-22,0,-0.49596728625,2
2017-05-23,0,-0.39601994301562504,2
2017-05-24,0,-0.327089327873438,0
2017-05-25,1,-0.2651411699859381,0
2017-05-26,0,-0.12225071909531271,5
2017-05-27,0,0.0,0
2017-05-28,1,0.0,0
2017-05-29,0,2.0,2
2017-05-30,1,-0.6000000000000001,6
2017-05-31,0,0.7900000000000001,3
2017-06-01,2,-0.419,9
2017-06-02,0,-0.1853249999999999,0
2017-06-03,1,-0.11894049999999996,0
2017-06-04,1,-0.08672422499999999,0
2017-06-05,1,-0.06763479750000001,0
2017-06-06,0,2.94496570396875,6
2017-06-07,0,1.0538758997843747,2
2017-06-08,0,-0.9308767167656249,1
2017-06-09,2,9.597916586767187,0
2017-06-10,0,-3.2394875000000005,0
2017-06-11,2,-1.2194857499999994,0
2017-06-12,2,-0.7242830874999997,2
2017-06-13,0,0.4949414537500001,3
2017-06-14,0,-0.6827471977968751,2
2017-06-15,0,-0.41031229822968757,1
2017-06-16,2,-0.27623956396562505,1
2017-06-17,2,-0.19892966765625045,0
2017-06-18,0,0.8344456176718748,0
2017-06-19,0,0.6767191374999999,6
2017-06-20,1,0.5760427262500001,2
2017-06-21,2,-0.480376716765625,0
