,godotengine/godot,4ian/GDevelop,MonoGame/MonoGame
2013-08-22,0.0,2,1
2013-08-23,0.0,2,0
2013-08-24,0.0,0,0
2013-08-25,0.0,0,1
2013-08-26,0.0,0,4
2013-08-27,0.0,3,2
2013-08-28,0.0,0,0
2013-08-29,0.0,0,8
2013-08-30,0.0,0,0
2013-08-31,0.0,1,16
2013-09-01,0.0,0,2
2013-09-02,0.0,0,1
2013-09-03,0.0,2,2
2013-09-04,0.0,0,0
2013-09-05,0.0,0,1
2013-09-06,0.0,0,8
2013-09-07,0.0,0,0
2013-09-08,0.0,0,0
2013-09-09,0.0,0,0
2013-09-10,0.0,0,12
2013-09-11,0.0,3,5
2013-09-12,0.0,0,16
2013-09-13,0.0,0,0
2013-09-14,0.0,0,0
2013-09-15,0.0,0,2
2013-09-16,0.0,1,9
2013-09-17,0.0,0,4
2013-09-18,0.0,0,1
2013-09-19,0.0,0,1
2013-09-20,0.0,0,2
2013-09-21,0.0,0,5
2013-09-22,0.0,0,4
2013-09-23,0.0,0,4
2013-09-24,0.0,3,7
2013-09-25,0.0,2,4
2013-09-26,0.0,2,3
2013-09-27,0.0,0,8
2013-09-28,0.0,0,10
2013-09-29,0.0,3,6
2013-09-30,0.0,0,4
2013-10-01,0.0,0,7
2013-10-02,0.0,0,5
2013-10-03,0.0,0,6
2013-10-04,0.0,0,4
2013-10-05,0.0,0,5
2013-10-06,0.0,0,0
2013-10-07,0.0,4,4
2013-10-08,0.0,0,12
2013-10-09,0.0,0,15
2013-10-10,0.0,0,6
2013-10-11,0.0,0,1
2013-10-12,0.0,0,0
2013-10-13,0.0,0,0
2013-10-14,0.0,0,6
2013-10-15,0.0,1,1
2013-10-16,0.0,0,6
2013-10-17,0.0,1,9
2013-10-18,0.0,0,0
2013-10-19,0.0,0,5
2013-10-20,0.0,0,0
2013-10-21,0.0,2,1
2013-10-22,0.0,0,0
2013-10-23,0.0,0,1
2013-10-24,0.0,0,1
2013-10-25,0.0,0,0
2013-10-26,0.0,0,2
2013-10-27,0.0,0,2
2013-10-28,0.0,3,0
2013-10-29,0.0,1,2
2013-10-30,0.0,2,1
2013-10-31,0.0,3,0
2013-11-01,0.0,2,0
2013-11-02,0.0,2,0
2013-11-03,0.0,0,0
2013-11-04,0.0,2,0
2013-11-05,0.0,0,1
2013-11-06,0.0,0,0
2013-11-07,0.0,0,0
2013-11-08,0.0,0,2
2013-11-09,0.0,0,0
2013-11-10,0.0,0,1
2013-11-11,0.0,0,4
2013-11-12,0.0,2,0
2013-11-13,0.0,0,0
2013-11-14,0.0,0,0
2013-11-15,0.0,0,0
2013-11-16,0.0,0,0
2013-11-17,0.0,0,0
2013-11-18,0.0,0,2
2013-11-19,0.0,0,1
2013-11-20,0.0,0,0
2013-11-21,0.0,0,4
2013-11-22,0.0,0,2
2013-11-23,0.0,0,0
2013-11-24,0.0,3,2
2013-11-25,0.0,0,0
2013-11-26,0.0,0,1
2013-11-27,0.0,0,0
2013-11-28,0.0,1,1
2013-11-29,0.0,0,1
2013-11-30,0.0,0,0
2013-12-01,0.0,0,0
2013-12-02,0.0,0,2
2013-12-03,0.0,0,3
2013-12-04,0.0,0,2
2013-12-05,0.0,0,3
2013-12-06,0.0,0,0
2013-12-07,0.0,0,0
2013-12-08,0.0,0,1
2013-12-09,0.0,0,3
2013-12-10,0.0,0,2
2013-12-11,0.0,0,0
2013-12-12,0.0,0,0
2013-12-13,0.0,1,1
2013-12-14,0.0,0,0
2013-12-15,0.0,0,0
2013-12-16,0.0,3,0
2013-12-17,0.0,0,0
2013-12-18,0.0,0,2
2013-12-19,0.0,0,0
2013-12-20,0.0,0,0
2013-12-21,0.0,0,0
2013-12-22,0.0,0,0
2013-12-23,0.0,0,0
2013-12-24,0.0,1,0
2013-12-25,0.0,0,1
2013-12-26,0.0,2,0
2013-12-27,0.0,3,0
2013-12-28,0.0,0,0
2013-12-29,0.0,4,0
2013-12-30,0.0,0,0
2013-12-31,0.0,0,0
2014-01-01,0.0,0,0
2014-01-02,0.0,1,0
2014-01-03,0.0,0,4
2014-01-04,1.0,5,0
2014-01-05,-0.19999999999999996,0,0
2014-01-06,-0.08000000000000007,0,5
2014-01-07,-0.048000000000000036,0,11
2014-01-08,-0.03360000000000001,0,8
2014-01-09,-0.025536000000000014,0,2
2014-01-10,-0.02042880000000001,0,0
2014-01-11,-0.01692672000000001,0,0
2014-01-12,-0.01438771199999994,0,0
2014-01-13,-0.012469350399999964,0,4
2014-01-14,0.0,0,0
2014-01-15,0.0,0,1
2014-01-16,0.0,0,4
2014-01-17,0.0,0,7
2014-01-18,0.0,0,6
2014-01-19,0.0,0,4
2014-01-20,0.0,0,9
2014-01-21,0.0,0,7
2014-01-22,0.0,0,0
2014-01-23,0.0,0,0
2014-01-24,0.0,0,2
2014-01-25,0.0,0,0
2014-01-26,0.0,0,1
2014-01-27,0.0,0,5
2014-01-28,0.0,0,0
2014-01-29,0.0,0,1
2014-01-30,0.0,0,9
2014-01-31,0.0,0,0
2014-02-01,0.0,0,1
2014-02-02,0.0,0,2
2014-02-03,0.0,0,9
2014-02-04,0.0,3,3
2014-02-05,0.0,0,0
2014-02-06,0.0,3,0
2014-02-07,0.0,0,1
2014-02-08,0.0,0,0
2014-02-09,0.0,0,0
2014-02-10,10.0,0,1
2014-02-11,6.0,0,0
2014-02-12,-0.40000000000000036,0,4
2014-02-13,9.479999999999999,1,0
2014-02-14,5.92,0,0
2014-02-15,0.6998399999999991,0,0
2014-02-16,0.47622399999999887,0,4
2014-02-17,2.894630399999999,0,2
2014-02-18,4.66455552,0,1
2014-02-19,3.1934105600000002,0,0
2014-02-20,-1.7015273472000003,0,2
2014-02-21,12.3221327872,0,5
2014-02-22,0.07347445760000104,0,0
2014-02-23,6.3289488384,0,0
2014-02-24,-0.29949173760000036,3,3
2014-02-25,0.6416575487999996,0,9
2014-02-26,9.951046144,2,15
2014-02-27,-0.6650856447999995,0,11
2014-02-28,1.5574829055999988,0,3
2014-03-01,-2.2588713983999997,0,2
2014-03-02,-1.3895566335999998,0,12
2014-03-03,-0.8906653695999996,2,10
2014-03-04,-0.6623210495999998,0,0
2014-03-05,2.5528777728,0,9
2014-03-06,0.05744404480000087,0,14
2014-03-07,1.2994977792000004,0,17
2014-03-08,2.2810411008000004,0,0
2014-03-09,-0.9586774015999999,0,5
2014-03-10,-0.4462080000000003,1,17
2014-03-11,6.7019776,0,7
2014-03-12,7.376919040000001,0,51
2014-03-13,-0.5375554559999998,0,30
2014-03-14,3.3970643967999994,0,5
2014-03-15,-0.9192249344000003,0,0
2014-03-16,-1.2452538368000003,0,1
2014-03-17,0.20256634879999957,0,0
2014-03-18,0.23058175999999975,0,0
2014-03-19,2.2648079360000004,0,3
2014-03-20,-1.1063083007999992,0,0
2014-03-21,-0.5676619775999999,0,0
2014-03-22,-0.31693998079999974,0,0
2014-03-23,-0.2234992639999998,0,2
2014-03-24,0.8735671296,0,2
2014-03-25,-0.2926008319999999,0,14
2014-03-26,-0.1576372224,0,12
2014-03-27,2.8963675136,3,11
2014-03-28,0.32899194880000027,0,3
2014-03-29,-0.46553600000000017,0,1
2014-03-30,-0.24442880000000017,0,0
2014-03-31,6.83427328,5,4
2014-04-01,1.4754042880000002,0,2
2014-04-02,-0.2592917504000005,1,6
2014-04-03,6.152791039999999,0,9
2014-04-04,-1.9192898559999998,0,5
2014-04-05,18.0606522368,1,0
2014-04-06,-0.4016789503999991,0,0
2014-04-07,-2.7605094400000016,1,9
2014-04-08,-1.5826749440000007,0,12
2014-04-09,-1.1207769088,1,6
